GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007169	0.00251535826407	0.0656787991174	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	4/26	38/1645	7	4	OG_13095, OG_13110, OG_13238, OG_16349
GO:0000910	0.00244581731146	0.0656787991174	BP	e	cytokinesis	3/26	18/1645	3	3	OG_13110, OG_14234, OG_16497
GO:0061640	0.00244581731146	0.0656787991174	BP	e	cytoskeleton-dependent cytokinesis	3/26	18/1645	4	3	OG_13110, OG_14234, OG_16497
GO:2000147	0.00184296165039	0.0656787991174	BP	e	positive regulation of cell motility	4/26	35/1645	6	4	OG_13110, OG_13238, OG_16349, OG_16497
GO:0000281	0.000532402177598	0.0656787991174	BP	e	mitotic cytokinesis	3/26	11/1645	5	3	OG_13110, OG_14234, OG_16497
GO:0051272	0.00251535826407	0.0656787991174	BP	e	positive regulation of cellular component movement	4/26	38/1645	5	4	OG_13110, OG_13238, OG_16349, OG_16497
GO:0051302	0.00113795883608	0.0656787991174	BP	e	regulation of cell division	3/26	14/1645	4	3	OG_13110, OG_14234, OG_16349
GO:0030335	0.00147172472853	0.0656787991174	BP	e	positive regulation of cell migration	4/26	33/1645	7	4	OG_13110, OG_13238, OG_16349, OG_16497
GO:0007265	0.00171421450032	0.0656787991174	BP	e	Ras protein signal transduction	3/26	16/1645	7	3	OG_13095, OG_13238, OG_18899
GO:0007264	0.00287400691133	0.0675391624163	BP	e	small GTPase mediated signal transduction	3/26	19/1645	6	3	OG_13095, OG_13238, OG_18899
GO:0040017	0.00365303285793	0.0780420656012	BP	e	positive regulation of locomotion	4/26	42/1645	4	4	OG_13110, OG_13238, OG_16349, OG_16497
GO:0007167	0.00641183670263	0.0980459879176	BP	e	enzyme linked receptor protein signaling pathway	4/26	49/1645	6	4	OG_13095, OG_13110, OG_13238, OG_16349
GO:0044093	0.0100409774245	0.0980459879176	BP	e	positive regulation of molecular function	5/26	87/1645	3	5	OG_13095, OG_13238, OG_13875, OG_16349, OG_18899
GO:0042325	0.012099292126	0.0980459879176	BP	e	regulation of phosphorylation	5/26	91/1645	7	5	OG_13095, OG_13110, OG_13238, OG_13875, OG_16349
GO:0032259	0.00797584584952	0.0980459879176	BP	e	methylation	3/26	27/1645	2	3	OG_11839, OG_15839, OG_16382
GO:0048870	0.00668095688072	0.0980459879176	BP	e	cell motility	5/26	79/1645	3	5	OG_13110, OG_13238, OG_14234, OG_16349, OG_16497
GO:0016477	0.00504175415368	0.0980459879176	BP	e	cell migration	5/26	74/1645	4	5	OG_13110, OG_13238, OG_14234, OG_16349, OG_16497
GO:0050790	0.0119605055074	0.0980459879176	BP	e	regulation of catalytic activity	6/26	127/1645	3	6	OG_13095, OG_13110, OG_13238, OG_13875, OG_16349, OG_18899
GO:2000145	0.00906782762481	0.0980459879176	BP	e	regulation of cell motility	4/26	54/1645	5	4	OG_13110, OG_13238, OG_16349, OG_16497
GO:0009719	0.0109653865613	0.0980459879176	BP	e	response to endogenous stimulus	4/26	57/1645	2	4	OG_13110, OG_13238, OG_16328, OG_16382
GO:0097435	0.0117531907914	0.0980459879176	BP	e	supramolecular fiber organization	3/26	31/1645	3	3	OG_13110, OG_16328, OG_16497
GO:0051259	0.0117531907914	0.0980459879176	BP	e	protein complex oligomerization	3/26	31/1645	5	3	OG_12155, OG_13110, OG_16497
GO:0030030	0.00840626147385	0.0980459879176	BP	e	cell projection organization	6/26	118/1645	3	6	OG_13110, OG_13238, OG_16349, OG_16497, OG_18726, OG_18899
GO:0030031	0.0117531907914	0.0980459879176	BP	e	cell projection assembly	3/26	31/1645	4	3	OG_13238, OG_16349, OG_18899
GO:1903047	0.00967409636377	0.0980459879176	BP	e	mitotic cell cycle process	4/26	55/1645	3	4	OG_13110, OG_13875, OG_14234, OG_16497
GO:0043065	0.0117531907914	0.0980459879176	BP	e	positive regulation of apoptotic process	3/26	31/1645	7	3	OG_13110, OG_13238, OG_16422
GO:0030334	0.00740107389319	0.0980459879176	BP	e	regulation of cell migration	4/26	51/1645	6	4	OG_13110, OG_13238, OG_16349, OG_16497
GO:1901700	0.00632647611985	0.0980459879176	BP	e	response to oxygen-containing compound	5/26	78/1645	3	5	OG_13110, OG_13238, OG_16328, OG_16349, OG_16382
