GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009451	0.00214498714707	0.19251259645	BP	e	RNA modification	5/79	30/2495	7	5	OG_12181, OG_15553, OG_16512, OG_16832, OG_17448
GO:2001234	0.000742592092571	0.19251259645	BP	e	negative regulation of apoptotic signaling pathway	5/79	24/2495	8	5	OG_11381, OG_12981, OG_13118, OG_13962, OG_16819
GO:2001233	0.00175733185166	0.19251259645	BP	e	regulation of apoptotic signaling pathway	6/79	42/2495	7	6	OG_11381, OG_12981, OG_13118, OG_13962, OG_14466, OG_16819
GO:0006400	0.00203223292487	0.19251259645	BP	e	tRNA modification	4/79	18/2495	10	4	OG_12181, OG_16512, OG_16832, OG_17448
GO:0051384	0.00546975039282	0.245455048878	BP	e	response to glucocorticoid	3/79	12/2495	7	3	OG_11271, OG_12981, OG_13376
GO:0046425	0.00419733755164	0.245455048878	BP	e	regulation of receptor signaling pathway via JAK-STAT	3/79	11/2495	7	3	OG_12118, OG_16819, OG_17537
GO:0031960	0.00546975039282	0.245455048878	BP	e	response to corticosteroid	3/79	12/2495	6	3	OG_11271, OG_12981, OG_13376
GO:1904892	0.00419733755164	0.245455048878	BP	e	regulation of receptor signaling pathway via STAT	3/79	11/2495	6	3	OG_12118, OG_16819, OG_17537
GO:2001236	0.00694991038094	0.277224202973	BP	e	regulation of extrinsic apoptotic signaling pathway	3/79	13/2495	8	3	OG_12981, OG_14466, OG_16819
GO:0008033	0.00819062453874	0.282161813458	BP	e	tRNA processing	4/79	26/2495	9	4	OG_12181, OG_16512, OG_16832, OG_17448
GO:0048545	0.00864562659621	0.282161813458	BP	e	response to steroid hormone	3/79	14/2495	5	3	OG_11271, OG_12981, OG_13376
GO:0043414	0.011566256008	0.346023825573	BP	e	macromolecule methylation	5/79	44/2495	5	5	OG_11381, OG_15553, OG_16284, OG_16832, OG_17537
GO:0043412	0.0153357590974	0.348323293835	BP	e	macromolecule modification	22/79	431/2495	4	22	OG_11381, OG_11499, OG_12118, OG_12181, OG_12345, OG_12519, OG_12741, OG_12981, OG_13118, OG_13376, OG_13761, OG_15367, OG_15553, OG_15653, OG_15938, OG_16062, OG_16284, OG_16512, OG_16832, OG_17152, OG_17448, OG_17537
GO:0016569	0.0155241579425	0.348323293835	BP	e	covalent chromatin modification	6/79	65/2495	5	6	OG_11381, OG_13118, OG_15653, OG_15938, OG_16284, OG_17537
GO:0006869	0.0152954207607	0.348323293835	BP	e	lipid transport	4/79	31/2495	5	4	OG_11271, OG_12348, OG_12960, OG_12981
GO:0044089	0.0155241579425	0.348323293835	BP	e	positive regulation of cellular component biogenesis	6/79	65/2495	4	6	OG_11626, OG_13145, OG_13494, OG_13790, OG_17537, OG_17579
GO:0045787	0.0165288064543	0.349049501006	BP	e	positive regulation of cell cycle	5/79	48/2495	5	5	OG_12118, OG_12519, OG_12981, OG_16819, OG_17579
GO:0090263	0.0236255826327	0.446399166586	BP	e	positive regulation of canonical Wnt signaling pathway	3/79	20/2495	8	3	OG_13376, OG_16588, OG_17152
GO:0009725	0.022744073159	0.446399166586	BP	e	response to hormone	5/79	52/2495	4	5	OG_11271, OG_12981, OG_13376, OG_14466, OG_17537
GO:0030177	0.0383261308045	0.483050119998	BP	e	positive regulation of Wnt signaling pathway	3/79	24/2495	7	3	OG_13376, OG_16588, OG_17152
GO:0035556	0.0420522645504	0.483050119998	BP	e	intracellular signal transduction	9/79	142/2495	5	9	OG_12118, OG_12567, OG_12981, OG_13118, OG_13145, OG_13376, OG_14877, OG_16062, OG_17579
GO:0032259	0.036925611853	0.483050119998	BP	e	methylation	5/79	59/2495	2	5	OG_11381, OG_15553, OG_16284, OG_16832, OG_17537
GO:0043413	0.0618577773064	0.483050119998	BP	e	macromolecule glycosylation	3/79	29/2495	5	3	OG_12345, OG_13761, OG_17152
GO:0048813	0.0618577773064	0.483050119998	BP	e	dendrite morphogenesis	3/79	29/2495	8	3	OG_12348, OG_12981, OG_16062
GO:0006486	0.0618577773064	0.483050119998	BP	e	protein glycosylation	3/79	29/2495	7	3	OG_12345, OG_13761, OG_17152
GO:0033993	0.0672771754872	0.483050119998	BP	e	response to lipid	4/79	49/2495	4	4	OG_11271, OG_12981, OG_13118, OG_13376
GO:0070085	0.0618577773064	0.483050119998	BP	e	glycosylation	3/79	29/2495	2	3	OG_12345, OG_13761, OG_17152
GO:0010033	0.0664798004772	0.483050119998	BP	e	response to organic substance	10/79	174/2495	3	10	OG_11271, OG_11381, OG_12981, OG_13118, OG_13376, OG_13761, OG_14466, OG_17537, OG_18111, OG_18148
GO:0018209	0.0672148932405	0.483050119998	BP	e	peptidyl-serine modification	3/79	30/2495	8	3	OG_12981, OG_15367, OG_16062
GO:0009886	0.0330322390745	0.483050119998	BP	e	post-embryonic animal morphogenesis	6/79	77/2495	3	6	OG_13118, OG_13376, OG_14466, OG_16062, OG_17183, OG_17840
GO:0071396	0.0305051182959	0.483050119998	BP	e	cellular response to lipid	3/79	22/2495	5	3	OG_12981, OG_13118, OG_13376
GO:0042493	0.039312995691	0.483050119998	BP	e	response to drug	5/79	60/2495	3	5	OG_11271, OG_12981, OG_13376, OG_13636, OG_18148
GO:0016241	0.0342988428458	0.483050119998	BP	e	regulation of macroautophagy	3/79	23/2495	7	3	OG_12981, OG_13118, OG_14754
GO:0045931	0.0305051182959	0.483050119998	BP	e	positive regulation of mitotic cell cycle	3/79	22/2495	6	3	OG_12519, OG_12981, OG_16819
GO:0042221	0.0494986369068	0.483050119998	BP	e	response to chemical	13/79	240/2495	2	13	OG_11271, OG_11381, OG_11626, OG_12981, OG_13118, OG_13376, OG_13636, OG_13761, OG_13962, OG_14466, OG_17537, OG_18111, OG_18148
GO:0006399	0.063251352344	0.483050119998	BP	e	tRNA metabolic process	4/79	48/2495	8	4	OG_12181, OG_16512, OG_16832, OG_17448
GO:0006473	0.0672148932405	0.483050119998	BP	e	protein acetylation	3/79	30/2495	8	3	OG_13118, OG_15367, OG_15938
GO:0006475	0.0567115142404	0.483050119998	BP	e	internal protein amino acid acetylation	3/79	28/2495	9	3	OG_13118, OG_15367, OG_15938
GO:0034470	0.0548945914746	0.483050119998	BP	e	ncRNA processing	6/79	87/2495	8	6	OG_12181, OG_15553, OG_16512, OG_16832, OG_17448, OG_17537
GO:0016570	0.0497955536877	0.483050119998	BP	e	histone modification	5/79	64/2495	7	5	OG_13118, OG_15653, OG_15938, OG_16284, OG_17537
GO:0016579	0.0342988428458	0.483050119998	BP	e	protein deubiquitination	3/79	23/2495	9	3	OG_13376, OG_15653, OG_15938
GO:0034097	0.0618577773064	0.483050119998	BP	e	response to cytokine	3/79	29/2495	4	3	OG_11381, OG_12981, OG_14466
GO:0007052	0.0517809471499	0.483050119998	BP	e	mitotic spindle organization	3/79	27/2495	7	3	OG_15505, OG_16129, OG_17579
GO:0006508	0.044486689735	0.483050119998	BP	e	proteolysis	11/79	185/2495	5	11	OG_11499, OG_11883, OG_12118, OG_12519, OG_13073, OG_13376, OG_13761, OG_15653, OG_15938, OG_16554, OG_18111
GO:0032870	0.0517809471499	0.483050119998	BP	e	cellular response to hormone stimulus	3/79	27/2495	5	3	OG_12981, OG_13376, OG_17537
GO:0034762	0.0618577773064	0.483050119998	BP	e	regulation of transmembrane transport	3/79	29/2495	5	3	OG_11626, OG_12981, OG_17231
GO:0070646	0.0517809471499	0.483050119998	BP	e	protein modification by small protein removal	3/79	27/2495	8	3	OG_13376, OG_15653, OG_15938
GO:0018193	0.0355502116376	0.483050119998	BP	e	peptidyl-amino acid modification	9/79	134/2495	7	9	OG_11499, OG_12981, OG_13118, OG_13761, OG_15367, OG_15938, OG_16062, OG_16284, OG_17537
GO:0051130	0.0476323483963	0.483050119998	BP	e	positive regulation of cellular component organization	9/79	147/2495	5	9	OG_11626, OG_12981, OG_13145, OG_13494, OG_13790, OG_16819, OG_17231, OG_17355, OG_17579
GO:0050807	0.0484803682812	0.483050119998	BP	e	regulation of synapse organization	4/79	44/2495	5	4	OG_11626, OG_12981, OG_13145, OG_17231
GO:0007165	0.0789694788691	0.523065227501	BP	e	signal transduction	18/79	383/2495	4	18	OG_11626, OG_12118, OG_12567, OG_12741, OG_12969, OG_12981, OG_13118, OG_13145, OG_13376, OG_13761, OG_14877, OG_16062, OG_16588, OG_16819, OG_17152, OG_17231, OG_17579, OG_18111
GO:0043066	0.0788986875712	0.523065227501	BP	e	negative regulation of apoptotic process	5/79	73/2495	7	5	OG_11381, OG_12981, OG_13118, OG_13962, OG_16819
GO:0018205	0.0801353412606	0.523065227501	BP	e	peptidyl-lysine modification	4/79	52/2495	8	4	OG_13118, OG_15938, OG_16284, OG_17537
GO:0070887	0.075793490887	0.523065227501	BP	e	cellular response to chemical stimulus	8/79	137/2495	3	8	OG_11381, OG_11626, OG_12981, OG_13118, OG_13376, OG_13962, OG_14466, OG_17537
GO:0090068	0.0785407229233	0.523065227501	BP	e	positive regulation of cell cycle process	3/79	32/2495	6	3	OG_12118, OG_16819, OG_17579
GO:0043069	0.0863946505358	0.553851420399	BP	e	negative regulation of programmed cell death	5/79	75/2495	6	5	OG_11381, OG_12981, OG_13118, OG_13962, OG_16819
GO:0008284	0.0893423166943	0.562699854268	BP	e	positive regulation of cell population proliferation	4/79	54/2495	5	4	OG_12519, OG_12981, OG_16588, OG_16819
GO:0009967	0.0920419636628	0.569708016465	BP	e	positive regulation of signal transduction	9/79	157/2495	6	9	OG_11626, OG_12118, OG_12567, OG_13118, OG_13376, OG_14466, OG_16588, OG_16819, OG_17152
GO:1902850	0.0969730104212	0.580221845687	BP	e	microtubule cytoskeleton organization involved in mitosis	3/79	35/2495	6	3	OG_15505, OG_16129, OG_17579
GO:0010769	0.0969730104212	0.580221845687	BP	e	regulation of cell morphogenesis involved in differentiation	3/79	35/2495	6	3	OG_11626, OG_12981, OG_16062
GO:1901701	0.10921073877	0.581539622652	BP	e	cellular response to oxygen-containing compound	4/79	58/2495	4	4	OG_12981, OG_13118, OG_13376, OG_17537
GO:0023056	0.109267655653	0.581539622652	BP	e	positive regulation of signaling	9/79	170/2495	4	9	OG_11626, OG_12118, OG_12567, OG_13118, OG_13376, OG_14466, OG_16588, OG_16819, OG_17152
GO:0045321	0.110152351923	0.581539622652	BP	e	leukocyte activation	3/79	37/2495	3	3	OG_11381, OG_11499, OG_17617
GO:0006325	0.106169805492	0.581539622652	BP	e	chromatin organization	7/79	122/2495	3	7	OG_11381, OG_13118, OG_13790, OG_15653, OG_15938, OG_16284, OG_17537
GO:0022604	0.10921073877	0.581539622652	BP	e	regulation of cell morphogenesis	4/79	58/2495	5	4	OG_11626, OG_12981, OG_16062, OG_16819
GO:0043543	0.110152351923	0.581539622652	BP	e	protein acylation	3/79	37/2495	7	3	OG_13118, OG_15367, OG_15938
GO:0009719	0.10247391534	0.581539622652	BP	e	response to endogenous stimulus	5/79	79/2495	2	5	OG_11271, OG_12981, OG_13376, OG_14466, OG_17537
GO:0010647	0.109267655653	0.581539622652	BP	e	positive regulation of cell communication	9/79	170/2495	5	9	OG_11626, OG_12118, OG_12567, OG_13118, OG_13376, OG_14466, OG_16588, OG_16819, OG_17152
GO:0007167	0.11446783891	0.595564553169	BP	e	enzyme linked receptor protein signaling pathway	4/79	59/2495	6	4	OG_12981, OG_13118, OG_16819, OG_17152
GO:0009966	0.130885390144	0.644866787292	BP	e	regulation of signal transduction	15/79	332/2495	5	15	OG_11381, OG_11626, OG_12118, OG_12567, OG_12981, OG_13118, OG_13376, OG_13962, OG_14466, OG_16554, OG_16588, OG_16819, OG_17152, OG_17183, OG_17537
GO:0001775	0.131128901037	0.644866787292	BP	e	cell activation	3/79	40/2495	2	3	OG_11381, OG_11499, OG_17617
GO:0032989	0.129350850771	0.644866787292	BP	e	cellular component morphogenesis	6/79	99/2495	3	6	OG_11180, OG_11626, OG_12348, OG_12981, OG_16062, OG_17355
GO:0048812	0.130895219822	0.644866787292	BP	e	neuron projection morphogenesis	4/79	62/2495	7	4	OG_11626, OG_12348, OG_12981, OG_16062
GO:0120039	0.136580723539	0.646592419165	BP	e	plasma membrane bounded cell projection morphogenesis	4/79	63/2495	6	4	OG_11626, OG_12348, OG_12981, OG_16062
GO:0048858	0.136580723539	0.646592419165	BP	e	cell projection morphogenesis	4/79	63/2495	5	4	OG_11626, OG_12348, OG_12981, OG_16062
GO:0060828	0.138416457659	0.646592419165	BP	e	regulation of canonical Wnt signaling pathway	3/79	41/2495	7	3	OG_13376, OG_16588, OG_17152
GO:0071310	0.138684167899	0.646592419165	BP	e	cellular response to organic substance	6/79	103/2495	4	6	OG_11381, OG_12981, OG_13118, OG_13376, OG_14466, OG_17537
GO:0051603	0.141289418708	0.650293606618	BP	e	proteolysis involved in cellular protein catabolic process	6/79	104/2495	6	6	OG_12118, OG_12519, OG_13376, OG_13761, OG_16554, OG_18111
GO:0051962	0.148249345672	0.665268938703	BP	e	positive regulation of nervous system development	4/79	65/2495	6	4	OG_11626, OG_12981, OG_13145, OG_14851
GO:0048584	0.148028631038	0.665268938703	BP	e	positive regulation of response to stimulus	10/79	207/2495	4	10	OG_11626, OG_12118, OG_12567, OG_12981, OG_13118, OG_13376, OG_14466, OG_16588, OG_16819, OG_17152
GO:0008283	0.154226590295	0.683547480443	BP	e	cell population proliferation	4/79	66/2495	1	4	OG_11381, OG_13376, OG_14877, OG_17579
GO:0010243	0.160295118291	0.701779847152	BP	e	response to organonitrogen compound	4/79	67/2495	4	4	OG_12981, OG_13761, OG_17537, OG_18111
GO:0046486	0.192872263281	0.702385401033	BP	e	glycerolipid metabolic process	3/79	48/2495	5	3	OG_12741, OG_16544, OG_18111
GO:0007051	0.192872263281	0.702385401033	BP	e	spindle organization	3/79	48/2495	6	3	OG_15505, OG_16129, OG_17579
GO:0014070	0.201063247267	0.702385401033	BP	e	response to organic cyclic compound	3/79	49/2495	4	3	OG_11271, OG_12981, OG_13376
GO:0060548	0.191057445708	0.702385401033	BP	e	negative regulation of cell death	5/79	85/2495	5	5	OG_11381, OG_12981, OG_13118, OG_13962, OG_16819
