GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0045787	0.0308525499241	0.433890511964	BP	e	positive regulation of cell cycle	3/35	41/2059	5	3	OG_11616, OG_13600, OG_17439
GO:0051253	0.0408367540672	0.433890511964	BP	e	negative regulation of RNA metabolic process	5/35	114/2059	7	5	OG_11616, OG_16025, OG_16659, OG_16911, OG_17439
GO:0009890	0.0230205117608	0.433890511964	BP	e	negative regulation of biosynthetic process	6/35	134/2059	5	6	OG_11616, OG_13487, OG_16025, OG_16659, OG_16911, OG_17439
GO:0044272	0.00362004242451	0.433890511964	BP	e	sulfur compound biosynthetic process	3/35	19/2059	4	3	OG_12968, OG_13502, OG_16623
GO:0010558	0.0180753171621	0.433890511964	BP	e	negative regulation of macromolecule biosynthetic process	6/35	127/2059	6	6	OG_11616, OG_13487, OG_16025, OG_16659, OG_16911, OG_17439
GO:1903507	0.0357522773014	0.433890511964	BP	e	negative regulation of nucleic acid-templated transcription	5/35	110/2059	9	5	OG_11616, OG_16025, OG_16659, OG_16911, OG_17439
GO:0045892	0.0322147189996	0.433890511964	BP	e	negative regulation of transcription, DNA-templated	5/35	107/2059	10	5	OG_11616, OG_16025, OG_16659, OG_16911, OG_17439
GO:0009725	0.0392189043632	0.433890511964	BP	e	response to hormone	3/35	45/2059	4	3	OG_12968, OG_13081, OG_14362
GO:0031327	0.0222629521271	0.433890511964	BP	e	negative regulation of cellular biosynthetic process	6/35	133/2059	6	6	OG_11616, OG_13487, OG_16025, OG_16659, OG_16911, OG_17439
GO:0031324	0.0254381886927	0.433890511964	BP	e	negative regulation of cellular metabolic process	8/35	217/2059	5	8	OG_11616, OG_12464, OG_13487, OG_15711, OG_16025, OG_16659, OG_16911, OG_17439
GO:0033993	0.0349034482412	0.433890511964	BP	e	response to lipid	3/35	43/2059	4	3	OG_12968, OG_13081, OG_14362
GO:2000113	0.0162031227047	0.433890511964	BP	e	negative regulation of cellular macromolecule biosynthetic process	6/35	124/2059	7	6	OG_11616, OG_13487, OG_16025, OG_16659, OG_16911, OG_17439
GO:1902679	0.0357522773014	0.433890511964	BP	e	negative regulation of RNA biosynthetic process	5/35	110/2059	8	5	OG_11616, OG_16025, OG_16659, OG_16911, OG_17439
GO:0051172	0.0170949751687	0.433890511964	BP	e	negative regulation of nitrogen compound metabolic process	8/35	202/2059	5	8	OG_11616, OG_12464, OG_13487, OG_15711, OG_16025, OG_16659, OG_16911, OG_17439
GO:0051726	0.0128755645536	0.433890511964	BP	e	regulation of cell cycle	6/35	118/2059	4	6	OG_11616, OG_13487, OG_13600, OG_16659, OG_16911, OG_17439
GO:0006790	0.0159301044298	0.433890511964	BP	e	sulfur compound metabolic process	3/35	32/2059	3	3	OG_12968, OG_13502, OG_16623
GO:0042981	0.0463485057639	0.463485057639	BP	e	regulation of apoptotic process	5/35	118/2059	6	5	OG_12464, OG_13487, OG_13502, OG_16659, OG_17439
GO:0051716	0.0603718783756	0.466509969266	BP	e	cellular response to stimulus	8/35	246/2059	2	8	OG_12464, OG_12968, OG_13081, OG_13487, OG_14362, OG_15864, OG_16025, OG_16659
GO:0010605	0.0573436555099	0.466509969266	BP	e	negative regulation of macromolecule metabolic process	8/35	242/2059	5	8	OG_11616, OG_12464, OG_13487, OG_15711, OG_16025, OG_16659, OG_16911, OG_17439
GO:0010629	0.0601270133964	0.466509969266	BP	e	negative regulation of gene expression	6/35	168/2059	6	6	OG_11616, OG_13487, OG_16025, OG_16659, OG_16911, OG_17439
GO:0043067	0.0507662684392	0.466509969266	BP	e	regulation of programmed cell death	5/35	121/2059	5	5	OG_12464, OG_13487, OG_13502, OG_16659, OG_17439
GO:0045934	0.057038450256	0.466509969266	BP	e	negative regulation of nucleobase-containing compound metabolic process	5/35	125/2059	6	5	OG_11616, OG_16025, OG_16659, OG_16911, OG_17439
GO:0006325	0.0635387874337	0.469634515814	BP	e	chromatin organization	4/35	90/2059	3	4	OG_11616, OG_13487, OG_16025, OG_16659
GO:0009892	0.0692112460744	0.479187144112	BP	e	negative regulation of metabolic process	8/35	256/2059	4	8	OG_11616, OG_12464, OG_13487, OG_15711, OG_16025, OG_16659, OG_16911, OG_17439
GO:0008380	0.0704686976635	0.479187144112	BP	e	RNA splicing	3/35	57/2059	8	3	OG_11838, OG_15708, OG_16121
GO:0034470	0.106480128662	0.489233023582	BP	e	ncRNA processing	3/35	68/2059	8	3	OG_11718, OG_11838, OG_14650
GO:0007346	0.106480128662	0.489233023582	BP	e	regulation of mitotic cell cycle	3/35	68/2059	5	3	OG_11616, OG_13487, OG_16911
GO:0012501	0.106480128662	0.489233023582	BP	e	programmed cell death	3/35	68/2059	3	3	OG_12464, OG_13487, OG_16659
GO:0006511	0.102945058521	0.489233023582	BP	e	ubiquitin-dependent protein catabolic process	3/35	67/2059	8	3	OG_13081, OG_14868, OG_16025
GO:0070887	0.0967884670317	0.489233023582	BP	e	cellular response to chemical stimulus	4/35	104/2059	3	4	OG_12464, OG_12968, OG_13081, OG_13487
GO:0043632	0.106480128662	0.489233023582	BP	e	modification-dependent macromolecule catabolic process	3/35	68/2059	6	3	OG_13081, OG_14868, OG_16025
GO:0010941	0.0824408783574	0.489233023582	BP	e	regulation of cell death	5/35	139/2059	4	5	OG_12464, OG_13487, OG_13502, OG_16659, OG_17439
GO:0043066	0.0960244502487	0.489233023582	BP	e	negative regulation of apoptotic process	3/35	65/2059	7	3	OG_12464, OG_13502, OG_17439
GO:0043069	0.0960244502487	0.489233023582	BP	e	negative regulation of programmed cell death	3/35	65/2059	6	3	OG_12464, OG_13502, OG_17439
GO:0019941	0.102945058521	0.489233023582	BP	e	modification-dependent protein catabolic process	3/35	67/2059	7	3	OG_13081, OG_14868, OG_16025
GO:0006915	0.0765246712094	0.489233023582	BP	e	apoptotic process	3/35	59/2059	4	3	OG_12464, OG_13487, OG_16659
GO:0006396	0.080449274596	0.489233023582	BP	e	RNA processing	5/35	138/2059	7	5	OG_11718, OG_11838, OG_14650, OG_15708, OG_16121
GO:0009719	0.113695066547	0.49559387982	BP	e	response to endogenous stimulus	3/35	70/2059	2	3	OG_12968, OG_13081, OG_14362
GO:0000122	0.113695066547	0.49559387982	BP	e	negative regulation of transcription by RNA polymerase II	3/35	70/2059	11	3	OG_16025, OG_16911, OG_17439
GO:0008219	0.124864987988	0.530676198949	BP	e	cell death	3/35	73/2059	2	3	OG_12464, OG_13487, OG_16659
GO:0051603	0.136428372121	0.565678616111	BP	e	proteolysis involved in cellular protein catabolic process	3/35	76/2059	6	3	OG_13081, OG_14868, OG_16025
GO:0042127	0.155867520392	0.616220429457	BP	e	regulation of cell population proliferation	4/35	124/2059	4	4	OG_12464, OG_13502, OG_16659, OG_17439
GO:0060548	0.152411770597	0.616220429457	BP	e	negative regulation of cell death	3/35	80/2059	5	3	OG_12464, OG_13502, OG_17439
GO:0043170	0.162378533736	0.627371607616	BP	e	macromolecule metabolic process	18/35	808/2059	3	18	OG_11718, OG_11838, OG_12968, OG_13081, OG_13487, OG_13502, OG_14362, OG_14650, OG_14868, OG_15355, OG_15529, OG_15708, OG_15711, OG_15864, OG_16025, OG_16121, OG_16659, OG_17439
GO:0034660	0.173209445326	0.654346793454	BP	e	ncRNA metabolic process	3/35	85/2059	7	3	OG_11718, OG_11838, OG_14650
GO:0032269	0.181757314762	0.671711815425	BP	e	negative regulation of cellular protein metabolic process	3/35	87/2059	7	3	OG_12464, OG_13487, OG_15711
GO:1901565	0.186076273358	0.673041839806	BP	e	organonitrogen compound catabolic process	3/35	88/2059	4	3	OG_12968, OG_13081, OG_14868
GO:0051248	0.199201336927	0.697904148126	BP	e	negative regulation of protein metabolic process	3/35	91/2059	6	3	OG_12464, OG_13487, OG_15711
GO:0048523	0.201160607401	0.697904148126	BP	e	negative regulation of cellular process	10/35	410/2059	4	10	OG_11616, OG_12464, OG_13487, OG_13502, OG_14362, OG_15711, OG_16025, OG_16659, OG_16911, OG_17439
GO:0018193	0.208081701202	0.707477784087	BP	e	peptidyl-amino acid modification	3/35	93/2059	7	3	OG_13487, OG_15355, OG_16659
GO:1901700	0.217057242232	0.723524140773	BP	e	response to oxygen-containing compound	3/35	95/2059	3	3	OG_12464, OG_12968, OG_13081
GO:0048518	0.244420300132	0.788280600304	BP	e	positive regulation of biological process	12/35	529/2059	3	12	OG_11616, OG_12464, OG_13487, OG_13596, OG_13600, OG_14362, OG_15355, OG_15708, OG_16623, OG_16659, OG_16911, OG_17439
