GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0042335	0.00128171434304	0.131375720162	BP	e	cuticle development	3/54	9/2059	3	3	OG_12466, OG_15771, OG_16650
GO:0040003	0.000870600732905	0.131375720162	BP	e	chitin-based cuticle development	3/54	8/2059	4	3	OG_12466, OG_15771, OG_16650
GO:0099003	0.00258547184236	0.147101148303	BP	e	vesicle-mediated transport in synapse	4/54	23/2059	5	4	OG_10817, OG_14671, OG_15677, OG_16366
GO:0048598	0.00287026630835	0.147101148303	BP	e	embryonic morphogenesis	7/54	75/2059	3	7	OG_10817, OG_13254, OG_13313, OG_14373, OG_15771, OG_18121, OG_18470
GO:0016192	0.0104763057411	0.429528535385	BP	e	vesicle-mediated transport	9/54	143/2059	4	9	OG_10817, OG_12466, OG_13313, OG_14396, OG_14437, OG_14671, OG_15501, OG_15677, OG_16366
GO:0006022	0.016238279446	0.554807881072	BP	e	aminoglycan metabolic process	3/54	21/2059	4	3	OG_15362, OG_16312, OG_18470
GO:0031123	0.0208392766982	0.610293103304	BP	e	RNA 3'-end processing	3/54	23/2059	8	3	OG_13774, OG_15247, OG_15283
GO:0006836	0.0260856256123	0.668444156315	BP	e	neurotransmitter transport	3/54	25/2059	4	3	OG_14671, OG_15046, OG_15996
GO:0002009	0.0420163033662	0.870648932399	BP	e	morphogenesis of an epithelium	5/54	74/2059	4	5	OG_10817, OG_13313, OG_14373, OG_15771, OG_18121
GO:0032940	0.0424706796292	0.870648932399	BP	e	secretion by cell	4/54	51/2059	5	4	OG_10817, OG_14396, OG_14671, OG_15501
GO:0016050	0.061823301605	0.905127361949	BP	e	vesicle organization	3/54	35/2059	4	3	OG_10817, OG_12466, OG_14396
GO:0006366	0.0662288313621	0.905127361949	BP	e	transcription by RNA polymerase II	3/54	36/2059	10	3	OG_12457, OG_15247, OG_15771
GO:0046903	0.0630777315472	0.905127361949	BP	e	secretion	4/54	58/2059	4	4	OG_10817, OG_14396, OG_14671, OG_15501
GO:0048729	0.0608189263587	0.905127361949	BP	e	tissue morphogenesis	5/54	82/2059	3	5	OG_10817, OG_13313, OG_14373, OG_15771, OG_18121
GO:0048193	0.0575621453737	0.905127361949	BP	e	Golgi vesicle transport	3/54	34/2059	5	3	OG_13313, OG_14437, OG_14671
GO:0042886	0.0740745849049	0.949080619094	BP	e	amide transport	8/54	166/2059	5	8	OG_10817, OG_12466, OG_13254, OG_14396, OG_14437, OG_14671, OG_15046, OG_15677
GO:0043087	0.0802827603708	0.968115639766	BP	e	regulation of GTPase activity	3/54	39/2059	5	3	OG_12466, OG_14008, OG_15501
GO:0080090	0.165020926849	0.972918995155	BP	p	regulation of primary metabolic process	10/54	559/2059	4	10	OG_11928, OG_11934, OG_12457, OG_12466, OG_12739, OG_13254, OG_13281, OG_13313, OG_15501, OG_18928
GO:0019222	0.299691118613	0.972918995155	BP	p	regulation of metabolic process	13/54	636/2059	3	13	OG_11928, OG_11934, OG_12457, OG_12466, OG_12739, OG_13254, OG_13281, OG_13313, OG_14289, OG_14754, OG_15501, OG_15771, OG_18928
GO:2001141	0.191765227783	0.972918995155	BP	p	regulation of RNA biosynthetic process	5/54	334/2059	7	5	OG_11928, OG_11934, OG_12457, OG_12466, OG_13313
GO:0007166	0.303740564341	0.972918995155	BP	e	cell surface receptor signaling pathway	6/54	159/2059	5	6	OG_12385, OG_12457, OG_13254, OG_14373, OG_15501, OG_15623
GO:0048518	0.269837889938	0.972918995155	BP	p	positive regulation of biological process	10/54	529/2059	3	10	OG_10817, OG_12457, OG_12466, OG_12739, OG_13254, OG_13281, OG_14396, OG_15501, OG_15771, OG_18928
GO:0048519	0.189606329057	0.972918995155	BP	p	negative regulation of biological process	8/54	464/2059	3	8	OG_12457, OG_12466, OG_12739, OG_13254, OG_13313, OG_14008, OG_15501, OG_18470
GO:0006281	0.160074527647	0.972918995155	BP	e	DNA repair	3/54	53/2059	7	3	OG_11934, OG_13281, OG_13782
GO:0060255	0.0959589767254	0.972918995155	BP	p	regulation of macromolecule metabolic process	10/54	592/2059	4	10	OG_11928, OG_11934, OG_12457, OG_12466, OG_12739, OG_13254, OG_13281, OG_13313, OG_15501, OG_18928
GO:0007600	0.160074527647	0.972918995155	BP	e	sensory perception	3/54	53/2059	4	3	OG_13254, OG_13313, OG_15046
GO:0045184	0.210230878091	0.972918995155	BP	e	establishment of protein localization	7/54	172/2059	4	7	OG_10817, OG_12466, OG_13254, OG_14396, OG_14437, OG_14671, OG_15677
GO:0009894	0.291647623954	0.972918995155	BP	e	regulation of catabolic process	4/54	89/2059	4	4	OG_12739, OG_13254, OG_14754, OG_18928
GO:0120039	0.234464988105	0.972918995155	BP	e	plasma membrane bounded cell projection morphogenesis	3/54	64/2059	6	3	OG_13313, OG_16592, OG_17081
GO:0050789	0.271429933335	0.972918995155	BP	p	regulation of biological process	23/54	1037/2059	2	23	OG_10817, OG_11928, OG_11934, OG_12385, OG_12457, OG_12466, OG_12739, OG_13254, OG_13281, OG_13313, OG_14008, OG_14289, OG_14373, OG_14396, OG_14754, OG_15501, OG_15623, OG_15771, OG_16592, OG_18470, OG_18508, OG_18866, OG_18928
