GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0055114	0.00963765065441	0.429268396507	BP	e	oxidation-reduction process	6/30	106/1670	2	6	OG_12073, OG_13282, OG_13327, OG_14623, OG_17263, OG_17577
GO:0007623	0.00727340973754	0.429268396507	BP	e	circadian rhythm	3/30	23/1670	2	3	OG_11783, OG_15269, OG_15397
GO:0048598	0.0117607779865	0.429268396507	BP	e	embryonic morphogenesis	4/30	51/1670	3	4	OG_13798, OG_14216, OG_14545, OG_15397
GO:0007017	0.00891767398607	0.429268396507	BP	e	microtubule-based process	5/30	74/1670	2	5	OG_12614, OG_12763, OG_13798, OG_14691, OG_15331
GO:0048812	0.0670270823436	0.490857095729	BP	e	neuron projection morphogenesis	3/30	53/1670	7	3	OG_13737, OG_17263, OG_18727
GO:1901362	0.0640515591216	0.490857095729	BP	e	organic cyclic compound biosynthetic process	8/30	240/1670	4	8	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:0048869	0.0844539444715	0.490857095729	BP	e	cellular developmental process	9/30	290/1670	2	9	OG_12583, OG_13737, OG_14545, OG_14691, OG_15397, OG_16321, OG_17263, OG_17811, OG_18727
GO:0048511	0.019852772102	0.490857095729	BP	e	rhythmic process	3/30	33/1670	1	3	OG_11783, OG_15269, OG_15397
GO:0003006	0.0606425216812	0.490857095729	BP	e	developmental process involved in reproduction	5/30	121/1670	2	5	OG_11783, OG_14545, OG_15397, OG_17811, OG_18727
GO:0019438	0.0569953732027	0.490857095729	BP	e	aromatic compound biosynthetic process	8/30	232/1670	4	8	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:0120039	0.0670270823436	0.490857095729	BP	e	plasma membrane bounded cell projection morphogenesis	3/30	53/1670	6	3	OG_13737, OG_17263, OG_18727
GO:0048646	0.0788745884979	0.490857095729	BP	e	anatomical structure formation involved in morphogenesis	4/30	92/1670	2	4	OG_12614, OG_13798, OG_14545, OG_15397
GO:0018130	0.0586377947519	0.490857095729	BP	e	heterocycle biosynthetic process	8/30	234/1670	4	8	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:0012501	0.0295340589769	0.490857095729	BP	e	programmed cell death	4/30	67/1670	3	4	OG_11783, OG_14545, OG_16321, OG_18727
GO:0034654	0.0500002929744	0.490857095729	BP	e	nucleobase-containing compound biosynthetic process	8/30	222/1670	5	8	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:0044271	0.04452421508	0.490857095729	BP	e	cellular nitrogen compound biosynthetic process	9/30	268/1670	4	9	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575, OG_17577
GO:0009653	0.0874129074586	0.490857095729	BP	e	anatomical structure morphogenesis	7/30	208/1670	2	7	OG_13737, OG_13798, OG_14216, OG_14545, OG_15397, OG_17263, OG_18727
GO:0032502	0.0479235644845	0.490857095729	BP	e	developmental process	15/30	541/1670	1	15	OG_11183, OG_11783, OG_12583, OG_12614, OG_13737, OG_13798, OG_14216, OG_14545, OG_14691, OG_15269, OG_15397, OG_16321, OG_17263, OG_17811, OG_18727
GO:0048858	0.0701266113513	0.490857095729	BP	e	cell projection morphogenesis	3/30	54/1670	5	3	OG_13737, OG_17263, OG_18727
GO:0030030	0.0788745884979	0.490857095729	BP	e	cell projection organization	4/30	92/1670	3	4	OG_13737, OG_13798, OG_17263, OG_18727
GO:0008219	0.0295340589769	0.490857095729	BP	e	cell death	4/30	67/1670	2	4	OG_11783, OG_14545, OG_16321, OG_18727
GO:0002009	0.0701266113513	0.490857095729	BP	e	morphogenesis of an epithelium	3/30	54/1670	4	3	OG_13798, OG_14216, OG_15397
GO:0032989	0.047919831356	0.490857095729	BP	e	cellular component morphogenesis	4/30	78/1670	3	4	OG_13737, OG_14545, OG_17263, OG_18727
GO:0048729	0.083169824103	0.490857095729	BP	e	tissue morphogenesis	3/30	58/1670	3	3	OG_13798, OG_14216, OG_15397
GO:0032990	0.0865871491866	0.490857095729	BP	e	cell part morphogenesis	3/30	59/1670	4	3	OG_13737, OG_17263, OG_18727
GO:0048856	0.0808421113491	0.490857095729	BP	e	anatomical structure development	11/30	384/1670	2	11	OG_11183, OG_11783, OG_12614, OG_13798, OG_14545, OG_14691, OG_15269, OG_15397, OG_16321, OG_17811, OG_18727
GO:1901566	0.117910166341	0.491853836737	BP	e	organonitrogen compound biosynthetic process	4/30	106/1670	4	4	OG_13282, OG_13327, OG_16616, OG_17577
GO:0097659	0.11091277961	0.491853836737	BP	e	nucleic acid-templated transcription	6/30	165/1670	8	6	OG_11783, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:1901576	0.112305102551	0.491853836737	BP	e	organic substance biosynthetic process	10/30	352/1670	3	10	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575, OG_16616, OG_17577
GO:0006351	0.11015317004	0.491853836737	BP	e	transcription, DNA-templated	6/30	164/1670	9	6	OG_11783, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:0032774	0.113436021239	0.491853836737	BP	e	RNA biosynthetic process	6/30	168/1670	7	6	OG_11783, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575
GO:0044249	0.10636107138	0.491853836737	BP	e	cellular biosynthetic process	10/30	343/1670	3	10	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575, OG_16616, OG_17577
GO:0022414	0.0958784483888	0.491853836737	BP	e	reproductive process	7/30	215/1670	1	7	OG_11783, OG_14545, OG_14691, OG_15331, OG_15397, OG_17811, OG_18727
GO:0009058	0.116368481692	0.491853836737	BP	e	biosynthetic process	10/30	357/1670	2	10	OG_11783, OG_13282, OG_13327, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575, OG_16616, OG_17577
GO:0051726	0.0946591401165	0.491853836737	BP	e	regulation of cell cycle	4/30	98/1670	4	4	OG_11783, OG_14216, OG_15269, OG_15397
GO:0071310	0.13201697828	0.535402189691	BP	e	cellular response to organic substance	3/30	71/1670	4	3	OG_11783, OG_12614, OG_16321
GO:0009889	0.162203354677	0.577602189825	BP	e	regulation of biosynthetic process	9/30	327/1670	4	9	OG_11783, OG_12583, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575, OG_17577, OG_18727
GO:0048731	0.153069113525	0.577602189825	BP	e	system development	3/30	76/1670	3	3	OG_13798, OG_14691, OG_15269
GO:0031326	0.15948121873	0.577602189825	BP	e	regulation of cellular biosynthetic process	9/30	324/1670	5	9	OG_11783, OG_12583, OG_13737, OG_14216, OG_14623, OG_15397, OG_16575, OG_17577, OG_18727
GO:0034613	0.16178799688	0.577602189825	BP	e	cellular protein localization	3/30	78/1670	4	3	OG_14691, OG_15331, OG_17263
GO:0022412	0.157088350852	0.577602189825	BP	e	cellular process involved in reproduction in multicellular organism	4/30	118/1670	2	4	OG_14691, OG_15331, OG_17811, OG_18727
