GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0099177	0.00269271861806	0.170314452592	BP	e	regulation of trans-synaptic signaling	5/54	44/2394	5	5	OG_13557, OG_13906, OG_14636, OG_16915, OG_17657
GO:0045187	0.00206741475251	0.170314452592	BP	e	regulation of circadian sleep/wake cycle, sleep	3/54	12/2394	5	3	OG_13906, OG_16915, OG_17657
GO:0042749	0.00264494279797	0.170314452592	BP	e	regulation of circadian sleep/wake cycle	3/54	13/2394	4	3	OG_13906, OG_16915, OG_17657
GO:0050804	0.00269271861806	0.170314452592	BP	e	modulation of chemical synaptic transmission	5/54	44/2394	6	5	OG_13557, OG_13906, OG_14636, OG_16915, OG_17657
GO:0009306	0.00814265513789	0.340765263318	BP	e	protein secretion	3/54	19/2394	8	3	OG_14031, OG_14950, OG_18102
GO:0050795	0.0094282879179	0.340765263318	BP	e	regulation of behavior	3/54	20/2394	3	3	OG_13906, OG_16915, OG_17657
GO:0002790	0.00814265513789	0.340765263318	BP	e	peptide secretion	3/54	19/2394	7	3	OG_14031, OG_14950, OG_18102
GO:0032940	0.0110340127921	0.34895065455	BP	e	secretion by cell	5/54	61/2394	5	5	OG_14031, OG_14636, OG_14950, OG_17750, OG_18102
GO:0032787	0.0181914964047	0.359801499066	BP	e	monocarboxylic acid metabolic process	5/54	69/2394	6	5	OG_14031, OG_14485, OG_14636, OG_15165, OG_16516
GO:0042752	0.0175700978156	0.359801499066	BP	e	regulation of circadian rhythm	3/54	25/2394	3	3	OG_13906, OG_16915, OG_17657
GO:0016567	0.0171625229572	0.359801499066	BP	e	protein ubiquitination	5/54	68/2394	9	5	OG_14072, OG_15263, OG_16836, OG_17029, OG_17657
GO:0044260	0.0143625103903	0.359801499066	BP	e	cellular macromolecule metabolic process	24/54	690/2394	4	24	OG_11164, OG_12140, OG_12451, OG_12683, OG_12756, OG_13002, OG_13045, OG_13557, OG_13704, OG_13904, OG_13906, OG_14072, OG_14517, OG_14769, OG_14950, OG_15263, OG_15705, OG_15814, OG_16314, OG_16836, OG_17029, OG_17406, OG_17657, OG_18423
GO:0044238	0.0184878240627	0.359801499066	BP	e	primary metabolic process	34/54	1118/2394	2	34	OG_11164, OG_12140, OG_12451, OG_12683, OG_12756, OG_13002, OG_13045, OG_13557, OG_13678, OG_13704, OG_13893, OG_13904, OG_13906, OG_14031, OG_14072, OG_14485, OG_14517, OG_14636, OG_14769, OG_14950, OG_15263, OG_15629, OG_15705, OG_15814, OG_16314, OG_16516, OG_16836, OG_17029, OG_17406, OG_17583, OG_17657, OG_17940, OG_18423, OG_18912
GO:0032446	0.0227162119255	0.376725648688	BP	e	protein modification by small protein conjugation	5/54	73/2394	8	5	OG_14072, OG_15263, OG_16836, OG_17029, OG_17657
GO:0044093	0.0342020908572	0.376725648688	BP	e	positive regulation of molecular function	7/54	139/2394	3	7	OG_13860, OG_14950, OG_15263, OG_15629, OG_16836, OG_17750, OG_18001
