GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0042440	0.0116954296944	0.433380130465	BP	e	pigment metabolic process	3/43	27/2394	2	3	OG_13364, OG_15961, OG_16776
GO:0070727	0.0114117810667	0.433380130465	BP	e	cellular macromolecule localization	7/43	141/2394	3	7	OG_11651, OG_13176, OG_14777, OG_15290, OG_15866, OG_17035, OG_17329
GO:0072657	0.00787865542824	0.433380130465	BP	e	protein localization to membrane	4/43	45/2394	5	4	OG_11651, OG_14777, OG_15290, OG_17035
GO:0072594	0.00285557972853	0.433380130465	BP	e	establishment of protein localization to organelle	5/43	56/2394	6	5	OG_13176, OG_14777, OG_15866, OG_17035, OG_17329
GO:0017038	0.0129367203124	0.433380130465	BP	e	protein import	3/43	28/2394	8	3	OG_13176, OG_15866, OG_17035
GO:0034613	0.00836692108832	0.433380130465	BP	e	cellular protein localization	7/43	133/2394	4	7	OG_11651, OG_13176, OG_14777, OG_15290, OG_15866, OG_17035, OG_17329
GO:0043067	0.0274599811809	0.448839692054	BP	e	regulation of programmed cell death	6/43	131/2394	5	6	OG_13038, OG_13502, OG_15031, OG_15290, OG_15609, OG_16615
GO:0010033	0.0217953127881	0.448839692054	BP	e	response to organic substance	7/43	160/2394	3	7	OG_13038, OG_14096, OG_15290, OG_16084, OG_16602, OG_16615, OG_18122
GO:1901617	0.0219322019271	0.448839692054	BP	e	organic hydroxy compound biosynthetic process	3/43	34/2394	4	3	OG_13364, OG_14866, OG_16776
GO:0008380	0.0290294328194	0.448839692054	BP	e	RNA splicing	4/43	66/2394	8	4	OG_14327, OG_15609, OG_15895, OG_16615
GO:0050776	0.0236611390673	0.448839692054	BP	e	regulation of immune response	4/43	62/2394	4	4	OG_13364, OG_14096, OG_15290, OG_15961
GO:0033365	0.0247876062921	0.448839692054	BP	e	protein localization to organelle	5/43	94/2394	5	5	OG_13176, OG_14777, OG_15866, OG_17035, OG_17329
GO:0045088	0.0202467255254	0.448839692054	BP	e	regulation of innate immune response	3/43	33/2394	6	3	OG_13364, OG_14096, OG_15290
GO:0044092	0.0319660532474	0.458941193052	BP	e	negative regulation of molecular function	4/43	68/2394	3	4	OG_13364, OG_14096, OG_15290, OG_18122
GO:0033036	0.0525393228638	0.459747174849	BP	e	macromolecule localization	9/43	271/2394	2	9	OG_11651, OG_13176, OG_13502, OG_14777, OG_15290, OG_15609, OG_15866, OG_17035, OG_17329
GO:0006281	0.0594697838113	0.459747174849	BP	e	DNA repair	4/43	83/2394	7	4	OG_10739, OG_12620, OG_15515, OG_16602
GO:0060548	0.0594697838113	0.459747174849	BP	e	negative regulation of cell death	4/43	83/2394	5	4	OG_13502, OG_15031, OG_15290, OG_16615
GO:0000398	0.0589648331645	0.459747174849	BP	e	mRNA splicing, via spliceosome	3/43	50/2394	11	3	OG_14327, OG_15609, OG_16615
GO:0006886	0.0493259060531	0.459747174849	BP	e	intracellular protein transport	5/43	113/2394	8	5	OG_13176, OG_14777, OG_15866, OG_17035, OG_17329
GO:0031347	0.0589648331645	0.459747174849	BP	e	regulation of defense response	3/43	50/2394	5	3	OG_13364, OG_14096, OG_15290
GO:1903311	0.0404660221283	0.459747174849	BP	e	regulation of mRNA metabolic process	3/43	43/2394	7	3	OG_12739, OG_16097, OG_18519
GO:0043086	0.0533274350997	0.459747174849	BP	e	negative regulation of catalytic activity	3/43	48/2394	4	3	OG_13364, OG_14096, OG_15290
GO:0051259	0.0358275423496	0.459747174849	BP	e	protein complex oligomerization	3/43	41/2394	5	3	OG_14866, OG_15031, OG_16097
GO:0010941	0.0423506041548	0.459747174849	BP	e	regulation of cell death	6/43	145/2394	4	6	OG_13038, OG_13502, OG_15031, OG_15290, OG_15609, OG_16615
GO:0043069	0.0366909626759	0.459747174849	BP	e	negative regulation of programmed cell death	4/43	71/2394	6	4	OG_13502, OG_15031, OG_15290, OG_16615
GO:0000377	0.0589648331645	0.459747174849	BP	e	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	3/43	50/2394	10	3	OG_14327, OG_15609, OG_16615
GO:0019538	0.0842942504525	0.47064289836	BP	p	protein metabolic process	4/43	476/2394	4	4	OG_10739, OG_12620, OG_15290, OG_17329
GO:0033554	0.0831587252123	0.47064289836	BP	e	cellular response to stress	7/43	198/2394	3	7	OG_10739, OG_12620, OG_15031, OG_15290, OG_15515, OG_16602, OG_18122
GO:0042981	0.0684614357948	0.47064289836	BP	e	regulation of apoptotic process	5/43	124/2394	6	5	OG_13038, OG_13502, OG_15031, OG_15290, OG_15609
GO:0051248	0.0731706968759	0.47064289836	BP	e	negative regulation of protein metabolic process	4/43	89/2394	6	4	OG_12739, OG_13364, OG_14096, OG_15290
