GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0031647	0.000350362162323	0.0285545162293	BP	e	regulation of protein stability	4/28	19/1454	3	4	OG_12757, OG_13618, OG_14983, OG_15683
GO:0006030	0.000336249974681	0.0285545162293	BP	e	chitin metabolic process	3/28	8/1454	6	3	OG_12998, OG_14140, OG_17550
GO:0006040	0.000702067970326	0.0286092697908	BP	e	amino sugar metabolic process	3/28	10/1454	4	3	OG_12998, OG_14140, OG_17550
GO:1901071	0.000702067970326	0.0286092697908	BP	e	glucosamine-containing compound metabolic process	3/28	10/1454	5	3	OG_12998, OG_14140, OG_17550
GO:0006022	0.00303113647781	0.0988150491766	BP	e	aminoglycan metabolic process	3/28	16/1454	4	3	OG_12998, OG_14140, OG_17550
GO:0014070	0.00382421281281	0.103891114748	BP	e	response to organic cyclic compound	4/28	35/1454	4	4	OG_12214, OG_13040, OG_15683, OG_19024
GO:0044419	0.00875635291076	0.172519649194	BP	e	interspecies interaction between organisms	3/28	23/1454	2	3	OG_13618, OG_13693, OG_14983
GO:0032880	0.00952562480213	0.172519649194	BP	e	regulation of protein localization	4/28	45/1454	4	4	OG_13896, OG_15683, OG_17055, OG_17550
GO:0009991	0.00952562480213	0.172519649194	BP	e	response to extracellular stimulus	4/28	45/1454	3	4	OG_12214, OG_13040, OG_14983, OG_19024
GO:0010033	0.0224960800223	0.177064126849	BP	e	response to organic substance	5/28	87/1454	3	5	OG_12214, OG_12614, OG_13040, OG_15683, OG_19024
GO:0016569	0.0200468133352	0.177064126849	BP	e	covalent chromatin modification	3/28	31/1454	5	3	OG_13040, OG_13618, OG_15683
GO:0009890	0.0119562435956	0.177064126849	BP	e	negative regulation of biosynthetic process	6/28	104/1454	5	6	OG_12250, OG_12757, OG_12992, OG_13618, OG_15683, OG_19024
GO:1901575	0.0223358543303	0.177064126849	BP	e	organic substance catabolic process	6/28	119/1454	3	6	OG_12614, OG_13618, OG_14140, OG_14983, OG_17550, OG_17861
GO:0016570	0.0183413680362	0.177064126849	BP	e	histone modification	3/28	30/1454	7	3	OG_13040, OG_13618, OG_15683
GO:0009888	0.02281857143	0.177064126849	BP	e	tissue development	4/28	58/1454	3	4	OG_12214, OG_12614, OG_14983, OG_15683
