GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008104	0.179974419495	0.747243076933	BP	e	protein localization	7/38	184/1684	3	7	OG_11440, OG_12388, OG_13501, OG_13830, OG_14439, OG_17097, OG_17411
GO:0007613	0.0192701770433	0.747243076933	BP	e	memory	3/38	26/1684	6	3	OG_11440, OG_12839, OG_17097
GO:0007610	0.162742285645	0.747243076933	BP	e	behavior	4/38	95/1684	1	4	OG_11440, OG_12839, OG_15325, OG_17097
GO:0007611	0.0554227226966	0.747243076933	BP	e	learning or memory	3/38	39/1684	5	3	OG_11440, OG_12839, OG_17097
GO:0044281	0.133367627442	0.747243076933	BP	e	small molecule metabolic process	6/38	145/1684	2	6	OG_12095, OG_15377, OG_15629, OG_15661, OG_15903, OG_16150
GO:0044283	0.0292351361873	0.747243076933	BP	e	small molecule biosynthetic process	4/38	53/1684	3	4	OG_12095, OG_15661, OG_15903, OG_16150
GO:0071840	0.156987458137	0.747243076933	BP	e	cellular component organization or biogenesis	16/38	525/1684	1	16	OG_10913, OG_11809, OG_12095, OG_12839, OG_13444, OG_13501, OG_13830, OG_13855, OG_14872, OG_15325, OG_15582, OG_15752, OG_16306, OG_16974, OG_17411, OG_18313
GO:0070647	0.172860115547	0.747243076933	BP	e	protein modification by small protein conjugation or removal	3/38	64/1684	7	3	OG_12769, OG_14397, OG_15377
GO:0051493	0.0626935272529	0.747243076933	BP	e	regulation of cytoskeleton organization	3/38	41/1684	6	3	OG_13830, OG_13855, OG_15325
GO:0032446	0.145412316535	0.747243076933	BP	e	protein modification by small protein conjugation	3/38	59/1684	8	3	OG_12769, OG_14397, OG_15377
GO:0048518	0.0628227159291	0.747243076933	BP	e	positive regulation of biological process	15/38	439/1684	3	15	OG_11440, OG_12095, OG_12769, OG_12839, OG_13739, OG_13830, OG_13855, OG_14397, OG_14793, OG_14872, OG_15325, OG_15582, OG_15629, OG_15752, OG_18313
GO:0033036	0.188871342693	0.747243076933	BP	e	macromolecule localization	7/38	191/1684	2	7	OG_11440, OG_12388, OG_13501, OG_13830, OG_14439, OG_17097, OG_17411
GO:0060548	0.0435042784179	0.747243076933	BP	e	negative regulation of cell death	4/38	60/1684	5	4	OG_12769, OG_13830, OG_13855, OG_15325
GO:1901566	0.0409746206405	0.747243076933	BP	e	organonitrogen compound biosynthetic process	5/38	86/1684	4	5	OG_15377, OG_15661, OG_15903, OG_16593, OG_16974
GO:0016053	0.0192701770433	0.747243076933	BP	e	organic acid biosynthetic process	3/38	26/1684	4	3	OG_12095, OG_15661, OG_16150
GO:0019637	0.106139157356	0.747243076933	BP	e	organophosphate metabolic process	4/38	81/1684	4	4	OG_12388, OG_15377, OG_15629, OG_17411
GO:0010628	0.147448617002	0.747243076933	BP	e	positive regulation of gene expression	6/38	152/1684	6	6	OG_12095, OG_13739, OG_14397, OG_14793, OG_14872, OG_18313
GO:0120036	0.0920028478932	0.747243076933	BP	e	plasma membrane bounded cell projection organization	4/38	77/1684	4	4	OG_13830, OG_15325, OG_15582, OG_16306
GO:1901576	0.144790967067	0.747243076933	BP	e	organic substance biosynthetic process	11/38	326/1684	3	11	OG_12095, OG_12388, OG_14793, OG_14872, OG_15377, OG_15661, OG_15903, OG_16150, OG_16593, OG_16974, OG_17411
GO:0051186	0.0743945379167	0.747243076933	BP	e	cofactor metabolic process	3/38	44/1684	3	3	OG_12095, OG_15377, OG_15661
GO:0016043	0.152679560552	0.747243076933	BP	e	cellular component organization	16/38	515/1684	2	16	OG_10913, OG_11809, OG_12095, OG_12839, OG_13444, OG_13501, OG_13830, OG_13855, OG_14872, OG_15325, OG_15582, OG_15752, OG_16306, OG_16974, OG_17411, OG_18313
GO:0006629	0.158366463956	0.747243076933	BP	e	lipid metabolic process	4/38	94/1684	3	4	OG_12095, OG_12388, OG_16150, OG_17411
GO:0006811	0.158366463956	0.747243076933	BP	e	ion transport	4/38	94/1684	4	4	OG_11809, OG_13830, OG_14370, OG_14439
GO:0007059	0.00927500930561	0.747243076933	BP	e	chromosome segregation	3/38	20/1684	2	3	OG_13501, OG_13855, OG_15752
GO:0090407	0.0870054666034	0.747243076933	BP	e	organophosphate biosynthetic process	3/38	47/1684	5	3	OG_12388, OG_15377, OG_17411
GO:0046394	0.0173132120976	0.747243076933	BP	e	carboxylic acid biosynthetic process	3/38	25/1684	6	3	OG_12095, OG_15661, OG_16150
GO:0050890	0.0554227226966	0.747243076933	BP	e	cognition	3/38	39/1684	4	3	OG_11440, OG_12839, OG_17097
GO:0043603	0.100472194332	0.747243076933	BP	e	cellular amide metabolic process	3/38	50/1684	4	3	OG_15661, OG_16593, OG_16974
GO:0016310	0.0832278157216	0.747243076933	BP	e	phosphorylation	5/38	105/1684	5	5	OG_13501, OG_13830, OG_15167, OG_15629, OG_17411
GO:0051129	0.161696788911	0.747243076933	BP	e	negative regulation of cellular component organization	3/38	62/1684	5	3	OG_13830, OG_13855, OG_15325
GO:0044249	0.13924455143	0.747243076933	BP	e	cellular biosynthetic process	11/38	319/1684	3	11	OG_12095, OG_12388, OG_14793, OG_14872, OG_15377, OG_15661, OG_15903, OG_16150, OG_16593, OG_16974, OG_17411
GO:0032880	0.172860115547	0.747243076933	BP	e	regulation of protein localization	3/38	64/1684	4	3	OG_11809, OG_13830, OG_15752
GO:0008610	0.0102933252203	0.747243076933	BP	e	lipid biosynthetic process	4/38	39/1684	4	4	OG_12095, OG_12388, OG_16150, OG_17411
GO:0019752	0.190018193066	0.747243076933	BP	e	carboxylic acid metabolic process	3/38	67/1684	5	3	OG_12095, OG_15661, OG_16150
GO:0043604	0.0391908950339	0.747243076933	BP	e	amide biosynthetic process	3/38	34/1684	5	3	OG_15661, OG_16593, OG_16974
GO:0022610	0.18424689904	0.747243076933	BP	e	biological adhesion	3/38	66/1684	1	3	OG_10913, OG_15325, OG_16306
GO:0017144	0.161696788911	0.747243076933	BP	e	drug metabolic process	3/38	62/1684	3	3	OG_12095, OG_15661, OG_15903
GO:0030030	0.19525949749	0.747243076933	BP	e	cell projection organization	5/38	124/1684	3	5	OG_13830, OG_15325, OG_15582, OG_15752, OG_16306
GO:1903047	0.0506458378418	0.747243076933	BP	e	mitotic cell cycle process	4/38	63/1684	3	4	OG_13444, OG_13501, OG_13855, OG_15752
GO:0010941	0.0805704123188	0.747243076933	BP	e	regulation of cell death	5/38	104/1684	4	5	OG_12095, OG_12769, OG_13830, OG_13855, OG_15325
GO:0051301	0.150775897489	0.747243076933	BP	e	cell division	3/38	60/1684	2	3	OG_13501, OG_13855, OG_15752
GO:0043066	0.100472194332	0.747243076933	BP	e	negative regulation of apoptotic process	3/38	50/1684	7	3	OG_12769, OG_13855, OG_15325
GO:0071702	0.193484779188	0.747243076933	BP	e	organic substance transport	7/38	194/1684	4	7	OG_11809, OG_12388, OG_13830, OG_14370, OG_14439, OG_16150, OG_17097
GO:0043069	0.100472194332	0.747243076933	BP	e	negative regulation of programmed cell death	3/38	50/1684	6	3	OG_12769, OG_13855, OG_15325
GO:0009058	0.151931430677	0.747243076933	BP	e	biosynthetic process	11/38	333/1684	2	11	OG_12095, OG_12388, OG_14793, OG_14872, OG_15377, OG_15661, OG_15903, OG_16150, OG_16593, OG_16974, OG_17411
GO:0007155	0.156204849079	0.747243076933	BP	e	cell adhesion	3/38	61/1684	2	3	OG_10913, OG_15325, OG_16306
GO:0051276	0.0827039678511	0.747243076933	BP	e	chromosome organization	3/38	46/1684	4	3	OG_13501, OG_13855, OG_14872
GO:0007399	0.0485909976992	0.747243076933	BP	e	nervous system development	3/38	37/1684	4	3	OG_15325, OG_15582, OG_15752
GO:0044087	0.145525803615	0.747243076933	BP	e	regulation of cellular component biogenesis	4/38	91/1684	3	4	OG_13830, OG_13855, OG_15752, OG_17411
GO:0006796	0.177932758473	0.747243076933	BP	e	phosphate-containing compound metabolic process	7/38	182/1684	4	7	OG_12388, OG_13501, OG_13830, OG_15167, OG_15377, OG_15629, OG_17411
GO:0006793	0.179974419495	0.747243076933	BP	e	phosphorus metabolic process	7/38	184/1684	3	7	OG_12388, OG_13501, OG_13830, OG_15167, OG_15377, OG_15629, OG_17411
GO:0048522	0.0491418871697	0.747243076933	BP	e	positive regulation of cellular process	14/38	385/1684	4	14	OG_11440, OG_12095, OG_12769, OG_13739, OG_13830, OG_13855, OG_14397, OG_14793, OG_14872, OG_15325, OG_15582, OG_15629, OG_15752, OG_18313
GO:0048584	0.209829688946	0.787851096231	BP	e	positive regulation of response to stimulus	5/38	130/1684	4	5	OG_11440, OG_12769, OG_15325, OG_15582, OG_18313
GO:0043436	0.219560701931	0.799762085965	BP	e	oxoacid metabolic process	3/38	72/1684	4	3	OG_12095, OG_15661, OG_16150
GO:0051234	0.221039772503	0.799762085965	BP	e	establishment of localization	11/38	346/1684	2	11	OG_11809, OG_12388, OG_13501, OG_13830, OG_14370, OG_14439, OG_15752, OG_16150, OG_16306, OG_17097, OG_17411
GO:0006139	0.235168195822	0.815739104403	BP	p	nucleobase-containing compound metabolic process	5/38	371/1684	4	5	OG_12934, OG_13739, OG_14793, OG_14872, OG_15377
GO:0044255	0.231655276502	0.815739104403	BP	e	cellular lipid metabolic process	3/38	74/1684	4	3	OG_12095, OG_12388, OG_17411
GO:0006082	0.237753105806	0.815739104403	BP	e	organic acid metabolic process	3/38	75/1684	3	3	OG_12095, OG_15661, OG_16150
GO:1901565	0.243881720954	0.822584109658	BP	e	organonitrogen compound catabolic process	3/38	76/1684	4	3	OG_12769, OG_13855, OG_15903
GO:0051179	0.248436245521	0.823980214311	BP	e	localization	12/38	398/1684	1	12	OG_11440, OG_11809, OG_12388, OG_13501, OG_13830, OG_14370, OG_14439, OG_15752, OG_16150, OG_16306, OG_17097, OG_17411
GO:1901362	0.339193921846	0.860043387454	BP	e	organic cyclic compound biosynthetic process	7/38	227/1684	4	7	OG_12095, OG_14793, OG_14872, OG_15377, OG_15661, OG_15903, OG_16150
GO:0010604	0.477535090965	0.860043387454	BP	e	positive regulation of macromolecule metabolic process	7/38	239/1684	5	7	OG_12095, OG_13739, OG_13830, OG_14397, OG_14793, OG_14872, OG_18313
GO:0070727	0.470818311304	0.860043387454	BP	e	cellular macromolecule localization	3/38	95/1684	3	3	OG_13830, OG_14439, OG_17411
GO:0009967	0.27594461792	0.860043387454	BP	e	positive regulation of signal transduction	4/38	98/1684	6	4	OG_11440, OG_12769, OG_15325, OG_15582
GO:0042127	0.502253307245	0.860043387454	BP	e	regulation of cell population proliferation	3/38	103/1684	4	3	OG_12839, OG_15325, OG_15582
GO:0055114	0.456330669121	0.860043387454	BP	e	oxidation-reduction process	3/38	91/1684	2	3	OG_12095, OG_15661, OG_15903
GO:1901564	0.34492417734	0.860043387454	BP	e	organonitrogen compound metabolic process	12/38	420/1684	3	12	OG_12095, OG_12769, OG_13501, OG_13830, OG_13855, OG_14397, OG_15377, OG_15661, OG_15903, OG_16593, OG_16974, OG_18313
GO:0019538	0.540189460109	0.860043387454	BP	e	protein metabolic process	9/38	336/1684	4	9	OG_12769, OG_13501, OG_13830, OG_13855, OG_14397, OG_15377, OG_16593, OG_16974, OG_18313
GO:0022607	0.318977387893	0.860043387454	BP	e	cellular component assembly	7/38	214/1684	3	7	OG_12095, OG_12839, OG_13501, OG_14872, OG_15582, OG_16306, OG_17411
GO:0009893	0.360544397945	0.860043387454	BP	e	positive regulation of metabolic process	8/38	260/1684	4	8	OG_12095, OG_13739, OG_13830, OG_14397, OG_14793, OG_14872, OG_15629, OG_18313
GO:0042981	0.436680736286	0.860043387454	BP	e	regulation of apoptotic process	3/38	85/1684	6	3	OG_12769, OG_13855, OG_15325
GO:0065007	0.511627552173	0.860043387454	BP	e	biological regulation	23/38	917/1684	1	23	OG_10913, OG_11440, OG_11809, OG_12095, OG_12769, OG_12839, OG_13444, OG_13501, OG_13739, OG_13830, OG_13855, OG_14397, OG_14793, OG_14872, OG_15325, OG_15582, OG_15629, OG_15661, OG_15752, OG_15903, OG_16306, OG_17411, OG_18313
GO:0045893	0.522803953129	0.860043387454	BP	e	positive regulation of transcription, DNA-templated	4/38	125/1684	10	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0065009	0.402444822468	0.860043387454	BP	e	regulation of molecular function	5/38	161/1684	2	5	OG_11440, OG_13444, OG_13855, OG_15629, OG_15752
GO:0048646	0.27594461792	0.860043387454	BP	e	anatomical structure formation involved in morphogenesis	4/38	98/1684	2	4	OG_10913, OG_12095, OG_14793, OG_17411
GO:0051130	0.470818311304	0.860043387454	BP	e	positive regulation of cellular component organization	3/38	95/1684	5	3	OG_13830, OG_15325, OG_15752
GO:0006810	0.300224167606	0.860043387454	BP	e	transport	10/38	329/1684	3	10	OG_11809, OG_12388, OG_13830, OG_14370, OG_14439, OG_15752, OG_16150, OG_16306, OG_17097, OG_17411
GO:0009889	0.40962406246	0.860043387454	BP	p	regulation of biosynthetic process	5/38	332/1684	4	5	OG_12839, OG_13739, OG_14397, OG_14793, OG_14872
GO:0008150	0.500426774131	0.860043387454	BP	e	biological_process	34/38	1419/1684	0	34	OG_10913, OG_11440, OG_11809, OG_12095, OG_12388, OG_12769, OG_12839, OG_12934, OG_13444, OG_13501, OG_13739, OG_13830, OG_13855, OG_14370, OG_14397, OG_14439, OG_14793, OG_14872, OG_15056, OG_15167, OG_15325, OG_15377, OG_15582, OG_15629, OG_15661, OG_15752, OG_15903, OG_16150, OG_16306, OG_16593, OG_16974, OG_17097, OG_17411, OG_18313
GO:0008152	0.513745475092	0.860043387454	BP	e	metabolic process	21/38	832/1684	1	21	OG_12095, OG_12388, OG_12769, OG_12934, OG_13501, OG_13739, OG_13830, OG_13855, OG_14397, OG_14793, OG_14872, OG_15167, OG_15377, OG_15629, OG_15661, OG_15903, OG_16150, OG_16593, OG_16974, OG_17411, OG_18313
GO:0046907	0.538214384959	0.860043387454	BP	e	intracellular transport	4/38	134/1684	4	4	OG_13830, OG_14439, OG_15752, OG_17411
GO:0006355	0.382783982303	0.860043387454	BP	p	regulation of transcription, DNA-templated	4/38	285/1684	9	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0010557	0.540228258451	0.860043387454	BP	e	positive regulation of macromolecule biosynthetic process	4/38	135/1684	6	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0010556	0.527721807889	0.860043387454	BP	p	regulation of macromolecule biosynthetic process	5/38	317/1684	5	5	OG_12839, OG_13739, OG_14397, OG_14793, OG_14872
GO:0033043	0.320916788461	0.860043387454	BP	e	regulation of organelle organization	4/38	114/1684	5	4	OG_13830, OG_13855, OG_15325, OG_17411
GO:0022412	0.52736342446	0.860043387454	BP	e	cellular process involved in reproduction in multicellular organism	4/38	128/1684	2	4	OG_12095, OG_13501, OG_13855, OG_14872
GO:0023056	0.298709268056	0.860043387454	BP	e	positive regulation of signaling	4/38	107/1684	4	4	OG_11440, OG_12769, OG_15325, OG_15582
GO:0015833	0.529017060898	0.860043387454	BP	e	peptide transport	4/38	129/1684	6	4	OG_12388, OG_13830, OG_14439, OG_17097
GO:0010647	0.295834263759	0.860043387454	BP	e	positive regulation of cell communication	4/38	106/1684	5	4	OG_11440, OG_12769, OG_15325, OG_15582
GO:0042886	0.532515086618	0.860043387454	BP	e	amide transport	4/38	131/1684	5	4	OG_12388, OG_13830, OG_14439, OG_17097
GO:0051240	0.490143287206	0.860043387454	BP	e	positive regulation of multicellular organismal process	3/38	100/1684	4	3	OG_11440, OG_12839, OG_15325
GO:0051241	0.446159055803	0.860043387454	BP	e	negative regulation of multicellular organismal process	3/38	88/1684	4	3	OG_12839, OG_15325, OG_18313
GO:1903508	0.525775581919	0.860043387454	BP	e	positive regulation of nucleic acid-templated transcription	4/38	127/1684	9	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0032501	0.334056231413	0.860043387454	BP	p	multicellular organismal process	6/38	392/1684	1	6	OG_11440, OG_12388, OG_12839, OG_15325, OG_15582, OG_17097
GO:0044238	0.510527921423	0.860043387454	BP	e	primary metabolic process	19/38	744/1684	2	19	OG_12095, OG_12388, OG_12769, OG_12934, OG_13501, OG_13739, OG_13830, OG_13855, OG_14397, OG_14793, OG_14872, OG_15377, OG_15629, OG_15661, OG_16150, OG_16593, OG_16974, OG_17411, OG_18313
GO:0050877	0.48227122859	0.860043387454	BP	e	nervous system process	3/38	98/1684	3	3	OG_11440, OG_12839, OG_17097
GO:0009987	0.365605098357	0.860043387454	BP	e	cellular process	30/38	1200/1684	1	30	OG_10913, OG_11809, OG_12095, OG_12388, OG_12769, OG_12839, OG_12934, OG_13444, OG_13501, OG_13739, OG_13830, OG_13855, OG_14397, OG_14439, OG_14793, OG_14872, OG_15167, OG_15325, OG_15377, OG_15582, OG_15629, OG_15661, OG_15752, OG_15903, OG_16150, OG_16306, OG_16593, OG_16974, OG_17411, OG_18313
GO:1903507	0.506360411518	0.860043387454	BP	e	negative regulation of nucleic acid-templated transcription	3/38	104/1684	9	3	OG_12839, OG_13739, OG_14872
GO:0055085	0.498179778744	0.860043387454	BP	e	transmembrane transport	3/38	102/1684	4	3	OG_11809, OG_14370, OG_14439
GO:0051252	0.526908422258	0.860043387454	BP	p	regulation of RNA metabolic process	5/38	314/1684	6	5	OG_12839, OG_13739, OG_14397, OG_14793, OG_14872
GO:0051254	0.540228258451	0.860043387454	BP	e	positive regulation of RNA metabolic process	4/38	135/1684	7	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:1902680	0.525775581919	0.860043387454	BP	e	positive regulation of RNA biosynthetic process	4/38	127/1684	8	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0045944	0.280365974446	0.860043387454	BP	e	positive regulation of transcription by RNA polymerase II	4/38	100/1684	11	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0048731	0.278106603479	0.860043387454	BP	e	system development	4/38	99/1684	3	4	OG_14793, OG_15325, OG_15582, OG_15752
GO:0032502	0.485984284409	0.860043387454	BP	p	developmental process	10/38	546/1684	1	10	OG_10913, OG_12095, OG_13830, OG_14793, OG_15325, OG_15582, OG_15629, OG_15752, OG_16306, OG_17411
GO:0031326	0.409583488221	0.860043387454	BP	p	regulation of cellular biosynthetic process	5/38	327/1684	5	5	OG_12839, OG_13739, OG_14397, OG_14793, OG_14872
GO:0031325	0.473840607922	0.860043387454	BP	e	positive regulation of cellular metabolic process	7/38	235/1684	5	7	OG_13739, OG_13830, OG_14397, OG_14793, OG_14872, OG_15629, OG_18313
GO:0090304	0.410905412878	0.860043387454	BP	p	nucleic acid metabolic process	5/38	321/1684	5	5	OG_12934, OG_13739, OG_14793, OG_14872, OG_15377
GO:0022402	0.290329588856	0.860043387454	BP	e	cell cycle process	4/38	104/1684	2	4	OG_13444, OG_13501, OG_13855, OG_15752
GO:2000112	0.288890136245	0.860043387454	BP	p	regulation of cellular macromolecule biosynthetic process	4/38	312/1684	6	4	OG_13739, OG_14397, OG_14793, OG_14872
GO:0071705	0.395344297796	0.860043387454	BP	e	nitrogen compound transport	5/38	158/1684	4	5	OG_12388, OG_13830, OG_14370, OG_14439, OG_17097
