GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0019221	6.12931043476e-05	0.017100776113	BP	e	cytokine-mediated signaling pathway	4/55	11/2505	6	4	OG_12074, OG_12979, OG_14786, OG_15237
GO:0051168	0.0146275571657	0.207568676633	BP	e	nuclear export	3/55	24/2505	7	3	OG_13243, OG_16398, OG_16839
GO:0007165	0.0057028474028	0.207568676633	BP	e	signal transduction	16/55	368/2505	4	16	OG_12074, OG_12253, OG_12607, OG_12979, OG_13687, OG_13767, OG_14786, OG_15237, OG_15968, OG_16069, OG_16221, OG_16993, OG_17181, OG_17705, OG_18091, OG_18363
GO:0007166	0.0015207960513	0.207568676633	BP	e	cell surface receptor signaling pathway	10/55	154/2505	5	10	OG_12074, OG_12253, OG_12607, OG_12979, OG_13687, OG_14786, OG_15237, OG_17181, OG_17705, OG_18091
GO:0010604	0.0151505364575	0.207568676633	BP	e	positive regulation of macromolecule metabolic process	14/55	339/2505	5	14	OG_11478, OG_11531, OG_12253, OG_12972, OG_13116, OG_13310, OG_14397, OG_14786, OG_15237, OG_15968, OG_16018, OG_16221, OG_17076, OG_18191
GO:0048869	0.00547956606902	0.207568676633	BP	e	cellular developmental process	16/55	365/2505	2	16	OG_11478, OG_11531, OG_12253, OG_12685, OG_12972, OG_13243, OG_14243, OG_15237, OG_15365, OG_16018, OG_16069, OG_16993, OG_17076, OG_17181, OG_17427, OG_18091
GO:0044093	0.00622318871763	0.207568676633	BP	e	positive regulation of molecular function	9/55	157/2505	3	9	OG_11478, OG_12074, OG_12253, OG_12972, OG_13310, OG_14786, OG_15968, OG_16221, OG_18191
GO:0002064	0.0146275571657	0.207568676633	BP	e	epithelial cell development	3/55	24/2505	4	3	OG_12253, OG_15365, OG_18091
GO:0055074	0.0146275571657	0.207568676633	BP	e	calcium ion homeostasis	3/55	24/2505	8	3	OG_12607, OG_16069, OG_16221
GO:0051347	0.00925084665535	0.207568676633	BP	e	positive regulation of transferase activity	5/55	60/2505	5	5	OG_12253, OG_12972, OG_14786, OG_15968, OG_18191
GO:0012501	0.00730147933856	0.207568676633	BP	e	programmed cell death	6/55	80/2505	3	6	OG_11478, OG_12074, OG_12607, OG_15365, OG_17076, OG_17181
GO:0006955	0.0136068203815	0.207568676633	BP	e	immune response	4/55	43/2505	2	4	OG_12074, OG_12685, OG_12979, OG_13687
GO:0007043	0.00876514469252	0.207568676633	BP	e	cell-cell junction assembly	3/55	20/2505	5	3	OG_12685, OG_16221, OG_18091
GO:0072507	0.0163674225302	0.207568676633	BP	e	divalent inorganic cation homeostasis	3/55	25/2505	7	3	OG_12607, OG_16069, OG_16221
GO:0051246	0.0108403993427	0.207568676633	BP	e	regulation of protein metabolic process	13/55	297/2505	5	13	OG_11478, OG_12074, OG_12253, OG_12607, OG_12972, OG_14786, OG_15237, OG_15365, OG_15968, OG_16018, OG_17181, OG_18191, OG_18632
GO:0032502	0.0146818584067	0.207568676633	BP	e	developmental process	24/55	708/2505	1	24	OG_11478, OG_11531, OG_12074, OG_12253, OG_12685, OG_12972, OG_12979, OG_13243, OG_13310, OG_13687, OG_14243, OG_15237, OG_15365, OG_15878, OG_16018, OG_16069, OG_16221, OG_16993, OG_17076, OG_17181, OG_17427, OG_17705, OG_18091, OG_18632
GO:0045216	0.0163674225302	0.207568676633	BP	e	cell-cell junction organization	3/55	25/2505	4	3	OG_12685, OG_16221, OG_18091
GO:0034329	0.00876514469252	0.207568676633	BP	e	cell junction assembly	3/55	20/2505	4	3	OG_12685, OG_16221, OG_18091
GO:0034504	0.0146275571657	0.207568676633	BP	e	protein localization to nucleus	3/55	24/2505	6	3	OG_12972, OG_15968, OG_16398
GO:0008219	0.00775376260061	0.207568676633	BP	e	cell death	6/55	81/2505	2	6	OG_11478, OG_12074, OG_12607, OG_15365, OG_17076, OG_17181
GO:0006405	0.00876514469252	0.207568676633	BP	e	RNA export from nucleus	3/55	20/2505	8	3	OG_13243, OG_16398, OG_16839
GO:0006915	0.0154615181647	0.207568676633	BP	e	apoptotic process	5/55	68/2505	4	5	OG_11478, OG_12074, OG_12607, OG_15365, OG_17181
GO:0048468	0.0193814661725	0.20841742209	BP	e	cell development	7/55	127/2505	3	7	OG_12253, OG_12685, OG_15365, OG_16993, OG_17076, OG_17427, OG_18091
GO:0048518	0.0183067091332	0.20841742209	BP	e	positive regulation of biological process	22/55	641/2505	3	22	OG_11478, OG_11531, OG_12074, OG_12253, OG_12607, OG_12972, OG_13116, OG_13310, OG_13341, OG_13508, OG_13687, OG_14397, OG_14786, OG_15237, OG_15365, OG_15968, OG_16018, OG_16221, OG_17076, OG_17181, OG_17705, OG_18191
GO:0051050	0.0194224120944	0.20841742209	BP	e	positive regulation of transport	5/55	72/2505	5	5	OG_12972, OG_13341, OG_13508, OG_13687, OG_16221
GO:0010941	0.0194185916236	0.20841742209	BP	e	regulation of cell death	8/55	157/2505	4	8	OG_11478, OG_12253, OG_12607, OG_12979, OG_15237, OG_15365, OG_16484, OG_17181
GO:0006952	0.0205082769803	0.21191886213	BP	e	defense response	5/55	73/2505	3	5	OG_12074, OG_12607, OG_12685, OG_12979, OG_16993
GO:0048522	0.0214814710347	0.214047514953	BP	e	positive regulation of cellular process	20/55	569/2505	4	20	OG_11478, OG_11531, OG_12253, OG_12607, OG_12972, OG_13116, OG_13310, OG_13341, OG_13508, OG_13687, OG_14397, OG_14786, OG_15237, OG_15365, OG_15968, OG_16018, OG_17076, OG_17181, OG_17705, OG_18191
GO:0034330	0.0222589658445	0.214146602435	BP	e	cell junction organization	3/55	28/2505	3	3	OG_12685, OG_16221, OG_18091
GO:0051173	0.0241311570063	0.217180413057	BP	e	positive regulation of nitrogen compound metabolic process	13/55	324/2505	5	13	OG_11478, OG_11531, OG_12253, OG_12972, OG_13116, OG_13310, OG_14397, OG_14786, OG_15237, OG_15968, OG_16018, OG_17076, OG_18191
GO:0048856	0.0238162946504	0.217180413057	BP	e	anatomical structure development	18/55	492/2505	2	18	OG_12074, OG_12253, OG_12685, OG_12979, OG_13243, OG_13310, OG_13687, OG_15365, OG_15878, OG_16018, OG_16221, OG_16993, OG_17076, OG_17181, OG_17427, OG_17705, OG_18091, OG_18632
GO:0042981	0.0262165051932	0.228575154653	BP	e	regulation of apoptotic process	7/55	135/2505	6	7	OG_11478, OG_12253, OG_12607, OG_12979, OG_15237, OG_15365, OG_17181
GO:0008152	0.0272684929081	0.230542712768	BP	e	metabolic process	39/55	1396/2505	1	39	OG_11478, OG_11508, OG_11792, OG_12074, OG_12253, OG_12435, OG_12685, OG_12972, OG_12979, OG_13103, OG_13116, OG_13243, OG_13310, OG_13508, OG_13904, OG_14243, OG_14397, OG_14596, OG_14706, OG_14758, OG_14786, OG_14788, OG_15237, OG_15365, OG_15968, OG_16069, OG_16221, OG_16398, OG_16484, OG_16516, OG_17076, OG_17181, OG_17450, OG_17705, OG_18006, OG_18180, OG_18191, OG_18363, OG_18632
GO:0051247	0.0288997246904	0.232467096012	BP	e	positive regulation of protein metabolic process	8/55	169/2505	6	8	OG_11478, OG_12253, OG_12972, OG_14786, OG_15237, OG_15968, OG_16018, OG_18191
GO:0043067	0.0291625389262	0.232467096012	BP	e	regulation of programmed cell death	7/55	138/2505	5	7	OG_11478, OG_12253, OG_12607, OG_12979, OG_15237, OG_15365, OG_17181
GO:0008104	0.0431206892685	0.242192704802	BP	e	protein localization	11/55	270/2505	3	11	OG_12607, OG_12972, OG_13687, OG_13767, OG_15878, OG_15968, OG_16221, OG_16398, OG_16484, OG_16839, OG_16993
GO:0060255	0.0452241156012	0.242192704802	BP	e	regulation of macromolecule metabolic process	22/55	684/2505	4	22	OG_11478, OG_11531, OG_12074, OG_12253, OG_12607, OG_12972, OG_13116, OG_13310, OG_13904, OG_14243, OG_14397, OG_14786, OG_15237, OG_15365, OG_15968, OG_16018, OG_16221, OG_17076, OG_17181, OG_17427, OG_18191, OG_18632
GO:0060548	0.0351485827695	0.242192704802	BP	e	negative regulation of cell death	5/55	84/2505	5	5	OG_12607, OG_12979, OG_15237, OG_16484, OG_17181
GO:0051704	0.0379601944577	0.242192704802	BP	e	multi-organism process	6/55	115/2505	1	6	OG_12074, OG_12979, OG_13243, OG_15237, OG_16993, OG_17181
GO:0009893	0.032502726199	0.242192704802	BP	e	positive regulation of metabolic process	14/55	369/2505	4	14	OG_11478, OG_11531, OG_12253, OG_12972, OG_13116, OG_13310, OG_14397, OG_14786, OG_15237, OG_15968, OG_16018, OG_16221, OG_17076, OG_18191
GO:0009891	0.0399268593202	0.242192704802	BP	e	positive regulation of biosynthetic process	9/55	204/2505	5	9	OG_11531, OG_13116, OG_13310, OG_14397, OG_14786, OG_15237, OG_15968, OG_17076, OG_18191
GO:0032259	0.0328399316712	0.242192704802	BP	e	methylation	4/55	56/2505	2	4	OG_11478, OG_13904, OG_14706, OG_14758
