GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1905114	0.0372058919718	0.797248326712	BP	e	cell surface receptor signaling pathway involved in cell-cell signaling	3/60	30/2404	6	3	OG_16257, OG_16396, OG_17086
GO:0032787	0.0605650235242	0.797248326712	BP	e	monocarboxylic acid metabolic process	4/60	60/2404	6	4	OG_13887, OG_15286, OG_16722, OG_17297
GO:1903706	0.0124569109815	0.797248326712	BP	e	regulation of hemopoiesis	3/60	20/2404	5	3	OG_11748, OG_13148, OG_17662
GO:0010632	0.0107774197468	0.797248326712	BP	e	regulation of epithelial cell migration	3/60	19/2404	7	3	OG_11751, OG_15829, OG_17086
GO:0016055	0.0372058919718	0.797248326712	BP	e	Wnt signaling pathway	3/60	30/2404	7	3	OG_16257, OG_16396, OG_17086
GO:0006364	0.0389221928253	0.797248326712	BP	e	rRNA processing	4/60	52/2404	9	4	OG_12813, OG_13079, OG_14220, OG_15186
GO:0009886	0.0605650235242	0.797248326712	BP	e	post-embryonic animal morphogenesis	4/60	60/2404	3	4	OG_11751, OG_14575, OG_14660, OG_16120
GO:0016072	0.0518227207196	0.797248326712	BP	e	rRNA metabolic process	4/60	57/2404	8	4	OG_12813, OG_13079, OG_14220, OG_15186
GO:0016073	0.00923792408507	0.797248326712	BP	e	snRNA metabolic process	3/60	18/2404	8	3	OG_12813, OG_14220, OG_14591
GO:2000145	0.0575680053474	0.797248326712	BP	e	regulation of cell motility	4/60	59/2404	5	4	OG_11751, OG_14575, OG_15829, OG_17086
GO:0006631	0.0630235831393	0.797248326712	BP	e	fatty acid metabolic process	3/60	37/2404	7	3	OG_13887, OG_15286, OG_17297
GO:0009798	0.0206087683152	0.797248326712	BP	e	axis specification	3/60	24/2404	3	3	OG_15032, OG_15829, OG_16257
GO:0045595	0.0551508259791	0.797248326712	BP	e	regulation of cell differentiation	8/60	157/2404	4	8	OG_11748, OG_11751, OG_13148, OG_13626, OG_14660, OG_15032, OG_15829, OG_17662
GO:0040012	0.0335629285342	0.797248326712	BP	e	regulation of locomotion	5/60	73/2404	3	5	OG_11751, OG_13626, OG_14575, OG_15829, OG_17086
GO:0051090	0.0255582126412	0.797248326712	BP	e	regulation of DNA-binding transcription factor activity	3/60	26/2404	10	3	OG_12430, OG_14078, OG_14624
GO:0031032	0.0183533044117	0.797248326712	BP	e	actomyosin structure organization	3/60	23/2404	6	3	OG_11748, OG_15829, OG_17297
GO:0030036	0.0490751013294	0.797248326712	BP	e	actin cytoskeleton organization	4/60	56/2404	5	4	OG_11748, OG_14896, OG_15829, OG_17297
GO:0030334	0.0464111401335	0.797248326712	BP	e	regulation of cell migration	4/60	55/2404	6	4	OG_11751, OG_14575, OG_15829, OG_17086
GO:0030029	0.0605650235242	0.797248326712	BP	e	actin filament-based process	4/60	60/2404	2	4	OG_11748, OG_14896, OG_15829, OG_17297
GO:0040017	0.0630235831393	0.797248326712	BP	e	positive regulation of locomotion	3/60	37/2404	4	3	OG_13626, OG_14575, OG_15829
GO:0034470	0.0713319578656	0.859380254286	BP	e	ncRNA processing	5/60	90/2404	8	5	OG_12813, OG_13079, OG_14220, OG_15186, OG_18351
GO:0044238	0.793886950623	1.0	BP	e	primary metabolic process	30/60	1148/2404	2	30	OG_11751, OG_12565, OG_12813, OG_13074, OG_13079, OG_13148, OG_13256, OG_13887, OG_14060, OG_14078, OG_14104, OG_14220, OG_14519, OG_14591, OG_14624, OG_14712, OG_15186, OG_15286, OG_15515, OG_16120, OG_16202, OG_16257, OG_16646, OG_16658, OG_16722, OG_17086, OG_17297, OG_18351, OG_18567, OG_18947
GO:0019220	1.0	1.0	BP	p	regulation of phosphate metabolic process	4/60	170/2404	6	4	OG_12430, OG_16120, OG_17086, OG_17662
GO:0080090	0.880857750188	1.0	BP	e	regulation of primary metabolic process	16/60	614/2404	4	16	OG_12430, OG_12565, OG_12734, OG_13074, OG_13148, OG_14060, OG_14078, OG_14220, OG_14591, OG_14624, OG_14712, OG_16120, OG_16257, OG_16396, OG_17086, OG_17662
GO:0019222	0.669612865281	1.0	BP	e	regulation of metabolic process	19/60	707/2404	3	19	OG_12430, OG_12565, OG_12734, OG_12813, OG_13074, OG_13148, OG_13259, OG_14060, OG_14078, OG_14220, OG_14591, OG_14624, OG_14712, OG_15829, OG_16120, OG_16257, OG_16396, OG_17086, OG_17662
GO:0051049	1.0	1.0	BP	p	regulation of transport	3/60	154/2404	4	3	OG_16120, OG_16202, OG_18351
GO:0048585	1.0	1.0	BP	p	negative regulation of response to stimulus	4/60	170/2404	4	4	OG_12430, OG_13079, OG_14712, OG_16120
GO:0048584	0.813457852298	1.0	BP	e	positive regulation of response to stimulus	5/60	195/2404	4	5	OG_14078, OG_14519, OG_16658, OG_17086, OG_17662
GO:0048583	0.856422605343	1.0	BP	e	regulation of response to stimulus	10/60	374/2404	3	10	OG_12430, OG_13079, OG_14078, OG_14519, OG_14591, OG_14712, OG_16120, OG_16658, OG_17086, OG_17662
GO:0034645	1.0	1.0	BP	p	cellular macromolecule biosynthetic process	7/60	311/2404	5	7	OG_13074, OG_14060, OG_14078, OG_14591, OG_14624, OG_16646, OG_16658
GO:0051173	0.696219760457	1.0	BP	p	positive regulation of nitrogen compound metabolic process	6/60	313/2404	5	6	OG_13148, OG_14078, OG_14591, OG_14712, OG_16257, OG_17086
GO:0007163	0.110667906735	1.0	BP	e	establishment or maintenance of cell polarity	3/60	47/2404	2	3	OG_14896, OG_15032, OG_15829
GO:0007165	0.593798364908	1.0	BP	e	signal transduction	11/60	385/2404	4	11	OG_11751, OG_13148, OG_13259, OG_14660, OG_14712, OG_14896, OG_16257, OG_16396, OG_16658, OG_17086, OG_17662
GO:0007166	0.196138009478	1.0	BP	e	cell surface receptor signaling pathway	7/60	172/2404	5	7	OG_11751, OG_14660, OG_14712, OG_16257, OG_16396, OG_16658, OG_17086
GO:1901576	0.748559648641	1.0	BP	p	organic substance biosynthetic process	11/60	508/2404	3	11	OG_12813, OG_13074, OG_14060, OG_14078, OG_14591, OG_14624, OG_14660, OG_16646, OG_16658, OG_16722, OG_17297
GO:1901362	0.564919303887	1.0	BP	p	organic cyclic compound biosynthetic process	6/60	316/2404	4	6	OG_12813, OG_14060, OG_14078, OG_14591, OG_14624, OG_16722
GO:0071840	1.0	1.0	BP	e	cellular component organization or biogenesis	18/60	717/2404	1	18	OG_11330, OG_11748, OG_11751, OG_13079, OG_13588, OG_13626, OG_13887, OG_14591, OG_14624, OG_14660, OG_14896, OG_15032, OG_15515, OG_15829, OG_16066, OG_16120, OG_17081, OG_17297
GO:1901361	0.424520228839	1.0	BP	e	organic cyclic compound catabolic process	3/60	72/2404	4	3	OG_12813, OG_14220, OG_16722
GO:0051716	0.846313618098	1.0	BP	e	cellular response to stimulus	8/60	310/2404	2	8	OG_13259, OG_13588, OG_15515, OG_15829, OG_16120, OG_16658, OG_17654, OG_17662
GO:0010605	1.0	1.0	BP	p	negative regulation of macromolecule metabolic process	6/60	259/2404	5	6	OG_12430, OG_12813, OG_13074, OG_13148, OG_14220, OG_14712
GO:0010604	0.565987131419	1.0	BP	p	positive regulation of macromolecule metabolic process	6/60	327/2404	5	6	OG_13148, OG_14078, OG_14591, OG_14712, OG_16257, OG_17086
GO:0009968	0.786970438077	1.0	BP	e	negative regulation of signal transduction	4/60	150/2404	6	4	OG_12430, OG_13079, OG_14712, OG_16120
GO:0070727	0.795283289838	1.0	BP	p	cellular macromolecule localization	3/60	158/2404	3	3	OG_12813, OG_15032, OG_16066
GO:0009966	0.558101095707	1.0	BP	e	regulation of signal transduction	9/60	307/2404	5	9	OG_12430, OG_13079, OG_14078, OG_14519, OG_14591, OG_14712, OG_16120, OG_17086, OG_17662
GO:0010608	0.443111857428	1.0	BP	e	posttranscriptional regulation of gene expression	3/60	78/2404	6	3	OG_13074, OG_14220, OG_15829
GO:0070647	0.741586301465	1.0	BP	e	protein modification by small protein conjugation or removal	3/60	103/2404	7	3	OG_13148, OG_14519, OG_14712
GO:0018193	0.537988913949	1.0	BP	e	peptidyl-amino acid modification	4/60	119/2404	7	4	OG_13148, OG_14591, OG_14624, OG_18947
GO:0008104	1.0	1.0	BP	p	protein localization	6/60	275/2404	3	6	OG_11748, OG_11751, OG_14078, OG_15032, OG_16066, OG_16978
GO:0032446	0.453804914425	1.0	BP	e	protein modification by small protein conjugation	3/60	81/2404	8	3	OG_13148, OG_14519, OG_14712
GO:0048513	0.809872738461	1.0	BP	e	animal organ development	5/60	191/2404	3	5	OG_13256, OG_13626, OG_16257, OG_17086, OG_17662
GO:0048869	0.474029089595	1.0	BP	p	cellular developmental process	7/60	379/2404	2	7	OG_14519, OG_15032, OG_15829, OG_16120, OG_16658, OG_17081, OG_17662
GO:0044093	0.781469742812	1.0	BP	e	positive regulation of molecular function	4/60	145/2404	3	4	OG_13148, OG_14078, OG_15829, OG_17662
GO:0048518	0.225875981415	1.0	BP	e	positive regulation of biological process	19/60	596/2404	3	19	OG_11748, OG_11751, OG_12734, OG_12813, OG_13148, OG_13256, OG_13626, OG_14078, OG_14519, OG_14575, OG_14591, OG_14712, OG_15032, OG_15829, OG_16120, OG_16257, OG_16658, OG_17086, OG_17662
GO:0048519	0.270163826945	1.0	BP	e	negative regulation of biological process	17/60	534/2404	3	17	OG_11748, OG_11751, OG_12430, OG_12565, OG_12813, OG_13074, OG_13079, OG_13148, OG_14220, OG_14610, OG_14660, OG_14712, OG_15829, OG_16120, OG_17086, OG_17662, OG_18351
GO:0003008	0.785817093316	1.0	BP	e	system process	4/60	149/2404	2	4	OG_11748, OG_13626, OG_16202, OG_17662
GO:0060255	0.768480102618	1.0	BP	e	regulation of macromolecule metabolic process	17/60	642/2404	4	17	OG_12430, OG_12734, OG_12813, OG_13074, OG_13148, OG_13259, OG_14060, OG_14078, OG_14220, OG_14591, OG_14624, OG_14712, OG_15829, OG_16120, OG_16257, OG_16396, OG_17086
GO:0048468	1.0	1.0	BP	p	cell development	3/60	145/2404	3	3	OG_15032, OG_15829, OG_16658
GO:0045184	0.814635441419	1.0	BP	p	establishment of protein localization	4/60	204/2404	4	4	OG_11751, OG_14078, OG_16066, OG_16978
GO:0003006	0.194605102561	1.0	BP	e	developmental process involved in reproduction	7/60	171/2404	2	7	OG_11748, OG_13259, OG_14712, OG_15032, OG_15344, OG_16120, OG_17662
GO:0032268	0.542289588423	1.0	BP	p	regulation of cellular protein metabolic process	5/60	282/2404	6	5	OG_12430, OG_13074, OG_13148, OG_16120, OG_17086
GO:2001141	0.572607665154	1.0	BP	e	regulation of RNA biosynthetic process	10/60	340/2404	7	10	OG_12430, OG_12734, OG_13148, OG_14060, OG_14078, OG_14591, OG_14624, OG_14712, OG_16257, OG_16396
GO:0043436	0.39684448948	1.0	BP	e	oxoacid metabolic process	5/60	141/2404	4	5	OG_13887, OG_15286, OG_16646, OG_16722, OG_17297
GO:0010033	0.611128881451	1.0	BP	e	response to organic substance	5/60	170/2404	3	5	OG_13259, OG_14610, OG_15829, OG_17086, OG_17662
GO:0051704	0.532361294453	1.0	BP	e	multi-organism process	4/60	116/2404	1	4	OG_11751, OG_14591, OG_16120, OG_16202
GO:0042325	1.0	1.0	BP	p	regulation of phosphorylation	3/60	145/2404	7	3	OG_12430, OG_16120, OG_17086
GO:0023056	1.0	1.0	BP	p	positive regulation of signaling	4/60	165/2404	4	4	OG_14078, OG_14519, OG_17086, OG_17662
GO:0065008	0.736404084312	1.0	BP	e	regulation of biological quality	12/60	443/2404	2	12	OG_13148, OG_13626, OG_13887, OG_14220, OG_14660, OG_14896, OG_15829, OG_16120, OG_16202, OG_17297, OG_17662, OG_18351
GO:1901564	0.775483901614	1.0	BP	e	organonitrogen compound metabolic process	19/60	717/2404	3	19	OG_11751, OG_12565, OG_12813, OG_13074, OG_13148, OG_13256, OG_13887, OG_14104, OG_14519, OG_14591, OG_14624, OG_14660, OG_14712, OG_16202, OG_16646, OG_16658, OG_16722, OG_17086, OG_18947
GO:0016192	0.187904866123	1.0	BP	e	vesicle-mediated transport	7/60	166/2404	4	7	OG_11751, OG_12789, OG_14575, OG_14896, OG_16066, OG_16120, OG_16978
GO:0048870	0.74005459332	1.0	BP	e	cell motility	3/60	102/2404	3	3	OG_11751, OG_15829, OG_17662
GO:0018205	0.14429647114	1.0	BP	e	peptidyl-lysine modification	3/60	53/2404	8	3	OG_13148, OG_14591, OG_14624
GO:0015833	1.0	1.0	BP	p	peptide transport	4/60	194/2404	6	4	OG_11751, OG_14078, OG_16066, OG_16978
GO:0019538	0.637391854758	1.0	BP	e	protein metabolic process	15/60	536/2404	4	15	OG_11751, OG_12565, OG_13074, OG_13148, OG_13256, OG_14104, OG_14519, OG_14591, OG_14624, OG_14712, OG_16202, OG_16646, OG_16658, OG_17086, OG_18947
GO:0033554	0.824209427	1.0	BP	e	cellular response to stress	6/60	229/2404	3	6	OG_13259, OG_13588, OG_15515, OG_16120, OG_16658, OG_17654
GO:0019439	0.246467419187	1.0	BP	e	aromatic compound catabolic process	3/60	69/2404	4	3	OG_12813, OG_14220, OG_16722
GO:0019438	0.693710679085	1.0	BP	p	aromatic compound biosynthetic process	6/60	299/2404	4	6	OG_12813, OG_14060, OG_14078, OG_14591, OG_14624, OG_16722
GO:1902531	1.0	1.0	BP	p	regulation of intracellular signal transduction	4/60	172/2404	6	4	OG_12430, OG_14078, OG_14591, OG_14712
GO:0044281	1.0	1.0	BP	p	small molecule metabolic process	6/60	265/2404	2	6	OG_12813, OG_13887, OG_15286, OG_16646, OG_16722, OG_17297
GO:0033036	1.0	1.0	BP	p	macromolecule localization	7/60	288/2404	2	7	OG_11748, OG_11751, OG_12813, OG_14078, OG_15032, OG_16066, OG_16978
GO:0009894	1.0	1.0	BP	p	regulation of catabolic process	3/60	131/2404	4	3	OG_13148, OG_14220, OG_14712
GO:0022607	0.69470840149	1.0	BP	p	cellular component assembly	6/60	308/2404	3	6	OG_11330, OG_13887, OG_14591, OG_14896, OG_16120, OG_17297
GO:0009892	0.840438441349	1.0	BP	p	negative regulation of metabolic process	6/60	291/2404	4	6	OG_12430, OG_12813, OG_13074, OG_13148, OG_14220, OG_14712
GO:0009893	0.584167768138	1.0	BP	p	positive regulation of metabolic process	7/60	365/2404	4	7	OG_13148, OG_14078, OG_14591, OG_14712, OG_16257, OG_17086, OG_17662
GO:0022603	0.733103500765	1.0	BP	e	regulation of anatomical structure morphogenesis	3/60	97/2404	4	3	OG_11751, OG_13626, OG_14896
GO:0010647	1.0	1.0	BP	p	positive regulation of cell communication	4/60	164/2404	5	4	OG_14078, OG_14519, OG_17086, OG_17662
GO:0006928	1.0	1.0	BP	p	movement of cell or subcellular component	4/60	192/2404	2	4	OG_11748, OG_11751, OG_15829, OG_17662
GO:0010629	1.0	1.0	BP	p	negative regulation of gene expression	4/60	178/2404	6	4	OG_12813, OG_13074, OG_14220, OG_14712
