GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0045880	0.000583572324193	0.129553055971	BP	e	positive regulation of smoothened signaling pathway	3/47	9/2344	7	3	OG_12769, OG_15650, OG_17743
GO:0008589	0.00421986124789	0.332485169298	BP	e	regulation of smoothened signaling pathway	3/47	17/2344	6	3	OG_12769, OG_15650, OG_17743
GO:0016310	0.00571605833707	0.332485169298	BP	e	phosphorylation	8/47	140/2344	5	8	OG_11813, OG_12669, OG_12893, OG_14240, OG_15393, OG_15736, OG_17743, OG_18147
GO:0023056	0.0089860856567	0.332485169298	BP	e	positive regulation of signaling	8/47	151/2344	4	8	OG_12769, OG_12893, OG_13113, OG_14176, OG_15650, OG_15998, OG_17743, OG_19206
GO:0010647	0.0089860856567	0.332485169298	BP	e	positive regulation of cell communication	8/47	151/2344	5	8	OG_12769, OG_12893, OG_13113, OG_14176, OG_15650, OG_15998, OG_17743, OG_19206
GO:0045596	0.00820645698946	0.332485169298	BP	e	negative regulation of cell differentiation	5/47	64/2344	5	5	OG_12327, OG_13113, OG_14176, OG_14387, OG_17084
GO:0009966	0.0390757615362	0.35089993833	BP	e	regulation of signal transduction	11/47	289/2344	5	11	OG_12327, OG_12769, OG_12893, OG_13113, OG_14176, OG_14387, OG_15650, OG_15736, OG_15998, OG_17743, OG_19206
GO:0009617	0.0292754654937	0.35089993833	BP	e	response to bacterium	3/47	34/2344	5	3	OG_13771, OG_14176, OG_17743
GO:0044093	0.0427931774106	0.35089993833	BP	e	positive regulation of molecular function	6/47	130/2344	3	6	OG_12228, OG_12620, OG_12893, OG_13771, OG_14948, OG_15736
GO:0009314	0.0338631974848	0.35089993833	BP	e	response to radiation	4/47	62/2344	3	4	OG_11348, OG_14240, OG_14948, OG_17084
GO:0060548	0.0203740662248	0.35089993833	BP	e	negative regulation of cell death	5/47	80/2344	5	5	OG_12769, OG_12893, OG_14948, OG_17084, OG_17480
GO:0009893	0.0352506988107	0.35089993833	BP	e	positive regulation of metabolic process	12/47	337/2344	4	12	OG_12310, OG_12620, OG_12893, OG_13113, OG_13771, OG_14176, OG_14948, OG_15736, OG_15998, OG_17084, OG_17480, OG_19206
GO:0042742	0.0142209193282	0.35089993833	BP	e	defense response to bacterium	3/47	26/2344	6	3	OG_13771, OG_14176, OG_17743
GO:0042981	0.0350781691263	0.35089993833	BP	e	regulation of apoptotic process	6/47	124/2344	6	6	OG_12769, OG_12893, OG_14948, OG_15998, OG_17084, OG_19206
GO:0031647	0.0390425776043	0.35089993833	BP	e	regulation of protein stability	3/47	38/2344	3	3	OG_12228, OG_13378, OG_15736
GO:0009967	0.0163098665999	0.35089993833	BP	e	positive regulation of signal transduction	7/47	135/2344	6	7	OG_12769, OG_12893, OG_13113, OG_15650, OG_15998, OG_17743, OG_19206
GO:1903320	0.0390425776043	0.35089993833	BP	e	regulation of protein modification by small protein conjugation or removal	3/47	38/2344	8	3	OG_12228, OG_15736, OG_17084
GO:0031396	0.0315781908778	0.35089993833	BP	e	regulation of protein ubiquitination	3/47	35/2344	9	3	OG_12228, OG_15736, OG_17084
GO:0010721	0.0444766630595	0.35089993833	BP	e	negative regulation of cell development	3/47	40/2344	6	3	OG_12327, OG_14387, OG_17084
GO:0001654	0.0292754654937	0.35089993833	BP	e	eye development	3/47	34/2344	5	3	OG_13113, OG_14162, OG_19206
