GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048511	0.0299636951305	0.729344954143	BP	e	rhythmic process	3/26	30/1117	1	3	OG_11531, OG_12218, OG_13906
GO:0003002	0.0487453516484	0.729344954143	BP	e	regionalization	4/26	61/1117	3	4	OG_12218, OG_12702, OG_13296, OG_17933
GO:1901566	0.0291818012533	0.729344954143	BP	e	organonitrogen compound biosynthetic process	4/26	52/1117	4	4	OG_11540, OG_12218, OG_15360, OG_17483
GO:0051239	0.0150898960793	0.729344954143	BP	e	regulation of multicellular organismal process	10/26	197/1117	3	10	OG_11513, OG_11540, OG_11988, OG_12218, OG_12684, OG_12702, OG_13656, OG_13906, OG_15695, OG_17933
GO:0007423	0.0291818012533	0.729344954143	BP	e	sensory organ development	4/26	52/1117	4	4	OG_11988, OG_12218, OG_13296, OG_13656
GO:0051961	0.0514831732336	0.729344954143	BP	e	negative regulation of nervous system development	3/26	37/1117	6	3	OG_11988, OG_12684, OG_17933
GO:0006974	0.0384462472563	0.729344954143	BP	e	cellular response to DNA damage stimulus	3/26	33/1117	4	3	OG_13259, OG_13875, OG_17113
GO:1901137	0.0226108177561	0.729344954143	BP	e	carbohydrate derivative biosynthetic process	3/26	27/1117	4	3	OG_11540, OG_12218, OG_12417
GO:0035120	0.032666221743	0.729344954143	BP	e	post-embryonic appendage morphogenesis	3/26	31/1117	4	3	OG_11988, OG_12218, OG_12702
GO:0007389	0.043578166915	0.729344954143	BP	e	pattern specification process	5/26	86/1117	2	5	OG_11988, OG_12218, OG_12702, OG_13296, OG_17933
GO:0007476	0.0163889819636	0.729344954143	BP	e	imaginal disc-derived wing morphogenesis	3/26	24/1117	5	3	OG_11988, OG_12218, OG_12702
GO:0035114	0.0447212709705	0.729344954143	BP	e	imaginal disc-derived appendage morphogenesis	3/26	35/1117	4	3	OG_11988, OG_12218, OG_12702
GO:0035107	0.0664243673737	0.742084755131	BP	e	appendage morphogenesis	3/26	41/1117	3	3	OG_11988, OG_12218, OG_12702
GO:1901360	0.178196346379	0.742084755131	BP	e	organic cyclic compound metabolic process	10/26	296/1117	3	10	OG_11540, OG_12221, OG_12702, OG_13296, OG_13875, OG_13906, OG_14624, OG_14648, OG_17113, OG_17483
GO:0051716	0.230545650373	0.742084755131	BP	e	cellular response to stimulus	5/26	135/1117	2	5	OG_12218, OG_13259, OG_13875, OG_14648, OG_17113
GO:0070727	0.232180093343	0.742084755131	BP	e	cellular macromolecule localization	3/26	72/1117	3	3	OG_11513, OG_13875, OG_14648
GO:0048513	0.0753720153403	0.742084755131	BP	e	animal organ development	7/26	154/1117	3	7	OG_11988, OG_12218, OG_12702, OG_13296, OG_13656, OG_14648, OG_17933
GO:0044093	0.232180093343	0.742084755131	BP	e	positive regulation of molecular function	3/26	72/1117	3	3	OG_11513, OG_11540, OG_13875
