GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0042752	0.00478968216391	0.305658864385	BP	e	regulation of circadian rhythm	3/54	16/2420	3	3	OG_13864, OG_14425, OG_17657
GO:0009890	0.00248397715631	0.305658864385	BP	e	negative regulation of biosynthetic process	9/54	135/2420	5	9	OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_15311, OG_17439
GO:0010558	0.00684310890414	0.305658864385	BP	e	negative regulation of macromolecule biosynthetic process	8/54	129/2420	6	8	OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_17439
GO:0006006	0.00478968216391	0.305658864385	BP	e	glucose metabolic process	3/54	16/2420	6	3	OG_13864, OG_16337, OG_16391
GO:2000113	0.00684310890414	0.305658864385	BP	e	negative regulation of cellular macromolecule biosynthetic process	8/54	129/2420	7	8	OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_17439
GO:1901652	0.00347795600413	0.305658864385	BP	e	response to peptide	4/54	29/2420	5	4	OG_12511, OG_13864, OG_14425, OG_14988
GO:0050795	0.0091543556922	0.306670915689	BP	e	regulation of behavior	3/54	20/2420	3	3	OG_12563, OG_14425, OG_17657
GO:0031327	0.00820796049294	0.306670915689	BP	e	negative regulation of cellular biosynthetic process	8/54	133/2420	6	8	OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_17439
GO:0007610	0.0157181894137	0.38432082915	BP	e	behavior	7/54	120/2420	1	7	OG_12515, OG_12563, OG_13714, OG_14425, OG_15311, OG_16391, OG_17439
GO:0044281	0.0730693871677	0.38432082915	BP	e	small molecule metabolic process	10/54	260/2420	2	10	OG_13864, OG_15258, OG_15319, OG_15596, OG_16337, OG_16391, OG_16563, OG_17107, OG_17268, OG_17894
GO:0010556	0.0684912617465	0.38432082915	BP	e	regulation of macromolecule biosynthetic process	15/54	428/2420	5	15	OG_11074, OG_12140, OG_12217, OG_12228, OG_12511, OG_12515, OG_12895, OG_13385, OG_13709, OG_13864, OG_13957, OG_14793, OG_17439, OG_17859, OG_19769
GO:0045664	0.0745916315717	0.38432082915	BP	e	regulation of neuron differentiation	4/54	72/2420	7	4	OG_11074, OG_14825, OG_17439, OG_19769
GO:0045666	0.0511401402729	0.38432082915	BP	e	positive regulation of neuron differentiation	3/54	38/2420	8	3	OG_11074, OG_14825, OG_19769
GO:0042127	0.0157181894137	0.38432082915	BP	e	regulation of cell population proliferation	7/54	120/2420	4	7	OG_12140, OG_12511, OG_13461, OG_15319, OG_16017, OG_16224, OG_17439
GO:0010976	0.0330052926609	0.38432082915	BP	e	positive regulation of neuron projection development	3/54	32/2420	9	3	OG_11074, OG_14825, OG_19769
GO:0010975	0.0365284580283	0.38432082915	BP	e	regulation of neuron projection development	4/54	57/2420	8	4	OG_11074, OG_14825, OG_17439, OG_19769
GO:0043434	0.0170740582155	0.38432082915	BP	e	response to peptide hormone	3/54	25/2420	6	3	OG_12511, OG_13864, OG_14988
GO:0010243	0.0174389967272	0.38432082915	BP	e	response to organonitrogen compound	5/54	69/2420	4	5	OG_12511, OG_13864, OG_14425, OG_14988, OG_15311
GO:0009725	0.0223275184682	0.38432082915	BP	e	response to hormone	4/54	49/2420	4	4	OG_12511, OG_13864, OG_14425, OG_14988
GO:0019438	0.0699748239562	0.38432082915	BP	e	aromatic compound biosynthetic process	12/54	329/2420	4	12	OG_12140, OG_12217, OG_12228, OG_12511, OG_13709, OG_13864, OG_13957, OG_14793, OG_15258, OG_15319, OG_17107, OG_17439
GO:0022604	0.0524354523589	0.38432082915	BP	e	regulation of cell morphogenesis	4/54	64/2420	5	4	OG_11074, OG_14825, OG_17439, OG_19769
GO:0022603	0.0671958143389	0.38432082915	BP	e	regulation of anatomical structure morphogenesis	5/54	99/2420	4	5	OG_11074, OG_12511, OG_14825, OG_17439, OG_19769
GO:0045934	0.0314066484793	0.38432082915	BP	e	negative regulation of nucleobase-containing compound metabolic process	7/54	138/2420	6	7	OG_12217, OG_12228, OG_12515, OG_13385, OG_13864, OG_13957, OG_17439
GO:0051186	0.0340422111081	0.38432082915	BP	e	cofactor metabolic process	5/54	82/2420	3	5	OG_13714, OG_16337, OG_16391, OG_17499, OG_18000
GO:0098662	0.0415666060849	0.38432082915	BP	e	inorganic cation transmembrane transport	3/54	35/2420	7	3	OG_13461, OG_14128, OG_18603
GO:0098660	0.0731816037611	0.38432082915	BP	e	inorganic ion transmembrane transport	3/54	44/2420	6	3	OG_13461, OG_14128, OG_18603
GO:0018130	0.0707292222179	0.38432082915	BP	e	heterocycle biosynthetic process	12/54	330/2420	4	12	OG_12140, OG_12217, OG_12228, OG_12511, OG_13709, OG_13864, OG_13957, OG_14793, OG_15258, OG_15319, OG_17107, OG_17439
GO:0007626	0.0731816037611	0.38432082915	BP	e	locomotory behavior	3/54	44/2420	2	3	OG_13714, OG_15311, OG_16391
GO:0006812	0.0686615992815	0.38432082915	BP	e	cation transport	4/54	70/2420	5	4	OG_13461, OG_14128, OG_15311, OG_18603
GO:0006811	0.0706636941068	0.38432082915	BP	e	ion transport	6/54	132/2420	4	6	OG_13461, OG_14128, OG_14988, OG_15311, OG_17859, OG_18603
GO:0009889	0.0488332488169	0.38432082915	BP	e	regulation of biosynthetic process	16/54	448/2420	4	16	OG_11074, OG_12140, OG_12217, OG_12228, OG_12511, OG_12515, OG_12895, OG_13385, OG_13709, OG_13864, OG_13957, OG_14793, OG_15311, OG_17439, OG_17859, OG_19769
GO:0007051	0.0580686421957	0.38432082915	BP	e	spindle organization	3/54	40/2420	6	3	OG_11074, OG_11326, OG_16017
GO:0051239	0.0281194825511	0.38432082915	BP	e	regulation of multicellular organismal process	12/54	282/2420	3	12	OG_11074, OG_12140, OG_12511, OG_13461, OG_13714, OG_13864, OG_14425, OG_14825, OG_16017, OG_17439, OG_17657, OG_19769
GO:0034654	0.0588952609014	0.38432082915	BP	e	nucleobase-containing compound biosynthetic process	12/54	308/2420	5	12	OG_12140, OG_12217, OG_12228, OG_12511, OG_13709, OG_13864, OG_13957, OG_14793, OG_15258, OG_15319, OG_17107, OG_17439
GO:0051235	0.0415666060849	0.38432082915	BP	e	maintenance of location	3/54	35/2420	3	3	OG_13714, OG_13864, OG_15311
GO:0048732	0.021044123102	0.38432082915	BP	e	gland development	3/54	27/2420	4	3	OG_12511, OG_14793, OG_17894
GO:1901698	0.0217922623812	0.38432082915	BP	e	response to nitrogen compound	5/54	73/2420	3	5	OG_12511, OG_13864, OG_14425, OG_14988, OG_15311
GO:0009719	0.0686615992815	0.38432082915	BP	e	response to endogenous stimulus	4/54	70/2420	2	4	OG_12511, OG_13864, OG_14425, OG_14988
GO:0050767	0.0603652894281	0.38432082915	BP	e	regulation of neurogenesis	5/54	96/2420	6	5	OG_11074, OG_13461, OG_14825, OG_17439, OG_19769
GO:0050769	0.0692506079488	0.38432082915	BP	e	positive regulation of neurogenesis	3/54	43/2420	7	3	OG_11074, OG_14825, OG_19769
GO:0010769	0.0478383773149	0.38432082915	BP	e	regulation of cell morphogenesis involved in differentiation	3/54	37/2420	6	3	OG_11074, OG_17439, OG_19769
GO:0015672	0.0278721617508	0.38432082915	BP	e	monovalent inorganic cation transport	3/54	30/2420	6	3	OG_13461, OG_14128, OG_18603
GO:0008283	0.0386003949444	0.38432082915	BP	e	cell population proliferation	4/54	58/2420	1	4	OG_12217, OG_12511, OG_13461, OG_13957
GO:0055085	0.0686029719319	0.38432082915	BP	e	transmembrane transport	6/54	131/2420	4	6	OG_13461, OG_14128, OG_14988, OG_15311, OG_17859, OG_18603
GO:0005996	0.0278721617508	0.38432082915	BP	e	monosaccharide metabolic process	3/54	30/2420	4	3	OG_13864, OG_16337, OG_16391
GO:0031326	0.0760037460633	0.38432082915	BP	e	regulation of cellular biosynthetic process	15/54	444/2420	5	15	OG_11074, OG_12140, OG_12217, OG_12228, OG_12511, OG_12515, OG_12895, OG_13385, OG_13709, OG_13864, OG_13957, OG_14793, OG_17439, OG_17859, OG_19769
GO:0031324	0.0615837416706	0.38432082915	BP	e	negative regulation of cellular metabolic process	10/54	244/2420	5	10	OG_11074, OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_15311, OG_17439
GO:1903047	0.0744466573656	0.38432082915	BP	e	mitotic cell cycle process	5/54	102/2420	3	5	OG_11074, OG_12228, OG_12515, OG_13957, OG_16017
GO:0006520	0.0307115036481	0.38432082915	BP	e	cellular amino acid metabolic process	4/54	54/2420	6	4	OG_15258, OG_15596, OG_16563, OG_17268
GO:2000112	0.0668205761996	0.38432082915	BP	e	regulation of cellular macromolecule biosynthetic process	15/54	422/2420	6	15	OG_11074, OG_12140, OG_12217, OG_12228, OG_12511, OG_12515, OG_12895, OG_13385, OG_13709, OG_13864, OG_13957, OG_14793, OG_17439, OG_17859, OG_19769
GO:0019318	0.0232036313438	0.38432082915	BP	e	hexose metabolic process	3/54	28/2420	5	3	OG_13864, OG_16337, OG_16391
GO:0007017	0.0686029719319	0.38432082915	BP	e	microtubule-based process	6/54	131/2420	2	6	OG_11074, OG_11326, OG_12563, OG_12895, OG_16017, OG_19769
GO:0098655	0.0580686421957	0.38432082915	BP	e	cation transmembrane transport	3/54	40/2420	6	3	OG_13461, OG_14128, OG_18603
GO:0005975	0.0776524645685	0.385386305636	BP	e	carbohydrate metabolic process	4/54	73/2420	3	4	OG_13714, OG_13864, OG_16337, OG_16391
GO:0031346	0.0813380579368	0.396338173219	BP	e	positive regulation of cell projection organization	3/54	46/2420	6	3	OG_11074, OG_14825, OG_19769
GO:0031344	0.093892343858	0.400307205903	BP	e	regulation of cell projection organization	4/54	78/2420	5	4	OG_11074, OG_14825, OG_17439, OG_19769
GO:1901564	0.0981988303624	0.400307205903	BP	e	organonitrogen compound metabolic process	22/54	728/2420	3	22	OG_11074, OG_12140, OG_12217, OG_12511, OG_12563, OG_13005, OG_13385, OG_13864, OG_15137, OG_15258, OG_15319, OG_15596, OG_16224, OG_16337, OG_16391, OG_16563, OG_17107, OG_17268, OG_17657, OG_18000, OG_19337, OG_19769
GO:0000226	0.104361302168	0.400307205903	BP	e	microtubule cytoskeleton organization	4/54	81/2420	5	4	OG_11074, OG_11326, OG_12895, OG_16017
GO:0120035	0.093892343858	0.400307205903	BP	e	regulation of plasma membrane bounded cell projection organization	4/54	78/2420	6	4	OG_11074, OG_14825, OG_17439, OG_19769
GO:0051962	0.098773119736	0.400307205903	BP	e	positive regulation of nervous system development	3/54	50/2420	6	3	OG_11074, OG_14825, OG_19769
GO:0006753	0.104361302168	0.400307205903	BP	e	nucleoside phosphate metabolic process	4/54	81/2420	6	4	OG_15319, OG_16337, OG_16391, OG_17107
GO:1903507	0.0986797102033	0.400307205903	BP	e	negative regulation of nucleic acid-templated transcription	5/54	111/2420	9	5	OG_12217, OG_12515, OG_13385, OG_13864, OG_17439
GO:0045597	0.093892343858	0.400307205903	BP	e	positive regulation of cell differentiation	4/54	78/2420	5	4	OG_11074, OG_12511, OG_14825, OG_19769
GO:0045595	0.0893566085626	0.400307205903	BP	e	regulation of cell differentiation	7/54	163/2420	4	7	OG_11074, OG_12217, OG_12511, OG_13461, OG_14825, OG_17439, OG_19769
GO:0045892	0.0986797102033	0.400307205903	BP	e	negative regulation of transcription, DNA-templated	5/54	111/2420	10	5	OG_12217, OG_12515, OG_13385, OG_13864, OG_17439
GO:0051094	0.104557852288	0.400307205903	BP	e	positive regulation of developmental process	5/54	113/2420	4	5	OG_11074, OG_12511, OG_14825, OG_17439, OG_19769
GO:0000278	0.098773119736	0.400307205903	BP	e	mitotic cell cycle	3/54	50/2420	3	3	OG_12895, OG_13461, OG_15319
GO:1902679	0.0986797102033	0.400307205903	BP	e	negative regulation of RNA biosynthetic process	5/54	111/2420	8	5	OG_12217, OG_12515, OG_13385, OG_13864, OG_17439
GO:0009117	0.104361302168	0.400307205903	BP	e	nucleotide metabolic process	4/54	81/2420	7	4	OG_15319, OG_16337, OG_16391, OG_17107
GO:0006790	0.098773119736	0.400307205903	BP	e	sulfur compound metabolic process	3/54	50/2420	3	3	OG_13714, OG_17499, OG_18000
GO:0051960	0.107562293103	0.406009782417	BP	e	regulation of nervous system development	5/54	114/2420	5	5	OG_11074, OG_13461, OG_14825, OG_17439, OG_19769
GO:1901362	0.110556786915	0.411516929072	BP	e	organic cyclic compound biosynthetic process	12/54	343/2420	4	12	OG_12140, OG_12217, OG_12228, OG_12511, OG_13709, OG_13864, OG_13957, OG_14793, OG_15258, OG_15319, OG_17107, OG_17439
GO:0008284	0.112765032983	0.413986696431	BP	e	positive regulation of cell population proliferation	3/54	53/2420	5	3	OG_12511, OG_15319, OG_17439
GO:0010720	0.122495988451	0.443634120336	BP	e	positive regulation of cell development	3/54	55/2420	6	3	OG_11074, OG_14825, OG_19769
GO:0009892	0.126596749699	0.449519163627	BP	e	negative regulation of metabolic process	10/54	279/2420	4	10	OG_11074, OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_15311, OG_17439
GO:0045596	0.127475583715	0.449519163627	BP	e	negative regulation of cell differentiation	3/54	56/2420	5	3	OG_12217, OG_13461, OG_17439
GO:0006357	0.132587500259	0.461473377525	BP	e	regulation of transcription by RNA polymerase II	8/54	208/2420	10	8	OG_12140, OG_12511, OG_13385, OG_13864, OG_14793, OG_17439, OG_17859, OG_19769
GO:0044282	0.142843274708	0.485188581082	BP	e	small molecule catabolic process	3/54	59/2420	3	3	OG_15258, OG_15596, OG_16391
GO:0051172	0.14302200711	0.485188581082	BP	e	negative regulation of nitrogen compound metabolic process	8/54	217/2420	5	8	OG_12217, OG_12228, OG_12515, OG_12895, OG_13385, OG_13864, OG_13957, OG_17439
GO:0016570	0.148101097138	0.496138675412	BP	e	histone modification	3/54	60/2420	7	3	OG_12140, OG_12217, OG_13385
GO:0051241	0.151194148098	0.500247304818	BP	e	negative regulation of multicellular organismal process	4/54	93/2420	4	4	OG_13461, OG_13864, OG_17439, OG_17657
GO:0016569	0.153422683341	0.501430233358	BP	e	covalent chromatin modification	3/54	61/2420	5	3	OG_12140, OG_12217, OG_13385
GO:0055086	0.164016059452	0.511408315357	BP	e	nucleobase-containing small molecule metabolic process	4/54	96/2420	5	4	OG_15319, OG_16337, OG_16391, OG_17107
GO:0022402	0.16410863851	0.511408315357	BP	e	cell cycle process	6/54	159/2420	2	6	OG_11074, OG_11326, OG_12228, OG_12515, OG_13957, OG_16017
GO:0006468	0.164016059452	0.511408315357	BP	e	protein phosphorylation	4/54	96/2420	7	4	OG_12563, OG_13385, OG_13864, OG_16224
GO:0051640	0.164016059452	0.511408315357	BP	e	organelle localization	4/54	96/2420	3	4	OG_11074, OG_11326, OG_12228, OG_19769
GO:0016310	0.17157848964	0.528540634753	BP	e	phosphorylation	6/54	162/2420	5	6	OG_12563, OG_13385, OG_13864, OG_15596, OG_16224, OG_17107
GO:0050793	0.178321945821	0.532778174452	BP	e	regulation of developmental process	9/54	261/2420	3	9	OG_11074, OG_12140, OG_12217, OG_12511, OG_13461, OG_14825, OG_16017, OG_17439, OG_19769
GO:0009888	0.180906021922	0.532778174452	BP	e	tissue development	3/54	66/2420	3	3	OG_12511, OG_12515, OG_13714
GO:0009059	0.175071418535	0.532778174452	BP	e	macromolecule biosynthetic process	12/54	366/2420	4	12	OG_12140, OG_12217, OG_12228, OG_12511, OG_13005, OG_13709, OG_13864, OG_13957, OG_14793, OG_15258, OG_15319, OG_17439
GO:1901700	0.18062480848	0.532778174452	BP	e	response to oxygen-containing compound	5/54	115/2420	3	5	OG_12511, OG_12563, OG_13864, OG_14425, OG_14988
GO:0060284	0.186899769257	0.53859288345	BP	e	regulation of cell development	5/54	119/2420	5	5	OG_11074, OG_13461, OG_14825, OG_17439, OG_19769
GO:0019752	0.186899769257	0.53859288345	BP	e	carboxylic acid metabolic process	5/54	119/2420	5	5	OG_15258, OG_15596, OG_16563, OG_17268, OG_17894
GO:0043436	0.207747700694	0.546937745332	BP	e	oxoacid metabolic process	5/54	129/2420	4	5	OG_15258, OG_15596, OG_16563, OG_17268, OG_17894
GO:0031667	0.209638384142	0.546937745332	BP	e	response to nutrient levels	3/54	71/2420	4	3	OG_12511, OG_13461, OG_14988
GO:0044271	0.195581091661	0.546937745332	BP	e	cellular nitrogen compound biosynthetic process	13/54	409/2420	4	13	OG_12140, OG_12217, OG_12228, OG_12511, OG_13005, OG_13709, OG_13864, OG_13957, OG_14793, OG_15258, OG_15319, OG_17107, OG_17439
GO:0051240	0.205355504744	0.546937745332	BP	e	positive regulation of multicellular organismal process	5/54	128/2420	4	5	OG_11074, OG_12511, OG_14825, OG_17439, OG_19769
GO:0006082	0.210203685706	0.546937745332	BP	e	organic acid metabolic process	5/54	130/2420	3	5	OG_15258, OG_15596, OG_16563, OG_17268, OG_17894
GO:0051253	0.194394387182	0.546937745332	BP	e	negative regulation of RNA metabolic process	5/54	123/2420	7	5	OG_12217, OG_12515, OG_13385, OG_13864, OG_17439
GO:0019219	0.209723386485	0.546937745332	BP	e	regulation of nucleobase-containing compound metabolic process	13/54	429/2420	5	13	OG_12140, OG_12217, OG_12228, OG_12511, OG_12515, OG_13385, OG_13709, OG_13864, OG_13957, OG_14793, OG_17439, OG_17859, OG_19769
GO:0034220	0.203805544407	0.546937745332	BP	e	ion transmembrane transport	3/54	70/2420	5	3	OG_13461, OG_14128, OG_18603
