GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0080090	0.104766181174	0.524546731486	BP	e	regulation of primary metabolic process	22/61	641/2420	4	22	OG_11785, OG_11867, OG_11934, OG_12188, OG_12297, OG_12325, OG_12389, OG_12416, OG_12840, OG_12910, OG_13087, OG_14263, OG_14295, OG_14603, OG_15516, OG_16336, OG_16834, OG_17116, OG_17797, OG_18029, OG_18352, OG_18655
GO:0019222	0.0635354454889	0.524546731486	BP	e	regulation of metabolic process	25/61	716/2420	3	25	OG_10931, OG_11785, OG_11867, OG_11934, OG_12188, OG_12297, OG_12325, OG_12389, OG_12416, OG_12840, OG_12910, OG_13087, OG_13318, OG_14263, OG_14295, OG_14603, OG_15516, OG_16336, OG_16357, OG_16834, OG_17116, OG_17797, OG_18029, OG_18352, OG_18655
GO:2001233	0.0563289936187	0.524546731486	BP	e	regulation of apoptotic signaling pathway	3/61	35/2420	7	3	OG_15516, OG_18352, OG_18655
GO:0055085	0.0439846345846	0.524546731486	BP	e	transmembrane transport	7/61	131/2420	4	7	OG_12325, OG_13411, OG_13801, OG_15097, OG_15834, OG_16030, OG_17151
GO:0006260	0.0450044512335	0.524546731486	BP	e	DNA replication	3/61	32/2420	7	3	OG_14295, OG_14603, OG_17116
GO:0044092	0.0348552310624	0.524546731486	BP	e	negative regulation of molecular function	5/61	73/2420	3	5	OG_12297, OG_12416, OG_12910, OG_17797, OG_18655
GO:0048519	0.0261042730362	0.524546731486	BP	e	negative regulation of biological process	20/61	508/2420	3	20	OG_10931, OG_11785, OG_11867, OG_12188, OG_12297, OG_12325, OG_12416, OG_12840, OG_12910, OG_13486, OG_13971, OG_14224, OG_14295, OG_14302, OG_15516, OG_15944, OG_17116, OG_17797, OG_18352, OG_18655
GO:0007088	0.0450044512335	0.524546731486	BP	e	regulation of mitotic nuclear division	3/61	32/2420	7	3	OG_15516, OG_17604, OG_17797
GO:2001141	0.0991328349074	0.524546731486	BP	e	regulation of RNA biosynthetic process	14/61	363/2420	7	14	OG_11867, OG_11934, OG_12188, OG_12297, OG_12325, OG_12389, OG_12416, OG_12840, OG_13087, OG_14263, OG_14295, OG_15516, OG_16834, OG_18029
GO:0046486	0.0923338059284	0.524546731486	BP	e	glycerolipid metabolic process	3/61	43/2420	5	3	OG_12449, OG_12910, OG_16357
GO:0010639	0.107802534946	0.524546731486	BP	e	negative regulation of organelle organization	3/61	46/2420	6	3	OG_12416, OG_14302, OG_15516
