GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0043631	0.000120217011877	0.0197404365836	BP	e	RNA polyadenylation	4/61	11/2341	7	4	OG_12042, OG_13412, OG_16619, OG_17257
GO:0031124	0.000176819007774	0.0197404365836	BP	e	mRNA 3'-end processing	4/61	12/2341	9	4	OG_11241, OG_12042, OG_13412, OG_16619
GO:0031123	0.000238795603834	0.0197404365836	BP	e	RNA 3'-end processing	5/61	23/2341	8	5	OG_11241, OG_12042, OG_13412, OG_16619, OG_17257
GO:0008334	0.00031861714458	0.019754262964	BP	e	histone mRNA metabolic process	3/61	6/2341	8	3	OG_11241, OG_12042, OG_17257
GO:1901987	0.000616007989443	0.0305539962764	BP	e	regulation of cell cycle phase transition	6/61	42/2341	6	6	OG_11241, OG_12565, OG_14775, OG_15041, OG_16562, OG_16810
GO:0006643	0.00147963072333	0.0611580698976	BP	e	membrane lipid metabolic process	4/61	20/2341	5	4	OG_11759, OG_13682, OG_14019, OG_17005
GO:0006378	0.00177391795783	0.0628473790774	BP	e	mRNA polyadenylation	3/61	10/2341	10	3	OG_12042, OG_13412, OG_16619
GO:1901990	0.00332139387973	0.0823705682173	BP	e	regulation of mitotic cell cycle phase transition	5/61	40/2341	7	5	OG_11241, OG_12565, OG_14775, OG_16562, OG_16810
GO:1901992	0.0031331347475	0.0823705682173	BP	e	positive regulation of mitotic cell cycle phase transition	3/61	12/2341	8	3	OG_11241, OG_16562, OG_16810
GO:0046467	0.0031331347475	0.0823705682173	BP	e	membrane lipid biosynthetic process	3/61	12/2341	6	3	OG_11759, OG_14019, OG_17005
GO:1901989	0.00399794278248	0.0901354372777	BP	e	positive regulation of cell cycle phase transition	3/61	13/2341	7	3	OG_11241, OG_16562, OG_16810
GO:2000045	0.00499452530015	0.103220189536	BP	e	regulation of G1/S transition of mitotic cell cycle	3/61	14/2341	8	3	OG_11241, OG_14775, OG_16562
GO:0006665	0.0061282253523	0.108557134812	BP	e	sphingolipid metabolic process	3/61	15/2341	6	3	OG_11759, OG_13682, OG_17005
GO:1902806	0.0061282253523	0.108557134812	BP	e	regulation of cell cycle G1/S phase transition	3/61	15/2341	7	3	OG_11241, OG_14775, OG_16562
GO:0006397	0.00758570827906	0.125417043547	BP	e	mRNA processing	6/61	68/2341	8	6	OG_11241, OG_12042, OG_13212, OG_13412, OG_16619, OG_17257
GO:0010564	0.0154252887018	0.239091974878	BP	e	regulation of cell cycle process	6/61	79/2341	5	6	OG_11241, OG_12565, OG_14775, OG_15041, OG_16562, OG_16810
GO:0045787	0.0205671658364	0.280868298126	BP	e	positive regulation of cell cycle	4/61	41/2341	5	4	OG_11241, OG_12123, OG_16562, OG_16810
GO:0065008	0.0215181357435	0.280868298126	BP	p	regulation of biological quality	5/61	453/2341	2	5	OG_11262, OG_14612, OG_14775, OG_16798, OG_18146
GO:0045931	0.0205725682261	0.280868298126	BP	e	positive regulation of mitotic cell cycle	3/61	23/2341	6	3	OG_11241, OG_16562, OG_16810
GO:0002683	0.0230827492035	0.286226090123	BP	e	negative regulation of immune system process	3/61	24/2341	4	3	OG_14019, OG_14474, OG_14618
GO:0016071	0.0250854063389	0.296246703431	BP	e	mRNA metabolic process	6/61	88/2341	7	6	OG_11241, OG_12042, OG_13212, OG_13412, OG_16619, OG_17257
GO:0051168	0.0347166638108	0.37433620109	BP	e	nuclear export	3/61	28/2341	7	3	OG_12042, OG_12642, OG_13212
GO:0090068	0.0347166638108	0.37433620109	BP	e	positive regulation of cell cycle process	3/61	28/2341	6	3	OG_11241, OG_16562, OG_16810
GO:0051346	0.0414794302148	0.428620778886	BP	e	negative regulation of hydrolase activity	3/61	30/2341	5	3	OG_13131, OG_13842, OG_16798
GO:0007346	0.0456449422293	0.435382525879	BP	e	regulation of mitotic cell cycle	5/61	76/2341	5	5	OG_11241, OG_12565, OG_14775, OG_16562, OG_16810
GO:0008380	0.0445038239001	0.435382525879	BP	e	RNA splicing	4/61	52/2341	8	4	OG_11241, OG_12042, OG_13212, OG_16619
GO:0006807	0.0496292515122	0.447773704835	BP	e	nitrogen compound metabolic process	34/61	1011/2341	2	34	OG_11241, OG_11262, OG_11759, OG_12042, OG_12123, OG_12565, OG_12642, OG_12957, OG_13005, OG_13212, OG_13412, OG_13603, OG_13682, OG_14001, OG_14019, OG_14474, OG_14584, OG_14612, OG_14618, OG_15041, OG_15360, OG_16264, OG_16562, OG_16619, OG_16669, OG_16798, OG_16810, OG_16811, OG_17005, OG_17084, OG_17257, OG_18146, OG_18304, OG_18587
GO:0044237	0.0505550957072	0.447773704835	BP	e	cellular metabolic process	37/61	1115/2341	2	37	OG_11241, OG_11262, OG_11759, OG_12042, OG_12123, OG_12565, OG_12642, OG_12957, OG_13005, OG_13212, OG_13412, OG_13603, OG_13682, OG_13811, OG_13885, OG_14001, OG_14019, OG_14474, OG_14584, OG_14612, OG_14618, OG_15041, OG_15360, OG_16264, OG_16562, OG_16619, OG_16669, OG_16798, OG_16810, OG_16811, OG_17005, OG_17084, OG_17257, OG_17967, OG_18146, OG_18304, OG_18587
GO:0022414	0.0545163925179	0.466209149808	BP	p	reproductive process	3/61	313/2341	1	3	OG_15110, OG_15344, OG_18146
GO:0032501	0.057945712827	0.479017892703	BP	p	multicellular organismal process	7/61	512/2341	1	7	OG_12009, OG_13321, OG_13682, OG_13842, OG_15110, OG_18146, OG_18512
GO:0000398	0.0698899421459	0.525233504612	BP	e	mRNA splicing, via spliceosome	3/61	37/2341	11	3	OG_11241, OG_12042, OG_13212
GO:0033044	0.0688101593179	0.525233504612	BP	e	regulation of chromosome organization	4/61	60/2341	6	4	OG_12565, OG_12642, OG_16562, OG_16810
GO:0000377	0.0698899421459	0.525233504612	BP	e	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	3/61	37/2341	10	3	OG_11241, OG_12042, OG_13212
GO:0034622	0.0764814373415	0.557864601785	BP	e	cellular protein-containing complex assembly	5/61	88/2341	5	5	OG_13811, OG_16565, OG_16619, OG_16669, OG_18304
GO:0048869	0.0811359874026	0.558936802107	BP	p	cellular developmental process	5/61	387/2341	2	5	OG_13842, OG_14019, OG_14775, OG_16562, OG_18146
GO:0000375	0.0792819373254	0.558936802107	BP	e	RNA splicing, via transesterification reactions	3/61	39/2341	9	3	OG_11241, OG_12042, OG_13212
GO:0051726	0.083852414556	0.562037805673	BP	e	regulation of cell cycle	7/61	135/2341	4	7	OG_11241, OG_12123, OG_12565, OG_14775, OG_15041, OG_16562, OG_16810
GO:0051169	0.0996109765691	0.588179099741	BP	e	nuclear transport	3/61	43/2341	5	3	OG_12042, OG_12642, OG_13212
GO:0023051	0.0940540651254	0.588179099741	BP	p	regulation of signaling	4/61	330/2341	3	4	OG_14618, OG_14775, OG_16264, OG_16798
GO:0001667	0.0907544855178	0.588179099741	BP	e	ameboidal-type cell migration	4/61	66/2341	5	4	OG_13682, OG_14775, OG_15110, OG_17967
GO:0006913	0.0996109765691	0.588179099741	BP	e	nucleocytoplasmic transport	3/61	43/2341	6	3	OG_12042, OG_12642, OG_13212
GO:0006396	0.095338392302	0.588179099741	BP	e	RNA processing	7/61	143/2341	7	7	OG_11241, OG_12042, OG_13212, OG_13412, OG_13603, OG_16619, OG_17257
GO:0009966	0.109353384611	0.630689287989	BP	p	regulation of signal transduction	3/61	287/2341	5	3	OG_14618, OG_14775, OG_16264
