GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009895	0.00411787084178	0.20033660403	BP	e	negative regulation of catabolic process	3/34	14/1382	5	3	OG_12882, OG_13888, OG_15009
GO:0031330	0.00329061828432	0.20033660403	BP	e	negative regulation of cellular catabolic process	3/34	13/1382	6	3	OG_12882, OG_13888, OG_15009
GO:0060627	0.00469538915695	0.20033660403	BP	e	regulation of vesicle-mediated transport	4/34	29/1382	5	4	OG_12882, OG_13888, OG_14839, OG_17565
GO:0043543	0.0100755015217	0.322416048694	BP	e	protein acylation	3/34	19/1382	7	3	OG_14624, OG_15367, OG_17742
GO:0044237	0.0224229917615	0.574028589094	BP	p	cellular metabolic process	9/34	644/1382	2	9	OG_12882, OG_14624, OG_15009, OG_15367, OG_15434, OG_15988, OG_16026, OG_17742, OG_19038
GO:0080090	0.130329549424	0.602164258339	BP	p	regulation of primary metabolic process	6/34	418/1382	4	6	OG_12882, OG_14624, OG_14830, OG_14836, OG_15009, OG_19038
GO:0051049	0.0729001344131	0.602164258339	BP	e	regulation of transport	5/34	93/1382	4	5	OG_12882, OG_13888, OG_14839, OG_16026, OG_17565
GO:0018193	0.0782778447296	0.602164258339	BP	e	peptidyl-amino acid modification	4/34	67/1382	7	4	OG_14624, OG_15367, OG_15434, OG_17742
GO:0060255	0.192998443897	0.602164258339	BP	p	regulation of macromolecule metabolic process	7/34	437/1382	4	7	OG_12882, OG_14624, OG_14830, OG_14836, OG_14839, OG_17565, OG_19038
GO:0003002	0.193008603194	0.602164258339	BP	e	regionalization	3/34	62/1382	3	3	OG_11040, OG_12044, OG_14836
GO:2001141	0.180517853952	0.602164258339	BP	p	regulation of RNA biosynthetic process	3/34	259/1382	7	3	OG_14624, OG_14836, OG_19038
GO:0044249	0.0885284557207	0.602164258339	BP	p	cellular biosynthetic process	3/34	298/1382	3	3	OG_12882, OG_14624, OG_16026
GO:0019637	0.199399858374	0.602164258339	BP	e	organophosphate metabolic process	3/34	63/1382	4	3	OG_12882, OG_15009, OG_16026
GO:0009894	0.174191491369	0.602164258339	BP	e	regulation of catabolic process	3/34	59/1382	4	3	OG_12882, OG_13888, OG_15009
GO:0006807	0.0541422324976	0.602164258339	BP	p	nitrogen compound metabolic process	9/34	594/1382	2	9	OG_11040, OG_11216, OG_12882, OG_14624, OG_15367, OG_15434, OG_15644, OG_15988, OG_17742
