GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0001764	0.00167456288958	0.47725042353	BP	e	neuron migration	3/59	10/2309	5	3	OG_10879, OG_11237, OG_14254
GO:0048589	0.0933938949334	0.619006047814	BP	e	developmental growth	4/59	68/2309	2	4	OG_13066, OG_14604, OG_15077, OG_16034
GO:0007163	0.0393475768413	0.619006047814	BP	e	establishment or maintenance of cell polarity	4/59	51/2309	2	4	OG_10879, OG_14254, OG_14480, OG_16367
GO:0031344	0.0608045107218	0.619006047814	BP	e	regulation of cell projection organization	5/59	84/2309	5	5	OG_10879, OG_13361, OG_14480, OG_14604, OG_16199
GO:0031346	0.0262615942311	0.619006047814	BP	e	positive regulation of cell projection organization	4/59	45/2309	6	4	OG_10879, OG_14480, OG_14604, OG_16199
GO:0070727	0.0865306015595	0.619006047814	BP	e	cellular macromolecule localization	7/59	140/2309	3	7	OG_11588, OG_13066, OG_13707, OG_14254, OG_14528, OG_14714, OG_16411
GO:0010608	0.0585994900504	0.619006047814	BP	e	posttranscriptional regulation of gene expression	4/59	58/2309	6	4	OG_14492, OG_14604, OG_15077, OG_15229
GO:0045664	0.0103419559756	0.619006047814	BP	e	regulation of neuron differentiation	6/59	74/2309	7	6	OG_10879, OG_13361, OG_14480, OG_14604, OG_15077, OG_16199
GO:0045666	0.0162362749149	0.619006047814	BP	e	positive regulation of neuron differentiation	4/59	39/2309	8	4	OG_10879, OG_14480, OG_14604, OG_16199
GO:0010720	0.0715128329023	0.619006047814	BP	e	positive regulation of cell development	4/59	62/2309	6	4	OG_10879, OG_14480, OG_14604, OG_16199
GO:0006605	0.0361529576852	0.619006047814	BP	e	protein targeting	3/59	29/2309	9	3	OG_11588, OG_13066, OG_14528
GO:0010976	0.00722867686034	0.619006047814	BP	e	positive regulation of neuron projection development	4/59	31/2309	9	4	OG_10879, OG_14480, OG_14604, OG_16199
GO:0010975	0.0149128602481	0.619006047814	BP	e	regulation of neuron projection development	5/59	58/2309	8	5	OG_10879, OG_13361, OG_14480, OG_14604, OG_16199
GO:0097485	0.0820852112792	0.619006047814	BP	e	neuron projection guidance	4/59	65/2309	3	4	OG_11237, OG_14254, OG_14480, OG_15681
GO:0048870	0.0678257114773	0.619006047814	BP	e	cell motility	6/59	114/2309	3	6	OG_10879, OG_11237, OG_13361, OG_14254, OG_14714, OG_15120
GO:0006928	0.0913067750778	0.619006047814	BP	e	movement of cell or subcellular component	9/59	197/2309	2	9	OG_10879, OG_11237, OG_12614, OG_13361, OG_14254, OG_14480, OG_14714, OG_15120, OG_15681
