GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048469	0.00328313936261	0.367936874016	BP	e	cell maturation	3/40	18/2309	3	3	OG_12511, OG_14122, OG_17580
GO:0007292	0.00867775646264	0.367936874016	BP	e	female gamete generation	4/40	48/2309	4	4	OG_11283, OG_15098, OG_15602, OG_16806
GO:0048869	0.00770142014863	0.367936874016	BP	e	cellular developmental process	13/40	368/2309	2	13	OG_11176, OG_11283, OG_12511, OG_12585, OG_13296, OG_14122, OG_15098, OG_15602, OG_15631, OG_16806, OG_17580, OG_17662, OG_18961
GO:0071695	0.00516180881127	0.367936874016	BP	e	anatomical structure maturation	3/40	21/2309	3	3	OG_12511, OG_14122, OG_17580
GO:0055088	0.00590554826157	0.367936874016	BP	e	lipid homeostasis	3/40	22/2309	5	3	OG_11283, OG_12511, OG_15132
GO:0021700	0.010564617411	0.373283148522	BP	e	developmental maturation	3/40	27/2309	2	3	OG_12511, OG_14122, OG_17580
GO:0003002	0.0244449933147	0.57581539808	BP	e	regionalization	4/40	65/2309	3	4	OG_11283, OG_12120, OG_13296, OG_15713
GO:0032886	0.0214867145598	0.57581539808	BP	e	regulation of microtubule-based process	3/40	35/2309	4	3	OG_14553, OG_15602, OG_17580
GO:0008283	0.0232268096444	0.57581539808	BP	e	cell population proliferation	4/40	64/2309	1	4	OG_12120, OG_12511, OG_15602, OG_15631
GO:0030154	0.0279799141035	0.593174178994	BP	e	cell differentiation	7/40	175/2309	3	7	OG_11283, OG_12585, OG_15602, OG_15631, OG_16806, OG_17662, OG_18961
GO:0032446	0.0591573552508	0.607889435767	BP	e	protein modification by small protein conjugation	4/40	86/2309	8	4	OG_12120, OG_14677, OG_17029, OG_17554
GO:0007281	0.093676202693	0.607889435767	BP	e	germ cell development	3/40	63/2309	4	3	OG_11283, OG_15098, OG_15602
GO:0007346	0.0456259151641	0.607889435767	BP	e	regulation of mitotic cell cycle	4/40	79/2309	5	4	OG_12120, OG_14626, OG_15602, OG_17580
GO:0006886	0.0946242989638	0.607889435767	BP	e	intracellular protein transport	4/40	101/2309	8	4	OG_11283, OG_12585, OG_14553, OG_15602
GO:0048477	0.0413697324778	0.607889435767	BP	e	oogenesis	3/40	45/2309	5	3	OG_11283, OG_15098, OG_15602
GO:0048646	0.0617575768221	0.607889435767	BP	e	anatomical structure formation involved in morphogenesis	5/40	125/2309	2	5	OG_11283, OG_12511, OG_13296, OG_15098, OG_15602
GO:1901987	0.0461682452853	0.607889435767	BP	e	regulation of cell cycle phase transition	3/40	47/2309	6	3	OG_12120, OG_14626, OG_15602
GO:0006511	0.0723057431818	0.607889435767	BP	e	ubiquitin-dependent protein catabolic process	4/40	92/2309	8	4	OG_12120, OG_12511, OG_12688, OG_17029
GO:0048638	0.0869091213717	0.607889435767	BP	e	regulation of developmental growth	3/40	61/2309	4	3	OG_11176, OG_12120, OG_16806
GO:1901990	0.0437354414876	0.607889435767	BP	e	regulation of mitotic cell cycle phase transition	3/40	46/2309	7	3	OG_12120, OG_14626, OG_15602
GO:0043161	0.0869091213717	0.607889435767	BP	e	proteasome-mediated ubiquitin-dependent protein catabolic process	3/40	61/2309	9	3	OG_12120, OG_12688, OG_17029
