GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051179	0.000446557047324	0.0241140805555	BP	e	localization	9/14	233/1129	1	9	OG_10851, OG_11626, OG_11942, OG_12614, OG_12775, OG_13294, OG_13875, OG_16949, OG_18714
GO:0120036	0.00179276558518	0.0484046707999	BP	e	plasma membrane bounded cell projection organization	4/14	46/1129	4	4	OG_10851, OG_11626, OG_11942, OG_16191
GO:0051050	0.00372923992345	0.0553056271061	BP	e	positive regulation of transport	3/14	27/1129	5	3	OG_10851, OG_11626, OG_16191
GO:0051234	0.00409671311897	0.0553056271061	BP	e	establishment of localization	7/14	190/1129	2	7	OG_10851, OG_11626, OG_12614, OG_13294, OG_13875, OG_16949, OG_18714
GO:0008104	0.0117759089046	0.0783264275874	BP	e	protein localization	5/14	121/1129	3	5	OG_10851, OG_11626, OG_11942, OG_12775, OG_13875
GO:0070727	0.0103024041451	0.0783264275874	BP	e	cellular macromolecule localization	4/14	74/1129	3	4	OG_11626, OG_11942, OG_12775, OG_13875
GO:0033036	0.0130544045979	0.0783264275874	BP	e	macromolecule localization	5/14	124/1129	2	5	OG_10851, OG_11626, OG_11942, OG_12775, OG_13875
GO:0034613	0.00934780007534	0.0783264275874	BP	e	cellular protein localization	4/14	72/1129	4	4	OG_11626, OG_11942, OG_12775, OG_13875
GO:0051641	0.010974417855	0.0783264275874	BP	e	cellular localization	5/14	119/1129	2	5	OG_11626, OG_11942, OG_12614, OG_12775, OG_13875
GO:0006810	0.0156786044168	0.0846644638507	BP	e	transport	6/14	182/1129	3	6	OG_11626, OG_12614, OG_13294, OG_13875, OG_16949, OG_18714
GO:0030030	0.0203341623078	0.0998222513292	BP	e	cell projection organization	4/14	90/1129	3	4	OG_10851, OG_11626, OG_11942, OG_16191
GO:0044087	0.0271847331801	0.12233129931	BP	e	regulation of cellular component biogenesis	3/14	55/1129	3	3	OG_10851, OG_11626, OG_16191
GO:0071702	0.034038927601	0.141392468496	BP	e	organic substance transport	4/14	105/1129	4	4	OG_11626, OG_13294, OG_13875, OG_18714
GO:0016192	0.0403817549144	0.155758197527	BP	e	vesicle-mediated transport	3/14	64/1129	4	3	OG_11626, OG_12614, OG_13875
GO:0051049	0.0507418527081	0.16118000272	BP	e	regulation of transport	3/14	70/1129	4	3	OG_10851, OG_11626, OG_16191
GO:0048646	0.0489295273304	0.16118000272	BP	e	anatomical structure formation involved in morphogenesis	3/14	69/1129	2	3	OG_10851, OG_11942, OG_12614
GO:0007010	0.0471512796088	0.16118000272	BP	e	cytoskeleton organization	3/14	68/1129	4	3	OG_11626, OG_11942, OG_16191
GO:0045184	0.0623222188868	0.182941439595	BP	e	establishment of protein localization	3/14	76/1129	4	3	OG_10851, OG_11626, OG_13875
GO:0046907	0.0643682843018	0.182941439595	BP	e	intracellular transport	3/14	77/1129	4	3	OG_11626, OG_12614, OG_13875
GO:0050877	0.0795904104831	0.214894108304	BP	e	nervous system process	3/14	84/1129	3	3	OG_10851, OG_11626, OG_16949
GO:0051649	0.0963243614657	0.247691215198	BP	e	establishment of localization in cell	3/14	91/1129	3	3	OG_11626, OG_12614, OG_13875
GO:0048513	0.103008037458	0.252837910124	BP	e	animal organ development	4/14	150/1129	3	4	OG_11942, OG_12374, OG_13294, OG_16191
GO:0006996	0.121784156247	0.285928019015	BP	e	organelle organization	4/14	159/1129	3	4	OG_10851, OG_11626, OG_11942, OG_16191
GO:0003008	0.128237327208	0.288533986218	BP	e	system process	3/14	103/1129	2	3	OG_10851, OG_11626, OG_16949
GO:0042221	0.145573364209	0.314438466691	BP	e	response to chemical	3/14	109/1129	2	3	OG_11626, OG_12614, OG_16949
GO:0032502	0.16486421641	0.342410295621	BP	e	developmental process	8/14	424/1129	1	8	OG_10851, OG_11626, OG_11942, OG_12374, OG_12614, OG_12775, OG_13294, OG_16191
GO:0006928	0.212163070804	0.380863212459	BP	e	movement of cell or subcellular component	3/14	130/1129	2	3	OG_10851, OG_12614, OG_16191
GO:0051716	0.225696718494	0.380863212459	BP	e	cellular response to stimulus	3/14	134/1129	2	3	OG_11626, OG_12614, OG_13875
GO:0032879	0.212163070804	0.380863212459	BP	e	regulation of localization	3/14	130/1129	3	3	OG_10851, OG_11626, OG_16191
GO:0065009	0.22229231293	0.380863212459	BP	e	regulation of molecular function	3/14	133/1129	2	3	OG_10851, OG_11626, OG_13875
GO:0048856	0.223065142348	0.380863212459	BP	e	anatomical structure development	6/14	305/1129	2	6	OG_11626, OG_11942, OG_12374, OG_12614, OG_13294, OG_16191
GO:0009987	0.222213228493	0.380863212459	BP	p	cellular process	8/14	825/1129	1	8	OG_10851, OG_11626, OG_11942, OG_12614, OG_12775, OG_13875, OG_16191, OG_16949
GO:0019222	0.27254836929	0.439768756608	BP	p	regulation of metabolic process	3/14	425/1129	3	3	OG_10851, OG_12614, OG_13875
GO:0023051	0.276891439346	0.439768756608	BP	e	regulation of signaling	4/14	193/1129	3	4	OG_10851, OG_11626, OG_12614, OG_12775
GO:0007165	0.300671146421	0.463892625907	BP	e	signal transduction	4/14	206/1129	4	4	OG_11626, OG_11942, OG_12614, OG_16949
GO:0065008	0.3173380328	0.4760070492	BP	e	regulation of biological quality	4/14	214/1129	2	4	OG_10851, OG_11626, OG_16191, OG_16949
GO:0050896	0.3332395033	0.486349545357	BP	e	response to stimulus	5/14	260/1129	1	5	OG_10851, OG_11626, OG_12614, OG_13875, OG_16949
GO:0022607	0.400027937943	0.555732092401	BP	e	cellular component assembly	3/14	139/1129	3	3	OG_11626, OG_11942, OG_16191
GO:0060255	0.401362066734	0.555732092401	BP	p	regulation of macromolecule metabolic process	3/14	408/1129	4	3	OG_10851, OG_12614, OG_13875
GO:0051128	0.422806325168	0.570788538977	BP	e	regulation of cellular component organization	3/14	154/1129	4	3	OG_10851, OG_11626, OG_16191
GO:0032501	0.543768182341	0.716182484059	BP	e	multicellular organismal process	5/14	304/1129	1	5	OG_10851, OG_11626, OG_11942, OG_16191, OG_16949
GO:0048583	0.722772297696	0.886564014248	BP	e	regulation of response to stimulus	3/14	199/1129	3	3	OG_11626, OG_12775, OG_13875
GO:0009653	0.714923656258	0.886564014248	BP	e	anatomical structure morphogenesis	3/14	188/1129	2	3	OG_11626, OG_12775, OG_16191
GO:0071840	0.771639049438	0.886564014248	BP	e	cellular component organization or biogenesis	5/14	347/1129	1	5	OG_10851, OG_11626, OG_11942, OG_12374, OG_16191
GO:0010646	0.7161928434	0.886564014248	BP	e	regulation of cell communication	3/14	190/1129	4	3	OG_10851, OG_11626, OG_12775
GO:0048523	0.756215571619	0.886564014248	BP	e	negative regulation of cellular process	4/14	278/1129	4	4	OG_10851, OG_11626, OG_12775, OG_13875
GO:0048522	0.768770004713	0.886564014248	BP	p	positive regulation of cellular process	3/14	311/1129	4	3	OG_11626, OG_13875, OG_16191
GO:0065007	0.789402123075	0.888077388459	BP	p	biological regulation	8/14	684/1129	1	8	OG_10851, OG_11626, OG_11942, OG_12614, OG_12775, OG_13875, OG_16191, OG_16949
GO:0050789	1.0	1.0	BP	p	regulation of biological process	8/14	647/1129	2	8	OG_10851, OG_11626, OG_11942, OG_12614, OG_12775, OG_13875, OG_16191, OG_16949
GO:0016043	1.0	1.0	BP	p	cellular component organization	4/14	343/1129	2	4	OG_10851, OG_11626, OG_11942, OG_16191
GO:0048518	1.0	1.0	BP	p	positive regulation of biological process	4/14	346/1129	3	4	OG_10851, OG_11626, OG_13875, OG_16191
GO:0048519	1.0	1.0	BP	e	negative regulation of biological process	4/14	305/1129	3	4	OG_10851, OG_11626, OG_12775, OG_13875
GO:0050794	1.0	1.0	BP	e	regulation of cellular process	8/14	605/1129	3	8	OG_10851, OG_11626, OG_11942, OG_12614, OG_12775, OG_13875, OG_16191, OG_16949
GO:0008150	1.0	1.0	BP	e	biological_process	12/14	952/1129	0	12	OG_10851, OG_11626, OG_11942, OG_12374, OG_12614, OG_12775, OG_13294, OG_13875, OG_14695, OG_16191, OG_16949, OG_18714
