GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0043280	0.000292421705671	0.0146289589495	BP	e	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	3/45	6/1768	12	3	OG_10939, OG_13917, OG_17425
GO:0051345	0.000212198185456	0.0146289589495	BP	e	positive regulation of hydrolase activity	6/45	36/1768	5	6	OG_10939, OG_11488, OG_13917, OG_14075, OG_17425, OG_18899
GO:0051336	8.81645891224e-05	0.0146289589495	BP	e	regulation of hydrolase activity	8/45	60/1768	4	8	OG_10939, OG_11488, OG_13917, OG_14075, OG_15365, OG_16209, OG_17425, OG_18899
GO:0052548	0.000304769978114	0.0146289589495	BP	e	regulation of endopeptidase activity	4/45	14/1768	8	4	OG_10939, OG_13917, OG_15365, OG_17425
GO:0006915	0.000152250109663	0.0146289589495	BP	e	apoptotic process	6/45	34/1768	4	6	OG_11488, OG_13181, OG_14251, OG_15365, OG_17425, OG_18726
GO:0052547	0.000407894096387	0.0163157638555	BP	e	regulation of peptidase activity	4/45	15/1768	7	4	OG_10939, OG_13917, OG_15365, OG_17425
GO:0043281	0.000789893318593	0.0210638218291	BP	e	regulation of cysteine-type endopeptidase activity involved in apoptotic process	3/45	8/1768	10	3	OG_10939, OG_13917, OG_17425
GO:0010950	0.000789893318593	0.0210638218291	BP	e	positive regulation of endopeptidase activity	3/45	8/1768	10	3	OG_10939, OG_13917, OG_17425
GO:2001056	0.000789893318593	0.0210638218291	BP	e	positive regulation of cysteine-type endopeptidase activity	3/45	8/1768	11	3	OG_10939, OG_13917, OG_17425
GO:0012501	0.00118705915799	0.025899472538	BP	e	programmed cell death	6/45	49/1768	3	6	OG_11488, OG_13181, OG_14251, OG_15365, OG_17425, OG_18726
GO:0010952	0.00116377605714	0.025899472538	BP	e	positive regulation of peptidase activity	3/45	9/1768	9	3	OG_10939, OG_13917, OG_17425
GO:0050792	0.00163300451151	0.0261280721842	BP	e	regulation of viral process	3/45	10/1768	5	3	OG_10939, OG_11488, OG_13737
GO:0043903	0.00163300451151	0.0261280721842	BP	e	regulation of symbiosis, encompassing mutualism through parasitism	3/45	10/1768	4	3	OG_10939, OG_11488, OG_13737
GO:0008219	0.00132328863795	0.0261280721842	BP	e	cell death	6/45	50/1768	2	6	OG_11488, OG_13181, OG_14251, OG_15365, OG_17425, OG_18726
GO:2000116	0.00163300451151	0.0261280721842	BP	e	regulation of cysteine-type endopeptidase activity	3/45	10/1768	9	3	OG_10939, OG_13917, OG_17425
GO:0044419	0.00191801723905	0.0287702585858	BP	e	interspecies interaction between organisms	4/45	22/1768	2	4	OG_10939, OG_13737, OG_14251, OG_14800
GO:0051704	0.00269377754622	0.0359170339496	BP	e	multi-organism process	7/45	77/1768	1	7	OG_10939, OG_11488, OG_13737, OG_14251, OG_14800, OG_15282, OG_18726
GO:0097435	0.00257079424734	0.0359170339496	BP	e	supramolecular fiber organization	5/45	39/1768	3	5	OG_11988, OG_14251, OG_14918, OG_15120, OG_15365
GO:0044093	0.00297698372994	0.0376040050098	BP	e	positive regulation of molecular function	8/45	100/1768	3	8	OG_10939, OG_11488, OG_13917, OG_14075, OG_14467, OG_16880, OG_17425, OG_18899
GO:0031669	0.00368857395418	0.0421551309049	BP	e	cellular response to nutrient levels	3/45	13/1768	5	3	OG_14800, OG_14918, OG_16451
GO:0007015	0.00363837454343	0.0421551309049	BP	e	actin filament organization	4/45	26/1768	4	4	OG_11988, OG_14251, OG_14918, OG_15120
GO:0065009	0.00429464251421	0.0468506456096	BP	e	regulation of molecular function	11/45	181/1768	2	11	OG_10939, OG_11488, OG_13917, OG_14075, OG_14467, OG_15308, OG_15365, OG_16209, OG_16880, OG_17425, OG_18899
GO:0031668	0.00461142958401	0.0481192652245	BP	e	cellular response to extracellular stimulus	3/45	14/1768	4	3	OG_14800, OG_14918, OG_16451
GO:0048518	0.00488968997479	0.0488968997479	BP	e	positive regulation of biological process	20/45	448/1768	3	20	OG_10939, OG_11488, OG_11988, OG_12316, OG_13181, OG_13737, OG_13917, OG_14075, OG_14251, OG_14467, OG_14642, OG_14800, OG_15120, OG_15282, OG_15308, OG_15365, OG_16329, OG_16880, OG_17425, OG_18726
GO:0050790	0.00531776690123	0.0503316751637	BP	e	regulation of catalytic activity	9/45	134/1768	3	9	OG_10939, OG_11488, OG_13917, OG_14075, OG_15308, OG_15365, OG_16209, OG_17425, OG_18899
GO:0071496	0.00566231345592	0.0503316751637	BP	e	cellular response to external stimulus	3/45	15/1768	3	3	OG_14800, OG_14918, OG_16451
GO:0043065	0.00546645103482	0.0503316751637	BP	e	positive regulation of apoptotic process	4/45	29/1768	7	4	OG_10939, OG_13917, OG_15365, OG_17425
GO:0043068	0.00619126841113	0.0512380834025	BP	e	positive regulation of programmed cell death	4/45	30/1768	6	4	OG_10939, OG_13917, OG_15365, OG_17425
GO:0007154	0.00599729574812	0.0512380834025	BP	e	cell communication	6/45	67/1768	2	6	OG_11488, OG_12155, OG_14075, OG_14800, OG_14918, OG_16451
GO:0048468	0.00708691031658	0.0566952825326	BP	e	cell development	8/45	115/1768	3	8	OG_13917, OG_14075, OG_14467, OG_15308, OG_15365, OG_16329, OG_17425, OG_18726
GO:0043900	0.00874351955331	0.0655763966498	BP	e	regulation of multi-organism process	4/45	33/1768	3	4	OG_10939, OG_11488, OG_13737, OG_15282
GO:0010942	0.00874351955331	0.0655763966498	BP	e	positive regulation of cell death	4/45	33/1768	5	4	OG_10939, OG_13917, OG_15365, OG_17425
GO:0043085	0.0103797826679	0.0732690541264	BP	e	positive regulation of catalytic activity	6/45	75/1768	4	6	OG_10939, OG_11488, OG_13917, OG_14075, OG_17425, OG_18899
GO:0045893	0.0100789265969	0.0732690541264	BP	e	positive regulation of transcription, DNA-templated	8/45	122/1768	10	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:1902680	0.0116184507011	0.0753629234666	BP	e	positive regulation of RNA biosynthetic process	8/45	125/1768	8	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:1903508	0.0116184507011	0.0753629234666	BP	e	positive regulation of nucleic acid-templated transcription	8/45	125/1768	9	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:0031325	0.0114470478277	0.0753629234666	BP	e	positive regulation of cellular metabolic process	12/45	230/1768	5	12	OG_10939, OG_13917, OG_14251, OG_14467, OG_14642, OG_14800, OG_15282, OG_15308, OG_16329, OG_16880, OG_17425, OG_18726
GO:0051254	0.0133276252877	0.0841744755013	BP	e	positive regulation of RNA metabolic process	8/45	128/1768	7	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:0030182	0.0148752899779	0.0915402460178	BP	e	neuron differentiation	3/45	21/1768	4	3	OG_11499, OG_14467, OG_16329
GO:0045862	0.0169211751472	0.101527050883	BP	e	positive regulation of proteolysis	3/45	22/1768	8	3	OG_10939, OG_13917, OG_17425
GO:0048569	0.0191175137276	0.104277347605	BP	e	post-embryonic animal organ development	3/45	23/1768	4	3	OG_10939, OG_15365, OG_18726
GO:0006950	0.0183500034471	0.104277347605	BP	e	response to stress	11/45	215/1768	2	11	OG_10939, OG_11488, OG_11988, OG_14467, OG_14642, OG_14800, OG_14918, OG_15282, OG_16209, OG_16451, OG_17425
GO:0010557	0.0180346041814	0.104277347605	BP	e	positive regulation of macromolecule biosynthetic process	8/45	135/1768	6	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:0045935	0.0187948286606	0.104277347605	BP	e	positive regulation of nucleobase-containing compound metabolic process	8/45	136/1768	6	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:0061024	0.020244560832	0.107970991104	BP	e	membrane organization	4/45	42/1768	3	4	OG_11488, OG_14251, OG_15120, OG_16666
GO:0002064	0.0214651296603	0.109609172733	BP	e	epithelial cell development	3/45	24/1768	4	3	OG_14075, OG_15308, OG_15365
GO:0051098	0.0214651296603	0.109609172733	BP	e	regulation of binding	3/45	24/1768	3	3	OG_10939, OG_16209, OG_16880
GO:0031328	0.0247831327507	0.123915663754	BP	e	positive regulation of cellular biosynthetic process	8/45	143/1768	6	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
GO:0009893	0.0281967304417	0.13534430612	BP	e	positive regulation of metabolic process	12/45	254/1768	4	12	OG_10939, OG_13917, OG_14251, OG_14467, OG_14642, OG_14800, OG_15282, OG_15308, OG_16329, OG_16880, OG_17425, OG_18726
GO:0045944	0.0278340930982	0.13534430612	BP	e	positive regulation of transcription by RNA polymerase II	6/45	93/1768	11	6	OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425
GO:0030162	0.0294170859995	0.135778342826	BP	e	regulation of proteolysis	4/45	47/1768	6	4	OG_10939, OG_13917, OG_15365, OG_17425
GO:0007265	0.0294186409456	0.135778342826	BP	e	Ras protein signal transduction	3/45	27/1768	7	3	OG_15120, OG_15308, OG_18899
GO:0035556	0.0305449270382	0.138316650739	BP	e	intracellular signal transduction	6/45	95/1768	5	6	OG_10939, OG_14642, OG_15120, OG_15308, OG_17425, OG_18899
GO:0007264	0.0354773419245	0.15767707522	BP	e	small GTPase mediated signal transduction	3/45	29/1768	6	3	OG_15120, OG_15308, OG_18899
GO:0051173	0.0374202356645	0.163288301081	BP	e	positive regulation of nitrogen compound metabolic process	11/45	226/1768	5	11	OG_10939, OG_13917, OG_14251, OG_14467, OG_14642, OG_14800, OG_15308, OG_16329, OG_16880, OG_17425, OG_18726
GO:0048666	0.0387313500928	0.165991500398	BP	e	neuron development	3/45	30/1768	4	3	OG_14467, OG_16329, OG_18726
GO:0048869	0.0394308042218	0.166024438829	BP	e	cellular developmental process	13/45	294/1768	2	13	OG_11499, OG_13737, OG_13917, OG_14075, OG_14467, OG_15120, OG_15183, OG_15308, OG_15365, OG_15639, OG_16329, OG_17425, OG_18726
GO:0006357	0.0409127746971	0.169294240126	BP	e	regulation of transcription by RNA polymerase II	9/45	180/1768	10	9	OG_10939, OG_14467, OG_14642, OG_14800, OG_16209, OG_16329, OG_16880, OG_17425, OG_18726
GO:0010604	0.0427352290377	0.173838219814	BP	e	positive regulation of macromolecule metabolic process	11/45	238/1768	5	11	OG_10939, OG_13917, OG_14251, OG_14467, OG_14642, OG_14800, OG_15308, OG_16329, OG_16880, OG_17425, OG_18726
GO:0031667	0.0456824168525	0.18272966741	BP	e	response to nutrient levels	3/45	32/1768	4	3	OG_14800, OG_14918, OG_16451
GO:0009891	0.0483928150777	0.187327026107	BP	e	positive regulation of biosynthetic process	8/45	148/1768	5	8	OG_10939, OG_14467, OG_14642, OG_14800, OG_16329, OG_16880, OG_17425, OG_18726
