GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0016192	0.0187733245961	0.46560791883	BP	e	vesicle-mediated transport	8/41	203/2405	4	8	OG_12275, OG_13989, OG_14839, OG_14928, OG_15677, OG_15887, OG_16837, OG_17214
GO:0046530	0.00494352532574	0.46560791883	BP	e	photoreceptor cell differentiation	3/41	21/2405	5	3	OG_11441, OG_15522, OG_16837
GO:0032535	0.0178032197814	0.46560791883	BP	e	regulation of cellular component size	4/41	60/2405	4	4	OG_11738, OG_14648, OG_15522, OG_18163
GO:0065008	0.020130100041	0.46560791883	BP	e	regulation of biological quality	13/41	414/2405	2	13	OG_11738, OG_12177, OG_12845, OG_13006, OG_14336, OG_14648, OG_14698, OG_14839, OG_14928, OG_15037, OG_15522, OG_17214, OG_18163
GO:0006810	0.020354444539	0.46560791883	BP	e	transport	15/41	510/2405	3	15	OG_12177, OG_12275, OG_13861, OG_13989, OG_14648, OG_14698, OG_14839, OG_14928, OG_15677, OG_15887, OG_16461, OG_16837, OG_17214, OG_18307, OG_18482
GO:0030154	0.00883613006852	0.46560791883	BP	e	cell differentiation	8/41	178/2405	3	8	OG_11441, OG_14336, OG_14839, OG_15522, OG_15599, OG_16837, OG_17214, OG_18163
GO:0030182	0.0161924405342	0.46560791883	BP	e	neuron differentiation	3/41	32/2405	4	3	OG_11441, OG_15522, OG_16837
GO:0008361	0.0161924405342	0.46560791883	BP	e	regulation of cell size	3/41	32/2405	5	3	OG_11738, OG_15522, OG_18163
GO:0043087	0.0239194820639	0.486362801966	BP	e	regulation of GTPase activity	3/41	37/2405	5	3	OG_14839, OG_14928, OG_16304
GO:0016197	0.0293645849171	0.488519912712	BP	e	endosomal transport	3/41	40/2405	5	3	OG_13989, OG_14928, OG_16837
GO:0008283	0.0282738366462	0.488519912712	BP	e	cell population proliferation	4/41	69/2405	1	4	OG_12177, OG_15037, OG_16837, OG_18163
GO:0051234	0.0342357439013	0.498396242202	BP	e	establishment of localization	15/41	529/2405	2	15	OG_12177, OG_12275, OG_13861, OG_13989, OG_14648, OG_14698, OG_14839, OG_14928, OG_15677, OG_15887, OG_16461, OG_16837, OG_17214, OG_18307, OG_18482
GO:0051276	0.0354051975335	0.498396242202	BP	e	chromosome organization	4/41	74/2405	4	4	OG_14648, OG_15037, OG_17116, OG_18163
GO:0007283	0.0397805999005	0.513161847461	BP	e	spermatogenesis	3/41	45/2405	5	3	OG_12177, OG_15037, OG_15599
GO:0048232	0.0420624465132	0.513161847461	BP	e	male gamete generation	3/41	46/2405	4	3	OG_12177, OG_15037, OG_15599
GO:0010604	0.067233988189	0.526818460277	BP	e	positive regulation of macromolecule metabolic process	10/41	338/2405	5	10	OG_11441, OG_14336, OG_14648, OG_14839, OG_14928, OG_15037, OG_15522, OG_17116, OG_17214, OG_18163
GO:0010033	0.0591936472655	0.526818460277	BP	e	response to organic substance	6/41	166/2405	3	6	OG_13989, OG_14336, OG_14648, OG_14935, OG_15037, OG_17214
GO:0090066	0.0690909456101	0.526818460277	BP	e	regulation of anatomical structure size	4/41	92/2405	3	4	OG_11738, OG_14648, OG_15522, OG_18163
GO:0007186	0.054440864417	0.526818460277	BP	e	G protein-coupled receptor signaling pathway	3/41	51/2405	5	3	OG_14331, OG_14379, OG_17214
GO:0006811	0.0653509319586	0.526818460277	BP	e	ion transport	5/41	129/2405	4	5	OG_12177, OG_13861, OG_14698, OG_16461, OG_17214
GO:0022402	0.068132610261	0.526818460277	BP	e	cell cycle process	6/41	172/2405	2	6	OG_11738, OG_12177, OG_15037, OG_15590, OG_17116, OG_18163
GO:0071310	0.0668920949036	0.526818460277	BP	e	cellular response to organic substance	4/41	91/2405	4	4	OG_14336, OG_14648, OG_14935, OG_17214
GO:0051179	0.046484117123	0.526818460277	BP	e	localization	16/41	607/2405	1	16	OG_12177, OG_12275, OG_13861, OG_13989, OG_14331, OG_14648, OG_14698, OG_14839, OG_14928, OG_15677, OG_15887, OG_16461, OG_16837, OG_17214, OG_18307, OG_18482
GO:0006259	0.0671262888719	0.526818460277	BP	e	DNA metabolic process	5/41	130/2405	6	5	OG_14001, OG_14648, OG_15037, OG_17116, OG_18163
GO:0006820	0.0774573214631	0.54518037799	BP	e	anion transport	3/41	59/2405	5	3	OG_12177, OG_16461, OG_17214
GO:0055085	0.0745010877955	0.54518037799	BP	e	transmembrane transport	5/41	134/2405	4	5	OG_13861, OG_14698, OG_16461, OG_18307, OG_18482
GO:1903047	0.0983584962037	0.666652029825	BP	e	mitotic cell cycle process	4/41	104/2405	3	4	OG_12177, OG_15590, OG_17116, OG_18163
GO:0009893	0.11771102457	0.769325624868	BP	e	positive regulation of metabolic process	10/41	361/2405	4	10	OG_11441, OG_14336, OG_14648, OG_14839, OG_14928, OG_15037, OG_15522, OG_17116, OG_17214, OG_18163
