GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048589	0.00594167496978	0.23716158153	BP	e	developmental growth	6/66	62/2430	2	6	OG_11495, OG_11636, OG_11667, OG_11822, OG_15008, OG_17247
GO:0061024	0.00421930477528	0.23716158153	BP	e	membrane organization	7/66	77/2430	3	7	OG_12028, OG_12910, OG_13518, OG_13787, OG_14851, OG_16064, OG_16766
GO:0007009	0.00200423972747	0.23716158153	BP	e	plasma membrane organization	3/66	10/2430	4	3	OG_13518, OG_14851, OG_16064
GO:0040029	0.00357359263086	0.23716158153	BP	e	regulation of gene expression, epigenetic	5/66	39/2430	6	5	OG_11636, OG_13265, OG_14769, OG_15853, OG_17247
GO:0007283	0.004460502438	0.23716158153	BP	e	spermatogenesis	5/66	41/2430	5	5	OG_13508, OG_13544, OG_13787, OG_14052, OG_16385
GO:0048609	0.00200271345573	0.23716158153	BP	e	multicellular organismal reproductive process	9/66	107/2430	2	9	OG_13046, OG_13508, OG_13544, OG_13693, OG_13787, OG_13993, OG_14052, OG_16385, OG_16404
GO:0048232	0.00549460267159	0.23716158153	BP	e	male gamete generation	5/66	43/2430	4	5	OG_13508, OG_13544, OG_13787, OG_14052, OG_16385
GO:0040007	0.00642907901739	0.23716158153	BP	e	growth	6/66	63/2430	1	6	OG_11495, OG_11636, OG_11667, OG_11822, OG_15008, OG_17247
GO:0006493	0.00270256067669	0.23716158153	BP	e	protein O-linked glycosylation	3/66	11/2430	8	3	OG_11822, OG_17151, OG_19769
GO:0060179	0.00832208649872	0.276293271758	BP	e	male mating behavior	3/66	16/2430	5	3	OG_13046, OG_13693, OG_13993
GO:0007617	0.0135872584636	0.286402274593	BP	e	mating behavior	3/66	19/2430	4	3	OG_13046, OG_13693, OG_13993
GO:0044550	0.00991132173936	0.286402274593	BP	e	secondary metabolite biosynthetic process	3/66	17/2430	3	3	OG_13316, OG_13693, OG_13993
GO:0043413	0.0138025192575	0.286402274593	BP	e	macromolecule glycosylation	4/66	35/2430	5	4	OG_11822, OG_17151, OG_18063, OG_19769
GO:0006486	0.0138025192575	0.286402274593	BP	e	protein glycosylation	4/66	35/2430	7	4	OG_11822, OG_17151, OG_18063, OG_19769
GO:0070085	0.0138025192575	0.286402274593	BP	e	glycosylation	4/66	35/2430	2	4	OG_11822, OG_17151, OG_18063, OG_19769
