GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051294	0.000367001103144	0.0192764186036	BP	e	establishment of spindle orientation	3/30	10/1950	7	3	OG_14787, OG_14806, OG_15752
GO:0051293	0.000499389082996	0.0192764186036	BP	e	establishment of spindle localization	3/30	11/1950	6	3	OG_14787, OG_14806, OG_15752
GO:0051653	0.000499389082996	0.0192764186036	BP	e	spindle localization	3/30	11/1950	4	3	OG_14787, OG_14806, OG_15752
GO:0000132	0.000174880101091	0.0192764186036	BP	e	establishment of mitotic spindle orientation	3/30	8/1950	8	3	OG_14787, OG_14806, OG_15752
GO:0040001	0.000259595904645	0.0192764186036	BP	e	establishment of mitotic spindle localization	3/30	9/1950	7	3	OG_14787, OG_14806, OG_15752
GO:1902850	0.000625485809784	0.0201197935481	BP	e	microtubule cytoskeleton organization involved in mitosis	4/30	27/1950	6	4	OG_12460, OG_14787, OG_14806, OG_15752
GO:0045088	0.00269825342161	0.0743947014815	BP	e	regulation of innate immune response	3/30	19/1950	6	3	OG_11471, OG_12460, OG_13036
GO:0009798	0.00362724168433	0.0875072056345	BP	e	axis specification	3/30	21/1950	3	3	OG_13036, OG_14806, OG_15358
GO:1903047	0.00493749552553	0.105881848492	BP	e	mitotic cell cycle process	5/30	75/1950	3	5	OG_12460, OG_14787, OG_14806, OG_15752, OG_16191
GO:0040029	0.0100849878698	0.176945696261	BP	e	regulation of gene expression, epigenetic	3/30	30/1950	6	3	OG_12416, OG_14198, OG_17126
GO:0007409	0.0100849878698	0.176945696261	BP	e	axonogenesis	3/30	30/1950	8	3	OG_12460, OG_15752, OG_16191
GO:0010639	0.0110504202045	0.177727591622	BP	e	negative regulation of organelle organization	3/30	31/1950	6	3	OG_12416, OG_14787, OG_17126
GO:0000226	0.013661563232	0.202821669521	BP	e	microtubule cytoskeleton organization	4/30	62/1950	5	4	OG_12460, OG_14787, OG_14806, OG_15752
GO:0007163	0.023631878351	0.207316023716	BP	e	establishment or maintenance of cell polarity	3/30	41/1950	2	3	OG_14806, OG_15358, OG_16191
GO:0051656	0.0192899729655	0.207316023716	BP	e	establishment of organelle localization	3/30	38/1950	4	3	OG_14787, OG_14806, OG_15752
GO:0031347	0.0206827015833	0.207316023716	BP	e	regulation of defense response	3/30	39/1950	5	3	OG_11471, OG_12460, OG_13036
GO:0043900	0.0221299716968	0.207316023716	BP	e	regulation of multi-organism process	3/30	40/1950	3	3	OG_13036, OG_14806, OG_15358
GO:0033044	0.023631878351	0.207316023716	BP	e	regulation of chromosome organization	3/30	41/1950	6	3	OG_12416, OG_14787, OG_17126
GO:0032880	0.0206133969843	0.207316023716	BP	e	regulation of protein localization	4/30	70/1950	4	4	OG_12460, OG_13036, OG_15752, OG_16191
GO:0050776	0.0221299716968	0.207316023716	BP	e	regulation of immune response	3/30	40/1950	4	3	OG_11471, OG_12460, OG_13036
GO:0022402	0.0214950952155	0.207316023716	BP	e	cell cycle process	5/30	107/1950	2	5	OG_12460, OG_14787, OG_14806, OG_15752, OG_16191
GO:0044087	0.0184853610362	0.207316023716	BP	e	regulation of cellular component biogenesis	5/30	103/1950	3	5	OG_14787, OG_14806, OG_15752, OG_16191, OG_17126
GO:0007010	0.0284527238549	0.238755465391	BP	e	cytoskeleton organization	5/30	115/1950	4	5	OG_12460, OG_14787, OG_14806, OG_15752, OG_16191
GO:0051223	0.0319614066217	0.24674205912	BP	e	regulation of protein transport	3/30	46/1950	6	3	OG_13036, OG_15752, OG_16191
GO:0070201	0.0319614066217	0.24674205912	BP	e	regulation of establishment of protein localization	3/30	46/1950	5	3	OG_13036, OG_15752, OG_16191
GO:0090087	0.0396035775902	0.293980402881	BP	e	regulation of peptide transport	3/30	50/1950	5	3	OG_13036, OG_15752, OG_16191
GO:0044283	0.0481011315684	0.32929361685	BP	e	small molecule biosynthetic process	3/30	54/1950	3	3	OG_11471, OG_15879, OG_16098
GO:0019637	0.0513581814333	0.32929361685	BP	e	organophosphate metabolic process	4/30	93/1950	4	4	OG_11471, OG_12910, OG_14806, OG_15879
GO:0010629	0.0716440854694	0.32929361685	BP	e	negative regulation of gene expression	5/30	148/1950	6	5	OG_11293, OG_12416, OG_14198, OG_14806, OG_17126
GO:0120039	0.0702282101509	0.32929361685	BP	e	plasma membrane bounded cell projection morphogenesis	3/30	63/1950	6	3	OG_12460, OG_15752, OG_16191
GO:0045934	0.0740120452607	0.32929361685	BP	e	negative regulation of nucleobase-containing compound metabolic process	4/30	105/1950	6	4	OG_11293, OG_12416, OG_14806, OG_17126
GO:0048812	0.0702282101509	0.32929361685	BP	e	neuron projection morphogenesis	3/30	63/1950	7	3	OG_12460, OG_15752, OG_16191
GO:0006753	0.052664298996	0.32929361685	BP	e	nucleoside phosphate metabolic process	3/30	56/1950	6	3	OG_11471, OG_14806, OG_15879
GO:0051129	0.0503568309438	0.32929361685	BP	e	negative regulation of cellular component organization	3/30	55/1950	5	3	OG_12416, OG_14787, OG_17126
GO:0009719	0.0702282101509	0.32929361685	BP	e	response to endogenous stimulus	3/30	63/1950	2	3	OG_12416, OG_12460, OG_15879
GO:1903508	0.0619842998343	0.32929361685	BP	e	positive regulation of nucleic acid-templated transcription	5/30	142/1950	9	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:0045893	0.0604533886687	0.32929361685	BP	e	positive regulation of transcription, DNA-templated	5/30	141/1950	10	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:0055086	0.0729329975533	0.32929361685	BP	e	nucleobase-containing small molecule metabolic process	3/30	64/1950	5	3	OG_11471, OG_14806, OG_15879
GO:0048858	0.075685065302	0.32929361685	BP	e	cell projection morphogenesis	3/30	65/1950	5	3	OG_12460, OG_15752, OG_16191
GO:0051254	0.0767783044469	0.32929361685	BP	e	positive regulation of RNA metabolic process	5/30	151/1950	7	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:1902680	0.0619842998343	0.32929361685	BP	e	positive regulation of RNA biosynthetic process	5/30	142/1950	8	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:0051301	0.0675712724179	0.32929361685	BP	e	cell division	3/30	62/1950	2	3	OG_11712, OG_15628, OG_15752
GO:0006357	0.06326863002	0.32929361685	BP	e	regulation of transcription by RNA polymerase II	6/30	189/1950	10	6	OG_11293, OG_12416, OG_13036, OG_14806, OG_15358, OG_15934
GO:0051640	0.0675712724179	0.32929361685	BP	e	organelle localization	3/30	62/1950	3	3	OG_14787, OG_14806, OG_15752
GO:0007017	0.0548191148009	0.32929361685	BP	e	microtubule-based process	4/30	95/1950	2	4	OG_12460, OG_14787, OG_14806, OG_15752
GO:0010557	0.0876509952098	0.355380071421	BP	e	positive regulation of macromolecule biosynthetic process	5/30	157/1950	6	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:0010558	0.0939087235362	0.355380071421	BP	e	negative regulation of macromolecule biosynthetic process	4/30	114/1950	6	4	OG_11293, OG_12416, OG_14806, OG_17126
GO:0007389	0.0939087235362	0.355380071421	BP	e	pattern specification process	4/30	114/1950	2	4	OG_13036, OG_14806, OG_15358, OG_16191
GO:2000113	0.0915790304975	0.355380071421	BP	e	negative regulation of cellular macromolecule biosynthetic process	4/30	113/1950	7	4	OG_11293, OG_12416, OG_14806, OG_17126
GO:0045935	0.0914527188337	0.355380071421	BP	e	positive regulation of nucleobase-containing compound metabolic process	5/30	159/1950	6	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:0032990	0.0871542540294	0.355380071421	BP	e	cell part morphogenesis	3/30	69/1950	4	3	OG_12460, OG_15752, OG_16191
GO:0009890	0.10598897672	0.37532392302	BP	e	negative regulation of biosynthetic process	4/30	119/1950	5	4	OG_11293, OG_12416, OG_14806, OG_17126
GO:0002682	0.108902278182	0.37532392302	BP	e	regulation of immune system process	3/30	76/1950	3	3	OG_11471, OG_12460, OG_13036
GO:0031327	0.103516110793	0.37532392302	BP	e	negative regulation of cellular biosynthetic process	4/30	118/1950	6	4	OG_11293, OG_12416, OG_14806, OG_17126
GO:0009058	0.103304671168	0.37532392302	BP	e	biosynthetic process	10/30	392/1950	2	10	OG_11293, OG_11471, OG_12416, OG_12890, OG_13519, OG_14198, OG_15358, OG_15879, OG_15934, OG_16098
GO:0022412	0.108489773519	0.37532392302	BP	e	cellular process involved in reproduction in multicellular organism	4/30	120/1950	2	4	OG_14806, OG_15358, OG_15628, OG_16191
GO:0010605	0.120799283441	0.404787417912	BP	e	negative regulation of macromolecule metabolic process	6/30	204/1950	5	6	OG_11293, OG_12416, OG_12910, OG_14198, OG_14806, OG_17126
GO:0050896	0.121645959787	0.404787417912	BP	e	response to stimulus	10/30	423/1950	1	10	OG_11293, OG_11471, OG_12416, OG_12460, OG_13036, OG_13839, OG_14806, OG_15358, OG_15628, OG_15879
GO:0009886	0.125635360662	0.407730948236	BP	e	post-embryonic animal morphogenesis	3/30	81/1950	3	3	OG_14806, OG_15934, OG_16191
GO:0040011	0.126755735203	0.407730948236	BP	e	locomotion	4/30	127/1950	1	4	OG_13036, OG_14806, OG_15752, OG_16191
GO:0010604	0.187661743329	0.439141354697	BP	e	positive regulation of macromolecule metabolic process	7/30	284/1950	5	7	OG_11293, OG_12416, OG_12460, OG_13036, OG_14787, OG_15358, OG_15934
GO:0048519	0.179294062736	0.439141354697	BP	e	negative regulation of biological process	10/30	430/1950	3	10	OG_11293, OG_11471, OG_12416, OG_12910, OG_14198, OG_14787, OG_14806, OG_15358, OG_15628, OG_17126
GO:0019538	0.177241275886	0.439141354697	BP	p	protein metabolic process	3/30	399/1950	4	3	OG_12460, OG_12890, OG_13016
GO:0009892	0.150711588929	0.439141354697	BP	e	negative regulation of metabolic process	6/30	227/1950	4	6	OG_11293, OG_12416, OG_12910, OG_14198, OG_14806, OG_17126
GO:0009891	0.183211250304	0.439141354697	BP	e	positive regulation of biosynthetic process	5/30	175/1950	5	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:0010628	0.184498558138	0.439141354697	BP	e	positive regulation of gene expression	5/30	176/1950	6	5	OG_11293, OG_12416, OG_13036, OG_14787, OG_15358
GO:1901576	0.165366033374	0.439141354697	BP	e	organic substance biosynthetic process	9/30	385/1950	3	9	OG_11293, OG_11471, OG_12416, OG_12890, OG_14198, OG_15358, OG_15879, OG_15934, OG_16098
GO:0034654	0.160661528351	0.439141354697	BP	e	nucleobase-containing compound biosynthetic process	6/30	233/1950	5	6	OG_11293, OG_11471, OG_12416, OG_15358, OG_15879, OG_15934
GO:0044271	0.193404223571	0.439141354697	BP	e	cellular nitrogen compound biosynthetic process	7/30	289/1950	4	7	OG_11293, OG_11471, OG_12416, OG_12890, OG_15358, OG_15879, OG_15934
GO:0080134	0.16548111282	0.439141354697	BP	e	regulation of response to stress	3/30	92/1950	4	3	OG_11471, OG_12460, OG_13036
GO:0051173	0.174182340963	0.439141354697	BP	e	positive regulation of nitrogen compound metabolic process	7/30	269/1950	5	7	OG_11293, OG_12416, OG_12460, OG_13036, OG_14787, OG_15358, OG_15934
GO:0044249	0.160488396199	0.439141354697	BP	e	cellular biosynthetic process	9/30	379/1950	3	9	OG_11293, OG_11471, OG_12416, OG_12890, OG_14198, OG_15358, OG_15879, OG_15934, OG_16098
GO:0043085	0.188697140429	0.439141354697	BP	e	positive regulation of catalytic activity	3/30	98/1950	4	3	OG_12460, OG_15752, OG_15934
GO:0060284	0.188697140429	0.439141354697	BP	e	regulation of cell development	3/30	98/1950	5	3	OG_14806, OG_15358, OG_15752
