GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0002684	0.000806042813402	0.19425631803	BP	e	positive regulation of immune system process	5/41	38/2029	4	5	OG_12464, OG_13175, OG_13198, OG_14229, OG_18312
GO:0051052	0.003429072213	0.244077709571	BP	e	regulation of DNA metabolic process	4/41	32/2029	6	4	OG_13175, OG_13198, OG_13756, OG_15497
GO:0006469	0.00506385289566	0.244077709571	BP	e	negative regulation of protein kinase activity	3/41	18/2029	10	3	OG_12910, OG_16897, OG_18312
GO:0002682	0.00408109817023	0.244077709571	BP	e	regulation of immune system process	6/41	78/2029	3	6	OG_12464, OG_13175, OG_13198, OG_14229, OG_15497, OG_18312
GO:0034329	0.00427958328279	0.244077709571	BP	e	cell junction assembly	3/41	17/2029	4	3	OG_13656, OG_15479, OG_19245
GO:0048584	0.0126408982524	0.2529190789	BP	e	positive regulation of response to stimulus	8/41	160/2029	4	8	OG_12252, OG_12464, OG_12905, OG_13198, OG_15479, OG_15497, OG_17086, OG_18312
GO:0033673	0.0079133595609	0.2529190789	BP	e	negative regulation of kinase activity	3/41	21/2029	9	3	OG_12910, OG_16897, OG_18312
GO:0051348	0.0090353285354	0.2529190789	BP	e	negative regulation of transferase activity	3/41	22/2029	5	3	OG_12910, OG_16897, OG_18312
GO:0007186	0.0146923946249	0.2529190789	BP	e	G protein-coupled receptor signaling pathway	4/41	48/2029	5	4	OG_12441, OG_15479, OG_17408, OG_17697
GO:0031400	0.0146923946249	0.2529190789	BP	e	negative regulation of protein modification process	4/41	48/2029	8	4	OG_12464, OG_12910, OG_16897, OG_18312
GO:1903532	0.0129394840069	0.2529190789	BP	e	positive regulation of secretion by cell	3/41	25/2029	7	3	OG_13508, OG_15479, OG_16897
GO:0032269	0.0135432453052	0.2529190789	BP	e	negative regulation of cellular protein metabolic process	5/41	72/2029	7	5	OG_12464, OG_12910, OG_15497, OG_16897, OG_18312
GO:0032268	0.00871134284597	0.2529190789	BP	e	regulation of cellular protein metabolic process	10/41	216/2029	6	10	OG_12464, OG_12905, OG_12910, OG_13198, OG_13756, OG_14274, OG_15497, OG_16897, OG_17086, OG_18312
GO:0034330	0.0129394840069	0.2529190789	BP	e	cell junction organization	3/41	25/2029	3	3	OG_13656, OG_15479, OG_19245
GO:0090087	0.0180640811502	0.254774279819	BP	e	regulation of peptide transport	4/41	51/2029	5	4	OG_13508, OG_15479, OG_16897, OG_17697
GO:0051047	0.023257403137	0.254774279819	BP	e	positive regulation of secretion	3/41	31/2029	6	3	OG_13508, OG_15479, OG_16897
GO:0009617	0.023257403137	0.254774279819	BP	e	response to bacterium	3/41	31/2029	5	3	OG_12464, OG_16044, OG_17697
GO:0022607	0.0232392269227	0.254774279819	BP	e	cellular component assembly	10/41	240/2029	3	10	OG_12905, OG_12984, OG_13198, OG_13638, OG_13656, OG_14229, OG_14274, OG_15479, OG_16897, OG_19245
GO:0051248	0.0196618504707	0.254774279819	BP	e	negative regulation of protein metabolic process	5/41	79/2029	6	5	OG_12464, OG_12910, OG_15497, OG_16897, OG_18312
GO:0051246	0.0204913421013	0.254774279819	BP	e	regulation of protein metabolic process	10/41	231/2029	5	10	OG_12464, OG_12905, OG_12910, OG_13198, OG_13756, OG_14274, OG_15497, OG_16897, OG_17086, OG_18312
GO:0031399	0.0228105330949	0.254774279819	BP	e	regulation of protein modification process	7/41	144/2029	7	7	OG_12464, OG_12910, OG_13198, OG_13756, OG_16897, OG_17086, OG_18312
GO:0001933	0.023257403137	0.254774279819	BP	e	negative regulation of protein phosphorylation	3/41	31/2029	9	3	OG_12910, OG_16897, OG_18312
GO:0044092	0.0261716266861	0.261467523806	BP	e	negative regulation of molecular function	4/41	57/2029	3	4	OG_12910, OG_15497, OG_16897, OG_18312
GO:0048518	0.0285377686065	0.261467523806	BP	e	positive regulation of biological process	17/41	521/2029	3	17	OG_12252, OG_12456, OG_12464, OG_12905, OG_13175, OG_13198, OG_13508, OG_13638, OG_14229, OG_14274, OG_14572, OG_15479, OG_15497, OG_16897, OG_17086, OG_17697, OG_18312
GO:0045859	0.0292930420861	0.261467523806	BP	e	regulation of protein kinase activity	4/41	59/2029	9	4	OG_12910, OG_16897, OG_17086, OG_18312
GO:0071900	0.0274549299696	0.261467523806	BP	e	regulation of protein serine/threonine kinase activity	3/41	33/2029	10	3	OG_12910, OG_16897, OG_18312
GO:0030155	0.0274549299696	0.261467523806	BP	e	regulation of cell adhesion	3/41	33/2029	3	3	OG_13198, OG_15479, OG_15497
GO:0042326	0.0320322401456	0.275706066967	BP	e	negative regulation of phosphorylation	3/41	35/2029	8	3	OG_12910, OG_16897, OG_18312
GO:0043549	0.0361813884798	0.286731763016	BP	e	regulation of kinase activity	4/41	63/2029	8	4	OG_12910, OG_16897, OG_17086, OG_18312
GO:0009967	0.0355740295859	0.286731763016	BP	e	positive regulation of signal transduction	6/41	124/2029	6	6	OG_12252, OG_12905, OG_15479, OG_15497, OG_17086, OG_18312
GO:0050776	0.0451170586694	0.286731763016	BP	e	regulation of immune response	3/41	40/2029	4	3	OG_12464, OG_15497, OG_18312
GO:0051704	0.0464005757577	0.286731763016	BP	e	multi-organism process	5/41	99/2029	1	5	OG_12464, OG_13638, OG_16044, OG_16897, OG_17697
GO:0043086	0.0451170586694	0.286731763016	BP	e	negative regulation of catalytic activity	3/41	40/2029	4	3	OG_12910, OG_16897, OG_18312
GO:0010563	0.0451170586694	0.286731763016	BP	e	negative regulation of phosphorus metabolic process	3/41	40/2029	6	3	OG_12910, OG_16897, OG_18312
GO:0045597	0.041919333487	0.286731763016	BP	e	positive regulation of cell differentiation	4/41	66/2029	5	4	OG_13175, OG_13198, OG_14229, OG_15479
GO:0048522	0.0370565718202	0.286731763016	BP	e	positive regulation of cellular process	15/41	457/2029	4	15	OG_12252, OG_12456, OG_12464, OG_12905, OG_13175, OG_13198, OG_13508, OG_13638, OG_14229, OG_14274, OG_15479, OG_15497, OG_16897, OG_17086, OG_18312
GO:0045936	0.0451170586694	0.286731763016	BP	e	negative regulation of phosphate metabolic process	3/41	40/2029	7	3	OG_12910, OG_16897, OG_18312
GO:0040012	0.0460186452002	0.286731763016	BP	e	regulation of locomotion	4/41	68/2029	3	4	OG_13198, OG_15479, OG_16897, OG_17086
GO:0040017	0.0423148064448	0.286731763016	BP	e	positive regulation of locomotion	3/41	39/2029	4	3	OG_13198, OG_15479, OG_16897
GO:0031347	0.0480104428563	0.289262918209	BP	e	regulation of defense response	3/41	41/2029	5	3	OG_12464, OG_15497, OG_18312
GO:0051338	0.0525789423987	0.301702979002	BP	e	regulation of transferase activity	4/41	71/2029	4	4	OG_12910, OG_16897, OG_17086, OG_18312
GO:0001932	0.0516927980172	0.301702979002	BP	e	regulation of protein phosphorylation	5/41	102/2029	8	5	OG_12910, OG_13198, OG_16897, OG_17086, OG_18312
GO:1903530	0.0540669522495	0.303026406794	BP	e	regulation of secretion by cell	3/41	43/2029	6	3	OG_13508, OG_15479, OG_16897
GO:0007166	0.055497106991	0.303972790564	BP	e	cell surface receptor signaling pathway	6/41	138/2029	5	6	OG_12441, OG_13198, OG_13638, OG_14572, OG_15479, OG_17086
GO:0042325	0.0633182744128	0.308499565794	BP	e	regulation of phosphorylation	5/41	108/2029	7	5	OG_12910, OG_13198, OG_16897, OG_17086, OG_18312
GO:0012501	0.0596310375981	0.308499565794	BP	e	programmed cell death	4/41	74/2029	3	4	OG_12464, OG_12910, OG_13656, OG_15497
GO:0030154	0.0640040592933	0.308499565794	BP	e	cell differentiation	6/41	143/2029	3	6	OG_13175, OG_13638, OG_13656, OG_14229, OG_15479, OG_16897
GO:0023056	0.0622429778047	0.308499565794	BP	e	positive regulation of signaling	6/41	142/2029	4	6	OG_12252, OG_12905, OG_15479, OG_15497, OG_17086, OG_18312
GO:0010647	0.0605117963436	0.308499565794	BP	e	positive regulation of cell communication	6/41	141/2029	5	6	OG_12252, OG_12905, OG_15479, OG_15497, OG_17086, OG_18312
GO:0080134	0.0592885097408	0.308499565794	BP	e	regulation of response to stress	5/41	106/2029	4	5	OG_12464, OG_13198, OG_13756, OG_15497, OG_18312
GO:0051050	0.067170601648	0.311309903792	BP	e	positive regulation of transport	4/41	77/2029	5	4	OG_13508, OG_15479, OG_16897, OG_17697
GO:0008219	0.067170601648	0.311309903792	BP	e	cell death	4/41	77/2029	2	4	OG_12464, OG_12910, OG_13656, OG_15497
GO:0010608	0.0707320169366	0.315674371884	BP	e	posttranscriptional regulation of gene expression	3/41	48/2029	6	3	OG_12905, OG_14229, OG_14274
GO:0043065	0.0707320169366	0.315674371884	BP	e	positive regulation of apoptotic process	3/41	48/2029	7	3	OG_13175, OG_15479, OG_15497
GO:0034248	0.0743166685009	0.319827091227	BP	e	regulation of cellular amide metabolic process	3/41	49/2029	5	3	OG_12905, OG_14274, OG_15497
GO:0044089	0.0743166685009	0.319827091227	BP	e	positive regulation of cellular component biogenesis	3/41	49/2029	4	3	OG_13198, OG_15497, OG_16897
GO:0042981	0.0786372172065	0.326751195634	BP	e	regulation of apoptotic process	5/41	115/2029	6	5	OG_12456, OG_12464, OG_13175, OG_15479, OG_15497
GO:0008284	0.0779821345826	0.326751195634	BP	e	positive regulation of cell population proliferation	3/41	50/2029	5	3	OG_12456, OG_12464, OG_12905
GO:0048583	0.0829089969554	0.333017804438	BP	e	regulation of response to stimulus	11/41	329/2029	3	11	OG_12252, OG_12464, OG_12905, OG_13198, OG_13756, OG_14572, OG_15479, OG_15497, OG_16897, OG_17086, OG_18312
GO:0030334	0.0817270129221	0.333017804438	BP	e	regulation of cell migration	3/41	51/2029	6	3	OG_13198, OG_15479, OG_17086
GO:0043068	0.0855498628727	0.337992081186	BP	e	positive regulation of programmed cell death	3/41	52/2029	6	3	OG_13175, OG_15479, OG_15497
GO:2000145	0.093423541534	0.346369785855	BP	e	regulation of cell motility	3/41	54/2029	5	3	OG_13198, OG_15479, OG_17086
GO:0032270	0.0932542766234	0.346369785855	BP	e	positive regulation of cellular protein metabolic process	5/41	121/2029	7	5	OG_12905, OG_13198, OG_14274, OG_15497, OG_17086
GO:0043067	0.0907241950397	0.346369785855	BP	e	regulation of programmed cell death	5/41	120/2029	5	5	OG_12456, OG_12464, OG_13175, OG_15479, OG_15497
GO:0048856	0.0948564558773	0.346369785855	BP	p	anatomical structure development	5/41	476/2029	2	5	OG_13656, OG_15227, OG_15479, OG_17086, OG_18312
GO:0006397	0.0894492084956	0.346369785855	BP	e	mRNA processing	3/41	53/2029	8	3	OG_13175, OG_13578, OG_14229
GO:0051046	0.0974713242723	0.350605808203	BP	e	regulation of secretion	3/41	55/2029	5	3	OG_13508, OG_15479, OG_16897
GO:0010942	0.105780957032	0.37490015654	BP	e	positive regulation of cell death	3/41	57/2029	5	3	OG_13175, OG_15479, OG_15497
GO:0065009	0.110248628855	0.385071297885	BP	e	regulation of molecular function	7/41	197/2029	2	7	OG_12910, OG_14572, OG_15479, OG_15497, OG_16897, OG_17086, OG_18312
GO:0050794	0.112910947181	0.388736261009	BP	e	regulation of cellular process	24/41	926/2029	3	24	OG_12252, OG_12441, OG_12456, OG_12464, OG_12905, OG_12910, OG_12984, OG_13175, OG_13198, OG_13508, OG_13638, OG_13656, OG_13756, OG_14229, OG_14274, OG_14572, OG_15479, OG_15497, OG_16897, OG_17086, OG_17408, OG_17697, OG_18312, OG_19245
GO:0009605	0.123362477338	0.412921625534	BP	e	response to external stimulus	6/41	154/2029	2	6	OG_12441, OG_12464, OG_13198, OG_16044, OG_17697, OG_19245
GO:0006915	0.123211309019	0.412921625534	BP	e	apoptotic process	3/41	61/2029	4	3	OG_12464, OG_12910, OG_15497
GO:1901700	0.129184647993	0.426486303648	BP	e	response to oxygen-containing compound	4/41	97/2029	3	4	OG_12464, OG_13638, OG_17086, OG_17697
GO:0007165	0.131492928099	0.428240482052	BP	e	signal transduction	10/41	321/2029	4	10	OG_12441, OG_12905, OG_13198, OG_13638, OG_14572, OG_15479, OG_17086, OG_17408, OG_17697, OG_19245
GO:0051707	0.136941647561	0.434249171871	BP	e	response to other organism	3/41	64/2029	4	3	OG_12464, OG_16044, OG_17697
GO:0051270	0.136941647561	0.434249171871	BP	e	regulation of cellular component movement	3/41	64/2029	4	3	OG_13198, OG_15479, OG_17086
