GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009165	0.0302671350585	0.401549959985	BP	e	nucleotide biosynthetic process	3/39	36/2029	8	3	OG_11765, OG_14583, OG_17107
GO:0007166	0.0141198229361	0.401549959985	BP	e	cell surface receptor signaling pathway	7/39	138/2029	5	7	OG_11642, OG_11988, OG_12158, OG_13576, OG_14034, OG_14123, OG_17109
GO:0098771	0.0234721701639	0.401549959985	BP	e	inorganic ion homeostasis	4/39	58/2029	6	4	OG_13172, OG_14034, OG_14075, OG_14630
GO:0007169	0.0397367147902	0.401549959985	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	3/39	40/2029	7	3	OG_11988, OG_13576, OG_14123
GO:0055074	0.0169884219686	0.401549959985	BP	e	calcium ion homeostasis	3/39	29/2029	8	3	OG_14034, OG_14075, OG_14630
GO:0042391	0.00985831918445	0.401549959985	BP	e	regulation of membrane potential	4/39	45/2029	3	4	OG_11513, OG_14034, OG_14075, OG_16319
GO:0006366	0.0260439318702	0.401549959985	BP	e	transcription by RNA polymerase II	3/39	34/2029	10	3	OG_14642, OG_14739, OG_16012
GO:0051336	0.0374802008083	0.401549959985	BP	e	regulation of hydrolase activity	4/39	67/2029	4	4	OG_14075, OG_14630, OG_15365, OG_16778
GO:1901293	0.0302671350585	0.401549959985	BP	e	nucleoside phosphate biosynthetic process	3/39	36/2029	7	3	OG_11765, OG_14583, OG_17107
GO:0050801	0.0392812125383	0.401549959985	BP	e	ion homeostasis	4/39	68/2029	5	4	OG_13172, OG_14034, OG_14075, OG_14630
GO:0023052	0.0392812125383	0.401549959985	BP	e	signaling	4/39	68/2029	1	4	OG_11513, OG_12047, OG_14034, OG_14075
GO:0072507	0.0186281323204	0.401549959985	BP	e	divalent inorganic cation homeostasis	3/39	30/2029	7	3	OG_14034, OG_14075, OG_14630
GO:0044057	0.0348323642677	0.401549959985	BP	e	regulation of system process	3/39	38/2029	4	3	OG_11513, OG_12047, OG_14739
GO:0006875	0.0325071470258	0.401549959985	BP	e	cellular metal ion homeostasis	3/39	37/2029	8	3	OG_13172, OG_14075, OG_14630
GO:0055080	0.0221557256144	0.401549959985	BP	e	cation homeostasis	4/39	57/2029	6	4	OG_13172, OG_14034, OG_14075, OG_14630
GO:0055065	0.00771892594619	0.401549959985	BP	e	metal ion homeostasis	4/39	42/2029	7	4	OG_13172, OG_14034, OG_14075, OG_14630
GO:0007267	0.0277058839922	0.401549959985	BP	e	cell-cell signaling	4/39	61/2029	3	4	OG_11513, OG_12047, OG_14034, OG_14075
GO:0007154	0.0370488148535	0.401549959985	BP	e	cell communication	5/39	98/2029	2	5	OG_11513, OG_12047, OG_13172, OG_14034, OG_14075
GO:0030534	0.0348323642677	0.401549959985	BP	e	adult behavior	3/39	38/2029	2	3	OG_11642, OG_14034, OG_14075
GO:0007165	0.0437002699435	0.419522591458	BP	e	signal transduction	11/39	321/2029	4	11	OG_11642, OG_11988, OG_12047, OG_12132, OG_12158, OG_13576, OG_14034, OG_14123, OG_14642, OG_16012, OG_17109
GO:0055086	0.0490297178799	0.448271706331	BP	e	nucleobase-containing small molecule metabolic process	4/39	73/2029	5	4	OG_11765, OG_13576, OG_14583, OG_17107
GO:0007167	0.0867444349793	0.505098604087	BP	e	enzyme linked receptor protein signaling pathway	3/39	55/2029	6	3	OG_11988, OG_13576, OG_14123
GO:0098660	0.114210398887	0.505098604087	BP	e	inorganic ion transmembrane transport	3/39	62/2029	6	3	OG_11513, OG_14075, OG_16319
