GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0044281	0.00782306393416	0.249848205295	BP	e	small molecule metabolic process	8/36	130/1555	2	8	OG_11982, OG_12813, OG_13360, OG_13864, OG_14985, OG_15629, OG_16098, OG_16300
GO:0051656	0.00840835306281	0.249848205295	BP	e	establishment of organelle localization	4/36	36/1555	4	4	OG_13501, OG_13985, OG_14549, OG_15752
GO:0019318	0.00620358203266	0.249848205295	BP	e	hexose metabolic process	3/36	17/1555	5	3	OG_13864, OG_15629, OG_16098
GO:0032880	0.00358038470662	0.249848205295	BP	e	regulation of protein localization	6/36	67/1555	4	6	OG_13830, OG_13985, OG_14549, OG_15752, OG_15829, OG_15984
GO:0005996	0.00732659299074	0.249848205295	BP	e	monosaccharide metabolic process	3/36	18/1555	4	3	OG_13864, OG_15629, OG_16098
GO:0051649	0.00251664029214	0.249848205295	BP	e	establishment of localization in cell	9/36	134/1555	3	9	OG_12784, OG_13501, OG_13830, OG_13985, OG_14549, OG_15752, OG_15984, OG_16064, OG_17411
GO:0051640	0.00590432093221	0.249848205295	BP	e	organelle localization	5/36	52/1555	3	5	OG_13501, OG_13985, OG_14549, OG_15752, OG_15984
GO:0034504	0.00991487431123	0.257786732092	BP	e	protein localization to nucleus	3/36	20/1555	6	3	OG_12784, OG_14549, OG_17411
GO:0070727	0.0194146821724	0.310634914758	BP	e	cellular macromolecule localization	6/36	95/1555	3	6	OG_12784, OG_12813, OG_13830, OG_14549, OG_15984, OG_17411
GO:0000226	0.0183330920094	0.310634914758	BP	e	microtubule cytoskeleton organization	4/36	45/1555	5	4	OG_13501, OG_14549, OG_15752, OG_15984
GO:0046907	0.0158934900437	0.310634914758	BP	e	intracellular transport	7/36	118/1555	4	7	OG_12784, OG_13830, OG_13985, OG_14549, OG_15752, OG_15984, OG_17411
GO:0042594	0.0165192581531	0.310634914758	BP	e	response to starvation	3/36	24/1555	5	3	OG_13830, OG_15629, OG_16064
GO:0051641	0.0160366696672	0.310634914758	BP	e	cellular localization	9/36	177/1555	2	9	OG_12784, OG_12813, OG_13501, OG_13830, OG_13985, OG_14549, OG_15752, OG_15984, OG_17411
GO:0032386	0.0275521733751	0.313564990639	BP	e	regulation of intracellular transport	3/36	29/1555	5	3	OG_13830, OG_13985, OG_15752
GO:0031667	0.0301335268805	0.313564990639	BP	e	response to nutrient levels	3/36	30/1555	4	3	OG_13830, OG_15629, OG_16064
GO:0070201	0.0212357448115	0.313564990639	BP	e	regulation of establishment of protein localization	4/36	47/1555	5	4	OG_13830, OG_13985, OG_15752, OG_15829
GO:0016310	0.0278937939698	0.313564990639	BP	e	phosphorylation	6/36	103/1555	5	6	OG_13501, OG_13830, OG_13864, OG_15167, OG_15629, OG_17411
GO:0005975	0.022788027137	0.313564990639	BP	e	carbohydrate metabolic process	4/36	48/1555	3	4	OG_13864, OG_15629, OG_16098, OG_16300
GO:0009991	0.0301335268805	0.313564990639	BP	e	response to extracellular stimulus	3/36	30/1555	3	3	OG_13830, OG_15629, OG_16064
GO:0042221	0.0301504798691	0.313564990639	BP	e	response to chemical	7/36	134/1555	2	7	OG_13830, OG_13864, OG_13985, OG_14985, OG_15260, OG_15629, OG_15829
GO:0010629	0.0372516229344	0.352197162289	BP	e	negative regulation of gene expression	7/36	140/1555	6	7	OG_11863, OG_12813, OG_12858, OG_13830, OG_13864, OG_15397, OG_15984
GO:0010817	0.0356692812885	0.352197162289	BP	e	regulation of hormone levels	3/36	32/1555	3	3	OG_13360, OG_13864, OG_13985
GO:0033365	0.0421602755884	0.381275535756	BP	e	protein localization to organelle	4/36	58/1555	5	4	OG_12784, OG_14549, OG_15984, OG_17411
GO:0070925	0.0444911256774	0.385589755871	BP	e	organelle assembly	4/36	59/1555	4	4	OG_13501, OG_15582, OG_15984, OG_16064
GO:0034613	0.052775352975	0.436300888997	BP	e	cellular protein localization	5/36	90/1555	4	5	OG_12784, OG_13830, OG_14549, OG_15984, OG_17411
GO:0007017	0.0545376111246	0.436300888997	BP	e	microtubule-based process	4/36	63/1555	2	4	OG_13501, OG_14549, OG_15752, OG_15984
GO:0007010	0.0593544305731	0.457248946637	BP	e	cytoskeleton organization	5/36	93/1555	4	5	OG_13501, OG_14549, OG_15752, OG_15829, OG_15984
GO:0022607	0.0627613374949	0.466227078534	BP	e	cellular component assembly	8/36	183/1555	3	8	OG_12863, OG_12869, OG_13501, OG_13874, OG_15582, OG_15984, OG_16064, OG_17411
GO:0090087	0.0967958309346	0.470569819815	BP	e	regulation of peptide transport	3/36	48/1555	5	3	OG_13830, OG_13985, OG_15752
GO:0044283	0.106330680439	0.470569819815	BP	e	small molecule biosynthetic process	3/36	50/1555	3	3	OG_13864, OG_14985, OG_16098
GO:0051716	0.0865602402346	0.470569819815	BP	e	cellular response to stimulus	7/36	159/1555	2	7	OG_12784, OG_13830, OG_13864, OG_13985, OG_14985, OG_15829, OG_16064
GO:0033036	0.104112740127	0.470569819815	BP	e	macromolecule localization	7/36	170/1555	2	7	OG_12784, OG_12813, OG_13501, OG_13830, OG_14549, OG_15984, OG_17411
GO:0010033	0.0818481323085	0.470569819815	BP	e	response to organic substance	5/36	102/1555	3	5	OG_13830, OG_13864, OG_15260, OG_15629, OG_15829
GO:0055114	0.0914942567259	0.470569819815	BP	e	oxidation-reduction process	4/36	75/1555	2	4	OG_11982, OG_13360, OG_14985, OG_16098
GO:0009605	0.0791456539708	0.470569819815	BP	e	response to external stimulus	5/36	101/1555	2	5	OG_13830, OG_13864, OG_15629, OG_15984, OG_16064
GO:0010243	0.101516734953	0.470569819815	BP	e	response to organonitrogen compound	3/36	49/1555	4	3	OG_13864, OG_15260, OG_15629
GO:0033554	0.102159957155	0.470569819815	BP	e	cellular response to stress	5/36	109/1555	3	5	OG_12784, OG_13830, OG_13864, OG_14985, OG_16064
GO:0051223	0.0876426028747	0.470569819815	BP	e	regulation of protein transport	3/36	46/1555	6	3	OG_13830, OG_13985, OG_15752
GO:1901576	0.0861109011998	0.470569819815	BP	e	organic substance biosynthetic process	11/36	297/1555	3	11	OG_11982, OG_12059, OG_12389, OG_12784, OG_12813, OG_12863, OG_13864, OG_14985, OG_15397, OG_16098, OG_17411
GO:0006886	0.0748773350356	0.470569819815	BP	e	intracellular protein transport	4/36	70/1555	8	4	OG_12784, OG_13830, OG_14549, OG_15984
GO:0070887	0.0880356955522	0.470569819815	BP	e	cellular response to chemical stimulus	4/36	74/1555	3	4	OG_13830, OG_13985, OG_14985, OG_15829
GO:0009987	0.0973239245498	0.470569819815	BP	e	cellular process	30/36	1095/1555	1	30	OG_11863, OG_11982, OG_12059, OG_12389, OG_12784, OG_12813, OG_12858, OG_12863, OG_12869, OG_13360, OG_13501, OG_13830, OG_13864, OG_13874, OG_13985, OG_14549, OG_14985, OG_15167, OG_15260, OG_15397, OG_15582, OG_15629, OG_15752, OG_15829, OG_15984, OG_16064, OG_16098, OG_16300, OG_17411, OG_17613
GO:0009058	0.0870357572627	0.470569819815	BP	e	biosynthetic process	11/36	298/1555	2	11	OG_11982, OG_12059, OG_12389, OG_12784, OG_12813, OG_12863, OG_13864, OG_14985, OG_15397, OG_16098, OG_17411
GO:0051726	0.10226415425	0.470569819815	BP	e	regulation of cell cycle	4/36	78/1555	4	4	OG_13501, OG_13864, OG_14549, OG_15397
GO:0044087	0.10226415425	0.470569819815	BP	e	regulation of cellular component biogenesis	4/36	78/1555	3	4	OG_13830, OG_15752, OG_15829, OG_17411
GO:0006796	0.0938748112157	0.470569819815	BP	e	phosphate-containing compound metabolic process	7/36	164/1555	4	7	OG_12813, OG_13501, OG_13830, OG_13864, OG_15167, OG_15629, OG_17411
GO:0006793	0.097112818623	0.470569819815	BP	e	phosphorus metabolic process	7/36	166/1555	3	7	OG_12813, OG_13501, OG_13830, OG_13864, OG_15167, OG_15629, OG_17411
GO:1901698	0.111235253913	0.482019433623	BP	e	response to nitrogen compound	3/36	51/1555	3	3	OG_13864, OG_15260, OG_15629
GO:1903047	0.121306466087	0.514933570328	BP	e	mitotic cell cycle process	3/36	53/1555	3	3	OG_13501, OG_14549, OG_15752
GO:0030154	0.128240368615	0.523019542587	BP	e	cell differentiation	6/36	139/1555	3	6	OG_11863, OG_12858, OG_15397, OG_15582, OG_15829, OG_15984
GO:0060341	0.126468126485	0.523019542587	BP	e	regulation of cellular localization	3/36	54/1555	4	3	OG_13830, OG_13985, OG_15752
GO:0009719	0.131710466759	0.526841867036	BP	e	response to endogenous stimulus	3/36	55/1555	2	3	OG_13864, OG_15629, OG_15829
GO:0044092	0.142427016478	0.540925731576	BP	e	negative regulation of molecular function	3/36	57/1555	3	3	OG_12858, OG_15397, OG_15829
GO:0065003	0.150837203848	0.540925731576	BP	e	protein-containing complex assembly	4/36	90/1555	4	4	OG_12863, OG_12869, OG_13874, OG_15984
GO:0051130	0.146478899364	0.540925731576	BP	e	positive regulation of cellular component organization	4/36	89/1555	5	4	OG_13830, OG_13985, OG_15752, OG_15829
GO:0019752	0.153435664245	0.540925731576	BP	e	carboxylic acid metabolic process	3/36	59/1555	5	3	OG_14985, OG_16098, OG_16300
GO:0051301	0.142427016478	0.540925731576	BP	e	cell division	3/36	57/1555	2	3	OG_13501, OG_14549, OG_15752
GO:0007389	0.146478899364	0.540925731576	BP	e	pattern specification process	4/36	89/1555	2	4	OG_11863, OG_15397, OG_15582, OG_15829
GO:0048598	0.153435664245	0.540925731576	BP	e	embryonic morphogenesis	3/36	59/1555	3	3	OG_15397, OG_15582, OG_15829
GO:0023057	0.159708085793	0.543823787764	BP	e	negative regulation of signaling	4/36	92/1555	4	4	OG_12858, OG_13830, OG_13864, OG_15984
GO:0010648	0.159708085793	0.543823787764	BP	e	negative regulation of cell communication	4/36	92/1555	5	4	OG_12858, OG_13830, OG_13864, OG_15984
GO:0009628	0.164218362432	0.543823787764	BP	e	response to abiotic stimulus	4/36	93/1555	2	4	OG_12784, OG_13830, OG_13864, OG_15984
GO:0044255	0.164715858794	0.543823787764	BP	e	cellular lipid metabolic process	3/36	61/1555	4	3	OG_11982, OG_13360, OG_17411
GO:0044238	0.1739160975	0.565227316875	BP	e	primary metabolic process	20/36	679/1555	2	20	OG_11982, OG_12059, OG_12389, OG_12784, OG_12813, OG_12863, OG_13360, OG_13501, OG_13830, OG_13864, OG_13874, OG_14985, OG_15260, OG_15397, OG_15629, OG_16098, OG_16300, OG_17411, OG_17613, OG_18387
GO:0003002	0.193969735505	0.584720362102	BP	e	regionalization	3/36	66/1555	3	3	OG_11863, OG_15397, OG_15582
GO:0043436	0.188008772864	0.584720362102	BP	e	oxoacid metabolic process	3/36	65/1555	4	3	OG_14985, OG_16098, OG_16300
GO:0044249	0.190244134091	0.584720362102	BP	e	cellular biosynthetic process	10/36	290/1555	3	10	OG_12059, OG_12389, OG_12784, OG_12813, OG_12863, OG_13864, OG_14985, OG_15397, OG_16098, OG_17411
GO:0016071	0.188008772864	0.584720362102	BP	e	mRNA metabolic process	3/36	65/1555	7	3	OG_12813, OG_15260, OG_17613
GO:0032879	0.193540578991	0.584720362102	BP	e	regulation of localization	7/36	190/1555	3	7	OG_13830, OG_13864, OG_13985, OG_14549, OG_15752, OG_15829, OG_15984
GO:0006082	0.199980739806	0.594228483995	BP	e	organic acid metabolic process	3/36	67/1555	3	3	OG_14985, OG_16098, OG_16300
GO:0010605	0.204731623883	0.595224608972	BP	e	negative regulation of macromolecule metabolic process	7/36	196/1555	5	7	OG_11863, OG_12813, OG_12858, OG_13830, OG_13864, OG_15397, OG_15984
GO:0006468	0.206039287721	0.595224608972	BP	e	protein phosphorylation	3/36	68/1555	7	3	OG_13501, OG_13830, OG_13864
GO:0019637	0.218289119679	0.597422853858	BP	e	organophosphate metabolic process	3/36	70/1555	4	3	OG_12813, OG_15629, OG_17411
GO:0120036	0.218289119679	0.597422853858	BP	e	plasma membrane bounded cell projection organization	3/36	70/1555	4	3	OG_13830, OG_15582, OG_15984
