GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009416	0.00202514536594	0.222104763627	BP	e	response to light stimulus	5/49	42/2203	4	5	OG_12782, OG_13068, OG_13250, OG_14466, OG_15124
GO:0070302	0.00260279019875	0.222104763627	BP	e	regulation of stress-activated protein kinase signaling cascade	4/49	27/2203	7	4	OG_12782, OG_13068, OG_13118, OG_13524
GO:0032872	0.00260279019875	0.222104763627	BP	e	regulation of stress-activated MAPK cascade	4/49	27/2203	10	4	OG_12782, OG_13068, OG_13118, OG_13524
GO:2001233	0.0150732575425	0.26695219296	BP	e	regulation of apoptotic signaling pathway	3/49	24/2203	7	3	OG_13118, OG_13524, OG_14466
GO:1905114	0.0150732575425	0.26695219296	BP	e	cell surface receptor signaling pathway involved in cell-cell signaling	3/49	24/2203	6	3	OG_12924, OG_15695, OG_17705
GO:0016055	0.0150732575425	0.26695219296	BP	e	Wnt signaling pathway	3/49	24/2203	7	3	OG_12924, OG_15695, OG_17705
GO:0009892	0.0137576738071	0.26695219296	BP	e	negative regulation of metabolic process	12/49	269/2203	4	12	OG_12087, OG_12178, OG_12188, OG_12782, OG_12914, OG_12924, OG_13118, OG_13524, OG_13771, OG_14466, OG_15527, OG_15531
GO:0046328	0.0168643520664	0.26695219296	BP	e	regulation of JNK cascade	3/49	25/2203	11	3	OG_13068, OG_13118, OG_13524
GO:0098662	0.0140968965102	0.26695219296	BP	e	inorganic cation transmembrane transport	4/49	43/2203	7	4	OG_15527, OG_15531, OG_18309, OG_19247
GO:0009314	0.00616046481719	0.26695219296	BP	e	response to radiation	5/49	54/2203	3	5	OG_12782, OG_13068, OG_13250, OG_14466, OG_15124
GO:0043409	0.00780149220337	0.26695219296	BP	e	negative regulation of MAPK cascade	3/49	19/2203	10	3	OG_12782, OG_13524, OG_14466
GO:0043408	0.00962549860416	0.26695219296	BP	e	regulation of MAPK cascade	5/49	60/2203	9	5	OG_12782, OG_13068, OG_13118, OG_13524, OG_14466
GO:0072503	0.0187700760675	0.26695219296	BP	e	cellular divalent inorganic cation homeostasis	3/49	26/2203	8	3	OG_15527, OG_15531, OG_16560
GO:0015672	0.010961523236	0.26695219296	BP	e	monovalent inorganic cation transport	4/49	40/2203	6	4	OG_15527, OG_15531, OG_18309, OG_19247
GO:0009628	0.00653987070417	0.26695219296	BP	e	response to abiotic stimulus	8/49	129/2203	2	8	OG_11207, OG_12782, OG_12914, OG_13068, OG_13250, OG_13771, OG_14466, OG_15124
GO:0006874	0.0187700760675	0.26695219296	BP	e	cellular calcium ion homeostasis	3/49	26/2203	9	3	OG_15527, OG_15531, OG_16560
GO:0031324	0.015807908384	0.26695219296	BP	e	negative regulation of cellular metabolic process	11/49	236/2203	5	11	OG_12087, OG_12178, OG_12188, OG_12782, OG_12924, OG_13118, OG_13524, OG_13771, OG_14466, OG_15527, OG_15531
GO:0042592	0.0182725813118	0.26695219296	BP	e	homeostatic process	8/49	154/2203	3	8	OG_12914, OG_12924, OG_13068, OG_13776, OG_15527, OG_15531, OG_15693, OG_16560
GO:0055074	0.0207909868011	0.279496304374	BP	e	calcium ion homeostasis	3/49	27/2203	8	3	OG_15527, OG_15531, OG_16560
GO:0072507	0.0229274312182	0.279496304374	BP	e	divalent inorganic cation homeostasis	3/49	28/2203	7	3	OG_15527, OG_15531, OG_16560
GO:0098655	0.0219557111842	0.279496304374	BP	e	cation transmembrane transport	4/49	49/2203	6	4	OG_15527, OG_15531, OG_18309, OG_19247
GO:0098660	0.0250701704894	0.29172562024	BP	e	inorganic ion transmembrane transport	4/49	51/2203	6	4	OG_15527, OG_15531, OG_18309, OG_19247
GO:0031400	0.0267231332937	0.297440092312	BP	e	negative regulation of protein modification process	4/49	52/2203	8	4	OG_12782, OG_12924, OG_13524, OG_14466
GO:0048878	0.0318493472087	0.339726370226	BP	e	chemical homeostasis	5/49	81/2203	4	5	OG_13068, OG_13776, OG_15527, OG_15531, OG_16560
GO:0031330	0.0353414617076	0.361896567886	BP	e	negative regulation of cellular catabolic process	3/49	33/2203	6	3	OG_12087, OG_12782, OG_14466
GO:0050896	0.0382572020943	0.376686297544	BP	e	response to stimulus	18/49	513/2203	1	18	OG_11207, OG_12782, OG_12914, OG_13068, OG_13089, OG_13118, OG_13250, OG_13281, OG_13524, OG_13771, OG_13776, OG_14228, OG_14466, OG_15124, OG_15129, OG_15527, OG_15531, OG_15693
GO:0009895	0.0441589542499	0.376823076266	BP	e	negative regulation of catabolic process	3/49	36/2203	5	3	OG_12087, OG_12782, OG_14466
GO:0080135	0.0422989874563	0.376823076266	BP	e	regulation of cellular response to stress	4/49	60/2203	5	4	OG_12782, OG_13068, OG_13118, OG_13524
GO:0006875	0.0441589542499	0.376823076266	BP	e	cellular metal ion homeostasis	3/49	36/2203	8	3	OG_15527, OG_15531, OG_16560
GO:0001933	0.0411074669421	0.376823076266	BP	e	negative regulation of protein phosphorylation	3/49	35/2203	9	3	OG_12782, OG_13524, OG_14466
GO:0042326	0.0505934658019	0.417804104687	BP	e	negative regulation of phosphorylation	3/49	38/2203	8	3	OG_12782, OG_13524, OG_14466
GO:0055065	0.0574614713172	0.459691770538	BP	e	metal ion homeostasis	3/49	40/2203	7	3	OG_15527, OG_15531, OG_16560
GO:0034220	0.0621136789358	0.481851569926	BP	e	ion transmembrane transport	4/49	68/2203	5	4	OG_15527, OG_15531, OG_18309, OG_19247
GO:0055114	0.0651818623143	0.490781080955	BP	e	oxidation-reduction process	6/49	130/2203	2	6	OG_12305, OG_12507, OG_13776, OG_14228, OG_16485, OG_17573
GO:0009968	0.0692059156658	0.492130955846	BP	e	negative regulation of signal transduction	6/49	132/2203	6	6	OG_12782, OG_12924, OG_13068, OG_13118, OG_13524, OG_14466
GO:0051603	0.0677248512283	0.492130955846	BP	e	proteolysis involved in cellular protein catabolic process	4/49	70/2203	6	4	OG_12914, OG_17705, OG_18032, OG_18736
GO:0098542	0.072449945073	0.50127529564	BP	e	defense response to other organism	3/49	44/2203	5	3	OG_13118, OG_13524, OG_13771
GO:0030003	0.0764481464417	0.515019091818	BP	e	cellular cation homeostasis	3/49	45/2203	7	3	OG_15527, OG_15531, OG_16560
GO:0098771	0.102400082546	0.531004756248	BP	e	inorganic ion homeostasis	3/49	51/2203	6	3	OG_15527, OG_15531, OG_16560
GO:0048519	0.123952455186	0.531004756248	BP	e	negative regulation of biological process	16/49	512/2203	3	16	OG_12087, OG_12178, OG_12188, OG_12782, OG_12914, OG_12924, OG_13068, OG_13118, OG_13524, OG_13771, OG_14466, OG_15527, OG_15531, OG_16560, OG_17573, OG_18032
GO:0016570	0.09785126419	0.531004756248	BP	e	histone modification	3/49	50/2203	7	3	OG_13118, OG_16077, OG_17443
GO:0016569	0.09785126419	0.531004756248	BP	e	covalent chromatin modification	3/49	50/2203	5	3	OG_13118, OG_16077, OG_17443
GO:0009890	0.134825426391	0.531004756248	BP	e	negative regulation of biosynthetic process	6/49	146/2203	5	6	OG_12178, OG_12188, OG_13524, OG_13771, OG_15527, OG_15531
GO:0044265	0.133244527894	0.531004756248	BP	e	cellular macromolecule catabolic process	4/49	89/2203	5	4	OG_12914, OG_13089, OG_17705, OG_18736
