GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0080090	0.0510763622319	0.732535424846	BP	p	regulation of primary metabolic process	9/58	669/2458	4	9	OG_12074, OG_13505, OG_13629, OG_14251, OG_14677, OG_14702, OG_17624, OG_18365, OG_19201
GO:0048589	0.184454120027	0.732535424846	BP	e	developmental growth	3/58	63/2458	2	3	OG_15707, OG_16105, OG_16667
GO:0061024	0.11771441377	0.732535424846	BP	e	membrane organization	4/58	80/2458	3	4	OG_11686, OG_11809, OG_14251, OG_16667
GO:1901362	0.037669741156	0.732535424846	BP	p	organic cyclic compound biosynthetic process	3/58	358/2458	4	3	OG_13629, OG_14022, OG_16726
GO:1901360	0.179619270958	0.732535424846	BP	p	organic cyclic compound metabolic process	11/58	676/2458	3	11	OG_11966, OG_12331, OG_12334, OG_13435, OG_13629, OG_14022, OG_14028, OG_15707, OG_16303, OG_16726, OG_19201
GO:0010605	0.148048745777	0.732535424846	BP	p	negative regulation of macromolecule metabolic process	3/58	294/2458	5	3	OG_12331, OG_13629, OG_14702
GO:0019222	0.029668791752	0.732535424846	BP	p	regulation of metabolic process	10/58	756/2458	3	10	OG_12074, OG_12331, OG_13505, OG_13629, OG_14251, OG_14677, OG_14702, OG_17624, OG_18365, OG_19201
GO:0045785	0.029497599705	0.732535424846	BP	e	positive regulation of cell adhesion	3/58	29/2458	4	3	OG_13629, OG_14702, OG_18365
GO:0034470	0.134188230134	0.732535424846	BP	e	ncRNA processing	4/58	84/2458	8	4	OG_11966, OG_14028, OG_16303, OG_19201
GO:0060255	0.0565377864287	0.732535424846	BP	p	regulation of macromolecule metabolic process	10/58	698/2458	4	10	OG_12074, OG_12331, OG_13505, OG_13629, OG_14251, OG_14677, OG_14702, OG_17624, OG_18365, OG_19201
GO:2001141	0.195501989722	0.732535424846	BP	p	regulation of RNA biosynthetic process	5/58	377/2458	7	5	OG_12074, OG_13629, OG_14702, OG_17624, OG_18365
GO:0043436	0.128463986259	0.732535424846	BP	e	oxoacid metabolic process	6/58	133/2458	4	6	OG_11966, OG_12319, OG_12334, OG_13435, OG_13682, OG_16098
GO:0055114	0.0160364748451	0.732535424846	BP	e	oxidation-reduction process	8/58	141/2458	2	8	OG_11966, OG_12319, OG_12517, OG_12915, OG_16098, OG_16726, OG_17294, OG_17500
GO:1901564	0.108434809059	0.732535424846	BP	e	organonitrogen compound metabolic process	23/58	728/2458	3	23	OG_11697, OG_11966, OG_12074, OG_12331, OG_12334, OG_13435, OG_13557, OG_13561, OG_13682, OG_13784, OG_14022, OG_14251, OG_14512, OG_14617, OG_14677, OG_14702, OG_14811, OG_14868, OG_15524, OG_15872, OG_16726, OG_17624, OG_19201
GO:0019538	0.154658603777	0.732535424846	BP	e	protein metabolic process	18/58	565/2458	4	18	OG_11697, OG_12074, OG_12331, OG_12334, OG_13435, OG_13557, OG_13561, OG_13784, OG_14251, OG_14617, OG_14677, OG_14702, OG_14811, OG_14868, OG_15524, OG_15872, OG_17624, OG_19201
GO:0034641	0.147408691737	0.732535424846	BP	p	cellular nitrogen compound metabolic process	12/58	725/2458	3	12	OG_11966, OG_12319, OG_12331, OG_12334, OG_13435, OG_13629, OG_14022, OG_14028, OG_15707, OG_16303, OG_16726, OG_19201
GO:0010468	0.19502133747	0.732535424846	BP	p	regulation of gene expression	8/58	514/2458	5	8	OG_12074, OG_12331, OG_13629, OG_14677, OG_14702, OG_17624, OG_18365, OG_19201
GO:0019637	0.130063270466	0.732535424846	BP	e	organophosphate metabolic process	6/58	134/2458	4	6	OG_11966, OG_14022, OG_14512, OG_15872, OG_16726, OG_17500
GO:0019438	0.0538965702639	0.732535424846	BP	p	aromatic compound biosynthetic process	3/58	337/2458	4	3	OG_13629, OG_14022, OG_16726
GO:0044782	0.107171683655	0.732535424846	BP	e	cilium organization	3/58	49/2458	5	3	OG_14251, OG_17522, OG_18365
GO:0009892	0.0758842475864	0.732535424846	BP	p	negative regulation of metabolic process	3/58	321/2458	4	3	OG_12331, OG_13629, OG_14702
GO:0009893	0.195449063109	0.732535424846	BP	p	positive regulation of metabolic process	5/58	370/2458	4	5	OG_13505, OG_13629, OG_14251, OG_17624, OG_18365
GO:0120036	0.0734215889769	0.732535424846	BP	e	plasma membrane bounded cell projection organization	5/58	96/2458	4	5	OG_14251, OG_16667, OG_17500, OG_17522, OG_18365
GO:0034660	0.0494378101294	0.732535424846	BP	e	ncRNA metabolic process	6/58	114/2458	7	6	OG_11966, OG_12334, OG_13435, OG_14028, OG_16303, OG_19201
GO:0120031	0.12773414447	0.732535424846	BP	e	plasma membrane bounded cell projection assembly	3/58	53/2458	5	3	OG_14251, OG_17522, OG_18365
GO:0044267	0.177032942088	0.732535424846	BP	e	cellular protein metabolic process	15/58	467/2458	5	15	OG_11697, OG_12074, OG_12331, OG_12334, OG_13435, OG_13557, OG_13561, OG_13784, OG_14251, OG_14677, OG_14702, OG_14811, OG_15872, OG_17624, OG_19201
GO:0043410	0.058712743784	0.732535424846	BP	e	positive regulation of MAPK cascade	3/58	38/2458	10	3	OG_13505, OG_14251, OG_17624
GO:0006364	0.0974328774468	0.732535424846	BP	e	rRNA processing	3/58	47/2458	9	3	OG_14028, OG_16303, OG_19201
GO:0043408	0.0809340576472	0.732535424846	BP	e	regulation of MAPK cascade	4/58	70/2458	9	4	OG_13505, OG_14251, OG_14702, OG_17624
GO:0018130	0.0538965702639	0.732535424846	BP	p	heterocycle biosynthetic process	3/58	337/2458	4	3	OG_13629, OG_14022, OG_16726
GO:0007626	0.112180690899	0.732535424846	BP	e	locomotory behavior	3/58	50/2458	2	3	OG_12802, OG_13505, OG_16105
GO:0060271	0.0880836830659	0.732535424846	BP	e	cilium assembly	3/58	45/2458	6	3	OG_14251, OG_17522, OG_18365
GO:0009150	0.16096491559	0.732535424846	BP	e	purine ribonucleotide metabolic process	3/58	59/2458	9	3	OG_11966, OG_14022, OG_16726
GO:0006955	0.0205899088379	0.732535424846	BP	e	immune response	5/58	68/2458	2	5	OG_12074, OG_13557, OG_14702, OG_16667, OG_17624
GO:0034654	0.107513517042	0.732535424846	BP	p	nucleobase-containing compound biosynthetic process	3/58	314/2458	5	3	OG_13629, OG_14022, OG_16726
GO:1902533	0.142769016107	0.732535424846	BP	e	positive regulation of intracellular signal transduction	4/58	86/2458	7	4	OG_13505, OG_13557, OG_14251, OG_17624
GO:0090407	0.147141328355	0.732535424846	BP	e	organophosphate biosynthetic process	4/58	87/2458	5	4	OG_14022, OG_14512, OG_15872, OG_16726
GO:0016072	0.138514698012	0.732535424846	BP	e	rRNA metabolic process	3/58	55/2458	8	3	OG_14028, OG_16303, OG_19201
GO:0006355	0.195293581781	0.732535424846	BP	p	regulation of transcription, DNA-templated	5/58	372/2458	9	5	OG_12074, OG_13629, OG_14702, OG_17624, OG_18365
GO:0006511	0.160571480444	0.732535424846	BP	e	ubiquitin-dependent protein catabolic process	4/58	90/2458	8	4	OG_14251, OG_14617, OG_14702, OG_14868
GO:0006869	0.062571100972	0.732535424846	BP	e	lipid transport	3/58	39/2458	5	3	OG_11809, OG_14423, OG_16667
GO:0006732	0.102254869659	0.732535424846	BP	e	coenzyme metabolic process	3/58	48/2458	4	3	OG_11966, OG_14022, OG_16098
GO:0030155	0.122464618612	0.732535424846	BP	e	regulation of cell adhesion	3/58	52/2458	3	3	OG_13629, OG_14702, OG_18365
GO:1903827	0.155248101545	0.732535424846	BP	e	regulation of cellular protein localization	3/58	58/2458	5	3	OG_14702, OG_16667, OG_16881
GO:0061061	0.0412274595876	0.732535424846	BP	e	muscle structure development	3/58	33/2458	3	3	OG_12074, OG_13629, OG_13682
GO:0006163	0.16096491559	0.732535424846	BP	e	purine nucleotide metabolic process	3/58	59/2458	8	3	OG_11966, OG_14022, OG_16726
