GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0010639	0.003706548515	0.219724461127	BP	e	negative regulation of organelle organization	4/30	54/2463	6	4	OG_12416, OG_15587, OG_16134, OG_16489
GO:0012501	0.00383669683365	0.219724461127	BP	e	programmed cell death	5/30	89/2463	3	5	OG_11556, OG_11759, OG_14941, OG_15587, OG_16489
GO:0008219	0.00464206608015	0.219724461127	BP	e	cell death	5/30	93/2463	2	5	OG_11556, OG_11759, OG_14941, OG_15587, OG_16489
GO:0006915	0.00847732655698	0.252253201198	BP	e	apoptotic process	4/30	68/2463	4	4	OG_11556, OG_11759, OG_14941, OG_16489
GO:0044057	0.00888215497175	0.252253201198	BP	e	regulation of system process	3/30	36/2463	4	3	OG_12832, OG_14814, OG_16221
GO:0051129	0.0148737756325	0.301725162831	BP	e	negative regulation of cellular component organization	4/30	80/2463	5	4	OG_12416, OG_15587, OG_16134, OG_16489
GO:0034622	0.0144401800189	0.301725162831	BP	e	cellular protein-containing complex assembly	5/30	122/2463	5	5	OG_13836, OG_14935, OG_15587, OG_16489, OG_17068
GO:0048646	0.0483889333881	0.858903567639	BP	e	anatomical structure formation involved in morphogenesis	4/30	115/2463	2	4	OG_15587, OG_16221, OG_17401, OG_17445
GO:0010033	0.113704049055	0.865039492183	BP	e	response to organic substance	4/30	154/2463	3	4	OG_12416, OG_14935, OG_15587, OG_16221
GO:0055114	0.0851980219568	0.865039492183	BP	e	oxidation-reduction process	4/30	139/2463	2	4	OG_10864, OG_13316, OG_17401, OG_18326
GO:0022607	0.112247333935	0.865039492183	BP	e	cellular component assembly	7/30	333/2463	3	7	OG_13836, OG_14935, OG_15587, OG_16134, OG_16221, OG_16489, OG_17068
GO:0042981	0.0782906023017	0.865039492183	BP	e	regulation of apoptotic process	4/30	135/2463	6	4	OG_11556, OG_14941, OG_15587, OG_16489
GO:0065003	0.0681226636177	0.865039492183	BP	e	protein-containing complex assembly	5/30	184/2463	4	5	OG_13836, OG_14935, OG_15587, OG_16489, OG_17068
GO:0006629	0.111680343164	0.865039492183	BP	e	lipid metabolic process	4/30	153/2463	3	4	OG_10864, OG_11759, OG_13316, OG_13850
GO:0033043	0.0720505922483	0.865039492183	BP	e	regulation of organelle organization	5/30	187/2463	5	5	OG_12416, OG_14814, OG_15587, OG_16134, OG_16489
GO:0044255	0.0551276839969	0.865039492183	BP	e	cellular lipid metabolic process	4/30	120/2463	4	4	OG_10864, OG_11759, OG_13316, OG_13850
GO:0043604	0.0991297677137	0.865039492183	BP	e	amide biosynthetic process	3/30	92/2463	5	3	OG_11759, OG_13836, OG_18184
GO:0010941	0.115744720785	0.865039492183	BP	e	regulation of cell death	4/30	155/2463	4	4	OG_11556, OG_14941, OG_15587, OG_16489
