GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0001894	0.0141748222337	0.376059955629	BP	e	tissue homeostasis	3/69	19/2502	5	3	OG_13557, OG_14656, OG_15455
GO:0045787	0.0118610201985	0.376059955629	BP	e	positive regulation of cell cycle	4/69	33/2502	5	4	OG_11664, OG_11993, OG_12855, OG_15602
GO:0032392	0.0163516966975	0.376059955629	BP	e	DNA geometric change	3/69	20/2502	6	3	OG_12001, OG_12855, OG_12965
GO:0019827	0.0176278104201	0.376059955629	BP	e	stem cell population maintenance	4/69	37/2502	3	4	OG_15180, OG_15346, OG_15455, OG_18389
GO:0044262	0.00658177002852	0.376059955629	BP	e	cellular carbohydrate metabolic process	4/69	28/2502	4	4	OG_14656, OG_17216, OG_18363, OG_19497
GO:0098727	0.0176278104201	0.376059955629	BP	e	maintenance of cell number	4/69	37/2502	2	4	OG_15180, OG_15346, OG_15455, OG_18389
GO:0007052	0.0163516966975	0.376059955629	BP	e	mitotic spindle organization	3/69	20/2502	7	3	OG_11690, OG_13188, OG_15602
GO:0016311	0.0176278104201	0.376059955629	BP	e	dephosphorylation	4/69	37/2502	5	4	OG_12997, OG_13290, OG_16310, OG_18363
GO:0061061	0.00383121955306	0.376059955629	BP	e	muscle structure development	5/69	39/2502	3	5	OG_11689, OG_14381, OG_15123, OG_15315, OG_15455
GO:0032508	0.0141748222337	0.376059955629	BP	e	DNA duplex unwinding	3/69	19/2502	7	3	OG_12001, OG_12855, OG_12965
GO:0030718	0.0121739066143	0.376059955629	BP	e	germ-line stem cell population maintenance	3/69	18/2502	4	3	OG_15180, OG_15346, OG_15455
GO:0019751	0.00720193044814	0.376059955629	BP	e	polyol metabolic process	3/69	15/2502	5	3	OG_17216, OG_18363, OG_19497
GO:0010669	0.00282697547141	0.376059955629	BP	e	epithelial structure maintenance	3/69	11/2502	6	3	OG_13557, OG_14656, OG_15455
GO:0045931	0.00587657822852	0.376059955629	BP	e	positive regulation of mitotic cell cycle	3/69	14/2502	6	3	OG_11993, OG_12855, OG_15602
GO:0005975	0.00496751317644	0.376059955629	BP	e	carbohydrate metabolic process	7/69	78/2502	3	7	OG_13925, OG_14656, OG_15734, OG_16799, OG_17216, OG_18363, OG_19497
GO:0007517	0.0212391682891	0.424783365782	BP	e	muscle organ development	3/69	22/2502	4	3	OG_15123, OG_15315, OG_15455
GO:0006091	0.0248133734052	0.467075264098	BP	e	generation of precursor metabolites and energy	5/69	61/2502	3	5	OG_10881, OG_14409, OG_14656, OG_18308, OG_19497
GO:0016052	0.026842770003	0.477204800053	BP	e	carbohydrate catabolic process	3/69	24/2502	4	3	OG_14656, OG_16799, OG_19497
GO:0045017	0.0299130236902	0.50379829373	BP	e	glycerolipid biosynthetic process	3/69	25/2502	6	3	OG_10881, OG_17216, OG_19274
GO:0010647	0.0370540822944	0.515535058009	BP	e	positive regulation of cell communication	9/69	157/2502	5	9	OG_13557, OG_13584, OG_14381, OG_14656, OG_14784, OG_15180, OG_15260, OG_15346, OG_18550
GO:1901615	0.0335446293571	0.515535058009	BP	e	organic hydroxy compound metabolic process	5/69	66/2502	3	5	OG_14409, OG_15602, OG_17216, OG_18363, OG_19497
GO:0023056	0.0370540822944	0.515535058009	BP	e	positive regulation of signaling	9/69	157/2502	4	9	OG_13557, OG_13584, OG_14381, OG_14656, OG_14784, OG_15180, OG_15260, OG_15346, OG_18550
GO:0009408	0.0365865366194	0.515535058009	BP	e	response to heat	3/69	27/2502	4	3	OG_13771, OG_18308, OG_19092
GO:0006066	0.0387776232366	0.517034976488	BP	e	alcohol metabolic process	4/69	47/2502	4	4	OG_14409, OG_17216, OG_18363, OG_19497
GO:2001233	0.0439612048404	0.521021686997	BP	e	regulation of apoptotic signaling pathway	3/69	29/2502	7	3	OG_14656, OG_16310, OG_18550
GO:0046486	0.0414477126254	0.521021686997	BP	e	glycerolipid metabolic process	4/69	48/2502	5	4	OG_10881, OG_17216, OG_18363, OG_19274
GO:1902850	0.0439612048404	0.521021686997	BP	e	microtubule cytoskeleton organization involved in mitosis	3/69	29/2502	6	3	OG_11690, OG_13188, OG_15602
GO:0048468	0.0794918941134	0.557872063093	BP	e	cell development	7/69	123/2502	3	7	OG_11689, OG_12001, OG_15123, OG_15315, OG_15602, OG_16281, OG_16665
GO:0009966	0.0653743201333	0.557872063093	BP	e	regulation of signal transduction	14/69	318/2502	5	14	OG_11553, OG_11993, OG_13077, OG_13557, OG_13584, OG_14381, OG_14656, OG_14784, OG_15260, OG_15315, OG_15346, OG_16310, OG_18550, OG_19497
