GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0032787	0.00107845476625	0.17374999914	BP	e	monocarboxylic acid metabolic process	6/41	74/2502	6	6	OG_11635, OG_12558, OG_12708, OG_14152, OG_14636, OG_16722
GO:0072329	0.00817647054778	0.17374999914	BP	e	monocarboxylic acid catabolic process	3/41	26/2502	7	3	OG_12558, OG_12708, OG_14152
GO:0016053	0.00772171208286	0.17374999914	BP	e	organic acid biosynthetic process	4/41	49/2502	4	4	OG_11635, OG_12708, OG_14636, OG_16722
GO:0072330	0.00576240349019	0.17374999914	BP	e	monocarboxylic acid biosynthetic process	3/41	23/2502	7	3	OG_11635, OG_14636, OG_16722
GO:0000904	0.00506806052353	0.17374999914	BP	e	cell morphogenesis involved in differentiation	3/41	22/2502	5	3	OG_13829, OG_14636, OG_14863
GO:0000902	0.00306382470791	0.17374999914	BP	e	cell morphogenesis	4/41	38/2502	4	4	OG_13829, OG_14636, OG_14863, OG_16306
GO:0046394	0.00772171208286	0.17374999914	BP	e	carboxylic acid biosynthetic process	4/41	49/2502	6	4	OG_11635, OG_12708, OG_14636, OG_16722
GO:0006733	0.00442701720679	0.17374999914	BP	e	oxidoreduction coenzyme metabolic process	3/41	21/2502	5	3	OG_11591, OG_16558, OG_16722
GO:0044283	0.0104296135591	0.177303430505	BP	e	small molecule biosynthetic process	5/41	83/2502	3	5	OG_11591, OG_11635, OG_12708, OG_14636, OG_16722
GO:0006732	0.0101797838903	0.177303430505	BP	e	coenzyme metabolic process	4/41	53/2502	4	4	OG_11591, OG_12708, OG_16558, OG_16722
GO:0031323	0.014730944213	0.192635424324	BP	p	regulation of cellular metabolic process	5/41	727/2502	4	5	OG_11591, OG_12888, OG_14397, OG_14580, OG_18089
GO:0009108	0.0145733517443	0.192635424324	BP	e	coenzyme biosynthetic process	3/41	32/2502	5	3	OG_11591, OG_12708, OG_16722
GO:0031123	0.01335733969	0.192635424324	BP	e	RNA 3'-end processing	3/41	31/2502	8	3	OG_14580, OG_15247, OG_18089
GO:0019222	0.0171425369495	0.208159377244	BP	p	regulation of metabolic process	6/41	798/2502	3	6	OG_11591, OG_12888, OG_14397, OG_14580, OG_14725, OG_18089
