GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0034440	0.00313491619645	0.263353180184	BP	e	lipid oxidation	3/57	13/2382	6	3	OG_12558, OG_14496, OG_15286
GO:0072329	0.00696362852878	0.263353180184	BP	e	monocarboxylic acid catabolic process	3/57	17/2382	7	3	OG_12558, OG_14496, OG_15286
GO:0055114	0.00404675768877	0.263353180184	BP	e	oxidation-reduction process	9/57	135/2382	2	9	OG_11567, OG_11871, OG_12558, OG_12596, OG_14496, OG_15286, OG_15529, OG_16430, OG_17036
GO:0016054	0.00888327103741	0.263353180184	BP	e	organic acid catabolic process	4/57	35/2382	4	4	OG_11567, OG_12558, OG_14496, OG_15286
GO:0009062	0.00482049158487	0.263353180184	BP	e	fatty acid catabolic process	3/57	15/2382	8	3	OG_12558, OG_14496, OG_15286
GO:0042254	0.00959233437757	0.263353180184	BP	e	ribosome biogenesis	3/57	19/2382	4	3	OG_14776, OG_16129, OG_17537
GO:0019395	0.00313491619645	0.263353180184	BP	e	fatty acid oxidation	3/57	13/2382	8	3	OG_12558, OG_14496, OG_15286
GO:0046395	0.00888327103741	0.263353180184	BP	e	carboxylic acid catabolic process	4/57	35/2382	6	4	OG_11567, OG_12558, OG_14496, OG_15286
GO:0006635	0.00313491619645	0.263353180184	BP	e	fatty acid beta-oxidation	3/57	13/2382	9	3	OG_12558, OG_14496, OG_15286
GO:0051129	0.00576456583541	0.263353180184	BP	e	negative regulation of cellular component organization	6/57	70/2382	5	6	OG_13238, OG_13245, OG_14086, OG_16430, OG_16678, OG_18997
GO:0044242	0.00959233437757	0.263353180184	BP	e	cellular lipid catabolic process	3/57	19/2382	5	3	OG_12558, OG_14496, OG_15286
GO:0010035	0.0118750561036	0.295758759814	BP	e	response to inorganic substance	4/57	38/2382	3	4	OG_12219, OG_12843, OG_16430, OG_18710
GO:0010639	0.0130001026737	0.295758759814	BP	e	negative regulation of organelle organization	4/57	39/2382	6	4	OG_14086, OG_16430, OG_16678, OG_18997
GO:0042060	0.0144905098324	0.295758759814	BP	e	wound healing	3/57	22/2382	4	3	OG_12843, OG_14496, OG_14611
GO:0044087	0.0146900046265	0.295758759814	BP	e	regulation of cellular component biogenesis	8/57	137/2382	3	8	OG_12814, OG_13238, OG_13245, OG_14776, OG_16430, OG_16678, OG_17537, OG_18997
GO:0016042	0.0228692139072	0.313931936362	BP	e	lipid catabolic process	3/57	26/2382	4	3	OG_12558, OG_14496, OG_15286
GO:0051336	0.0219360763799	0.313931936362	BP	e	regulation of hydrolase activity	6/57	93/2382	4	6	OG_13238, OG_13245, OG_14086, OG_16430, OG_16439, OG_18569
GO:0022613	0.0228692139072	0.313931936362	BP	e	ribonucleoprotein complex biogenesis	3/57	26/2382	3	3	OG_14776, OG_16129, OG_17537
GO:0030258	0.0205738847799	0.313931936362	BP	e	lipid modification	3/57	25/2382	5	3	OG_12558, OG_14496, OG_15286
GO:0006091	0.0227935611631	0.313931936362	BP	e	generation of precursor metabolites and energy	4/57	46/2382	3	4	OG_11871, OG_12596, OG_16430, OG_17036
GO:0062012	0.0228692139072	0.313931936362	BP	e	regulation of small molecule metabolic process	3/57	26/2382	4	3	OG_12596, OG_16430, OG_16678
GO:0044085	0.0228692139072	0.313931936362	BP	e	cellular component biogenesis	3/57	26/2382	2	3	OG_14776, OG_16129, OG_17537
GO:0048608	0.0252988269329	0.332184597119	BP	e	reproductive structure development	3/57	27/2382	3	3	OG_13238, OG_17537, OG_18727
GO:0044282	0.0319667202545	0.35041047269	BP	e	small molecule catabolic process	4/57	51/2382	3	4	OG_11567, OG_12558, OG_14496, OG_15286
GO:0034762	0.0363549629729	0.35041047269	BP	e	regulation of transmembrane transport	3/57	31/2382	5	3	OG_12219, OG_16430, OG_19054
GO:0009611	0.0363549629729	0.35041047269	BP	e	response to wounding	3/57	31/2382	3	3	OG_12843, OG_14496, OG_14611
GO:0032787	0.0361654100913	0.35041047269	BP	e	monocarboxylic acid metabolic process	4/57	53/2382	6	4	OG_11871, OG_12558, OG_14496, OG_15286
GO:0051345	0.038379665123	0.35041047269	BP	e	positive regulation of hydrolase activity	4/57	54/2382	5	4	OG_13238, OG_13245, OG_16430, OG_16439
GO:0043254	0.038379665123	0.35041047269	BP	e	regulation of protein complex assembly	4/57	54/2382	5	4	OG_12814, OG_16430, OG_16678, OG_18997
GO:0006631	0.0363549629729	0.35041047269	BP	e	fatty acid metabolic process	3/57	31/2382	7	3	OG_12558, OG_14496, OG_15286
GO:1903829	0.0305603349161	0.35041047269	BP	e	positive regulation of cellular protein localization	3/57	29/2382	6	3	OG_12814, OG_16430, OG_16678
GO:0010563	0.038379665123	0.35041047269	BP	e	negative regulation of phosphorus metabolic process	4/57	54/2382	6	4	OG_16430, OG_16678, OG_17537, OG_18569
GO:0032271	0.0394501856671	0.35041047269	BP	e	regulation of protein polymerization	3/57	32/2382	6	3	OG_16430, OG_16678, OG_18997
GO:0045936	0.038379665123	0.35041047269	BP	e	negative regulation of phosphate metabolic process	4/57	54/2382	7	4	OG_16430, OG_16678, OG_17537, OG_18569
GO:0019827	0.0426758906574	0.358003304959	BP	e	stem cell population maintenance	3/57	33/2382	3	3	OG_13238, OG_16678, OG_17537
GO:0098727	0.0426758906574	0.358003304959	BP	e	maintenance of cell number	3/57	33/2382	2	3	OG_13238, OG_16678, OG_17537
GO:0070727	0.0467444706024	0.381535949241	BP	e	cellular macromolecule localization	7/57	140/2382	3	7	OG_12814, OG_13238, OG_14589, OG_14891, OG_16398, OG_16430, OG_18997
GO:0006928	0.0513666527513	0.387818228272	BP	e	movement of cell or subcellular component	9/57	200/2382	2	9	OG_13238, OG_13245, OG_15110, OG_16430, OG_16439, OG_16678, OG_17089, OG_18727, OG_18997
GO:0031175	0.0495133451525	0.387818228272	BP	e	neuron projection development	3/57	35/2382	5	3	OG_13238, OG_15900, OG_16678
GO:0051276	0.0506052796312	0.387818228272	BP	e	chromosome organization	4/57	59/2382	4	4	OG_11934, OG_14086, OG_16678, OG_18997
GO:0046907	0.0535335812417	0.394320525244	BP	e	intracellular transport	9/57	202/2382	4	9	OG_12814, OG_13458, OG_14509, OG_14589, OG_15110, OG_16398, OG_16430, OG_16439, OG_19054
GO:0019752	0.0560188759572	0.402802393787	BP	e	carboxylic acid metabolic process	6/57	116/2382	5	6	OG_11567, OG_11871, OG_12334, OG_12558, OG_14496, OG_15286
GO:0050794	0.0602459868396	0.422381285303	BP	p	regulation of cellular process	20/57	1136/2382	3	20	OG_11934, OG_12596, OG_12814, OG_12843, OG_12997, OG_13238, OG_13245, OG_14086, OG_14611, OG_14670, OG_14776, OG_15900, OG_16325, OG_16430, OG_16678, OG_17537, OG_18569, OG_18727, OG_18997, OG_19054
