GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051650	7.04177241773e-05	0.0156327347674	BP	e	establishment of vesicle localization	4/45	11/1966	5	4	OG_13381, OG_15602, OG_15677, OG_16176
GO:0051648	0.000147524297083	0.0163751969762	BP	e	vesicle localization	4/45	13/1966	4	4	OG_13381, OG_15602, OG_15677, OG_16176
GO:0097480	0.000579635370642	0.0321697630706	BP	e	establishment of synaptic vesicle localization	3/45	8/1966	6	3	OG_13381, OG_15677, OG_16176
GO:0048489	0.000579635370642	0.0321697630706	BP	e	synaptic vesicle transport	3/45	8/1966	7	3	OG_13381, OG_15677, OG_16176
GO:0097479	0.000855549425164	0.0379863944773	BP	e	synaptic vesicle localization	3/45	9/1966	5	3	OG_13381, OG_15677, OG_16176
GO:0099003	0.00719247288465	0.254096052216	BP	e	vesicle-mediated transport in synapse	3/45	18/1966	5	3	OG_13381, OG_15677, OG_16176
GO:0051640	0.00801203768248	0.254096052216	BP	e	organelle localization	5/45	56/1966	3	5	OG_13381, OG_13910, OG_15602, OG_15677, OG_16176
GO:0051656	0.0100215301328	0.278097461185	BP	e	establishment of organelle localization	4/45	38/1966	4	4	OG_13381, OG_15602, OG_15677, OG_16176
GO:0006457	0.0270288082979	0.666710604682	BP	e	protein folding	3/45	29/1966	2	3	OG_16251, OG_16618, OG_17160
GO:0019220	0.228472866313	0.765931138641	BP	e	regulation of phosphate metabolic process	5/45	134/1966	6	5	OG_11218, OG_13450, OG_13860, OG_15375, OG_16838
GO:0080090	0.133620643871	0.765931138641	BP	e	regulation of primary metabolic process	17/45	548/1966	4	17	OG_11218, OG_11450, OG_13450, OG_13457, OG_13631, OG_13860, OG_14244, OG_14792, OG_15041, OG_15375, OG_15621, OG_15708, OG_16838, OG_17068, OG_17160, OG_17165, OG_17432
GO:0007005	0.0408956888217	0.765931138641	BP	e	mitochondrion organization	3/45	34/1966	4	3	OG_14964, OG_15602, OG_17068
GO:0045786	0.0903571924186	0.765931138641	BP	e	negative regulation of cell cycle	3/45	47/1966	5	3	OG_13860, OG_14244, OG_15041
GO:0032446	0.232280989896	0.765931138641	BP	e	protein modification by small protein conjugation	3/45	73/1966	8	3	OG_14110, OG_16618, OG_16838
GO:0044093	0.178390322851	0.765931138641	BP	e	positive regulation of molecular function	5/45	112/1966	3	5	OG_11218, OG_13860, OG_15375, OG_16304, OG_16618
GO:0060255	0.187424509674	0.765931138641	BP	e	regulation of macromolecule metabolic process	17/45	570/1966	4	17	OG_11218, OG_11450, OG_13104, OG_13450, OG_13631, OG_13860, OG_14244, OG_14792, OG_15041, OG_15375, OG_15621, OG_15708, OG_16838, OG_17068, OG_17160, OG_17165, OG_17432
GO:0045859	0.134316177247	0.765931138641	BP	e	regulation of protein kinase activity	3/45	56/1966	9	3	OG_11218, OG_13860, OG_16838
GO:0030163	0.17275137546	0.765931138641	BP	e	protein catabolic process	3/45	63/1966	5	3	OG_14110, OG_16127, OG_16618
GO:0042325	0.0999693993906	0.765931138641	BP	e	regulation of phosphorylation	5/45	109/1966	7	5	OG_11218, OG_13450, OG_13860, OG_15375, OG_16838
GO:0042327	0.196018237051	0.765931138641	BP	e	positive regulation of phosphorylation	3/45	67/1966	8	3	OG_11218, OG_13860, OG_15375
GO:0044089	0.139604240077	0.765931138641	BP	e	positive regulation of cellular component biogenesis	3/45	57/1966	4	3	OG_13043, OG_15375, OG_16788
