GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0090162	0.000594094025015	0.163969950904	BP	e	establishment of epithelial cell polarity	3/53	7/1973	4	3	OG_15684, OG_15829, OG_16855
GO:0010608	0.00898052562073	0.354089295903	BP	e	posttranscriptional regulation of gene expression	5/53	49/1973	6	5	OG_12848, OG_12914, OG_15829, OG_16694, OG_17679
GO:0061245	0.00540554687273	0.354089295903	BP	e	establishment or maintenance of bipolar cell polarity	3/53	14/1973	3	3	OG_15684, OG_15688, OG_15829
GO:0051186	0.00822971086772	0.354089295903	BP	e	cofactor metabolic process	5/53	48/1973	3	5	OG_11781, OG_14394, OG_15031, OG_18537, OG_19254
GO:0051188	0.00515314558285	0.354089295903	BP	e	cofactor biosynthetic process	4/53	27/1973	4	4	OG_11781, OG_14394, OG_15031, OG_18537
GO:0030010	0.00662962682778	0.354089295903	BP	e	establishment of cell polarity	3/53	15/1973	3	3	OG_15684, OG_15829, OG_16855
GO:0009108	0.00447792222671	0.354089295903	BP	e	coenzyme biosynthetic process	4/53	26/1973	5	4	OG_11781, OG_14394, OG_15031, OG_18537
GO:0030029	0.012460531384	0.429888332748	BP	e	actin filament-based process	5/53	53/1973	2	5	OG_13395, OG_13566, OG_14123, OG_15019, OG_15829
GO:0032386	0.0524620748677	0.433703281814	BP	e	regulation of intracellular transport	3/53	32/1973	5	3	OG_12908, OG_13848, OG_14839
GO:0007292	0.0654630745683	0.433703281814	BP	e	female gamete generation	3/53	35/1973	4	3	OG_12839, OG_15019, OG_15684
GO:0007163	0.0207409560669	0.433703281814	BP	e	establishment or maintenance of cell polarity	4/53	40/1973	2	4	OG_15684, OG_15688, OG_15829, OG_16855
GO:0044283	0.0264954232016	0.433703281814	BP	e	small molecule biosynthetic process	5/53	64/1973	3	5	OG_13864, OG_14394, OG_14485, OG_15031, OG_18537
GO:1901362	0.0443720579102	0.433703281814	BP	e	organic cyclic compound biosynthetic process	13/53	283/1973	4	13	OG_11622, OG_11781, OG_13116, OG_13864, OG_14394, OG_14485, OG_16675, OG_16694, OG_16698, OG_17083, OG_17679, OG_18085, OG_18537
GO:0051493	0.045683515742	0.433703281814	BP	e	regulation of cytoskeleton organization	4/53	51/1973	6	4	OG_15019, OG_15684, OG_15688, OG_16855
GO:0040029	0.0566417030071	0.433703281814	BP	e	regulation of gene expression, epigenetic	3/53	33/1973	6	3	OG_12914, OG_16694, OG_17083
GO:0016458	0.0277372892357	0.433703281814	BP	e	gene silencing	3/53	25/1973	7	3	OG_12914, OG_16694, OG_17083
GO:0008360	0.0307711197152	0.433703281814	BP	e	regulation of cell shape	3/53	26/1973	6	3	OG_13566, OG_14839, OG_15688
GO:0016053	0.0654630745683	0.433703281814	BP	e	organic acid biosynthetic process	3/53	35/1973	4	3	OG_14394, OG_14485, OG_18537
