GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0033365	0.000381511420056	0.0804989096318	BP	e	protein localization to organelle	6/42	42/1736	5	6	OG_11917, OG_13378, OG_14342, OG_14387, OG_14626, OG_18286
GO:0031056	0.00974711872986	0.346815608117	BP	e	regulation of histone modification	3/42	19/1736	8	3	OG_11429, OG_12658, OG_14342
GO:0070727	0.0180804345464	0.346815608117	BP	e	cellular macromolecule localization	6/42	89/1736	3	6	OG_11917, OG_13378, OG_14342, OG_14387, OG_14626, OG_18286
GO:0016192	0.0172917474383	0.346815608117	BP	e	vesicle-mediated transport	7/42	114/1736	4	7	OG_11917, OG_13378, OG_13953, OG_14575, OG_15659, OG_16289, OG_18001
GO:0009891	0.0173383785423	0.346815608117	BP	e	positive regulation of biosynthetic process	9/42	170/1736	5	9	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_17889, OG_18286, OG_18556
GO:1903508	0.0170624991151	0.346815608117	BP	e	positive regulation of nucleic acid-templated transcription	8/42	141/1736	9	8	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_18286, OG_18556
GO:0045893	0.0151029843075	0.346815608117	BP	e	positive regulation of transcription, DNA-templated	8/42	138/1736	10	8	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_18286, OG_18556
GO:1902680	0.0170624991151	0.346815608117	BP	e	positive regulation of RNA biosynthetic process	8/42	141/1736	8	8	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_18286, OG_18556
GO:0031328	0.0144166402938	0.346815608117	BP	e	positive regulation of cellular biosynthetic process	9/42	165/1736	6	9	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_17889, OG_18286, OG_18556
GO:0034613	0.0123629809714	0.346815608117	BP	e	cellular protein localization	6/42	82/1736	4	6	OG_11917, OG_13378, OG_14342, OG_14387, OG_14626, OG_18286
GO:2000027	0.00453499818969	0.346815608117	BP	e	regulation of animal organ morphogenesis	4/42	29/1736	5	4	OG_11429, OG_11917, OG_13054, OG_18286
GO:0051254	0.0215316980357	0.349476021964	BP	e	positive regulation of RNA metabolic process	8/42	147/1736	7	8	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_18286, OG_18556
GO:1902275	0.0209189538842	0.349476021964	BP	e	regulation of chromatin organization	3/42	25/1736	7	3	OG_11429, OG_12658, OG_14342
GO:0008104	0.0533895002905	0.437881563946	BP	e	protein localization	8/42	164/1736	3	8	OG_11917, OG_13378, OG_14342, OG_14387, OG_14626, OG_15659, OG_16289, OG_18286
GO:0044282	0.0578668225387	0.437881563946	BP	e	small molecule catabolic process	3/42	37/1736	3	3	OG_12132, OG_12577, OG_13331
GO:0007169	0.0540635226915	0.437881563946	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	3/42	36/1736	7	3	OG_11917, OG_13054, OG_13953
GO:1901362	0.071612398453	0.437881563946	BP	e	organic cyclic compound biosynthetic process	10/42	243/1736	4	10	OG_12577, OG_12658, OG_13054, OG_13331, OG_13885, OG_13970, OG_14342, OG_14611, OG_15903, OG_18556
GO:0045664	0.0337231372352	0.437881563946	BP	e	regulation of neuron differentiation	5/42	76/1736	7	5	OG_11176, OG_11917, OG_13054, OG_14387, OG_18286
GO:0033036	0.0611839153755	0.437881563946	BP	e	macromolecule localization	8/42	172/1736	2	8	OG_11917, OG_13378, OG_14342, OG_14387, OG_14626, OG_15659, OG_16289, OG_18286
GO:0010628	0.0560350090364	0.437881563946	BP	e	positive regulation of gene expression	8/42	167/1736	6	8	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_18286, OG_18556
GO:0009888	0.0488237164935	0.437881563946	BP	e	tissue development	4/42	58/1736	3	4	OG_11917, OG_12577, OG_16733, OG_18286
GO:0010557	0.0479721279033	0.437881563946	BP	e	positive regulation of macromolecule biosynthetic process	8/42	156/1736	6	8	OG_11917, OG_12577, OG_12658, OG_13054, OG_14342, OG_14611, OG_18286, OG_18556
GO:0006357	0.0772824490863	0.437881563946	BP	e	regulation of transcription by RNA polymerase II	8/42	184/1736	10	8	OG_11429, OG_11917, OG_12577, OG_12658, OG_13054, OG_13970, OG_18286, OG_18556
GO:0033044	0.0540635226915	0.437881563946	BP	e	regulation of chromosome organization	3/42	36/1736	6	3	OG_11429, OG_12658, OG_14342
