GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007167	0.015982431663	0.533645616875	BP	e	enzyme linked receptor protein signaling pathway	4/38	49/1869	6	4	OG_14122, OG_14526, OG_16100, OG_16349
GO:0007169	0.00484301212673	0.533645616875	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	4/38	35/1869	7	4	OG_14122, OG_14526, OG_16100, OG_16349
GO:2000147	0.0235468255002	0.533645616875	BP	e	positive regulation of cell motility	3/38	31/1869	6	3	OG_15325, OG_16026, OG_16349
GO:0032501	0.0295396498847	0.533645616875	BP	p	multicellular organismal process	3/38	419/1869	1	3	OG_15325, OG_16349, OG_16388
GO:0051272	0.027795840475	0.533645616875	BP	e	positive regulation of cellular component movement	3/38	33/1869	5	3	OG_15325, OG_16026, OG_16349
GO:0030335	0.0235468255002	0.533645616875	BP	e	positive regulation of cell migration	3/38	31/1869	7	3	OG_15325, OG_16026, OG_16349
GO:0006915	0.0280854291581	0.533645616875	BP	e	apoptotic process	4/38	58/1869	4	4	OG_11912, OG_13192, OG_17608, OG_17673
GO:0007399	0.0300645417958	0.533645616875	BP	e	nervous system development	3/38	34/1869	4	3	OG_15325, OG_16100, OG_16388
GO:0046483	0.0440159418641	0.593280204273	BP	p	heterocycle metabolic process	3/38	399/1869	3	3	OG_14639, OG_16388, OG_17546
GO:0048870	0.0543143848982	0.593280204273	BP	e	cell motility	5/38	103/1869	3	5	OG_14122, OG_15325, OG_16026, OG_16349, OG_16388
GO:0012501	0.0510285583013	0.593280204273	BP	e	programmed cell death	4/38	70/1869	3	4	OG_11912, OG_13192, OG_17608, OG_17673
GO:0040017	0.0428363409881	0.593280204273	BP	e	positive regulation of locomotion	3/38	39/1869	4	3	OG_15325, OG_16026, OG_16349
GO:0071704	0.0483373704538	0.593280204273	BP	p	organic substance metabolic process	11/38	842/1869	2	11	OG_12672, OG_14526, OG_14639, OG_14677, OG_14970, OG_15841, OG_16026, OG_16388, OG_17029, OG_17546, OG_17673
GO:0008219	0.0604493475481	0.613129096559	BP	e	cell death	4/38	74/1869	2	4	OG_11912, OG_13192, OG_17608, OG_17673
GO:0006139	0.0649614523701	0.61496841577	BP	p	nucleobase-containing compound metabolic process	3/38	383/1869	4	3	OG_14639, OG_16388, OG_17546
GO:0007166	0.13223038472	0.622673137719	BP	e	cell surface receptor signaling pathway	6/38	160/1869	5	6	OG_11912, OG_14122, OG_14526, OG_15325, OG_16100, OG_16349
GO:0007017	0.149560606113	0.622673137719	BP	e	microtubule-based process	4/38	102/1869	2	4	OG_12177, OG_14970, OG_15841, OG_16388
GO:0019725	0.0848276897726	0.622673137719	BP	e	cellular homeostasis	4/38	83/1869	4	4	OG_11821, OG_14526, OG_14639, OG_17546
GO:0060548	0.157860795478	0.622673137719	BP	e	negative regulation of cell death	3/38	68/1869	5	3	OG_14526, OG_15325, OG_16349
GO:0006928	0.0914551924712	0.622673137719	BP	e	movement of cell or subcellular component	7/38	184/1869	2	7	OG_14122, OG_14526, OG_15325, OG_16026, OG_16100, OG_16349, OG_16388
GO:0006807	0.0963540325448	0.622673137719	BP	p	nitrogen compound metabolic process	10/38	740/1869	2	10	OG_12672, OG_14526, OG_14639, OG_14677, OG_14970, OG_15841, OG_16388, OG_17029, OG_17546, OG_17673
GO:0044260	0.101080138149	0.622673137719	BP	p	cellular macromolecule metabolic process	6/38	528/1869	4	6	OG_14526, OG_14639, OG_14677, OG_16388, OG_17029, OG_17546
GO:1901360	0.0786186996173	0.622673137719	BP	p	organic cyclic compound metabolic process	4/38	436/1869	3	4	OG_12672, OG_14639, OG_16388, OG_17546
GO:0008152	0.1440601378	0.622673137719	BP	p	metabolic process	14/38	911/1869	1	14	OG_11821, OG_12672, OG_13192, OG_14526, OG_14639, OG_14677, OG_14970, OG_15841, OG_16026, OG_16349, OG_16388, OG_17029, OG_17546, OG_17673
