GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0032436	0.00343548885619	0.184617653796	BP	e	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3/47	14/2052	11	3	OG_13781, OG_14072, OG_14242
GO:0032434	0.0097703341864	0.184617653796	BP	e	regulation of proteasomal ubiquitin-dependent protein catabolic process	3/47	20/2052	10	3	OG_13781, OG_14072, OG_14242
GO:0051049	0.00962450873144	0.184617653796	BP	e	regulation of transport	8/47	134/2052	4	8	OG_10752, OG_11984, OG_12668, OG_13672, OG_13781, OG_14031, OG_16561, OG_16855
GO:1901800	0.00511790513252	0.184617653796	BP	e	positive regulation of proteasomal protein catabolic process	3/47	16/2052	10	3	OG_13781, OG_14072, OG_14242
GO:2000060	0.00511790513252	0.184617653796	BP	e	positive regulation of ubiquitin-dependent protein catabolic process	3/47	16/2052	10	3	OG_13781, OG_14072, OG_14242
GO:0048639	0.00377218545845	0.184617653796	BP	e	positive regulation of developmental growth	4/47	29/2052	5	4	OG_11984, OG_12550, OG_14031, OG_16855
GO:0042176	0.0120719297685	0.184617653796	BP	e	regulation of protein catabolic process	4/47	40/2052	6	4	OG_13781, OG_14072, OG_14242, OG_18001
GO:0051246	0.0131959843592	0.184617653796	BP	e	regulation of protein metabolic process	11/47	219/2052	5	11	OG_10704, OG_11984, OG_12550, OG_13265, OG_13781, OG_14072, OG_14242, OG_15157, OG_16855, OG_17774, OG_18001
GO:0071495	0.0120719297685	0.184617653796	BP	e	cellular response to endogenous stimulus	4/47	40/2052	3	4	OG_13781, OG_14031, OG_17308, OG_17709
GO:0032870	0.0097703341864	0.184617653796	BP	e	cellular response to hormone stimulus	3/47	20/2052	5	3	OG_14031, OG_17308, OG_17709
GO:0032268	0.00556754059381	0.184617653796	BP	e	regulation of cellular protein metabolic process	11/47	207/2052	6	11	OG_10704, OG_11984, OG_12550, OG_13265, OG_13781, OG_14072, OG_14242, OG_15157, OG_16855, OG_17774, OG_18001
GO:1904062	0.0112174812843	0.184617653796	BP	e	regulation of cation transmembrane transport	3/47	21/2052	7	3	OG_11984, OG_14031, OG_16561
GO:0016331	0.014466308693	0.184617653796	BP	e	morphogenesis of embryonic epithelium	3/47	23/2052	5	3	OG_16561, OG_16855, OG_17044
GO:0045927	0.00831933885907	0.184617653796	BP	e	positive regulation of growth	4/47	36/2052	4	4	OG_11984, OG_12550, OG_14031, OG_16855
GO:0043269	0.0142993083965	0.184617653796	BP	e	regulation of ion transport	4/47	42/2052	5	4	OG_11984, OG_13672, OG_14031, OG_16561
GO:1903052	0.0072215992759	0.184617653796	BP	e	positive regulation of proteolysis involved in cellular protein catabolic process	3/47	18/2052	9	3	OG_13781, OG_14072, OG_14242
GO:1903364	0.0072215992759	0.184617653796	BP	e	positive regulation of cellular protein catabolic process	3/47	18/2052	8	3	OG_13781, OG_14072, OG_14242
GO:1903362	0.00377218545845	0.184617653796	BP	e	regulation of cellular protein catabolic process	4/47	29/2052	7	4	OG_13781, OG_14072, OG_14242, OG_18001
GO:0061136	0.0127823082287	0.184617653796	BP	e	regulation of proteasomal protein catabolic process	3/47	22/2052	9	3	OG_13781, OG_14072, OG_14242
GO:0010959	0.014466308693	0.184617653796	BP	e	regulation of metal ion transport	3/47	23/2052	6	3	OG_11984, OG_14031, OG_16561
GO:0007391	0.0112174812843	0.184617653796	BP	e	dorsal closure	3/47	21/2052	6	3	OG_16561, OG_16855, OG_17044
GO:0045732	0.0181964063913	0.212027691864	BP	e	positive regulation of protein catabolic process	3/47	25/2052	7	3	OG_13781, OG_14072, OG_14242
GO:2000058	0.0181964063913	0.212027691864	BP	e	regulation of ubiquitin-dependent protein catabolic process	3/47	25/2052	9	3	OG_13781, OG_14072, OG_14242
GO:0033043	0.0197952907988	0.212205517363	BP	e	regulation of organelle organization	7/47	123/2052	5	7	OG_10752, OG_11984, OG_12550, OG_13265, OG_13781, OG_16855, OG_16900
GO:0009719	0.0190385557494	0.212205517363	BP	e	response to endogenous stimulus	5/47	69/2052	2	5	OG_13265, OG_13781, OG_14031, OG_17308, OG_17709
GO:0034765	0.0247072163491	0.220717799385	BP	e	regulation of ion transmembrane transport	3/47	28/2052	6	3	OG_11984, OG_14031, OG_16561
GO:0032270	0.0214633485714	0.220717799385	BP	e	positive regulation of cellular protein metabolic process	7/47	125/2052	7	7	OG_11984, OG_12550, OG_13265, OG_13781, OG_14072, OG_14242, OG_16855
GO:0031330	0.0247072163491	0.220717799385	BP	e	negative regulation of cellular catabolic process	3/47	28/2052	6	3	OG_13781, OG_16561, OG_18001
GO:1903050	0.0224143320135	0.220717799385	BP	e	regulation of proteolysis involved in cellular protein catabolic process	3/47	27/2052	8	3	OG_13781, OG_14072, OG_14242
GO:0009725	0.0240866031251	0.220717799385	BP	e	response to hormone	4/47	49/2052	4	4	OG_13265, OG_14031, OG_17308, OG_17709
GO:0051130	0.0266145387874	0.227153423506	BP	e	positive regulation of cellular component organization	6/47	102/2052	5	6	OG_10752, OG_11984, OG_12550, OG_13265, OG_13672, OG_13781
GO:0071417	0.0271227968365	0.227153423506	BP	e	cellular response to organonitrogen compound	3/47	29/2052	5	3	OG_13781, OG_14031, OG_17308
GO:0030162	0.0311475478415	0.231876189487	BP	e	regulation of proteolysis	4/47	53/2052	6	4	OG_10704, OG_13781, OG_14072, OG_14242
GO:0010638	0.0311475478415	0.231876189487	BP	e	positive regulation of organelle organization	4/47	53/2052	6	4	OG_10752, OG_12550, OG_13265, OG_13781
GO:0051247	0.0291291719841	0.231876189487	BP	e	positive regulation of protein metabolic process	7/47	133/2052	6	7	OG_11984, OG_12550, OG_13265, OG_13781, OG_14072, OG_14242, OG_16855
GO:0045862	0.0296608788884	0.231876189487	BP	e	positive regulation of proteolysis	3/47	30/2052	8	3	OG_13781, OG_14072, OG_14242
GO:1901699	0.0323210772237	0.234109424215	BP	e	cellular response to nitrogen compound	3/47	31/2052	4	3	OG_13781, OG_14031, OG_17308
GO:0009895	0.0351028270468	0.247567306541	BP	e	negative regulation of catabolic process	3/47	32/2052	5	3	OG_13781, OG_16561, OG_18001
GO:0070887	0.0368729921086	0.25338363808	BP	e	cellular response to chemical stimulus	6/47	110/2052	3	6	OG_10752, OG_13265, OG_13781, OG_14031, OG_17308, OG_17709
GO:1901617	0.0380053947829	0.254636145045	BP	e	organic hydroxy compound biosynthetic process	3/47	33/2052	4	3	OG_14031, OG_16724, OG_17044
GO:0007610	0.0444380894895	0.289543645623	BP	e	behavior	6/47	115/2052	1	6	OG_10704, OG_12802, OG_13663, OG_13672, OG_14736, OG_17709
GO:0034762	0.0474283516374	0.289543645623	BP	e	regulation of transmembrane transport	3/47	36/2052	5	3	OG_11984, OG_14031, OG_16561
GO:0048638	0.0486174031829	0.289543645623	BP	e	regulation of developmental growth	4/47	61/2052	4	4	OG_11984, OG_12550, OG_14031, OG_16855
GO:0032879	0.0457471928853	0.289543645623	BP	e	regulation of localization	9/47	205/2052	3	9	OG_10752, OG_11984, OG_12668, OG_13672, OG_13781, OG_14031, OG_16561, OG_16855, OG_17308
GO:0031401	0.0480323690513	0.289543645623	BP	e	positive regulation of protein modification process	5/47	88/2052	8	5	OG_11984, OG_12550, OG_13265, OG_14242, OG_16855
GO:0040008	0.0500354817825	0.291511067776	BP	e	regulation of growth	5/47	89/2052	3	5	OG_11984, OG_12550, OG_14031, OG_15157, OG_16855
GO:0031329	0.0520879835389	0.297012331669	BP	e	regulation of cellular catabolic process	5/47	90/2052	5	5	OG_13781, OG_14072, OG_14242, OG_16561, OG_18001
GO:0006869	0.0542942771339	0.303143047331	BP	e	lipid transport	3/47	38/2052	5	3	OG_11777, OG_12109, OG_13672
GO:0051050	0.0563310756418	0.30763586478	BP	e	positive regulation of transport	4/47	64/2052	5	4	OG_10752, OG_12668, OG_13672, OG_16561
GO:0060627	0.0578981435367	0.30763586478	BP	e	regulation of vesicle-mediated transport	3/47	39/2052	5	3	OG_12668, OG_13781, OG_16855
GO:0045944	0.0585426459097	0.30763586478	BP	e	positive regulation of transcription by RNA polymerase II	5/47	93/2052	11	5	OG_11418, OG_11912, OG_11984, OG_13265, OG_13781
GO:0006364	0.0616137824908	0.311556485048	BP	e	rRNA processing	3/47	40/2052	9	3	OG_15513, OG_15988, OG_16101
GO:0007275	0.0607933979243	0.311556485048	BP	e	multicellular organism development	5/47	94/2052	3	5	OG_12802, OG_13365, OG_16855, OG_16900, OG_17308
GO:0051128	0.063860682567	0.31693820237	BP	e	regulation of cellular component organization	10/47	245/2052	4	10	OG_10752, OG_11984, OG_12550, OG_13265, OG_13672, OG_13781, OG_15157, OG_16855, OG_16900, OG_17774
GO:0072657	0.0734134348824	0.326428500048	BP	e	protein localization to membrane	3/47	43/2052	5	3	OG_11984, OG_14031, OG_16561
GO:0009894	0.0727902606939	0.326428500048	BP	e	regulation of catabolic process	5/47	99/2052	4	5	OG_13781, OG_14072, OG_14242, OG_16561, OG_18001
GO:0043086	0.0734134348824	0.326428500048	BP	e	negative regulation of catalytic activity	3/47	43/2052	4	3	OG_10704, OG_11984, OG_14242
