GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0010605	0.0597225043439	0.590617892856	BP	e	negative regulation of macromolecule metabolic process	6/30	196/2052	5	6	OG_11654, OG_12004, OG_13178, OG_16297, OG_16680, OG_17103
GO:1901564	0.0654882258615	0.590617892856	BP	e	organonitrogen compound metabolic process	13/30	572/2052	3	13	OG_11040, OG_11396, OG_11654, OG_13824, OG_14143, OG_15302, OG_15422, OG_15920, OG_15921, OG_16062, OG_16833, OG_17986, OG_19446
GO:0019438	0.072136536532	0.590617892856	BP	e	aromatic compound biosynthetic process	8/30	304/2052	4	8	OG_12004, OG_13178, OG_13824, OG_14143, OG_16297, OG_17103, OG_17677, OG_17986
GO:0006807	0.0262946767826	0.590617892856	BP	e	nitrogen compound metabolic process	19/30	883/2052	2	19	OG_11040, OG_11396, OG_11654, OG_12004, OG_13178, OG_13243, OG_13824, OG_14143, OG_15302, OG_15422, OG_15920, OG_15921, OG_16062, OG_16297, OG_16833, OG_17103, OG_17677, OG_17986, OG_19446
GO:0048646	0.0516469893293	0.590617892856	BP	e	anatomical structure formation involved in morphogenesis	4/30	98/2052	2	4	OG_11040, OG_13243, OG_13656, OG_16680
GO:0018130	0.0703501146822	0.590617892856	BP	e	heterocycle biosynthetic process	8/30	302/2052	4	8	OG_12004, OG_13178, OG_13824, OG_14143, OG_16297, OG_17103, OG_17677, OG_17986
GO:0008152	0.0408850797424	0.590617892856	BP	e	metabolic process	22/30	1104/2052	1	22	OG_11040, OG_11396, OG_11654, OG_12004, OG_12138, OG_13178, OG_13243, OG_13824, OG_14143, OG_15174, OG_15302, OG_15422, OG_15920, OG_15921, OG_16062, OG_16297, OG_16680, OG_16833, OG_17103, OG_17677, OG_17986, OG_19446
GO:1901615	0.0670367828009	0.590617892856	BP	e	organic hydroxy compound metabolic process	3/30	65/2052	3	3	OG_12138, OG_14143, OG_15302
GO:0006508	0.0124119822455	0.590617892856	BP	e	proteolysis	6/30	137/2052	5	6	OG_11040, OG_11396, OG_11654, OG_13824, OG_15302, OG_19446
GO:0043170	0.0340445666114	0.590617892856	BP	e	macromolecule metabolic process	17/30	755/2052	3	17	OG_11040, OG_11396, OG_11654, OG_12004, OG_13178, OG_13243, OG_13824, OG_15302, OG_15422, OG_15920, OG_15921, OG_16062, OG_16297, OG_16833, OG_17103, OG_17677, OG_19446
GO:0017144	0.0424502465298	0.590617892856	BP	e	drug metabolic process	4/30	92/2052	3	4	OG_14143, OG_15920, OG_15921, OG_17986
GO:0008284	0.0296608788884	0.590617892856	BP	e	positive regulation of cell population proliferation	3/30	47/2052	5	3	OG_12004, OG_15422, OG_16680
GO:0071704	0.0648765781646	0.590617892856	BP	e	organic substance metabolic process	20/30	1006/2052	2	20	OG_11040, OG_11396, OG_11654, OG_12004, OG_12138, OG_13178, OG_13243, OG_13824, OG_14143, OG_15302, OG_15422, OG_15920, OG_15921, OG_16062, OG_16297, OG_16833, OG_17103, OG_17677, OG_17986, OG_19446
GO:0048729	0.0574252879278	0.590617892856	BP	e	tissue morphogenesis	3/30	61/2052	3	3	OG_12138, OG_16297, OG_16680
GO:0010817	0.0264700694054	0.590617892856	BP	e	regulation of hormone levels	3/30	45/2052	3	3	OG_14143, OG_15302, OG_16680
GO:0048856	0.0578627955812	0.590617892856	BP	e	anatomical structure development	10/30	390/2052	2	10	OG_11396, OG_12004, OG_12138, OG_13178, OG_13243, OG_13656, OG_15302, OG_15422, OG_16062, OG_16680
GO:1901362	0.123193481179	0.609791210215	BP	e	organic cyclic compound biosynthetic process	8/30	322/2052	4	8	OG_12004, OG_13178, OG_13824, OG_14143, OG_16297, OG_17103, OG_17677, OG_17986
GO:0048513	0.0909543428404	0.609791210215	BP	e	animal organ development	5/30	167/2052	3	5	OG_11396, OG_13656, OG_15422, OG_16062, OG_16680
GO:0003006	0.130337052565	0.609791210215	BP	e	developmental process involved in reproduction	4/30	135/2052	2	4	OG_11040, OG_13178, OG_16297, OG_16680
GO:0009892	0.127411949783	0.609791210215	BP	e	negative regulation of metabolic process	6/30	221/2052	4	6	OG_11654, OG_12004, OG_13178, OG_16297, OG_16680, OG_17103
GO:0097659	0.111644407995	0.609791210215	BP	e	nucleic acid-templated transcription	6/30	203/2052	8	6	OG_12004, OG_13178, OG_13824, OG_16297, OG_17103, OG_17677
GO:0034654	0.106371040766	0.609791210215	BP	e	nucleobase-containing compound biosynthetic process	7/30	273/2052	5	7	OG_12004, OG_13178, OG_13824, OG_16297, OG_17103, OG_17677, OG_17986
GO:0006351	0.11101686936	0.609791210215	BP	e	transcription, DNA-templated	6/30	202/2052	9	6	OG_12004, OG_13178, OG_13824, OG_16297, OG_17103, OG_17677
