GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048285	0.00118430946181	0.161066086806	BP	e	organelle fission	3/32	11/1548	4	3	OG_13529, OG_13746, OG_15587
GO:0031668	0.0203610997941	0.692277392999	BP	e	cellular response to extracellular stimulus	3/32	29/1548	4	3	OG_13249, OG_15587, OG_18174
GO:0031669	0.0135550839284	0.692277392999	BP	e	cellular response to nutrient levels	3/32	25/1548	5	3	OG_13249, OG_15587, OG_18174
GO:0010506	0.0203610997941	0.692277392999	BP	e	regulation of autophagy	3/32	29/1548	6	3	OG_13249, OG_15587, OG_18174
GO:0051046	0.0598807180611	0.729112520444	BP	e	regulation of secretion	3/32	44/1548	5	3	OG_13180, OG_15587, OG_15975
GO:0031667	0.0414580200601	0.729112520444	BP	e	response to nutrient levels	3/32	38/1548	4	3	OG_13249, OG_15587, OG_18174
GO:1903530	0.0472221004761	0.729112520444	BP	e	regulation of secretion by cell	3/32	40/1548	6	3	OG_13180, OG_15587, OG_15975
GO:0071496	0.0287489104196	0.729112520444	BP	e	cellular response to external stimulus	3/32	33/1548	3	3	OG_13249, OG_15587, OG_18174
GO:0009991	0.0533656864607	0.729112520444	BP	e	response to extracellular stimulus	3/32	42/1548	3	3	OG_13249, OG_15587, OG_18174
GO:0051640	0.0632746900115	0.729112520444	BP	e	organelle localization	3/32	45/1548	3	3	OG_13180, OG_15587, OG_18174
GO:0006996	0.0643334576862	0.729112520444	BP	e	organelle organization	8/32	208/1548	3	8	OG_13180, OG_13249, OG_13529, OG_13746, OG_15587, OG_17475, OG_18174, OG_18689
GO:0005975	0.0632746900115	0.729112520444	BP	e	carbohydrate metabolic process	3/32	45/1548	3	3	OG_11697, OG_12566, OG_14759
GO:0051716	0.0836683415043	0.758592962972	BP	e	cellular response to stimulus	7/32	177/1548	2	7	OG_13249, OG_13746, OG_14245, OG_14363, OG_15271, OG_15587, OG_18174
GO:0033554	0.08307026656	0.758592962972	BP	e	cellular response to stress	5/32	115/1548	3	5	OG_13249, OG_13746, OG_14245, OG_15271, OG_18174
GO:0070887	0.079112630706	0.758592962972	BP	e	cellular response to chemical stimulus	4/32	80/1548	3	4	OG_13249, OG_14245, OG_14363, OG_15587
GO:0043085	0.119511258715	0.812676559262	BP	e	positive regulation of catalytic activity	3/32	59/1548	4	3	OG_14488, OG_15271, OG_17475
GO:0009628	0.0974473411608	0.812676559262	BP	e	response to abiotic stimulus	4/32	86/1548	2	4	OG_12392, OG_14245, OG_15271, OG_15587
GO:0031329	0.115001964962	0.812676559262	BP	e	regulation of cellular catabolic process	3/32	58/1548	5	3	OG_13249, OG_15587, OG_18174
GO:0007275	0.110716408612	0.812676559262	BP	e	multicellular organism development	4/32	90/1548	3	4	OG_12805, OG_13249, OG_13529, OG_18689
GO:0006259	0.110561743682	0.812676559262	BP	e	DNA metabolic process	3/32	57/1548	6	3	OG_13529, OG_13746, OG_15271
GO:0071310	0.143031848014	0.9263014919	BP	e	cellular response to organic substance	3/32	64/1548	4	3	OG_13249, OG_14363, OG_15587
GO:0008104	0.17529346123	1.0	BP	e	protein localization	5/32	125/1548	3	5	OG_13180, OG_13746, OG_15587, OG_18174, OG_18689
GO:0080090	0.241641694938	1.0	BP	p	regulation of primary metabolic process	6/32	443/1548	4	6	OG_11859, OG_13064, OG_15271, OG_15587, OG_16018, OG_18689
GO:0051049	0.477917940444	1.0	BP	e	regulation of transport	3/32	106/1548	4	3	OG_13180, OG_15587, OG_15975
GO:0048584	0.553931756608	1.0	BP	e	positive regulation of response to stimulus	4/32	155/1548	4	4	OG_14245, OG_14427, OG_15587, OG_15975
GO:0048583	1.0	1.0	BP	p	regulation of response to stimulus	5/32	278/1548	3	5	OG_13249, OG_14245, OG_14427, OG_15587, OG_15975
GO:0044281	0.742345279944	1.0	BP	e	small molecule metabolic process	3/32	127/1548	2	3	OG_12392, OG_14759, OG_15975
GO:1901362	1.0	1.0	BP	p	organic cyclic compound biosynthetic process	4/32	233/1548	4	4	OG_13064, OG_13328, OG_15271, OG_15975
GO:0071840	0.845796229017	1.0	BP	e	cellular component organization or biogenesis	10/32	458/1548	1	10	OG_13180, OG_13249, OG_13529, OG_13746, OG_15587, OG_16018, OG_17475, OG_17710, OG_18174, OG_18689
GO:0032774	1.0	1.0	BP	p	RNA biosynthetic process	3/32	176/1548	7	3	OG_13064, OG_13328, OG_15271
GO:0010605	1.0	1.0	BP	p	negative regulation of macromolecule metabolic process	3/32	168/1548	5	3	OG_11859, OG_13064, OG_13529
GO:0010604	0.461043162772	1.0	BP	p	positive regulation of macromolecule metabolic process	3/32	241/1548	5	3	OG_11859, OG_16018, OG_18689
GO:0009966	1.0	1.0	BP	p	regulation of signal transduction	4/32	225/1548	5	4	OG_13249, OG_14245, OG_14427, OG_15587
GO:0009967	0.74093737844	1.0	BP	e	positive regulation of signal transduction	3/32	126/1548	6	3	OG_14245, OG_14427, OG_15587
GO:0044093	0.215926859431	1.0	BP	e	positive regulation of molecular function	3/32	78/1548	3	3	OG_14488, OG_15271, OG_17475
GO:0048518	0.843142864929	1.0	BP	p	positive regulation of biological process	8/32	433/1548	3	8	OG_11859, OG_13249, OG_14245, OG_14427, OG_15587, OG_15975, OG_16018, OG_18689
GO:0048519	1.0	1.0	BP	p	negative regulation of biological process	7/32	360/1548	3	7	OG_11859, OG_13064, OG_13249, OG_13529, OG_14427, OG_15587, OG_18689
GO:0033036	0.186457597668	1.0	BP	e	macromolecule localization	5/32	132/1548	2	5	OG_13180, OG_13746, OG_15587, OG_18174, OG_18689
GO:0060255	0.240655832284	1.0	BP	p	regulation of macromolecule metabolic process	6/32	446/1548	4	6	OG_11859, OG_13064, OG_13529, OG_15271, OG_16018, OG_18689
GO:2001141	0.34469881487	1.0	BP	p	regulation of RNA biosynthetic process	3/32	272/1548	7	3	OG_11859, OG_13064, OG_15271
GO:0010033	0.499933686769	1.0	BP	e	response to organic substance	3/32	112/1548	3	3	OG_13249, OG_14363, OG_15587
GO:0055114	0.232560885874	1.0	BP	e	oxidation-reduction process	3/32	81/1548	2	3	OG_12392, OG_12566, OG_17475
GO:0046483	0.670334573906	1.0	BP	e	heterocycle metabolic process	8/32	344/1548	3	8	OG_13064, OG_13328, OG_13529, OG_13746, OG_15271, OG_15975, OG_16501, OG_18689
