GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0003008	0.00777092074976	0.197276133774	BP	e	system process	6/25	114/1548	2	6	OG_11071, OG_11988, OG_12407, OG_12449, OG_14830, OG_15864
GO:0008150	0.0112720525831	0.197276133774	BP	p	biological_process	16/25	1301/1548	0	16	OG_11071, OG_11694, OG_11807, OG_11988, OG_12407, OG_12449, OG_13258, OG_14541, OG_14696, OG_14830, OG_14897, OG_14925, OG_15365, OG_15656, OG_15864, OG_16026
GO:2000147	0.0124159804473	0.197276133774	BP	e	positive regulation of cell motility	3/25	31/1548	6	3	OG_11071, OG_14830, OG_16026
GO:0097435	0.00427312480187	0.197276133774	BP	e	supramolecular fiber organization	4/25	43/1548	3	4	OG_11988, OG_14897, OG_15365, OG_15656
GO:0050877	0.0103528268538	0.197276133774	BP	e	nervous system process	5/25	86/1548	3	5	OG_11071, OG_12407, OG_12449, OG_14830, OG_15864
GO:0016331	0.00532799395342	0.197276133774	BP	e	morphogenesis of embryonic epithelium	3/25	23/1548	5	3	OG_11988, OG_14830, OG_14897
GO:0048598	0.00738535346565	0.197276133774	BP	e	embryonic morphogenesis	4/25	50/1548	3	4	OG_11988, OG_13258, OG_14830, OG_14897
GO:0030335	0.0113346862528	0.197276133774	BP	e	positive regulation of cell migration	3/25	30/1548	7	3	OG_11071, OG_14830, OG_16026
GO:0007391	0.00408773655381	0.197276133774	BP	e	dorsal closure	3/25	21/1548	6	3	OG_11988, OG_14830, OG_14897
GO:0043900	0.0160086486013	0.208112431817	BP	e	regulation of multi-organism process	3/25	34/1548	3	3	OG_11071, OG_14830, OG_14925
GO:0051272	0.0147524950811	0.208112431817	BP	e	positive regulation of cellular component movement	3/25	33/1548	5	3	OG_11071, OG_14830, OG_16026
GO:0051493	0.0231815772053	0.236783252883	BP	e	regulation of cytoskeleton organization	3/25	39/1548	6	3	OG_11694, OG_11988, OG_14897
GO:0043410	0.0201330002483	0.236783252883	BP	e	positive regulation of MAPK cascade	3/25	37/1548	10	3	OG_11071, OG_14830, OG_14925
GO:0040017	0.0216272713601	0.236783252883	BP	e	positive regulation of locomotion	3/25	38/1548	4	3	OG_11071, OG_14830, OG_16026
GO:1902533	0.0296390426076	0.282558872859	BP	e	positive regulation of intracellular signal transduction	4/25	75/1548	7	4	OG_11071, OG_11988, OG_14830, OG_14925
GO:0007600	0.0337701718076	0.300676596164	BP	e	sensory perception	3/25	45/1548	4	3	OG_11071, OG_12449, OG_15864
GO:0000226	0.0357447701734	0.300676596164	BP	e	microtubule cytoskeleton organization	3/25	46/1548	5	3	OG_11694, OG_14897, OG_15656
GO:0048646	0.0510821999322	0.385474772296	BP	e	anatomical structure formation involved in morphogenesis	4/25	89/1548	2	4	OG_11694, OG_11988, OG_13258, OG_14897
GO:0030334	0.0512169277876	0.385474772296	BP	e	regulation of cell migration	3/25	53/1548	6	3	OG_11071, OG_14830, OG_16026
GO:2000145	0.0587114880195	0.419787139339	BP	e	regulation of cell motility	3/25	56/1548	5	3	OG_11071, OG_14830, OG_16026
GO:0048468	0.0935493966751	0.455791070081	BP	e	cell development	4/25	109/1548	3	4	OG_13258, OG_14830, OG_14897, OG_15365
GO:0070727	0.100027462827	0.455791070081	BP	e	cellular macromolecule localization	3/25	70/1548	3	3	OG_11694, OG_12449, OG_15656
GO:0042327	0.096752732929	0.455791070081	BP	e	positive regulation of phosphorylation	3/25	69/1548	8	3	OG_11071, OG_14830, OG_14925
GO:0051270	0.0841303856256	0.455791070081	BP	e	regulation of cellular component movement	3/25	65/1548	4	3	OG_11071, OG_14830, OG_16026
GO:0010562	0.110125353216	0.455791070081	BP	e	positive regulation of phosphorus metabolic process	3/25	73/1548	6	3	OG_11071, OG_14830, OG_14925
GO:0043408	0.0723054936313	0.455791070081	BP	e	regulation of MAPK cascade	3/25	61/1548	9	3	OG_11071, OG_14830, OG_14925
GO:0040011	0.111557254915	0.455791070081	BP	e	locomotion	4/25	116/1548	1	4	OG_14830, OG_14897, OG_15864, OG_16026
GO:0007017	0.0751845079091	0.455791070081	BP	e	microtubule-based process	3/25	62/1548	2	3	OG_11694, OG_14897, OG_15656
GO:0002009	0.0903447486734	0.455791070081	BP	e	morphogenesis of an epithelium	3/25	67/1548	4	3	OG_11988, OG_14830, OG_14897
GO:0048729	0.103348330367	0.455791070081	BP	e	tissue morphogenesis	3/25	71/1548	3	3	OG_11988, OG_14830, OG_14897
GO:0045937	0.110125353216	0.455791070081	BP	e	positive regulation of phosphate metabolic process	3/25	73/1548	7	3	OG_11071, OG_14830, OG_14925
GO:0034613	0.0841303856256	0.455791070081	BP	e	cellular protein localization	3/25	65/1548	4	3	OG_11694, OG_12449, OG_15656
GO:0040012	0.0903447486734	0.455791070081	BP	e	regulation of locomotion	3/25	67/1548	3	3	OG_11071, OG_14830, OG_16026
GO:0044087	0.103348330367	0.455791070081	BP	e	regulation of cellular component biogenesis	3/25	71/1548	3	3	OG_11694, OG_15365, OG_16026
GO:0001934	0.0841303856256	0.455791070081	BP	e	positive regulation of protein phosphorylation	3/25	65/1548	9	3	OG_11071, OG_14830, OG_14925
GO:0009886	0.127819709829	0.494005905555	BP	e	post-embryonic animal morphogenesis	3/25	78/1548	3	3	OG_11988, OG_14830, OG_14897
GO:0031401	0.127819709829	0.494005905555	BP	e	positive regulation of protein modification process	3/25	78/1548	8	3	OG_11071, OG_14830, OG_14925
GO:0008104	0.136900404834	0.498219577926	BP	e	protein localization	4/25	125/1548	3	4	OG_11694, OG_12449, OG_14897, OG_15656
GO:0009967	0.139859584627	0.498219577926	BP	e	positive regulation of signal transduction	4/25	126/1548	6	4	OG_11071, OG_11988, OG_14830, OG_14925
GO:1902531	0.142846172692	0.498219577926	BP	e	regulation of intracellular signal transduction	4/25	127/1548	6	4	OG_11071, OG_11988, OG_14830, OG_14925
GO:0050767	0.138919027954	0.498219577926	BP	e	regulation of neurogenesis	3/25	81/1548	6	3	OG_11988, OG_13258, OG_14830
GO:0033036	0.158177579746	0.526032416365	BP	e	macromolecule localization	4/25	132/1548	2	4	OG_11694, OG_12449, OG_14897, OG_15656
GO:0022603	0.158149677405	0.526032416365	BP	e	regulation of anatomical structure morphogenesis	3/25	86/1548	4	3	OG_11071, OG_11988, OG_13258
GO:0007165	0.183954019109	0.534711649016	BP	e	signal transduction	7/25	273/1548	4	7	OG_11807, OG_11988, OG_12407, OG_14830, OG_15656, OG_15864, OG_16026
GO:0048870	0.182302801049	0.534711649016	BP	e	cell motility	3/25	92/1548	3	3	OG_14830, OG_14897, OG_16026
GO:0022607	0.198730991868	0.534711649016	BP	e	cellular component assembly	5/25	179/1548	3	5	OG_11988, OG_13258, OG_14696, OG_15365, OG_15656
GO:0035556	0.216031681607	0.534711649016	BP	e	intracellular signal transduction	3/25	100/1548	5	3	OG_12407, OG_15656, OG_16026
GO:0009887	0.178202853143	0.534711649016	BP	e	animal organ morphogenesis	3/25	91/1548	3	3	OG_11988, OG_13258, OG_14897
GO:0046907	0.211733058769	0.534711649016	BP	e	intracellular transport	3/25	99/1548	4	3	OG_11694, OG_14897, OG_15656
GO:0051960	0.203202365865	0.534711649016	BP	e	regulation of nervous system development	3/25	97/1548	5	3	OG_11988, OG_13258, OG_14830
GO:0033043	0.207456343927	0.534711649016	BP	e	regulation of organelle organization	3/25	98/1548	5	3	OG_11694, OG_11988, OG_14897
GO:0051128	0.220615295748	0.534711649016	BP	e	regulation of cellular component organization	5/25	190/1548	4	5	OG_11694, OG_11988, OG_14897, OG_15365, OG_16026
GO:0060284	0.220351388005	0.534711649016	BP	e	regulation of cell development	3/25	101/1548	5	3	OG_11988, OG_13258, OG_14830
GO:0032270	0.211733058769	0.534711649016	BP	e	positive regulation of cellular protein metabolic process	3/25	99/1548	7	3	OG_11071, OG_14830, OG_14925
GO:0032879	0.193482599911	0.534711649016	BP	e	regulation of localization	5/25	176/1548	3	5	OG_11071, OG_14830, OG_14897, OG_14925, OG_16026
GO:0022402	0.178202853143	0.534711649016	BP	e	cell cycle process	3/25	91/1548	2	3	OG_14696, OG_14897, OG_15656
GO:0007389	0.182302801049	0.534711649016	BP	e	pattern specification process	3/25	92/1548	2	3	OG_11988, OG_13258, OG_14830
GO:0007010	0.182302801049	0.534711649016	BP	e	cytoskeleton organization	3/25	92/1548	4	3	OG_11694, OG_14897, OG_15656
GO:0001932	0.207456343927	0.534711649016	BP	e	regulation of protein phosphorylation	3/25	98/1548	8	3	OG_11071, OG_14830, OG_14925
GO:0051049	0.242237656531	0.548243460676	BP	e	regulation of transport	3/25	106/1548	4	3	OG_14897, OG_14925, OG_16026
GO:0042325	0.237824727877	0.548243460676	BP	e	regulation of phosphorylation	3/25	105/1548	7	3	OG_11071, OG_14830, OG_14925
GO:0050896	0.237567769859	0.548243460676	BP	p	response to stimulus	3/25	350/1548	1	3	OG_11988, OG_15864, OG_16026
GO:0051247	0.237824727877	0.548243460676	BP	e	positive regulation of protein metabolic process	3/25	105/1548	6	3	OG_11071, OG_14830, OG_14925
GO:0048522	0.24536770268	0.548243460676	BP	e	positive regulation of cellular process	9/25	392/1548	4	9	OG_11071, OG_11694, OG_11988, OG_13258, OG_14830, OG_14897, OG_14925, OG_15365, OG_16026
GO:0023056	0.274036512417	0.593745776903	BP	e	positive regulation of signaling	4/25	139/1548	4	4	OG_11071, OG_11988, OG_14830, OG_14925
GO:0010647	0.272435135077	0.593745776903	BP	e	positive regulation of cell communication	4/25	138/1548	5	4	OG_11071, OG_11988, OG_14830, OG_14925
GO:0051641	0.282792940429	0.603572992259	BP	e	cellular localization	4/25	144/1548	2	4	OG_11694, OG_12449, OG_14897, OG_15656
GO:0065009	0.296994236851	0.624561409848	BP	e	regulation of molecular function	4/25	151/1548	2	4	OG_11071, OG_14830, OG_14925, OG_15365
GO:0048584	0.306028323733	0.634232612954	BP	e	positive regulation of response to stimulus	4/25	155/1548	4	4	OG_11071, OG_11988, OG_14830, OG_14925
