GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007297	0.0199751876387	0.340949346272	BP	e	ovarian follicle cell migration	4/69	38/2476	7	4	OG_12552, OG_14215, OG_15618, OG_18462
GO:0007298	0.0182481526595	0.340949346272	BP	e	border follicle cell migration	4/69	37/2476	8	4	OG_12552, OG_14215, OG_15618, OG_18462
GO:0040029	0.0218002626674	0.340949346272	BP	e	regulation of gene expression, epigenetic	4/69	39/2476	6	4	OG_11726, OG_13736, OG_16209, OG_16684
GO:0048513	0.0164607291968	0.340949346272	BP	e	animal organ development	12/69	217/2476	3	12	OG_10939, OG_12747, OG_12925, OG_13382, OG_15618, OG_16684, OG_16788, OG_16850, OG_17435, OG_17871, OG_18089, OG_18462
GO:0097485	0.0184461350577	0.340949346272	BP	e	neuron projection guidance	5/69	56/2476	3	5	OG_12239, OG_13607, OG_13810, OG_13879, OG_15618
GO:0007444	0.00519788438115	0.340949346272	BP	e	imaginal disc development	4/69	26/2476	5	4	OG_12747, OG_12925, OG_16684, OG_17871
GO:0071407	0.0218290739991	0.340949346272	BP	e	cellular response to organic cyclic compound	3/69	22/2476	5	3	OG_10939, OG_12552, OG_13452
GO:0042391	0.0218002626674	0.340949346272	BP	e	regulation of membrane potential	4/69	39/2476	3	4	OG_11052, OG_13452, OG_14131, OG_15928
GO:0010628	0.00953970917843	0.340949346272	BP	e	positive regulation of gene expression	12/69	194/2476	6	12	OG_10939, OG_11726, OG_12552, OG_14131, OG_14623, OG_15351, OG_16449, OG_16460, OG_16684, OG_17435, OG_17502, OG_18089
GO:0000904	0.0168127084808	0.340949346272	BP	e	cell morphogenesis involved in differentiation	3/69	20/2476	5	3	OG_12239, OG_14131, OG_15618
GO:0000902	0.0182481526595	0.340949346272	BP	e	cell morphogenesis	4/69	37/2476	4	4	OG_12239, OG_14131, OG_15618, OG_16788
GO:0007420	0.0168127084808	0.340949346272	BP	e	brain development	3/69	20/2476	4	3	OG_16684, OG_16850, OG_18462
GO:0014070	0.0197919634482	0.340949346272	BP	e	response to organic cyclic compound	5/69	57/2476	4	5	OG_10939, OG_12552, OG_13452, OG_13879, OG_16684
GO:0097435	0.0212010696123	0.340949346272	BP	e	supramolecular fiber organization	5/69	58/2476	3	5	OG_14131, OG_14896, OG_15618, OG_16788, OG_17871
GO:1901136	0.0168127084808	0.340949346272	BP	e	carbohydrate derivative catabolic process	3/69	20/2476	4	3	OG_13844, OG_14140, OG_16209
GO:0002164	0.00291209052709	0.340949346272	BP	e	larval development	3/69	11/2476	4	3	OG_11726, OG_14131, OG_16684
GO:0017145	0.00604973069567	0.340949346272	BP	e	stem cell division	3/69	14/2476	3	3	OG_11726, OG_14131, OG_17435
GO:0030030	0.0175034554086	0.340949346272	BP	e	cell projection organization	9/69	145/2476	3	9	OG_11726, OG_12239, OG_13382, OG_14131, OG_14896, OG_15813, OG_16684, OG_16788, OG_18462
GO:0035295	0.00338194848065	0.340949346272	BP	e	tube development	6/69	54/2476	3	6	OG_12747, OG_12925, OG_15618, OG_16684, OG_17871, OG_18462
GO:0070925	0.00165754126755	0.340949346272	BP	e	organelle assembly	8/69	82/2476	4	8	OG_12309, OG_13194, OG_13382, OG_13523, OG_14131, OG_15618, OG_15813, OG_16850
GO:0007015	0.0166176954237	0.340949346272	BP	e	actin filament organization	4/69	36/2476	4	4	OG_14131, OG_14896, OG_16788, OG_17871
GO:0031400	0.0242132258916	0.36099718602	BP	e	negative regulation of protein modification process	5/69	60/2476	8	5	OG_10939, OG_13736, OG_13808, OG_16449, OG_16684
GO:0044419	0.02757712786	0.365734918696	BP	e	interspecies interaction between organisms	3/69	24/2476	2	3	OG_10939, OG_13194, OG_16449
GO:0060429	0.0278761370957	0.365734918696	BP	e	epithelium development	4/69	42/2476	4	4	OG_12747, OG_12925, OG_16684, OG_17871
GO:0007476	0.02757712786	0.365734918696	BP	e	imaginal disc-derived wing morphogenesis	3/69	24/2476	5	3	OG_15618, OG_16684, OG_18462
GO:0098660	0.0310389749653	0.377066066245	BP	e	inorganic ion transmembrane transport	5/69	64/2476	6	5	OG_11052, OG_13135, OG_13452, OG_15928, OG_16721
GO:0009791	0.0307251722683	0.377066066245	BP	e	post-embryonic development	3/69	25/2476	2	3	OG_11726, OG_14131, OG_16684
GO:1901654	0.037564763972	0.440044377958	BP	e	response to ketone	3/69	27/2476	4	3	OG_10939, OG_12552, OG_16684
GO:0098662	0.0400575151407	0.453064309178	BP	e	inorganic cation transmembrane transport	4/69	47/2476	7	4	OG_11052, OG_13135, OG_13452, OG_16721
GO:0042326	0.0614961919981	0.464386483393	BP	e	negative regulation of phosphorylation	4/69	54/2476	8	4	OG_10939, OG_13808, OG_16449, OG_16684
GO:0022607	0.0582903795404	0.464386483393	BP	e	cellular component assembly	14/69	301/2476	3	14	OG_10939, OG_11726, OG_12309, OG_13194, OG_13382, OG_13523, OG_14131, OG_14896, OG_15618, OG_15813, OG_16850, OG_17502, OG_17871, OG_18462
