GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0032787	0.00305307392056	0.479332605528	BP	e	monocarboxylic acid metabolic process	4/34	28/1502	6	4	OG_11635, OG_14485, OG_15526, OG_16803
GO:0048812	0.140712410246	0.606820264754	BP	e	neuron projection morphogenesis	3/34	58/1502	7	3	OG_12610, OG_17632, OG_17865
GO:0045664	0.146038123135	0.606820264754	BP	e	regulation of neuron differentiation	3/34	59/1502	7	3	OG_12044, OG_12610, OG_17632
GO:0043436	0.0482569163202	0.606820264754	BP	e	oxoacid metabolic process	4/34	62/1502	4	4	OG_11635, OG_14485, OG_15526, OG_16803
GO:0006082	0.0482569163202	0.606820264754	BP	e	organic acid metabolic process	4/34	62/1502	3	4	OG_11635, OG_14485, OG_15526, OG_16803
GO:0009890	0.0833003229699	0.606820264754	BP	e	negative regulation of biosynthetic process	5/34	105/1502	5	5	OG_11547, OG_13310, OG_16246, OG_16329, OG_17865
GO:0009891	0.138205095373	0.606820264754	BP	e	positive regulation of biosynthetic process	6/34	148/1502	5	6	OG_11547, OG_12610, OG_13310, OG_16246, OG_16329, OG_17537
GO:0010628	0.156013632889	0.606820264754	BP	e	positive regulation of gene expression	6/34	156/1502	6	6	OG_11547, OG_13310, OG_16246, OG_16329, OG_17537, OG_17865
GO:0120039	0.140712410246	0.606820264754	BP	e	plasma membrane bounded cell projection morphogenesis	3/34	58/1502	6	3	OG_12610, OG_17632, OG_17865
GO:0006629	0.0640355264049	0.606820264754	BP	e	lipid metabolic process	4/34	68/1502	3	4	OG_11547, OG_11635, OG_12132, OG_14485
GO:0051336	0.156892472885	0.606820264754	BP	e	regulation of hydrolase activity	3/34	61/1502	4	3	OG_12610, OG_16304, OG_17632
GO:0045165	0.0591913789045	0.606820264754	BP	e	cell fate commitment	3/34	40/1502	3	3	OG_11547, OG_16246, OG_16329
GO:0006518	0.0591913789045	0.606820264754	BP	e	peptide metabolic process	3/34	40/1502	5	3	OG_17246, OG_18789, OG_19254
GO:0010558	0.0704361281012	0.606820264754	BP	e	negative regulation of macromolecule biosynthetic process	5/34	100/1502	6	5	OG_11547, OG_13310, OG_16246, OG_16329, OG_17865
GO:0043087	0.0283527495895	0.606820264754	BP	e	regulation of GTPase activity	3/34	30/1502	5	3	OG_12610, OG_16304, OG_17632
GO:0050767	0.0888576658302	0.606820264754	BP	e	regulation of neurogenesis	4/34	76/1502	6	4	OG_12044, OG_12610, OG_17632, OG_17865
GO:0000122	0.0558368341608	0.606820264754	BP	e	negative regulation of transcription by RNA polymerase II	4/34	65/1502	11	4	OG_11547, OG_13310, OG_16246, OG_16329
GO:0060284	0.146093480197	0.606820264754	BP	e	regulation of cell development	4/34	91/1502	5	4	OG_12044, OG_12610, OG_17632, OG_17865
GO:1903507	0.0544763209959	0.606820264754	BP	e	negative regulation of nucleic acid-templated transcription	5/34	93/1502	9	5	OG_11547, OG_13310, OG_16246, OG_16329, OG_17865
GO:0045597	0.0370059508515	0.606820264754	BP	e	positive regulation of cell differentiation	4/34	57/1502	5	4	OG_12044, OG_12610, OG_17537, OG_17632
GO:0045595	0.11232440904	0.606820264754	BP	e	regulation of cell differentiation	6/34	131/1502	4	6	OG_11547, OG_12044, OG_12610, OG_17537, OG_17632, OG_17865
GO:0045892	0.0523920532791	0.606820264754	BP	e	negative regulation of transcription, DNA-templated	5/34	92/1502	10	5	OG_11547, OG_13310, OG_16246, OG_16329, OG_17865
GO:0044255	0.125169799125	0.606820264754	BP	e	cellular lipid metabolic process	3/34	55/1502	4	3	OG_11635, OG_12132, OG_14485
GO:0048858	0.140712410246	0.606820264754	BP	e	cell projection morphogenesis	3/34	58/1502	5	3	OG_12610, OG_17632, OG_17865
GO:0043603	0.130275868039	0.606820264754	BP	e	cellular amide metabolic process	3/34	56/1502	4	3	OG_17246, OG_18789, OG_19254
GO:0051094	0.125582098371	0.606820264754	BP	e	positive regulation of developmental process	4/34	86/1502	4	4	OG_12044, OG_12610, OG_17537, OG_17632
