GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0032388	0.00954923884521	0.258888441915	BP	e	positive regulation of intracellular transport	3/60	18/2375	6	3	OG_12860, OG_12908, OG_14017
GO:0009161	0.00810180926183	0.258888441915	BP	e	ribonucleoside monophosphate metabolic process	3/60	17/2375	8	3	OG_11492, OG_13147, OG_13630
GO:0010468	0.00785648099156	0.258888441915	BP	p	regulation of gene expression	4/60	462/2375	5	4	OG_12487, OG_14017, OG_15489, OG_16450
GO:0098916	0.0106418643131	0.258888441915	BP	e	anterograde trans-synaptic signaling	5/60	54/2375	6	5	OG_11823, OG_12606, OG_12860, OG_16950, OG_18435
GO:0010556	0.0124553045125	0.258888441915	BP	p	regulation of macromolecule biosynthetic process	3/60	386/2375	5	3	OG_12487, OG_15489, OG_16450
GO:0099536	0.013299063797	0.258888441915	BP	e	synaptic signaling	5/60	57/2375	4	5	OG_11823, OG_12606, OG_12860, OG_16950, OG_18435
GO:0099537	0.0123681835871	0.258888441915	BP	e	trans-synaptic signaling	5/60	56/2375	5	5	OG_11823, OG_12606, OG_12860, OG_16950, OG_18435
GO:0009123	0.00954923884521	0.258888441915	BP	e	nucleoside monophosphate metabolic process	3/60	18/2375	7	3	OG_11492, OG_13147, OG_13630
GO:0006220	0.00366179909469	0.258888441915	BP	e	pyrimidine nucleotide metabolic process	3/60	13/2375	8	3	OG_11492, OG_11622, OG_13630
GO:0006221	0.00286803250254	0.258888441915	BP	e	pyrimidine nucleotide biosynthetic process	3/60	12/2375	9	3	OG_11492, OG_11622, OG_13630
GO:0090304	0.00790620410992	0.258888441915	BP	p	nucleic acid metabolic process	4/60	460/2375	5	4	OG_12487, OG_13336, OG_16450, OG_16950
GO:0072528	0.00561948901026	0.258888441915	BP	e	pyrimidine-containing compound biosynthetic process	3/60	15/2375	5	3	OG_11492, OG_11622, OG_13630
