GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009966	0.0027338837192	0.199510646661	BP	e	regulation of signal transduction	13/50	242/2138	5	13	OG_11071, OG_12469, OG_12702, OG_12769, OG_13222, OG_14122, OG_14984, OG_15017, OG_16419, OG_16740, OG_16826, OG_17833, OG_18655
GO:2000147	0.00168974377595	0.199510646661	BP	e	positive regulation of cell motility	4/50	23/2138	6	4	OG_11071, OG_11660, OG_12702, OG_17833
GO:0023051	0.00494508867261	0.199510646661	BP	e	regulation of signaling	14/50	285/2138	3	14	OG_11071, OG_12469, OG_12702, OG_12769, OG_13222, OG_13638, OG_14122, OG_14984, OG_15017, OG_16419, OG_16740, OG_16826, OG_17833, OG_18655
GO:0010646	0.00471563500865	0.199510646661	BP	e	regulation of cell communication	14/50	283/2138	4	14	OG_11071, OG_12469, OG_12702, OG_12769, OG_13222, OG_13638, OG_14122, OG_14984, OG_15017, OG_16419, OG_16740, OG_16826, OG_17833, OG_18655
GO:0051272	0.00358417692068	0.199510646661	BP	e	positive regulation of cellular component movement	4/50	28/2138	5	4	OG_11071, OG_11660, OG_12702, OG_17833
GO:0030335	0.00142020027348	0.199510646661	BP	e	positive regulation of cell migration	4/50	22/2138	7	4	OG_11071, OG_11660, OG_12702, OG_17833
GO:0040017	0.0052306162046	0.199510646661	BP	e	positive regulation of locomotion	4/50	31/2138	4	4	OG_11071, OG_11660, OG_12702, OG_17833
GO:0009967	0.00981589106765	0.29120476834	BP	e	positive regulation of signal transduction	7/50	105/2138	6	7	OG_11071, OG_12469, OG_12769, OG_13222, OG_16419, OG_16740, OG_17833
GO:0034248	0.0088711532403	0.29120476834	BP	e	regulation of cellular amide metabolic process	5/50	56/2138	5	5	OG_12469, OG_14984, OG_16826, OG_17198, OG_17833
GO:0048583	0.0149698766454	0.399695706432	BP	e	regulation of response to stimulus	14/50	321/2138	3	14	OG_11071, OG_12469, OG_12702, OG_12769, OG_13222, OG_14122, OG_14984, OG_15017, OG_16419, OG_16740, OG_16826, OG_17833, OG_18575, OG_18655
GO:0023056	0.0196088864977	0.400006456794	BP	e	positive regulation of signaling	7/50	120/2138	4	7	OG_11071, OG_12469, OG_12769, OG_13222, OG_16419, OG_16740, OG_17833
GO:0010647	0.0187987447396	0.400006456794	BP	e	positive regulation of cell communication	7/50	119/2138	5	7	OG_11071, OG_12469, OG_12769, OG_13222, OG_16419, OG_16740, OG_17833
GO:0030334	0.02097412133	0.400006456794	BP	e	regulation of cell migration	4/50	46/2138	6	4	OG_11071, OG_11660, OG_12702, OG_17833
GO:0009056	0.0197144296429	0.400006456794	BP	e	catabolic process	11/50	235/2138	2	11	OG_12320, OG_12469, OG_12769, OG_12868, OG_13222, OG_14450, OG_14616, OG_14759, OG_16740, OG_16826, OG_17609
GO:2000145	0.0241696239586	0.430219306463	BP	e	regulation of cell motility	4/50	48/2138	5	4	OG_11071, OG_11660, OG_12702, OG_17833
GO:1901700	0.0332591976406	0.555012860628	BP	e	response to oxygen-containing compound	6/50	105/2138	3	6	OG_12320, OG_13638, OG_13914, OG_14450, OG_17609, OG_17833
GO:0003008	0.0638671818148	0.704333553952	BP	e	system process	6/50	123/2138	2	6	OG_11071, OG_13222, OG_13638, OG_14450, OG_15017, OG_17833
GO:0030029	0.0648931186563	0.704333553952	BP	e	actin filament-based process	3/50	40/2138	2	3	OG_11660, OG_15017, OG_17833
GO:1902533	0.0630073492097	0.704333553952	BP	e	positive regulation of intracellular signal transduction	4/50	65/2138	7	4	OG_11071, OG_12469, OG_13222, OG_17833
GO:0043085	0.0608753735597	0.704333553952	BP	e	positive regulation of catalytic activity	5/50	92/2138	4	5	OG_11071, OG_14450, OG_15017, OG_17833, OG_18655
