GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006897	0.00114946963974	0.197708778035	BP	e	endocytosis	5/38	46/2113	5	5	OG_11096, OG_16064, OG_16407, OG_16863, OG_17146
GO:0050821	0.00255810388362	0.219996933991	BP	e	protein stabilization	3/38	16/2113	4	3	OG_14133, OG_16779, OG_16863
GO:0098657	0.00576418475405	0.330479925899	BP	e	import into cell	5/38	66/2113	4	5	OG_11096, OG_16064, OG_16407, OG_16863, OG_17146
GO:0016192	0.0220093597303	0.508077431593	BP	e	vesicle-mediated transport	7/38	161/2113	4	7	OG_11096, OG_14133, OG_14921, OG_16064, OG_16407, OG_16863, OG_17146
GO:0010243	0.0188264688387	0.508077431593	BP	e	response to organonitrogen compound	4/38	58/2113	4	4	OG_12979, OG_14921, OG_16779, OG_17609
GO:0016050	0.0236315084462	0.508077431593	BP	e	vesicle organization	3/38	35/2113	4	3	OG_14133, OG_16407, OG_16779
GO:1901698	0.0222826712531	0.508077431593	BP	e	response to nitrogen compound	4/38	61/2113	3	4	OG_12979, OG_14921, OG_16779, OG_17609
GO:0031647	0.0155913596163	0.508077431593	BP	e	regulation of protein stability	3/38	30/2113	3	3	OG_14133, OG_16779, OG_16863
GO:0061024	0.137283525286	0.795974867685	BP	e	membrane organization	3/38	72/2113	3	3	OG_11096, OG_14133, OG_16064
GO:0018193	0.149940106493	0.795974867685	BP	e	peptidyl-amino acid modification	3/38	75/2113	7	3	OG_13280, OG_13415, OG_14921
GO:0030163	0.0741613273321	0.795974867685	BP	e	protein catabolic process	3/38	55/2113	5	3	OG_14110, OG_14921, OG_16810
GO:1901565	0.0908033276036	0.795974867685	BP	e	organonitrogen compound catabolic process	4/38	96/2113	4	4	OG_11471, OG_14110, OG_14921, OG_16810
GO:0019438	0.150931305371	0.795974867685	BP	e	aromatic compound biosynthetic process	8/38	281/2113	4	8	OG_11471, OG_11934, OG_13116, OG_13281, OG_14078, OG_16698, OG_16779, OG_18457
GO:0097659	0.154071997872	0.795974867685	BP	e	nucleic acid-templated transcription	6/38	194/2113	8	6	OG_11934, OG_13116, OG_14078, OG_16698, OG_16779, OG_18457
GO:1901575	0.161729307082	0.795974867685	BP	e	organic substance catabolic process	6/38	198/2113	3	6	OG_11471, OG_14110, OG_14921, OG_16147, OG_16810, OG_17609
GO:0065007	0.102160123981	0.795974867685	BP	e	biological regulation	26/38	1164/2113	1	26	OG_11096, OG_11471, OG_11934, OG_12969, OG_12979, OG_13116, OG_13281, OG_13415, OG_14032, OG_14078, OG_14110, OG_14133, OG_14457, OG_14921, OG_15848, OG_16064, OG_16698, OG_16779, OG_16810, OG_16863, OG_17095, OG_17146, OG_17158, OG_17609, OG_18457, OG_19028
GO:0065008	0.151168877448	0.795974867685	BP	e	regulation of biological quality	11/38	416/2113	2	11	OG_11096, OG_11934, OG_12969, OG_13415, OG_14032, OG_14133, OG_14921, OG_15848, OG_16064, OG_16779, OG_16863
GO:0018130	0.145629857622	0.795974867685	BP	e	heterocycle biosynthetic process	8/38	277/2113	4	8	OG_11471, OG_11934, OG_13116, OG_13281, OG_14078, OG_16698, OG_16779, OG_18457
GO:0009886	0.162970794468	0.795974867685	BP	e	post-embryonic animal morphogenesis	3/38	78/2113	3	3	OG_12979, OG_13415, OG_19028
GO:0006810	0.165923173751	0.795974867685	BP	e	transport	12/38	465/2113	3	12	OG_11096, OG_13280, OG_13961, OG_14078, OG_14133, OG_14921, OG_16064, OG_16407, OG_16779, OG_16863, OG_17095, OG_17146
GO:0009888	0.154243698393	0.795974867685	BP	e	tissue development	3/38	76/2113	3	3	OG_11096, OG_12979, OG_16810
GO:0006952	0.167391904944	0.795974867685	BP	e	defense response	3/38	79/2113	3	3	OG_11471, OG_12979, OG_13415
GO:0008152	0.189738195204	0.795974867685	BP	e	metabolic process	24/38	1090/2113	1	24	OG_11096, OG_11471, OG_11934, OG_12969, OG_12979, OG_13116, OG_13280, OG_13281, OG_13415, OG_14032, OG_14078, OG_14110, OG_14190, OG_14921, OG_15734, OG_15848, OG_16147, OG_16698, OG_16779, OG_16810, OG_17095, OG_17609, OG_18457, OG_18583
GO:0006955	0.0875407701573	0.795974867685	BP	e	immune response	3/38	59/2113	2	3	OG_11471, OG_12979, OG_13415
GO:0034654	0.126160865057	0.795974867685	BP	e	nucleobase-containing compound biosynthetic process	8/38	258/2113	5	8	OG_11471, OG_11934, OG_13116, OG_13281, OG_14078, OG_16698, OG_16779, OG_18457
GO:0051603	0.154243698393	0.795974867685	BP	e	proteolysis involved in cellular protein catabolic process	3/38	76/2113	6	3	OG_14110, OG_14921, OG_16810
GO:0046903	0.105606071165	0.795974867685	BP	e	secretion	3/38	64/2113	4	3	OG_14921, OG_16779, OG_17146
GO:0044271	0.170110664096	0.795974867685	BP	e	cellular nitrogen compound biosynthetic process	9/38	325/2113	4	9	OG_11471, OG_11934, OG_13116, OG_13281, OG_14078, OG_14190, OG_16698, OG_16779, OG_18457
GO:0010498	0.0647953558118	0.795974867685	BP	e	proteasomal protein catabolic process	3/38	52/2113	7	3	OG_14110, OG_14921, OG_16810
GO:0006351	0.154071997872	0.795974867685	BP	e	transcription, DNA-templated	6/38	194/2113	9	6	OG_11934, OG_13116, OG_14078, OG_16698, OG_16779, OG_18457
GO:0016310	0.0800081511328	0.795974867685	BP	e	phosphorylation	5/38	130/2113	5	5	OG_13415, OG_14921, OG_16779, OG_17609, OG_18583
GO:0044248	0.157838890047	0.795974867685	BP	e	cellular catabolic process	6/38	196/2113	3	6	OG_11096, OG_11471, OG_12979, OG_14110, OG_16147, OG_16810
GO:0034645	0.139574517237	0.795974867685	BP	e	cellular macromolecule biosynthetic process	8/38	272/2113	5	8	OG_11934, OG_13116, OG_13281, OG_14078, OG_14190, OG_16698, OG_16779, OG_18457
GO:0048519	0.174802371339	0.795974867685	BP	p	negative regulation of biological process	5/38	495/2113	3	5	OG_11096, OG_11471, OG_12979, OG_15848, OG_16779
GO:0051301	0.137283525286	0.795974867685	BP	e	cell division	3/38	72/2113	2	3	OG_13415, OG_14921, OG_16810
GO:0006468	0.18087116464	0.795974867685	BP	e	protein phosphorylation	3/38	82/2113	7	3	OG_13415, OG_14921, OG_16779
GO:0030029	0.117108102674	0.795974867685	BP	e	actin filament-based process	3/38	67/2113	2	3	OG_11096, OG_13415, OG_14921
GO:0009056	0.0563979246376	0.795974867685	BP	e	catabolic process	8/38	226/2113	2	8	OG_11096, OG_11471, OG_12979, OG_14110, OG_14921, OG_16147, OG_16810, OG_17609
GO:0005975	0.105606071165	0.795974867685	BP	e	carbohydrate metabolic process	3/38	64/2113	3	3	OG_15734, OG_16147, OG_17609
GO:0006796	0.186816292778	0.795974867685	BP	e	phosphate-containing compound metabolic process	7/38	237/2113	4	7	OG_11471, OG_13415, OG_14921, OG_16698, OG_16779, OG_17609, OG_18583
GO:0006793	0.186816292778	0.795974867685	BP	e	phosphorus metabolic process	7/38	237/2113	3	7	OG_11471, OG_13415, OG_14921, OG_16698, OG_16779, OG_17609, OG_18583
GO:0070925	0.199303114496	0.816193706984	BP	e	organelle assembly	3/38	86/2113	4	3	OG_13280, OG_14133, OG_16064
GO:0002682	0.218191751486	0.852931392173	BP	e	regulation of immune system process	3/38	90/2113	3	3	OG_11471, OG_13415, OG_16779
GO:0044249	0.216891717911	0.852931392173	BP	e	cellular biosynthetic process	11/38	424/2113	3	11	OG_11471, OG_11934, OG_12979, OG_13116, OG_13281, OG_14078, OG_14190, OG_16698, OG_16779, OG_18457, OG_18583
GO:0009058	0.226914662706	0.85386657945	BP	e	biosynthetic process	11/38	441/2113	2	11	OG_11471, OG_11934, OG_12979, OG_13116, OG_13281, OG_14078, OG_14190, OG_16698, OG_16779, OG_18457, OG_18583
GO:0009059	0.228359666597	0.85386657945	BP	e	macromolecule biosynthetic process	8/38	290/2113	4	8	OG_11934, OG_13116, OG_13281, OG_14078, OG_14190, OG_16698, OG_16779, OG_18457
GO:1901362	0.236418314642	0.865190428052	BP	e	organic cyclic compound biosynthetic process	8/38	299/2113	4	8	OG_11471, OG_11934, OG_13116, OG_13281, OG_14078, OG_16698, OG_16779, OG_18457
GO:0051234	0.242160801549	0.867742872217	BP	e	establishment of localization	12/38	488/2113	2	12	OG_11096, OG_13280, OG_13961, OG_14078, OG_14133, OG_14921, OG_16064, OG_16407, OG_16779, OG_16863, OG_17095, OG_17146
GO:0032989	0.252127103012	0.885017586083	BP	e	cellular component morphogenesis	3/38	97/2113	3	3	OG_13415, OG_14921, OG_16779
GO:0032774	0.257540122225	0.885938020454	BP	e	RNA biosynthetic process	6/38	203/2113	7	6	OG_11934, OG_13116, OG_14078, OG_16698, OG_16779, OG_18457
GO:0050794	0.328856497293	0.992338904112	BP	e	regulation of cellular process	21/38	995/2113	3	21	OG_11096, OG_11471, OG_11934, OG_12969, OG_12979, OG_13116, OG_13281, OG_13415, OG_14078, OG_14110, OG_14457, OG_14921, OG_15848, OG_16698, OG_16779, OG_16810, OG_16863, OG_17158, OG_17609, OG_18457, OG_19028
GO:0036211	0.322510007621	0.992338904112	BP	e	protein modification process	7/38	271/2113	5	7	OG_13280, OG_13415, OG_14110, OG_14921, OG_16698, OG_16779, OG_16810
GO:0030030	0.296648664085	0.992338904112	BP	e	cell projection organization	4/38	133/2113	3	4	OG_11096, OG_13280, OG_14921, OG_16779
GO:0006464	0.322510007621	0.992338904112	BP	e	cellular protein modification process	7/38	271/2113	6	7	OG_13280, OG_13415, OG_14110, OG_14921, OG_16698, OG_16779, OG_16810
GO:0044238	0.327415450029	0.992338904112	BP	e	primary metabolic process	20/38	942/2113	2	20	OG_11471, OG_11934, OG_13116, OG_13280, OG_13281, OG_13415, OG_14032, OG_14078, OG_14110, OG_14190, OG_14921, OG_15734, OG_15848, OG_16147, OG_16698, OG_16779, OG_16810, OG_17609, OG_18457, OG_18583
GO:0044237	0.3266028359	0.992338904112	BP	e	cellular metabolic process	21/38	988/2113	2	21	OG_11096, OG_11471, OG_11934, OG_12979, OG_13116, OG_13280, OG_13281, OG_13415, OG_14078, OG_14110, OG_14190, OG_14921, OG_15848, OG_16147, OG_16698, OG_16779, OG_16810, OG_17095, OG_17609, OG_18457, OG_18583
GO:0048523	0.314688594892	0.992338904112	BP	p	negative regulation of cellular process	5/38	433/2113	4	5	OG_11096, OG_11471, OG_12979, OG_15848, OG_16779
GO:0006508	0.335504087302	0.994943155447	BP	e	proteolysis	4/38	148/2113	5	4	OG_14032, OG_14110, OG_14921, OG_16810
GO:0008104	0.797164208609	1.0	BP	e	protein localization	5/38	247/2113	3	5	OG_11096, OG_13280, OG_14078, OG_14133, OG_16407
GO:0080090	0.579621073549	1.0	BP	e	regulation of primary metabolic process	12/38	569/2113	4	12	OG_11934, OG_13116, OG_13281, OG_13415, OG_14078, OG_14921, OG_15848, OG_16698, OG_16779, OG_16863, OG_17609, OG_18457
GO:0019222	0.596608185425	1.0	BP	e	regulation of metabolic process	13/38	642/2113	3	13	OG_11934, OG_13116, OG_13281, OG_13415, OG_14078, OG_14921, OG_15848, OG_16698, OG_16779, OG_16863, OG_17158, OG_17609, OG_18457
GO:0051049	0.758066284607	1.0	BP	e	regulation of transport	3/38	157/2113	4	3	OG_14921, OG_16779, OG_17146
GO:0048583	1.0	1.0	BP	p	regulation of response to stimulus	6/38	357/2113	3	6	OG_11471, OG_13415, OG_14078, OG_14457, OG_14921, OG_16863
GO:0051173	1.0	1.0	BP	p	positive regulation of nitrogen compound metabolic process	5/38	295/2113	5	5	OG_13116, OG_13281, OG_14078, OG_16779, OG_16863
GO:0007165	0.507545224183	1.0	BP	e	signal transduction	8/38	352/2113	4	8	OG_11096, OG_12969, OG_12979, OG_13415, OG_14921, OG_16779, OG_18457, OG_19028
GO:0007166	0.350394591188	1.0	BP	e	cell surface receptor signaling pathway	4/38	153/2113	5	4	OG_12969, OG_12979, OG_13415, OG_16779
GO:0071840	0.477746246027	1.0	BP	p	cellular component organization or biogenesis	9/38	626/2113	1	9	OG_11096, OG_11934, OG_13280, OG_13415, OG_14133, OG_14921, OG_16064, OG_16407, OG_16779
GO:0051716	0.810357773873	1.0	BP	e	cellular response to stimulus	5/38	270/2113	2	5	OG_11934, OG_13281, OG_14921, OG_16064, OG_16779
GO:0010604	1.0	1.0	BP	p	positive regulation of macromolecule metabolic process	5/38	305/2113	5	5	OG_13116, OG_13281, OG_14078, OG_16779, OG_16863
GO:0009966	1.0	1.0	BP	p	regulation of signal transduction	5/38	286/2113	5	5	OG_11471, OG_13415, OG_14078, OG_14457, OG_16863
GO:0048869	0.505022233598	1.0	BP	p	cellular developmental process	4/38	347/2113	2	4	OG_13415, OG_14921, OG_16779, OG_16863
GO:0048513	1.0	1.0	BP	e	animal organ development	4/38	217/2113	3	4	OG_12979, OG_13415, OG_16779, OG_16810
