GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048675	0.00372797252071	0.502985909315	BP	e	axon extension	3/63	10/1864	5	3	OG_11770, OG_12685, OG_15325
GO:1990138	0.00651114445715	0.502985909315	BP	e	neuron projection extension	3/63	12/1864	4	3	OG_11770, OG_12685, OG_15325
GO:0010927	0.00267374618821	0.502985909315	BP	e	cellular component assembly involved in morphogenesis	3/63	9/1864	4	3	OG_11535, OG_12320, OG_18866
GO:0006979	0.00647510224955	0.502985909315	BP	e	response to oxidative stress	4/63	23/1864	3	4	OG_11535, OG_12320, OG_14344, OG_17001
GO:0048588	0.0102644622699	0.623867779656	BP	e	developmental cell growth	3/63	14/1864	3	3	OG_11770, OG_12685, OG_15325
GO:0006470	0.0208977981071	0.623867779656	BP	e	protein dephosphorylation	3/63	18/1864	7	3	OG_14251, OG_16357, OG_17738
GO:0007162	0.017838287429	0.623867779656	BP	e	negative regulation of cell adhesion	3/63	17/1864	5	3	OG_14344, OG_15325, OG_17001
GO:0051179	0.0217422199933	0.623867779656	BP	p	localization	7/63	428/1864	1	7	OG_14167, OG_14251, OG_14599, OG_15144, OG_17345, OG_18065, OG_18697
GO:0016049	0.0208977981071	0.623867779656	BP	e	cell growth	3/63	18/1864	2	3	OG_11770, OG_12685, OG_15325
GO:0051271	0.0242278749381	0.623867779656	BP	e	negative regulation of cellular component movement	3/63	19/1864	5	3	OG_14005, OG_15325, OG_17001
GO:0040007	0.0209803141643	0.623867779656	BP	e	growth	5/63	48/1864	1	5	OG_11770, OG_12218, OG_12685, OG_15325, OG_17001
GO:0022414	0.0226821730003	0.623867779656	BP	e	reproductive process	13/63	207/1864	1	13	OG_11535, OG_12218, OG_12320, OG_12358, OG_12685, OG_13733, OG_13957, OG_14080, OG_14251, OG_14344, OG_15125, OG_16170, OG_17345
