GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006820	0.0081030007358	0.380841034583	BP	e	anion transport	4/34	45/1864	5	4	OG_12222, OG_12325, OG_14856, OG_17911
GO:0051235	0.00674057135083	0.380841034583	BP	e	maintenance of location	3/34	22/1864	3	3	OG_12316, OG_13610, OG_13714
GO:0055114	0.0144558496123	0.452949954519	BP	e	oxidation-reduction process	6/34	113/1864	2	6	OG_11302, OG_13714, OG_13887, OG_16477, OG_16485, OG_17767
GO:0060255	0.0498991771385	0.472559038589	BP	p	regulation of macromolecule metabolic process	4/34	508/1864	4	4	OG_12325, OG_12378, OG_14681, OG_15454
GO:0015711	0.036861061405	0.472559038589	BP	e	organic anion transport	3/34	41/1864	6	3	OG_12222, OG_12325, OG_14856
GO:0046483	0.0411366129202	0.472559038589	BP	p	heterocycle metabolic process	3/34	439/1864	3	3	OG_14681, OG_15454, OG_18281
GO:0006807	0.0344376591341	0.472559038589	BP	p	nitrogen compound metabolic process	8/34	778/1864	2	8	OG_10752, OG_12325, OG_13887, OG_13926, OG_14681, OG_15454, OG_16477, OG_18281
GO:0050794	0.0552994619625	0.472559038589	BP	p	regulation of cellular process	10/34	866/1864	3	10	OG_10752, OG_12260, OG_12325, OG_12378, OG_12624, OG_14681, OG_14918, OG_15454, OG_16477, OG_18899
GO:0006869	0.03027191687	0.472559038589	BP	e	lipid transport	3/34	38/1864	5	3	OG_12222, OG_12316, OG_12325
GO:0055085	0.0508698837517	0.472559038589	BP	e	transmembrane transport	5/34	113/1864	4	5	OG_12222, OG_12325, OG_14038, OG_14856, OG_17911
GO:0051171	0.051115197591	0.472559038589	BP	p	regulation of nitrogen compound metabolic process	4/34	490/1864	4	4	OG_12325, OG_12378, OG_14681, OG_15454
GO:0006139	0.0609251354974	0.47724689473	BP	p	nucleobase-containing compound metabolic process	3/34	422/1864	4	3	OG_14681, OG_15454, OG_18281
GO:0080090	0.120870718013	0.480477917917	BP	p	regulation of primary metabolic process	5/34	499/1864	4	5	OG_12316, OG_12325, OG_12378, OG_14681, OG_15454
GO:0019222	0.132898147509	0.480477917917	BP	p	regulation of metabolic process	6/34	555/1864	3	6	OG_12316, OG_12325, OG_12378, OG_14681, OG_15454, OG_16477
GO:0051049	0.0989884658791	0.480477917917	BP	e	regulation of transport	5/34	137/1864	4	5	OG_10752, OG_12260, OG_12316, OG_12325, OG_17911
GO:0051050	0.0901289665468	0.480477917917	BP	e	positive regulation of transport	3/34	59/1864	5	3	OG_10752, OG_12260, OG_12325
GO:0006811	0.130118189795	0.480477917917	BP	e	ion transport	4/34	108/1864	4	4	OG_12222, OG_12325, OG_14856, OG_17911
GO:0008150	0.091493733212	0.480477917917	BP	p	biological_process	25/34	1574/1864	0	25	OG_10752, OG_11302, OG_12222, OG_12260, OG_12316, OG_12325, OG_12378, OG_12624, OG_12912, OG_13610, OG_13714, OG_13887, OG_13926, OG_14038, OG_14681, OG_14856, OG_14918, OG_15454, OG_16477, OG_16485, OG_17767, OG_17911, OG_18281, OG_18538, OG_18899
GO:0008152	0.118840304851	0.480477917917	BP	p	metabolic process	13/34	974/1864	1	13	OG_10752, OG_11302, OG_12325, OG_13714, OG_13887, OG_13926, OG_14681, OG_15454, OG_16477, OG_16485, OG_17767, OG_18281, OG_18538
GO:0006518	0.0731016062366	0.480477917917	BP	e	peptide metabolic process	3/34	54/1864	5	3	OG_10752, OG_13887, OG_13926
GO:0009987	0.126188618687	0.480477917917	BP	p	cellular process	20/34	1326/1864	1	20	OG_10752, OG_11302, OG_12222, OG_12260, OG_12316, OG_12325, OG_12624, OG_13610, OG_13714, OG_13887, OG_13926, OG_14681, OG_14918, OG_15454, OG_16477, OG_16485, OG_17767, OG_17911, OG_18281, OG_18899
GO:0006725	0.105529492199	0.480477917917	BP	p	cellular aromatic compound metabolic process	4/34	453/1864	3	4	OG_11302, OG_14681, OG_15454, OG_18281
