GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0098754	9.76746920278e-05	0.0229535526265	BP	e	detoxification	4/47	14/2487	1	4	OG_12172, OG_12985, OG_16350, OG_17354
GO:0045786	0.00360228620253	0.291327643226	BP	e	negative regulation of cell cycle	5/47	56/2487	5	5	OG_12635, OG_13130, OG_17168, OG_17425, OG_18352
GO:0010212	0.00495876839533	0.291327643226	BP	e	response to ionizing radiation	3/47	19/2487	4	3	OG_12635, OG_13130, OG_17425
GO:0045930	0.00423615817113	0.291327643226	BP	e	negative regulation of mitotic cell cycle	4/47	36/2487	6	4	OG_13130, OG_17168, OG_17425, OG_18352
GO:0006820	0.0212736901494	0.32752306991	BP	e	anion transport	4/47	57/2487	5	4	OG_13126, OG_15445, OG_16516, OG_16725
GO:0071310	0.0245958425879	0.32752306991	BP	e	cellular response to organic substance	5/47	89/2487	4	5	OG_11283, OG_11567, OG_12635, OG_13983, OG_18352
GO:0044093	0.0250868734399	0.32752306991	BP	e	positive regulation of molecular function	7/47	156/2487	3	7	OG_12074, OG_12454, OG_12985, OG_13130, OG_15251, OG_17425, OG_18032
GO:2001020	0.0148856162652	0.32752306991	BP	e	regulation of response to DNA damage stimulus	3/47	28/2487	6	3	OG_12635, OG_17425, OG_18750
GO:0007346	0.0196239871688	0.32752306991	BP	e	regulation of mitotic cell cycle	5/47	84/2487	5	5	OG_13130, OG_15251, OG_17168, OG_17425, OG_18352
GO:0006811	0.0115997897907	0.32752306991	BP	e	ion transport	7/47	134/2487	4	7	OG_12172, OG_12985, OG_13126, OG_15445, OG_16516, OG_16725, OG_17354
GO:0012501	0.015369183888	0.32752306991	BP	e	programmed cell death	5/47	79/2487	3	5	OG_12074, OG_17425, OG_18024, OG_18352, OG_18750
GO:0050896	0.0197648793638	0.32752306991	BP	e	response to stimulus	17/47	539/2487	1	17	OG_11283, OG_11567, OG_11760, OG_12074, OG_12172, OG_12327, OG_12635, OG_12985, OG_13130, OG_13272, OG_13983, OG_15251, OG_16197, OG_17354, OG_17425, OG_18149, OG_18352
GO:0051246	0.0112225559378	0.32752306991	BP	e	regulation of protein metabolic process	12/47	306/2487	5	12	OG_12074, OG_12454, OG_13130, OG_13808, OG_13983, OG_15251, OG_16748, OG_17168, OG_17425, OG_18149, OG_18352, OG_18750
GO:0031175	0.0213825984842	0.32752306991	BP	e	neuron projection development	3/47	32/2487	5	3	OG_11283, OG_14042, OG_17168
GO:0010948	0.019634215127	0.32752306991	BP	e	negative regulation of cell cycle process	3/47	31/2487	6	3	OG_12635, OG_13130, OG_18352
GO:0008219	0.0169878335024	0.32752306991	BP	e	cell death	5/47	81/2487	2	5	OG_12074, OG_17425, OG_18024, OG_18352, OG_18750
GO:0043269	0.0232141161049	0.32752306991	BP	e	regulation of ion transport	3/47	33/2487	5	3	OG_12172, OG_13126, OG_15445
GO:0051726	0.0130200049994	0.32752306991	BP	e	regulation of cell cycle	7/47	137/2487	4	7	OG_12635, OG_13130, OG_15251, OG_17168, OG_17425, OG_18352, OG_18750
GO:0006915	0.0310908124591	0.384544259363	BP	e	apoptotic process	4/47	64/2487	4	4	OG_12074, OG_17425, OG_18024, OG_18750
GO:0051049	0.0571804460289	0.392522622069	BP	e	regulation of transport	6/47	148/2487	4	6	OG_11283, OG_12172, OG_12454, OG_13126, OG_15445, OG_18352
GO:0048583	0.0621917928883	0.392522622069	BP	e	regulation of response to stimulus	12/47	379/2487	3	12	OG_12327, OG_12454, OG_12635, OG_13272, OG_13808, OG_13983, OG_16748, OG_17168, OG_17425, OG_18032, OG_18352, OG_18750
GO:0007292	0.0668123612032	0.392522622069	BP	e	female gamete generation	3/47	50/2487	4	3	OG_11283, OG_12635, OG_17168
GO:0030162	0.0511880718804	0.392522622069	BP	e	regulation of proteolysis	4/47	75/2487	6	4	OG_12074, OG_17425, OG_18149, OG_18352
GO:0048878	0.047329838363	0.392522622069	BP	e	chemical homeostasis	5/47	106/2487	4	5	OG_11283, OG_12172, OG_15445, OG_16516, OG_17354
GO:0098660	0.0574668428632	0.392522622069	BP	e	inorganic ion transmembrane transport	3/47	47/2487	6	3	OG_12172, OG_13126, OG_17354
GO:0065009	0.0521860547693	0.392522622069	BP	e	regulation of molecular function	9/47	256/2487	2	9	OG_12074, OG_12454, OG_12985, OG_13130, OG_15251, OG_16748, OG_17425, OG_18032, OG_18750
GO:0048477	0.0668123612032	0.392522622069	BP	e	oogenesis	3/47	50/2487	5	3	OG_11283, OG_12635, OG_17168
GO:0080135	0.0533017542285	0.392522622069	BP	e	regulation of cellular response to stress	4/47	76/2487	5	4	OG_12635, OG_16748, OG_17425, OG_18750
GO:0016070	0.0619895604287	0.392522622069	BP	p	RNA metabolic process	4/47	478/2487	6	4	OG_14195, OG_14912, OG_16222, OG_18514
GO:0015833	0.0657624287325	0.392522622069	BP	e	peptide transport	8/47	223/2487	6	8	OG_11283, OG_12454, OG_13272, OG_13808, OG_15445, OG_16748, OG_17168, OG_17781
GO:0006873	0.0636228982999	0.392522622069	BP	e	cellular ion homeostasis	3/47	49/2487	6	3	OG_12172, OG_15445, OG_17354
GO:0030001	0.0574668428632	0.392522622069	BP	e	metal ion transport	3/47	47/2487	6	3	OG_12172, OG_12985, OG_17354
GO:0030003	0.0636228982999	0.392522622069	BP	e	cellular cation homeostasis	3/47	49/2487	7	3	OG_12172, OG_15445, OG_17354
GO:0032879	0.0399111320938	0.392522622069	BP	e	regulation of localization	9/47	239/2487	3	9	OG_11283, OG_12172, OG_12327, OG_12454, OG_13126, OG_15251, OG_15445, OG_17354, OG_18352
GO:0032268	0.0598653291965	0.392522622069	BP	e	regulation of cellular protein metabolic process	10/47	288/2487	6	10	OG_13130, OG_13808, OG_13983, OG_15251, OG_16748, OG_17168, OG_17425, OG_18149, OG_18352, OG_18750
GO:0042592	0.0456864742808	0.392522622069	BP	e	homeostatic process	7/47	177/2487	3	7	OG_11283, OG_12172, OG_12635, OG_15445, OG_16516, OG_17168, OG_17354
GO:0007389	0.0354719097369	0.392522622069	BP	e	pattern specification process	5/47	98/2487	2	5	OG_11283, OG_12074, OG_12635, OG_17168, OG_18352
GO:0007281	0.0491221057553	0.392522622069	BP	e	germ cell development	4/47	74/2487	4	4	OG_11283, OG_12635, OG_17168, OG_17425
GO:0051276	0.0554630536654	0.392522622069	BP	e	chromosome organization	4/47	77/2487	4	4	OG_12635, OG_17168, OG_17425, OG_18149
GO:0015031	0.06482182626	0.392522622069	BP	e	protein transport	8/47	222/2487	7	8	OG_11283, OG_12454, OG_13272, OG_13808, OG_15445, OG_16748, OG_17168, OG_17781
GO:0042886	0.0687180651433	0.393871836797	BP	e	amide transport	8/47	226/2487	5	8	OG_11283, OG_12454, OG_13272, OG_13808, OG_15445, OG_16748, OG_17168, OG_17781
GO:0098771	0.087441187817	0.395166906481	BP	e	inorganic ion homeostasis	3/47	56/2487	6	3	OG_12172, OG_15445, OG_17354
GO:0009314	0.0838311605826	0.395166906481	BP	e	response to radiation	3/47	55/2487	3	3	OG_12635, OG_13130, OG_17425
GO:0019725	0.0770298372243	0.395166906481	BP	e	cellular homeostasis	4/47	86/2487	4	4	OG_12172, OG_15445, OG_17168, OG_17354
GO:0045184	0.0763908727224	0.395166906481	BP	e	establishment of protein localization	8/47	233/2487	4	8	OG_11283, OG_12454, OG_13272, OG_13808, OG_15445, OG_16748, OG_17168, OG_17781
GO:0034641	0.0815833788615	0.395166906481	BP	p	cellular nitrogen compound metabolic process	9/47	768/2487	3	9	OG_12635, OG_13324, OG_13823, OG_13828, OG_14195, OG_14912, OG_16222, OG_18149, OG_18514
