GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006513	0.000399304878523	0.095433865967	BP	e	protein monoubiquitination	3/49	7/2086	10	3	OG_14677, OG_15681, OG_16897
GO:0008104	0.0586316761211	0.532917862984	BP	e	protein localization	10/49	229/2086	3	10	OG_12449, OG_12490, OG_12892, OG_14626, OG_15719, OG_15736, OG_15866, OG_16561, OG_16586, OG_16897
GO:0044281	0.0597812857851	0.532917862984	BP	e	small molecule metabolic process	8/49	174/2086	2	8	OG_12892, OG_14007, OG_14485, OG_14800, OG_15023, OG_16092, OG_16175, OG_18470
GO:0044283	0.0608740824795	0.532917862984	BP	e	small molecule biosynthetic process	4/49	64/2086	3	4	OG_14007, OG_14485, OG_16092, OG_16175
GO:0070727	0.0380589005494	0.532917862984	BP	e	cellular macromolecule localization	7/49	137/2086	3	7	OG_12449, OG_12490, OG_12892, OG_14626, OG_15866, OG_16561, OG_16586
GO:0032446	0.0580459632383	0.532917862984	BP	e	protein modification by small protein conjugation	4/49	63/2086	8	4	OG_14677, OG_15681, OG_16810, OG_16897
GO:0033036	0.0209300131535	0.532917862984	BP	e	macromolecule localization	11/49	237/2086	2	11	OG_12449, OG_12490, OG_12892, OG_14626, OG_15719, OG_15736, OG_15866, OG_16561, OG_16586, OG_16897, OG_18470
GO:0032787	0.091421055993	0.532917862984	BP	e	monocarboxylic acid metabolic process	3/49	46/2086	6	3	OG_12892, OG_14485, OG_16175
GO:0045184	0.0497670915427	0.532917862984	BP	e	establishment of protein localization	8/49	161/2086	4	8	OG_12490, OG_12892, OG_15719, OG_15736, OG_15866, OG_16561, OG_16586, OG_16897
GO:0043436	0.0593995374769	0.532917862984	BP	e	oxoacid metabolic process	5/49	91/2086	4	5	OG_12892, OG_14485, OG_15023, OG_16175, OG_18470
GO:0055114	0.085023419371	0.532917862984	BP	e	oxidation-reduction process	5/49	101/2086	2	5	OG_12490, OG_12892, OG_13006, OG_15023, OG_16175
GO:0051704	0.0907635548636	0.532917862984	BP	e	multi-organism process	5/49	103/2086	1	5	OG_12490, OG_14626, OG_14800, OG_16561, OG_16897
GO:0034641	0.0759364425639	0.532917862984	BP	p	cellular nitrogen compound metabolic process	8/49	585/2086	3	8	OG_12240, OG_12683, OG_14555, OG_14800, OG_15970, OG_16092, OG_16175, OG_16579
GO:0016567	0.0426266952351	0.532917862984	BP	e	protein ubiquitination	4/49	57/2086	9	4	OG_14677, OG_15681, OG_16810, OG_16897
GO:0032940	0.0380803284627	0.532917862984	BP	e	secretion by cell	4/49	55/2086	5	4	OG_12490, OG_15719, OG_16088, OG_16897
GO:0006629	0.085023419371	0.532917862984	BP	e	lipid metabolic process	5/49	101/2086	3	5	OG_12449, OG_12892, OG_14007, OG_14485, OG_18538
GO:0046700	0.091421055993	0.532917862984	BP	e	heterocycle catabolic process	3/49	46/2086	4	3	OG_16092, OG_16175, OG_16579
GO:0043902	0.0239800107045	0.532917862984	BP	e	positive regulation of multi-organism process	3/49	27/2086	4	3	OG_14555, OG_16561, OG_16897
GO:0034655	0.0868447299882	0.532917862984	BP	e	nucleobase-containing compound catabolic process	3/49	45/2086	5	3	OG_16092, OG_16175, OG_16579
GO:0046903	0.0450112410003	0.532917862984	BP	e	secretion	4/49	58/2086	4	4	OG_12490, OG_15719, OG_16088, OG_16897
GO:0044270	0.091421055993	0.532917862984	BP	e	cellular nitrogen compound catabolic process	3/49	46/2086	4	3	OG_16092, OG_16175, OG_16579
GO:1901987	0.0695884725138	0.532917862984	BP	e	regulation of cell cycle phase transition	3/49	41/2086	6	3	OG_13992, OG_14626, OG_16810
GO:0033044	0.091421055993	0.532917862984	BP	e	regulation of chromosome organization	3/49	46/2086	6	3	OG_13992, OG_14555, OG_16810
GO:0009791	0.00775705329817	0.532917862984	BP	e	post-embryonic development	3/49	18/2086	2	3	OG_14485, OG_14555, OG_18470
GO:0015833	0.0834580281466	0.532917862984	BP	e	peptide transport	7/49	151/2086	6	7	OG_12490, OG_12892, OG_15719, OG_15736, OG_15866, OG_16561, OG_16897
GO:1901990	0.0655480396396	0.532917862984	BP	e	regulation of mitotic cell cycle phase transition	3/49	40/2086	7	3	OG_13992, OG_14626, OG_16810
GO:0042886	0.0858109785146	0.532917862984	BP	e	amide transport	7/49	153/2086	5	7	OG_12490, OG_12892, OG_15719, OG_15736, OG_15866, OG_16561, OG_16897
GO:0010564	0.0697951148245	0.532917862984	BP	e	regulation of cell cycle process	4/49	67/2086	5	4	OG_12490, OG_13992, OG_14626, OG_16810
GO:0072594	0.0695884725138	0.532917862984	BP	e	establishment of protein localization to organelle	3/49	41/2086	6	3	OG_12892, OG_15866, OG_16561
GO:0060627	0.0823709667004	0.532917862984	BP	e	regulation of vesicle-mediated transport	3/49	44/2086	5	3	OG_13662, OG_16855, OG_16897
GO:0006082	0.0593995374769	0.532917862984	BP	e	organic acid metabolic process	5/49	91/2086	3	5	OG_12892, OG_14485, OG_15023, OG_16175, OG_18470
GO:0033365	0.00820060014452	0.532917862984	BP	e	protein localization to organelle	6/49	77/2086	5	6	OG_12449, OG_12490, OG_12892, OG_14626, OG_15866, OG_16561
GO:0031647	0.0655480396396	0.532917862984	BP	e	regulation of protein stability	3/49	40/2086	3	3	OG_12892, OG_13992, OG_15736
GO:0006091	0.0374728099504	0.532917862984	BP	e	generation of precursor metabolites and energy	3/49	32/2086	3	3	OG_12490, OG_13006, OG_16175
GO:0051301	0.0667490805624	0.532917862984	BP	e	cell division	4/49	66/2086	2	4	OG_12892, OG_13992, OG_16810, OG_16897
GO:0090092	0.0374728099504	0.532917862984	BP	e	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3/49	32/2086	6	3	OG_15736, OG_15998, OG_18470
GO:0034613	0.029637171823	0.532917862984	BP	e	cellular protein localization	7/49	130/2086	4	7	OG_12449, OG_12490, OG_12892, OG_14626, OG_15866, OG_16561, OG_16586
GO:0070925	0.0322289846056	0.532917862984	BP	e	organelle assembly	5/49	77/2086	4	5	OG_12490, OG_13992, OG_14626, OG_15718, OG_16897
GO:0007017	0.085023419371	0.532917862984	BP	e	microtubule-based process	5/49	101/2086	2	5	OG_12683, OG_13992, OG_14626, OG_14732, OG_15736
GO:0005975	0.0318156124696	0.532917862984	BP	e	carbohydrate metabolic process	4/49	52/2086	3	4	OG_12490, OG_14800, OG_16175, OG_18470
GO:0015031	0.0834580281466	0.532917862984	BP	e	protein transport	7/49	151/2086	7	7	OG_12490, OG_12892, OG_15719, OG_15736, OG_15866, OG_16561, OG_16897
GO:1901361	0.120893549617	0.589664456295	BP	e	organic cyclic compound catabolic process	3/49	52/2086	4	3	OG_16092, OG_16175, OG_16579
GO:0003002	0.11175333645	0.589664456295	BP	e	regionalization	4/49	79/2086	3	4	OG_15736, OG_15970, OG_16034, OG_16855
GO:0051707	0.110702667543	0.589664456295	BP	e	response to other organism	3/49	50/2086	4	3	OG_12490, OG_14626, OG_16561
GO:0019439	0.115754437859	0.589664456295	BP	e	aromatic compound catabolic process	3/49	51/2086	4	3	OG_16092, OG_16175, OG_16579
GO:0043900	0.105740864434	0.589664456295	BP	e	regulation of multi-organism process	3/49	49/2086	3	3	OG_14555, OG_16561, OG_16897
GO:0044255	0.119661628381	0.589664456295	BP	e	cellular lipid metabolic process	4/49	81/2086	4	4	OG_12449, OG_12892, OG_14007, OG_14485
GO:0090304	0.116419207104	0.589664456295	BP	p	nucleic acid metabolic process	6/49	450/2086	5	6	OG_12240, OG_12683, OG_14555, OG_14800, OG_15970, OG_16579
GO:0048598	0.11175333645	0.589664456295	BP	e	embryonic morphogenesis	4/49	79/2086	3	4	OG_15970, OG_16561, OG_16855, OG_18470
GO:0051049	0.137940461405	0.618228474828	BP	e	regulation of transport	6/49	140/2086	4	6	OG_11722, OG_13662, OG_15736, OG_16561, OG_16855, OG_16897
GO:0070647	0.131974270006	0.618228474828	BP	e	protein modification by small protein conjugation or removal	4/49	84/2086	7	4	OG_14677, OG_15681, OG_16810, OG_16897
GO:0051239	0.141832029967	0.618228474828	BP	p	regulation of multicellular organismal process	3/49	289/2086	3	3	OG_14555, OG_16855, OG_16897
GO:0043408	0.142270151111	0.618228474828	BP	e	regulation of MAPK cascade	3/49	56/2086	9	3	OG_15998, OG_16855, OG_16897
GO:0019752	0.140470218462	0.618228474828	BP	e	carboxylic acid metabolic process	4/49	86/2086	5	4	OG_12892, OG_14485, OG_15023, OG_16175
GO:0098657	0.131423179268	0.618228474828	BP	e	import into cell	3/49	54/2086	4	3	OG_12490, OG_15719, OG_16088
GO:0051050	0.147805898659	0.630814460348	BP	e	positive regulation of transport	3/49	57/2086	5	3	OG_15736, OG_16561, OG_16897
GO:0006357	0.160866663441	0.640785542707	BP	e	regulation of transcription by RNA polymerase II	8/49	218/2086	10	8	OG_11531, OG_12892, OG_14555, OG_14800, OG_15681, OG_15736, OG_15970, OG_16034
GO:0048638	0.153412879986	0.640785542707	BP	e	regulation of developmental growth	3/49	58/2086	4	3	OG_14555, OG_16855, OG_16897
