GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0071396	0.00144291076134	0.194792952781	BP	e	cellular response to lipid	3/25	13/1343	5	3	OG_14573, OG_15587, OG_18974
GO:0006163	0.0137366087672	0.209771000262	BP	e	purine nucleotide metabolic process	3/25	28/1343	8	3	OG_13147, OG_15042, OG_16106
GO:1901575	0.0224019776041	0.209771000262	BP	e	organic substance catabolic process	6/25	124/1343	3	6	OG_12614, OG_14152, OG_14573, OG_15042, OG_16106, OG_17550
GO:0009150	0.0137366087672	0.209771000262	BP	e	purine ribonucleotide metabolic process	3/25	28/1343	9	3	OG_13147, OG_15042, OG_16106
GO:0044248	0.0171539340109	0.209771000262	BP	e	cellular catabolic process	6/25	117/1343	3	6	OG_12614, OG_14152, OG_14573, OG_15042, OG_16106, OG_17550
GO:0070887	0.00990051405693	0.209771000262	BP	e	cellular response to chemical stimulus	5/25	74/1343	3	5	OG_12614, OG_13372, OG_14573, OG_15587, OG_18974
GO:0009259	0.0197997700714	0.209771000262	BP	e	ribonucleotide metabolic process	3/25	32/1343	8	3	OG_13147, OG_15042, OG_16106
GO:1901701	0.00331725899189	0.209771000262	BP	e	cellular response to oxygen-containing compound	4/25	35/1343	4	4	OG_13372, OG_14573, OG_15587, OG_18974
GO:0042592	0.0210712967249	0.209771000262	BP	e	homeostatic process	5/25	89/1343	3	5	OG_13147, OG_14497, OG_14573, OG_15042, OG_19245
GO:0072521	0.0151342910536	0.209771000262	BP	e	purine-containing compound metabolic process	3/25	29/1343	4	3	OG_13147, OG_15042, OG_16106
GO:0033993	0.01117374217	0.209771000262	BP	e	response to lipid	3/25	26/1343	4	3	OG_14573, OG_15587, OG_18974
GO:0071310	0.0147748398979	0.209771000262	BP	e	cellular response to organic substance	4/25	53/1343	4	4	OG_12614, OG_14573, OG_15587, OG_18974
GO:1901700	0.020095666153	0.209771000262	BP	e	response to oxygen-containing compound	4/25	58/1343	3	4	OG_13372, OG_14573, OG_15587, OG_18974
GO:0009628	0.0151448137592	0.209771000262	BP	e	response to abiotic stimulus	5/25	82/1343	2	5	OG_13372, OG_14573, OG_15587, OG_18974, OG_19245
GO:0019693	0.023307888918	0.209771000262	BP	e	ribose phosphate metabolic process	3/25	34/1343	5	3	OG_13147, OG_15042, OG_16106
GO:0051186	0.0271362828122	0.221533925786	BP	e	cofactor metabolic process	3/25	36/1343	3	3	OG_15042, OG_16106, OG_17955
GO:1901135	0.0278968647286	0.221533925786	BP	e	carbohydrate derivative metabolic process	4/25	64/1343	3	4	OG_13147, OG_15042, OG_16106, OG_17550
GO:0009056	0.0296567624388	0.222425718291	BP	e	catabolic process	6/25	132/1343	2	6	OG_12614, OG_14152, OG_14573, OG_15042, OG_16106, OG_17550
GO:0044270	0.0334793689807	0.22598574062	BP	e	cellular nitrogen compound catabolic process	3/25	39/1343	4	3	OG_14573, OG_15042, OG_16106
GO:0046700	0.0334793689807	0.22598574062	BP	e	heterocycle catabolic process	3/25	39/1343	4	3	OG_14573, OG_15042, OG_16106
GO:0019439	0.0357532214964	0.229842138191	BP	e	aromatic compound catabolic process	3/25	40/1343	4	3	OG_14573, OG_15042, OG_16106
GO:1901361	0.040538327014	0.242149130328	BP	e	organic cyclic compound catabolic process	3/25	42/1343	4	3	OG_14573, OG_15042, OG_16106
GO:0006753	0.0430487342805	0.242149130328	BP	e	nucleoside phosphate metabolic process	3/25	43/1343	6	3	OG_13147, OG_15042, OG_16106
GO:0009117	0.0430487342805	0.242149130328	BP	e	nucleotide metabolic process	3/25	43/1343	7	3	OG_13147, OG_15042, OG_16106
GO:0055086	0.0510450247427	0.275643133611	BP	e	nucleobase-containing small molecule metabolic process	3/25	46/1343	5	3	OG_13147, OG_15042, OG_16106
GO:0019752	0.0538633870371	0.279675278846	BP	e	carboxylic acid metabolic process	3/25	47/1343	5	3	OG_14152, OG_15042, OG_16106
GO:0043436	0.0658817679667	0.30669098881	BP	e	oxoacid metabolic process	3/25	51/1343	4	3	OG_14152, OG_15042, OG_16106
GO:0010033	0.0658129480409	0.30669098881	BP	e	response to organic substance	4/25	84/1343	3	4	OG_12614, OG_14573, OG_15587, OG_18974
GO:0042221	0.0631884847346	0.30669098881	BP	e	response to chemical	5/25	119/1343	2	5	OG_12614, OG_13372, OG_14573, OG_15587, OG_18974
GO:0006082	0.0690683916874	0.310807762593	BP	e	organic acid metabolic process	3/25	52/1343	3	3	OG_14152, OG_15042, OG_16106
GO:0051716	0.1001747268	0.423265342244	BP	e	cellular response to stimulus	5/25	136/1343	2	5	OG_12614, OG_13372, OG_14573, OG_15587, OG_18974
GO:0009605	0.100329562606	0.423265342244	BP	e	response to external stimulus	4/25	97/1343	2	4	OG_14573, OG_15587, OG_18974, OG_19245
GO:0019637	0.120652463588	0.493578260133	BP	e	organophosphate metabolic process	3/25	66/1343	4	3	OG_13147, OG_15042, OG_16106
GO:0044281	0.135143042064	0.522075796204	BP	e	small molecule metabolic process	4/25	108/1343	2	4	OG_13147, OG_14152, OG_15042, OG_16106
GO:0065008	0.135352984201	0.522075796204	BP	e	regulation of biological quality	8/25	270/1343	2	8	OG_13147, OG_14497, OG_14573, OG_15042, OG_15587, OG_15631, OG_16141, OG_19245
GO:0009057	0.155179956982	0.581924838683	BP	e	macromolecule catabolic process	3/25	74/1343	4	3	OG_12614, OG_14573, OG_17550
GO:0006811	0.168900862522	0.616259903796	BP	e	ion transport	3/25	77/1343	4	3	OG_13372, OG_14071, OG_19245
GO:0055085	0.182988440448	0.650090512118	BP	e	transmembrane transport	3/25	80/1343	4	3	OG_13372, OG_14071, OG_19245
GO:0007610	0.202281221483	0.70020422821	BP	e	behavior	3/25	84/1343	1	3	OG_13372, OG_16729, OG_19245
GO:0003008	0.242304246628	0.79783105597	BP	e	system process	3/25	92/1343	2	3	OG_15587, OG_15631, OG_16729
GO:0051240	0.242304246628	0.79783105597	BP	e	positive regulation of multicellular organismal process	3/25	92/1343	4	3	OG_13445, OG_15587, OG_17550
GO:0080090	0.280982268906	0.798328693766	BP	p	regulation of primary metabolic process	5/25	413/1343	4	5	OG_13445, OG_14497, OG_14573, OG_15587, OG_18974
GO:0060255	0.27856250436	0.798328693766	BP	p	regulation of macromolecule metabolic process	5/25	430/1343	4	5	OG_12614, OG_13445, OG_14497, OG_14573, OG_18974
GO:0019438	0.283850202228	0.798328693766	BP	e	aromatic compound biosynthetic process	6/25	222/1343	4	6	OG_13147, OG_13445, OG_14497, OG_15042, OG_16106, OG_18974
GO:0044260	0.27832500623	0.798328693766	BP	p	cellular macromolecule metabolic process	5/25	427/1343	4	5	OG_12614, OG_13445, OG_14497, OG_14573, OG_18974
GO:0018130	0.281836356952	0.798328693766	BP	e	heterocycle biosynthetic process	6/25	221/1343	4	6	OG_13147, OG_13445, OG_14497, OG_15042, OG_16106, OG_18974
GO:0051239	0.256370814465	0.798328693766	BP	e	regulation of multicellular organismal process	6/25	206/1343	3	6	OG_13445, OG_14497, OG_15587, OG_16729, OG_17550, OG_18974
GO:0051171	0.282366249039	0.798328693766	BP	p	regulation of nitrogen compound metabolic process	5/25	410/1343	4	5	OG_13445, OG_14497, OG_14573, OG_15587, OG_18974
GO:0050794	0.314312494346	0.850152709922	BP	p	regulation of cellular process	10/25	687/1343	3	10	OG_12476, OG_12614, OG_13445, OG_14497, OG_14573, OG_15587, OG_16106, OG_17550, OG_18974, OG_19245
GO:0050789	0.314871374045	0.850152709922	BP	p	regulation of biological process	11/25	733/1343	2	11	OG_12476, OG_12614, OG_13445, OG_14497, OG_14573, OG_15587, OG_16106, OG_16729, OG_17550, OG_18974, OG_19245
GO:0032501	0.332938846149	0.881308710394	BP	e	multicellular organismal process	8/25	306/1343	1	8	OG_13147, OG_13445, OG_15587, OG_15631, OG_16729, OG_17550, OG_18069, OG_19245
GO:0019222	0.394783667762	0.919935595405	BP	p	regulation of metabolic process	6/25	449/1343	3	6	OG_12614, OG_13445, OG_14497, OG_14573, OG_15587, OG_18974
