GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0010608	0.0226887372268	0.799777987245	BP	e	posttranscriptional regulation of gene expression	3/29	29/1343	6	3	OG_12859, OG_14984, OG_17198
GO:0006281	0.0186963662723	0.799777987245	BP	e	DNA repair	3/29	27/1343	7	3	OG_16209, OG_18149, OG_19110
GO:0006259	0.0217056018841	0.799777987245	BP	e	DNA metabolic process	4/29	51/1343	6	4	OG_12859, OG_16209, OG_18149, OG_19110
GO:0051276	0.0226887372268	0.799777987245	BP	e	chromosome organization	3/29	29/1343	4	3	OG_12859, OG_18149, OG_19110
GO:1901361	0.0590878694614	0.831403334882	BP	e	organic cyclic compound catabolic process	3/29	42/1343	4	3	OG_12672, OG_12859, OG_16209
GO:0048518	0.0648612530759	0.831403334882	BP	p	positive regulation of biological process	4/29	398/1343	3	4	OG_12702, OG_14984, OG_17152, OG_18032
GO:1901564	0.0536572751987	0.831403334882	BP	e	organonitrogen compound metabolic process	12/29	342/1343	3	12	OG_11040, OG_12417, OG_12672, OG_12742, OG_14984, OG_15360, OG_16209, OG_17152, OG_17198, OG_18032, OG_18149, OG_19110
GO:0019439	0.0523369745854	0.831403334882	BP	e	aromatic compound catabolic process	3/29	40/1343	4	3	OG_12672, OG_12859, OG_16209
GO:0006807	0.0569982618475	0.831403334882	BP	e	nitrogen compound metabolic process	18/29	586/1343	2	18	OG_11040, OG_12417, OG_12672, OG_12702, OG_12742, OG_12859, OG_14003, OG_14028, OG_14984, OG_15348, OG_15360, OG_16209, OG_17031, OG_17152, OG_17198, OG_18032, OG_18149, OG_19110
GO:0006974	0.0459937521112	0.831403334882	BP	e	cellular response to DNA damage stimulus	3/29	38/1343	4	3	OG_16209, OG_18149, OG_19110
GO:0048522	0.0543777703087	0.831403334882	BP	p	positive regulation of cellular process	3/29	351/1343	4	3	OG_12702, OG_14984, OG_17152
GO:0008104	0.519088972915	0.881715304345	BP	e	protein localization	4/29	131/1343	3	4	OG_15984, OG_17794, OG_18032, OG_18579
GO:0048585	0.450577786369	0.881715304345	BP	e	negative regulation of response to stimulus	3/29	94/1343	4	3	OG_12702, OG_14984, OG_15984
GO:0007166	0.471635872978	0.881715304345	BP	e	cell surface receptor signaling pathway	3/29	100/1343	5	3	OG_11040, OG_14028, OG_17152
GO:1901360	0.402039646749	0.881715304345	BP	e	organic cyclic compound metabolic process	10/29	368/1343	3	10	OG_12672, OG_12702, OG_12859, OG_14003, OG_14028, OG_15348, OG_16209, OG_17031, OG_18149, OG_19110
GO:0009968	0.229051954946	0.881715304345	BP	e	negative regulation of signal transduction	3/29	77/1343	6	3	OG_12702, OG_14984, OG_15984
GO:0048513	0.542565705146	0.881715304345	BP	e	animal organ development	4/29	144/1343	3	4	OG_12702, OG_15348, OG_15427, OG_18149
GO:0048519	0.514330454233	0.881715304345	BP	e	negative regulation of biological process	9/29	335/1343	3	9	OG_12702, OG_12859, OG_14984, OG_15348, OG_15984, OG_16209, OG_17198, OG_18032, OG_19110
GO:0033036	0.526964550506	0.881715304345	BP	e	macromolecule localization	4/29	136/1343	2	4	OG_15984, OG_17794, OG_18032, OG_18579
GO:0045184	0.450577786369	0.881715304345	BP	e	establishment of protein localization	3/29	94/1343	4	3	OG_15984, OG_17794, OG_18579
GO:2001141	0.487735592054	0.881715304345	BP	p	regulation of RNA biosynthetic process	4/29	277/1343	7	4	OG_12702, OG_15348, OG_15984, OG_16209
