GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008104	0.750885477817	1.0	BP	e	protein localization	3/28	136/1383	3	3	OG_10851, OG_12390, OG_15609
GO:0080090	0.389253396969	1.0	BP	p	regulation of primary metabolic process	5/28	374/1383	4	5	OG_11225, OG_11327, OG_14510, OG_14556, OG_16148
GO:0019222	0.679547103504	1.0	BP	p	regulation of metabolic process	7/28	412/1383	3	7	OG_10851, OG_11225, OG_11327, OG_14510, OG_14556, OG_16148, OG_18671
GO:0051049	0.419581297589	1.0	BP	e	regulation of transport	3/28	89/1383	4	3	OG_10851, OG_12390, OG_16567
GO:0044281	0.476170343218	1.0	BP	e	small molecule metabolic process	3/28	108/1383	2	3	OG_10889, OG_11327, OG_16567
GO:1901362	1.0	1.0	BP	e	organic cyclic compound biosynthetic process	4/28	197/1383	4	4	OG_10889, OG_14522, OG_14556, OG_16148
GO:1901360	0.65541291653	1.0	BP	e	organic cyclic compound metabolic process	8/28	335/1383	3	8	OG_10889, OG_11225, OG_11327, OG_14522, OG_14556, OG_15609, OG_16148, OG_18671
GO:0010605	0.558296495108	1.0	BP	e	negative regulation of macromolecule metabolic process	4/28	161/1383	5	4	OG_11225, OG_14510, OG_14556, OG_18671
GO:0010604	0.789278990155	1.0	BP	p	positive regulation of macromolecule metabolic process	3/28	211/1383	5	3	OG_10851, OG_11225, OG_16148
GO:0048869	0.455249138163	1.0	BP	p	cellular developmental process	3/28	247/1383	2	3	OG_12390, OG_17887, OG_18671
GO:0070647	0.0735568020371	1.0	BP	e	protein modification by small protein conjugation or removal	3/28	49/1383	7	3	OG_12390, OG_17973, OG_18724
GO:0048518	1.0	1.0	BP	p	positive regulation of biological process	7/28	353/1383	3	7	OG_10851, OG_11225, OG_11327, OG_12390, OG_14510, OG_16148, OG_16567
GO:0048519	0.256450208482	1.0	BP	e	negative regulation of biological process	9/28	317/1383	3	9	OG_10851, OG_11225, OG_12390, OG_14510, OG_14556, OG_15443, OG_16148, OG_18671, OG_18724
GO:0033036	0.755687544678	1.0	BP	e	macromolecule localization	3/28	139/1383	2	3	OG_10851, OG_12390, OG_15609
GO:0051050	0.0248939143741	1.0	BP	e	positive regulation of transport	3/28	32/1383	5	3	OG_10851, OG_12390, OG_16567
GO:0060255	0.527031407773	1.0	BP	p	regulation of macromolecule metabolic process	6/28	395/1383	4	6	OG_10851, OG_11225, OG_14510, OG_14556, OG_16148, OG_18671
GO:2001141	0.456159475836	1.0	BP	p	regulation of RNA biosynthetic process	3/28	251/1383	7	3	OG_11225, OG_14510, OG_16148
