GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007450	2.10866942133e-05	0.00307865735514	BP	e	dorsal/ventral pattern formation, imaginal disc	4/30	9/1383	5	4	OG_11200, OG_12702, OG_15787, OG_17886
GO:0035222	7.9149255582e-05	0.00548000892362	BP	e	wing disc pattern formation	4/30	12/1383	5	4	OG_11200, OG_12702, OG_15787, OG_17886
GO:0009953	0.000112602923088	0.00548000892362	BP	e	dorsal/ventral pattern formation	4/30	13/1383	4	4	OG_11200, OG_12702, OG_15787, OG_17886
GO:0007447	0.000557248521205	0.0162716568192	BP	e	imaginal disc pattern formation	4/30	19/1383	4	4	OG_11200, OG_12702, OG_15787, OG_17886
GO:0048190	0.000480030184726	0.0162716568192	BP	e	wing disc dorsal/ventral pattern formation	3/30	8/1383	6	3	OG_12702, OG_15787, OG_17886
GO:0000122	0.00746332759559	0.181607638159	BP	e	negative regulation of transcription by RNA polymerase II	5/30	59/1383	11	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0010629	0.0111798151306	0.233179001295	BP	e	negative regulation of gene expression	7/30	119/1383	6	7	OG_11200, OG_12413, OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0050769	0.0153573814114	0.249130854007	BP	e	positive regulation of neurogenesis	3/30	25/1383	7	3	OG_12702, OG_15787, OG_17886
GO:0007476	0.0153573814114	0.249130854007	BP	e	imaginal disc-derived wing morphogenesis	3/30	25/1383	5	3	OG_11200, OG_12702, OG_15183
GO:0035107	0.0497605805368	0.252608102153	BP	e	appendage morphogenesis	3/30	39/1383	3	3	OG_11200, OG_12702, OG_15183
GO:0010605	0.0174846446738	0.252608102153	BP	e	negative regulation of macromolecule metabolic process	8/30	161/1383	5	8	OG_11094, OG_11200, OG_12413, OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0010720	0.0350378610005	0.252608102153	BP	e	positive regulation of cell development	3/30	34/1383	6	3	OG_12702, OG_15787, OG_17886
GO:0048519	0.0445555464072	0.252608102153	BP	e	negative regulation of biological process	12/30	317/1383	3	12	OG_11094, OG_11200, OG_12413, OG_12702, OG_13271, OG_14237, OG_15551, OG_15641, OG_15787, OG_17128, OG_17141, OG_17886
GO:0003002	0.0357043407516	0.252608102153	BP	e	regionalization	4/30	59/1383	3	4	OG_11200, OG_12702, OG_15787, OG_17886
GO:2001141	0.0503714740241	0.252608102153	BP	e	regulation of RNA biosynthetic process	10/30	251/1383	7	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0009892	0.0439362640826	0.252608102153	BP	e	negative regulation of metabolic process	8/30	174/1383	4	8	OG_11094, OG_11200, OG_12413, OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:1902679	0.0358491122317	0.252608102153	BP	e	negative regulation of RNA biosynthetic process	5/30	87/1383	8	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0006355	0.0495786483824	0.252608102153	BP	e	regulation of transcription, DNA-templated	10/30	249/1383	9	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0010558	0.0536359668956	0.252608102153	BP	e	negative regulation of macromolecule biosynthetic process	5/30	97/1383	6	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0048638	0.0324148334932	0.252608102153	BP	e	regulation of developmental growth	3/30	33/1383	4	3	OG_12702, OG_14237, OG_15641
GO:0032774	0.038817518968	0.252608102153	BP	e	RNA biosynthetic process	7/30	152/1383	7	7	OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0051240	0.0259680048937	0.252608102153	BP	e	positive regulation of multicellular organismal process	5/30	80/1383	4	5	OG_12702, OG_13906, OG_15641, OG_15787, OG_17886
GO:1903506	0.0499630819421	0.252608102153	BP	e	regulation of nucleic acid-templated transcription	10/30	250/1383	8	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:1903507	0.0358491122317	0.252608102153	BP	e	negative regulation of nucleic acid-templated transcription	5/30	87/1383	9	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0045892	0.0328158775432	0.252608102153	BP	e	negative regulation of transcription, DNA-templated	5/30	85/1383	10	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0051253	0.0407222992051	0.252608102153	BP	e	negative regulation of RNA metabolic process	5/30	90/1383	7	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0035120	0.0274952242055	0.252608102153	BP	e	post-embryonic appendage morphogenesis	3/30	31/1383	4	3	OG_11200, OG_12702, OG_15183
GO:0051962	0.0274952242055	0.252608102153	BP	e	positive regulation of nervous system development	3/30	31/1383	6	3	OG_12702, OG_15787, OG_17886
GO:2000113	0.0478342913209	0.252608102153	BP	e	negative regulation of cellular macromolecule biosynthetic process	5/30	94/1383	7	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0045934	0.0536359668956	0.252608102153	BP	e	negative regulation of nucleobase-containing compound metabolic process	5/30	97/1383	6	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0035114	0.0406077393697	0.252608102153	BP	e	imaginal disc-derived appendage morphogenesis	3/30	36/1383	4	3	OG_11200, OG_12702, OG_15183
GO:0051252	0.0578572113785	0.255974329129	BP	e	regulation of RNA metabolic process	10/30	264/1383	6	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0006397	0.0563829820822	0.255974329129	BP	e	mRNA processing	3/30	41/1383	8	3	OG_12413, OG_13906, OG_17128
GO:0031327	0.0598423885753	0.256970256823	BP	e	negative regulation of cellular biosynthetic process	5/30	100/1383	6	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:2000112	0.0635611207363	0.2603900374	BP	e	regulation of cellular macromolecule biosynthetic process	10/30	271/1383	6	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0009890	0.0642057626465	0.2603900374	BP	e	negative regulation of biosynthetic process	5/30	102/1383	5	5	OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0090304	0.0663642706743	0.261869824823	BP	e	nucleic acid metabolic process	10/30	274/1383	5	10	OG_12413, OG_12702, OG_13774, OG_13782, OG_13906, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0016070	0.0778112793775	0.287020068796	BP	e	RNA metabolic process	9/30	232/1383	6	9	OG_12413, OG_12702, OG_13774, OG_13906, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0016071	0.0786356352866	0.287020068796	BP	e	mRNA metabolic process	3/30	47/1383	7	3	OG_12413, OG_13906, OG_17128
GO:0007389	0.0779269736166	0.287020068796	BP	e	pattern specification process	4/30	76/1383	2	4	OG_11200, OG_12702, OG_15787, OG_17886
GO:0051094	0.0809724158668	0.28739897022	BP	e	positive regulation of developmental process	4/30	77/1383	4	4	OG_12702, OG_15641, OG_15787, OG_17886
GO:0040008	0.0826764160908	0.28739897022	BP	e	regulation of growth	3/30	48/1383	3	3	OG_12702, OG_14237, OG_15641
GO:0050793	0.0879111044688	0.298488866336	BP	e	regulation of developmental process	7/30	173/1383	3	7	OG_11200, OG_12702, OG_14237, OG_15551, OG_15641, OG_15787, OG_17886
GO:0009889	0.105034254356	0.30670002272	BP	e	regulation of biosynthetic process	10/30	283/1383	4	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0010556	0.100935653823	0.30670002272	BP	e	regulation of macromolecule biosynthetic process	10/30	275/1383	5	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0031326	0.10381177232	0.30670002272	BP	e	regulation of cellular biosynthetic process	10/30	281/1383	5	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0051960	0.100494497784	0.30670002272	BP	e	regulation of nervous system development	4/30	83/1383	5	4	OG_12702, OG_14237, OG_15787, OG_17886
GO:0019219	0.102224511498	0.30670002272	BP	e	regulation of nucleobase-containing compound metabolic process	10/30	278/1383	5	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0006396	0.0937528227423	0.30670002272	BP	e	RNA processing	4/30	81/1383	7	4	OG_12413, OG_13774, OG_13906, OG_17128
GO:0048523	0.101761590209	0.30670002272	BP	e	negative regulation of cellular process	10/30	277/1383	4	10	OG_11094, OG_12702, OG_13271, OG_14237, OG_15551, OG_15641, OG_15787, OG_17128, OG_17141, OG_17886
GO:0051172	0.109684394518	0.313998462738	BP	e	negative regulation of nitrogen compound metabolic process	6/30	136/1383	5	6	OG_11094, OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0097659	0.123158229724	0.315457921749	BP	e	nucleic acid-templated transcription	6/30	147/1383	8	6	OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0050896	0.121472618752	0.315457921749	BP	p	response to stimulus	3/30	311/1383	1	3	OG_13782, OG_15641, OG_17902
GO:0006351	0.123158229724	0.315457921749	BP	e	transcription, DNA-templated	6/30	147/1383	9	6	OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0045597	0.122889153927	0.315457921749	BP	e	positive regulation of cell differentiation	3/30	57/1383	5	3	OG_12702, OG_15787, OG_17886
GO:0031324	0.123158229724	0.315457921749	BP	e	negative regulation of cellular metabolic process	6/30	147/1383	5	6	OG_11094, OG_12702, OG_15551, OG_15787, OG_17128, OG_17886
GO:0010468	0.121793174478	0.315457921749	BP	e	regulation of gene expression	10/30	301/1383	5	10	OG_11200, OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0007411	0.132680094922	0.333987825148	BP	e	axon guidance	3/30	59/1383	4	3	OG_12702, OG_13271, OG_15625
GO:0080090	0.143083338819	0.342461761764	BP	e	regulation of primary metabolic process	12/30	374/1383	4	12	OG_11094, OG_11200, OG_12413, OG_12702, OG_13906, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0009886	0.142746753416	0.342461761764	BP	e	post-embryonic animal morphogenesis	3/30	61/1383	3	3	OG_11200, OG_12702, OG_15183
GO:0051171	0.142677280628	0.342461761764	BP	e	regulation of nitrogen compound metabolic process	12/30	373/1383	4	12	OG_11094, OG_11200, OG_12413, OG_12702, OG_13906, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0097485	0.147878274369	0.348229484804	BP	e	neuron projection guidance	3/30	62/1383	3	3	OG_12702, OG_13271, OG_15625
GO:0060255	0.158790643334	0.367991014711	BP	e	regulation of macromolecule metabolic process	12/30	395/1383	4	12	OG_11094, OG_11200, OG_12413, OG_12702, OG_13906, OG_13967, OG_15551, OG_15625, OG_15641, OG_15787, OG_17128, OG_17886
GO:0007154	0.163640470154	0.373304822539	BP	e	cell communication	3/30	65/1383	2	3	OG_12702, OG_13271, OG_15625
GO:1901362	0.180108514847	0.378587067458	BP	e	organic cyclic compound biosynthetic process	7/30	197/1383	4	7	OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0046483	0.189293533729	0.378587067458	BP	e	heterocycle metabolic process	10/30	319/1383	3	10	OG_12413, OG_12702, OG_13774, OG_13782, OG_13906, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0019438	0.174146316473	0.378587067458	BP	e	aromatic compound biosynthetic process	7/30	192/1383	4	7	OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0018130	0.173111748715	0.378587067458	BP	e	heterocycle biosynthetic process	7/30	191/1383	4	7	OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
GO:0050767	0.185436218888	0.378587067458	BP	e	regulation of neurogenesis	3/30	69/1383	6	3	OG_12702, OG_15787, OG_17886
GO:0034654	0.169515362063	0.378587067458	BP	e	nucleobase-containing compound biosynthetic process	7/30	187/1383	5	7	OG_12413, OG_12702, OG_13967, OG_15551, OG_15625, OG_15787, OG_17128
