GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006397	0.000188524188052	0.0429835148759	BP	e	mRNA processing	7/44	51/1762	8	7	OG_11556, OG_13412, OG_16570, OG_16950, OG_17135, OG_17387, OG_18787
GO:0050680	0.000474632725509	0.054108130708	BP	e	negative regulation of epithelial cell proliferation	3/44	7/1762	6	3	OG_13254, OG_16020, OG_16570
GO:0016071	0.00104849615363	0.0796857076759	BP	e	mRNA metabolic process	7/44	67/1762	7	7	OG_11556, OG_13412, OG_16570, OG_16950, OG_17135, OG_17387, OG_18787
GO:1903311	0.00651310723395	0.233965197469	BP	e	regulation of mRNA metabolic process	4/44	31/1762	7	4	OG_11556, OG_16570, OG_17387, OG_18787
GO:0050801	0.00835654852784	0.233965197469	BP	e	ion homeostasis	5/44	52/1762	5	5	OG_11489, OG_15022, OG_15074, OG_15200, OG_17710
GO:0043484	0.0123139577615	0.233965197469	BP	e	regulation of RNA splicing	3/44	20/1762	7	3	OG_11556, OG_17387, OG_18787
GO:0008380	0.0111339708376	0.233965197469	BP	e	RNA splicing	4/44	36/1762	8	4	OG_11556, OG_16950, OG_17135, OG_17387
GO:0050678	0.0106507113469	0.233965197469	BP	e	regulation of epithelial cell proliferation	3/44	19/1762	5	3	OG_13254, OG_16020, OG_16570
GO:0042592	0.0108380487843	0.233965197469	BP	e	homeostatic process	8/44	126/1762	3	8	OG_11489, OG_13254, OG_15022, OG_15074, OG_15200, OG_15232, OG_15306, OG_17710
GO:0007275	0.00982488142551	0.233965197469	BP	e	multicellular organism development	7/44	99/1762	3	7	OG_11489, OG_12552, OG_12561, OG_15306, OG_16950, OG_17135, OG_18457
GO:0016241	0.00536264076389	0.233965197469	BP	e	regulation of macroautophagy	3/44	15/1762	7	3	OG_11489, OG_11553, OG_13254
GO:0006396	0.0115173013569	0.233965197469	BP	e	RNA processing	7/44	102/1762	7	7	OG_11556, OG_13412, OG_16570, OG_16950, OG_17135, OG_17387, OG_18787
GO:0050684	0.0141185132861	0.247617002249	BP	e	regulation of mRNA processing	3/44	21/1762	8	3	OG_11556, OG_16570, OG_18787
GO:0065008	0.0166725601727	0.271524551384	BP	e	regulation of biological quality	15/44	330/1762	2	15	OG_11318, OG_11489, OG_12552, OG_13254, OG_15022, OG_15074, OG_15200, OG_15232, OG_15306, OG_15903, OG_16020, OG_16570, OG_17387, OG_17710, OG_18313
GO:0034641	0.0194548507022	0.275575223194	BP	e	cellular nitrogen compound metabolic process	18/44	433/1762	3	18	OG_11318, OG_11556, OG_12552, OG_12561, OG_13412, OG_15022, OG_15306, OG_15903, OG_16020, OG_16570, OG_16950, OG_17135, OG_17387, OG_17488, OG_18457, OG_18551, OG_18787, OG_19004
GO:0055080	0.0205472754136	0.275575223194	BP	e	cation homeostasis	4/44	43/1762	6	4	OG_11489, OG_15022, OG_15074, OG_17710
GO:0031329	0.0184310900347	0.275575223194	BP	e	regulation of cellular catabolic process	5/44	63/1762	5	5	OG_11489, OG_11553, OG_13254, OG_15381, OG_17387
GO:0098771	0.0221968686266	0.281160335937	BP	e	inorganic ion homeostasis	4/44	44/1762	6	4	OG_11489, OG_15022, OG_15074, OG_17710
GO:0010506	0.0253065788104	0.303678945725	BP	e	regulation of autophagy	3/44	26/1762	6	3	OG_11489, OG_11553, OG_13254
GO:0006725	0.0304044392138	0.3344232349	BP	e	cellular aromatic compound metabolic process	17/44	423/1762	3	17	OG_11556, OG_12552, OG_12561, OG_13412, OG_15022, OG_15306, OG_15903, OG_16020, OG_16570, OG_16950, OG_17135, OG_17387, OG_17488, OG_18457, OG_18551, OG_18787, OG_19004
GO:0007409	0.0308021400566	0.3344232349	BP	e	axonogenesis	3/44	28/1762	8	3	OG_15232, OG_15306, OG_16592
GO:0010628	0.0326022765642	0.337878138938	BP	e	positive regulation of gene expression	9/44	171/1762	6	9	OG_11553, OG_12552, OG_12561, OG_15306, OG_16020, OG_16570, OG_17387, OG_18313, OG_18787
GO:0042981	0.0381207393444	0.362147023772	BP	e	regulation of apoptotic process	6/44	102/1762	6	6	OG_11493, OG_11556, OG_15200, OG_15306, OG_16020, OG_16570
GO:0016070	0.0381130238836	0.362147023772	BP	e	RNA metabolic process	13/44	297/1762	6	13	OG_11556, OG_12552, OG_12561, OG_13412, OG_15306, OG_16020, OG_16570, OG_16950, OG_17135, OG_17387, OG_17488, OG_18457, OG_18787
GO:0009894	0.0399997055567	0.364797314677	BP	e	regulation of catabolic process	5/44	77/1762	4	5	OG_11489, OG_11553, OG_13254, OG_15381, OG_17387
GO:0048878	0.0439756444253	0.378425500468	BP	e	chemical homeostasis	5/44	79/1762	4	5	OG_11489, OG_15022, OG_15074, OG_15200, OG_17710
GO:0043067	0.044813546108	0.378425500468	BP	e	regulation of programmed cell death	6/44	106/1762	5	6	OG_11493, OG_11556, OG_15200, OG_15306, OG_16020, OG_16570
