GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007450	0.000466139364374	0.0242392469474	BP	e	dorsal/ventral pattern formation, imaginal disc	3/33	9/1762	5	3	OG_13872, OG_15336, OG_17078
GO:0048190	0.000466139364374	0.0242392469474	BP	e	wing disc dorsal/ventral pattern formation	3/33	9/1762	6	3	OG_13872, OG_15336, OG_17078
GO:0045879	0.000466139364374	0.0242392469474	BP	e	negative regulation of smoothened signaling pathway	3/33	9/1762	7	3	OG_13872, OG_15336, OG_16948
GO:0035222	0.00117472444955	0.0458142535324	BP	e	wing disc pattern formation	3/33	12/1762	5	3	OG_13872, OG_15336, OG_17078
GO:0008589	0.00549458020498	0.122450644568	BP	e	regulation of smoothened signaling pathway	3/33	20/1762	6	3	OG_13872, OG_15336, OG_16948
GO:0007219	0.0040348288901	0.122450644568	BP	e	Notch signaling pathway	3/33	18/1762	6	3	OG_14252, OG_15336, OG_17590
GO:0009953	0.00473047511886	0.122450644568	BP	e	dorsal/ventral pattern formation	3/33	19/1762	4	3	OG_13872, OG_15336, OG_17078
GO:0009968	0.00630876675302	0.123020951684	BP	e	negative regulation of signal transduction	7/33	123/1762	6	7	OG_11886, OG_12343, OG_13872, OG_15336, OG_16897, OG_16948, OG_17201
GO:0007447	0.00723528788752	0.125411656717	BP	e	imaginal disc pattern formation	3/33	22/1762	4	3	OG_13872, OG_15336, OG_17078
GO:0023057	0.00890174400721	0.126242915011	BP	e	negative regulation of signaling	7/33	131/1762	4	7	OG_11886, OG_12343, OG_13872, OG_15336, OG_16897, OG_16948, OG_17201
GO:0010648	0.00890174400721	0.126242915011	BP	e	negative regulation of cell communication	7/33	131/1762	5	7	OG_11886, OG_12343, OG_13872, OG_15336, OG_16897, OG_16948, OG_17201
GO:0048585	0.0136712618826	0.164055142591	BP	e	negative regulation of response to stimulus	7/33	142/1762	4	7	OG_11886, OG_12343, OG_13872, OG_15336, OG_16897, OG_16948, OG_17201
GO:0007166	0.0126896732639	0.164055142591	BP	e	cell surface receptor signaling pathway	7/33	140/1762	5	7	OG_11886, OG_12973, OG_13872, OG_14252, OG_15336, OG_16948, OG_17590
GO:0007476	0.0172263765009	0.191951052439	BP	e	imaginal disc-derived wing morphogenesis	3/33	30/1762	5	3	OG_12343, OG_14894, OG_16948
