GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1904018	0.000549055718578	0.0757696891638	BP	e	positive regulation of vasculature development	3/52	8/2321	6	3	OG_12511, OG_16348, OG_17963
GO:0045766	0.000549055718578	0.0757696891638	BP	e	positive regulation of angiogenesis	3/52	8/2321	7	3	OG_12511, OG_16348, OG_17963
GO:0030148	0.00113968730976	0.104851232498	BP	e	sphingolipid biosynthetic process	3/52	10/2321	7	3	OG_11759, OG_12598, OG_16833
GO:0006665	0.00399162908239	0.137711203342	BP	e	sphingolipid metabolic process	3/52	15/2321	6	3	OG_11759, OG_12598, OG_16833
GO:1901342	0.00399162908239	0.137711203342	BP	e	regulation of vasculature development	3/52	15/2321	5	3	OG_12511, OG_16348, OG_17963
GO:0035330	0.0025898508824	0.137711203342	BP	e	regulation of hippo signaling	3/52	13/2321	7	3	OG_12120, OG_16348, OG_18887
GO:0097193	0.00324431033479	0.137711203342	BP	e	intrinsic apoptotic signaling pathway	3/52	14/2321	6	3	OG_12511, OG_15823, OG_16348
GO:0045765	0.00399162908239	0.137711203342	BP	e	regulation of angiogenesis	3/52	15/2321	6	3	OG_12511, OG_16348, OG_17963
GO:0009888	0.00581355016594	0.139201489028	BP	e	tissue development	6/52	75/2321	3	6	OG_12511, OG_12515, OG_12598, OG_13744, OG_16810, OG_18887
GO:0051603	0.00605223865337	0.139201489028	BP	e	proteolysis involved in cellular protein catabolic process	7/52	100/2321	6	7	OG_11301, OG_11688, OG_12120, OG_12511, OG_13989, OG_16810, OG_17366
GO:0046467	0.00483559719904	0.139201489028	BP	e	membrane lipid biosynthetic process	3/52	16/2321	6	3	OG_11759, OG_12598, OG_16833
GO:0097190	0.00577962797492	0.139201489028	BP	e	apoptotic signaling pathway	3/52	17/2321	5	3	OG_12511, OG_15823, OG_16348
GO:0097164	0.0068267755384	0.144937696046	BP	e	ammonium ion metabolic process	3/52	18/2321	3	3	OG_11759, OG_12598, OG_14143
GO:0007444	0.00924094305355	0.163332097678	BP	e	imaginal disc development	3/52	20/2321	5	3	OG_12598, OG_16810, OG_18887
GO:0016567	0.0100603103642	0.163332097678	BP	e	protein ubiquitination	6/52	84/2321	9	6	OG_11301, OG_11688, OG_12120, OG_15429, OG_16810, OG_17366
GO:0010564	0.0100603103642	0.163332097678	BP	e	regulation of cell cycle process	6/52	84/2321	5	6	OG_11004, OG_12120, OG_12754, OG_13744, OG_16810, OG_18887
GO:0060429	0.00942128679301	0.163332097678	BP	e	epithelium development	4/52	38/2321	4	4	OG_12515, OG_12598, OG_16810, OG_18887
GO:0070647	0.0139886526441	0.176157237916	BP	e	protein modification by small protein conjugation or removal	7/52	117/2321	7	7	OG_11301, OG_11688, OG_12120, OG_15429, OG_16264, OG_16810, OG_17366
GO:0032446	0.0169854235009	0.176157237916	BP	e	protein modification by small protein conjugation	6/52	94/2321	8	6	OG_11301, OG_11688, OG_12120, OG_15429, OG_16810, OG_17366
GO:0007088	0.0154050450326	0.176157237916	BP	e	regulation of mitotic nuclear division	3/52	24/2321	7	3	OG_11004, OG_16810, OG_18887
GO:0051783	0.0172327732744	0.176157237916	BP	e	regulation of nuclear division	3/52	25/2321	6	3	OG_11004, OG_16810, OG_18887
GO:0010498	0.0166495413565	0.176157237916	BP	e	proteasomal protein catabolic process	5/52	68/2321	7	5	OG_11301, OG_11688, OG_12120, OG_13989, OG_16810
GO:0006511	0.0139070793375	0.176157237916	BP	e	ubiquitin-dependent protein catabolic process	6/52	90/2321	8	6	OG_11301, OG_11688, OG_12120, OG_12511, OG_16810, OG_17366
GO:0006508	0.0129230118879	0.176157237916	BP	e	proteolysis	9/52	173/2321	5	9	OG_11301, OG_11688, OG_12120, OG_12511, OG_13989, OG_15411, OG_16264, OG_16810, OG_17366
GO:0006643	0.0136931081449	0.176157237916	BP	e	membrane lipid metabolic process	3/52	23/2321	5	3	OG_11759, OG_12598, OG_16833
GO:0019941	0.0153923633079	0.176157237916	BP	e	modification-dependent protein catabolic process	6/52	92/2321	7	6	OG_11301, OG_11688, OG_12120, OG_12511, OG_16810, OG_17366
GO:0009057	0.0148546679835	0.176157237916	BP	e	macromolecule catabolic process	8/52	147/2321	4	8	OG_11301, OG_11688, OG_12120, OG_12511, OG_12754, OG_13989, OG_16810, OG_17366
GO:0048522	0.0180327608542	0.177751499849	BP	e	positive regulation of cellular process	19/52	520/2321	4	19	OG_11004, OG_12120, OG_12511, OG_12598, OG_12668, OG_12754, OG_13744, OG_13989, OG_14625, OG_15650, OG_15823, OG_16264, OG_16348, OG_16723, OG_16740, OG_16810, OG_17366, OG_17963, OG_18887
GO:0043632	0.0195849025194	0.186394244667	BP	e	modification-dependent macromolecule catabolic process	6/52	97/2321	6	6	OG_11301, OG_11688, OG_12120, OG_12511, OG_16810, OG_17366
GO:0044265	0.0266376896518	0.229623639694	BP	e	cellular macromolecule catabolic process	7/52	133/2321	5	7	OG_11301, OG_11688, OG_12120, OG_12511, OG_12754, OG_16810, OG_17366
GO:1902532	0.0274550003982	0.229623639694	BP	e	negative regulation of intracellular signal transduction	4/52	52/2321	7	4	OG_12511, OG_15823, OG_16348, OG_17963
GO:1901990	0.0274550003982	0.229623639694	BP	e	regulation of mitotic cell cycle phase transition	4/52	52/2321	7	4	OG_11004, OG_12120, OG_12754, OG_16810
GO:0030163	0.0257938132058	0.229623639694	BP	e	protein catabolic process	5/52	76/2321	5	5	OG_11301, OG_11688, OG_12120, OG_13989, OG_16810
GO:0003002	0.0285011206807	0.231362038467	BP	e	regionalization	5/52	78/2321	3	5	OG_12120, OG_12515, OG_15650, OG_16348, OG_18887
GO:0009966	0.0316261470212	0.234100217085	BP	e	regulation of signal transduction	12/52	292/2321	5	12	OG_12120, OG_12511, OG_12921, OG_13989, OG_15429, OG_15650, OG_15823, OG_16264, OG_16348, OG_16740, OG_17963, OG_18887
GO:0009967	0.0318342364041	0.234100217085	BP	e	positive regulation of signal transduction	7/52	138/2321	6	7	OG_12120, OG_12511, OG_13989, OG_15650, OG_16348, OG_16740, OG_18887
GO:1901565	0.0327074614406	0.234100217085	BP	e	organonitrogen compound catabolic process	6/52	109/2321	4	6	OG_11301, OG_11688, OG_12120, OG_13989, OG_14143, OG_16810
GO:1901987	0.0329315259885	0.234100217085	BP	e	regulation of cell cycle phase transition	4/52	55/2321	6	4	OG_11004, OG_12120, OG_12754, OG_16810
GO:0044248	0.0330793785011	0.234100217085	BP	e	cellular catabolic process	10/52	231/2321	3	10	OG_11301, OG_11688, OG_12120, OG_12511, OG_12754, OG_13989, OG_14143, OG_16740, OG_16810, OG_17366
GO:0048518	0.0376544908331	0.259815986748	BP	e	positive regulation of biological process	20/52	597/2321	3	20	OG_11004, OG_12120, OG_12511, OG_12598, OG_12668, OG_12754, OG_13744, OG_13989, OG_14625, OG_15650, OG_15823, OG_16264, OG_16348, OG_16723, OG_16740, OG_16810, OG_17366, OG_17387, OG_17963, OG_18887
GO:0048585	0.0455984286091	0.299646816574	BP	e	negative regulation of response to stimulus	7/52	149/2321	4	7	OG_12511, OG_15429, OG_15823, OG_16264, OG_16348, OG_17366, OG_17963
GO:0007346	0.0447301620264	0.299646816574	BP	e	regulation of mitotic cell cycle	5/52	88/2321	5	5	OG_11004, OG_12120, OG_12754, OG_16810, OG_18887
GO:0051239	0.0491652431215	0.315572258175	BP	e	regulation of multicellular organismal process	11/52	277/2321	3	11	OG_12120, OG_12511, OG_14143, OG_15538, OG_15650, OG_15823, OG_16348, OG_16723, OG_16740, OG_17963, OG_18289
GO:0048583	0.0530149561766	0.325158397883	BP	e	regulation of response to stimulus	14/52	373/2321	3	14	OG_11004, OG_12120, OG_12511, OG_12921, OG_13989, OG_15429, OG_15650, OG_15823, OG_16264, OG_16348, OG_16740, OG_17366, OG_17963, OG_18887
GO:0043161	0.052980766178	0.325158397883	BP	e	proteasome-mediated ubiquitin-dependent protein catabolic process	4/52	64/2321	9	4	OG_11301, OG_11688, OG_12120, OG_16810
GO:0045930	0.0550319237075	0.330191542245	BP	e	negative regulation of mitotic cell cycle	3/52	39/2321	6	3	OG_12120, OG_12754, OG_18887
GO:0000209	0.058578861895	0.343995018788	BP	e	protein polyubiquitination	3/52	40/2321	10	3	OG_12120, OG_16810, OG_17366
GO:0048584	0.0610724571563	0.343999962758	BP	e	positive regulation of response to stimulus	8/52	183/2321	4	8	OG_12120, OG_12511, OG_13989, OG_15650, OG_16348, OG_16740, OG_17366, OG_18887
GO:0031329	0.0610622206399	0.343999962758	BP	e	regulation of cellular catabolic process	5/52	96/2321	5	5	OG_12511, OG_12598, OG_12754, OG_16348, OG_17387
GO:0009968	0.0653982007434	0.357125070497	BP	e	negative regulation of signal transduction	6/52	129/2321	6	6	OG_12511, OG_15429, OG_15823, OG_16264, OG_16348, OG_17963
GO:0035295	0.0659905021571	0.357125070497	BP	e	tube development	3/52	42/2321	3	3	OG_12598, OG_16810, OG_18887
GO:0009056	0.0690141139665	0.366305681822	BP	e	catabolic process	10/52	255/2321	2	10	OG_11301, OG_11688, OG_12120, OG_12511, OG_12754, OG_13989, OG_14143, OG_16740, OG_16810, OG_17366
GO:0023056	0.0799892469875	0.403533493079	BP	e	positive regulation of signaling	7/52	154/2321	4	7	OG_12120, OG_12511, OG_13989, OG_15650, OG_16348, OG_16740, OG_18887
GO:0010647	0.0799892469875	0.403533493079	BP	e	positive regulation of cell communication	7/52	154/2321	5	7	OG_12120, OG_12511, OG_13989, OG_15650, OG_16348, OG_16740, OG_18887
GO:0007389	0.0804142830411	0.403533493079	BP	e	pattern specification process	5/52	104/2321	2	5	OG_12120, OG_12515, OG_15650, OG_16348, OG_18887
GO:0006644	0.0820355444863	0.404318040682	BP	e	phospholipid metabolic process	3/52	46/2321	5	3	OG_11759, OG_12598, OG_15228
GO:0008284	0.0906383115292	0.438880245299	BP	e	positive regulation of cell population proliferation	3/52	48/2321	5	3	OG_12511, OG_16348, OG_17963
GO:1901575	0.0932117902251	0.443559553485	BP	e	organic substance catabolic process	9/52	229/2321	3	9	OG_11301, OG_11688, OG_12120, OG_12511, OG_12754, OG_13989, OG_14143, OG_16810, OG_17366
GO:0010604	0.0995195712721	0.457301511482	BP	e	positive regulation of macromolecule metabolic process	11/52	310/2321	5	11	OG_11004, OG_12511, OG_12754, OG_14625, OG_15823, OG_16264, OG_16348, OG_16723, OG_17366, OG_17387, OG_17963
GO:0042127	0.0997802661125	0.457301511482	BP	e	regulation of cell population proliferation	5/52	111/2321	4	5	OG_12511, OG_12754, OG_16348, OG_16723, OG_17963
GO:0009894	0.10272715113	0.457301511482	BP	e	regulation of catabolic process	5/52	112/2321	4	5	OG_12511, OG_12598, OG_12754, OG_16348, OG_17387
GO:0031325	0.102627079732	0.457301511482	BP	e	positive regulation of cellular metabolic process	11/52	313/2321	5	11	OG_11004, OG_12511, OG_12598, OG_12754, OG_14625, OG_15823, OG_16264, OG_16348, OG_16723, OG_17366, OG_17963
GO:0009893	0.108040748782	0.458757640982	BP	e	positive regulation of metabolic process	12/52	339/2321	4	12	OG_11004, OG_12511, OG_12598, OG_12754, OG_14625, OG_15823, OG_16264, OG_16348, OG_16723, OG_17366, OG_17387, OG_17963
GO:0023051	0.10664645334	0.458757640982	BP	e	regulation of signaling	12/52	336/2321	3	12	OG_12120, OG_12511, OG_12921, OG_13989, OG_15429, OG_15650, OG_15823, OG_16264, OG_16348, OG_16740, OG_17963, OG_18887
GO:0010646	0.106235791513	0.458757640982	BP	e	regulation of cell communication	12/52	335/2321	4	12	OG_12120, OG_12511, OG_12921, OG_13989, OG_15429, OG_15650, OG_15823, OG_16264, OG_16348, OG_16740, OG_17963, OG_18887
GO:0010648	0.124608392447	0.505763475226	BP	e	negative regulation of cell communication	6/52	138/2321	5	6	OG_12511, OG_15429, OG_15823, OG_16264, OG_16348, OG_17963
GO:0023057	0.124608392447	0.505763475226	BP	e	negative regulation of signaling	6/52	138/2321	4	6	OG_12511, OG_15429, OG_15823, OG_16264, OG_16348, OG_17963
GO:0051301	0.124146356927	0.505763475226	BP	e	cell division	4/52	86/2321	2	4	OG_11004, OG_12120, OG_12515, OG_16810
GO:0051726	0.130524390651	0.522097562604	BP	e	regulation of cell cycle	6/52	142/2321	4	6	OG_11004, OG_12120, OG_12754, OG_13744, OG_16810, OG_18887
GO:1902531	0.141079185457	0.537084759124	BP	e	regulation of intracellular signal transduction	6/52	148/2321	6	6	OG_12120, OG_12511, OG_15823, OG_16348, OG_17963, OG_18887
GO:0031401	0.140120601245	0.537084759124	BP	e	positive regulation of protein modification process	4/52	90/2321	8	4	OG_11004, OG_15823, OG_16348, OG_17963
GO:0060627	0.144000986142	0.537084759124	BP	e	regulation of vesicle-mediated transport	3/52	59/2321	5	3	OG_12668, OG_12902, OG_16740
GO:0008610	0.144000986142	0.537084759124	BP	e	lipid biosynthetic process	3/52	59/2321	4	3	OG_11759, OG_12598, OG_16833
GO:2000026	0.142180072872	0.537084759124	BP	e	regulation of multicellular organismal development	8/52	216/2321	4	8	OG_12120, OG_12511, OG_15538, OG_15823, OG_16348, OG_16723, OG_16740, OG_17963
GO:0045786	0.165554803718	0.579315898072	BP	e	negative regulation of cell cycle	3/52	63/2321	5	3	OG_12120, OG_12754, OG_18887
GO:0030162	0.165554803718	0.579315898072	BP	e	regulation of proteolysis	3/52	63/2321	6	3	OG_15823, OG_16348, OG_17963
GO:0031667	0.160075225007	0.579315898072	BP	e	response to nutrient levels	3/52	62/2321	4	3	OG_12511, OG_15650, OG_15823
GO:0036211	0.167917651615	0.579315898072	BP	e	protein modification process	11/52	339/2321	5	11	OG_11301, OG_11688, OG_12120, OG_15429, OG_15823, OG_16264, OG_16348, OG_16597, OG_16810, OG_16833, OG_17366
GO:0006464	0.167917651615	0.579315898072	BP	e	cellular protein modification process	11/52	339/2321	6	11	OG_11301, OG_11688, OG_12120, OG_15429, OG_15823, OG_16264, OG_16348, OG_16597, OG_16810, OG_16833, OG_17366
GO:0001934	0.160075225007	0.579315898072	BP	e	positive regulation of protein phosphorylation	3/52	62/2321	9	3	OG_11004, OG_15823, OG_16348
GO:0009991	0.171091231793	0.582977530554	BP	e	response to extracellular stimulus	3/52	64/2321	3	3	OG_12511, OG_15650, OG_15823
GO:0042327	0.176682179842	0.594686361419	BP	e	positive regulation of phosphorylation	3/52	65/2321	8	3	OG_11004, OG_15823, OG_16348
GO:0030334	0.18232532864	0.606286634996	BP	e	regulation of cell migration	3/52	66/2321	6	3	OG_12511, OG_12902, OG_17963
GO:0043412	0.18675650019	0.613628500624	BP	e	macromolecule modification	12/52	381/2321	4	12	OG_11301, OG_11688, OG_11698, OG_12120, OG_15429, OG_15823, OG_16264, OG_16348, OG_16597, OG_16810, OG_16833, OG_17366
GO:2000145	0.193759014312	0.614683769542	BP	e	regulation of cell motility	3/52	68/2321	5	3	OG_12511, OG_12902, OG_17963
GO:0051253	0.192985933171	0.614683769542	BP	e	negative regulation of RNA metabolic process	5/52	122/2321	7	5	OG_12515, OG_15823, OG_16348, OG_17366, OG_17387
GO:0045935	0.193485604712	0.614683769542	BP	e	positive regulation of nucleobase-containing compound metabolic process	7/52	191/2321	6	7	OG_12511, OG_12754, OG_14625, OG_16264, OG_16348, OG_16723, OG_17366
GO:0000122	0.211243865178	0.640695679001	BP	e	negative regulation of transcription by RNA polymerase II	3/52	71/2321	11	3	OG_15823, OG_16348, OG_17366
GO:0010562	0.211243865178	0.640695679001	BP	e	positive regulation of phosphorus metabolic process	3/52	71/2321	6	3	OG_11004, OG_15823, OG_16348
GO:0045937	0.211243865178	0.640695679001	BP	e	positive regulation of phosphate metabolic process	3/52	71/2321	7	3	OG_11004, OG_15823, OG_16348
GO:0051173	0.205052926525	0.640695679001	BP	e	positive regulation of nitrogen compound metabolic process	10/52	300/2321	5	10	OG_11004, OG_12511, OG_12754, OG_14625, OG_15823, OG_16264, OG_16348, OG_16723, OG_17366, OG_17963
GO:1901564	0.218262885122	0.640856981848	BP	e	organonitrogen compound metabolic process	19/52	670/2321	3	19	OG_11301, OG_11688, OG_11759, OG_12120, OG_12511, OG_12598, OG_13989, OG_14143, OG_15411, OG_15429, OG_15650, OG_15823, OG_15921, OG_16264, OG_16348, OG_16597, OG_16810, OG_16833, OG_17366
GO:1902533	0.217152321881	0.640856981848	BP	e	positive regulation of intracellular signal transduction	3/52	72/2321	7	3	OG_12120, OG_16348, OG_18887
GO:0048523	0.213881603224	0.640856981848	BP	e	negative regulation of cellular process	14/52	455/2321	4	14	OG_12120, OG_12511, OG_12515, OG_12754, OG_15429, OG_15823, OG_16264, OG_16348, OG_16723, OG_16740, OG_17366, OG_17387, OG_17963, OG_18887
GO:2000113	0.227411319658	0.642117001809	BP	e	negative regulation of cellular macromolecule biosynthetic process	5/52	136/2321	7	5	OG_12515, OG_12754, OG_15823, OG_16348, OG_17366
GO:0035556	0.221751896929	0.642117001809	BP	e	intracellular signal transduction	5/52	134/2321	5	5	OG_12511, OG_15429, OG_15538, OG_15823, OG_16348
GO:0043066	0.22907627449	0.642117001809	BP	e	negative regulation of apoptotic process	3/52	74/2321	7	3	OG_12511, OG_15823, OG_16348
GO:0043069	0.22907627449	0.642117001809	BP	e	negative regulation of programmed cell death	3/52	74/2321	6	3	OG_12511, OG_15823, OG_16348
GO:0045934	0.230324576736	0.642117001809	BP	e	negative regulation of nucleobase-containing compound metabolic process	5/52	137/2321	6	5	OG_12515, OG_15823, OG_16348, OG_17366, OG_17387
GO:0048519	0.237428906013	0.648815624352	BP	e	negative regulation of biological process	15/52	512/2321	3	15	OG_12120, OG_12511, OG_12515, OG_12754, OG_15429, OG_15650, OG_15823, OG_16264, OG_16348, OG_16723, OG_16740, OG_17366, OG_17387, OG_17963, OG_18887
GO:0010558	0.236312195091	0.648815624352	BP	e	negative regulation of macromolecule biosynthetic process	5/52	139/2321	6	5	OG_12515, OG_12754, OG_15823, OG_16348, OG_17366
