GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0010604	0.0484043300021	0.416537597236	BP	e	positive regulation of macromolecule metabolic process	11/45	307/2211	5	11	OG_12191, OG_12488, OG_13192, OG_13629, OG_14628, OG_16855, OG_17084, OG_18365, OG_18463, OG_19034, OG_19059
GO:0044093	0.00337922285011	0.416537597236	BP	e	positive regulation of molecular function	8/45	127/2211	3	8	OG_12074, OG_12089, OG_12191, OG_13192, OG_14532, OG_16624, OG_16855, OG_19059
GO:0034470	0.0323901651653	0.416537597236	BP	e	ncRNA processing	5/45	89/2211	8	5	OG_12918, OG_13160, OG_15983, OG_16226, OG_18463
GO:0033554	0.0276064534488	0.416537597236	BP	e	cellular response to stress	8/45	182/2211	3	8	OG_11106, OG_12191, OG_13192, OG_14628, OG_15099, OG_15581, OG_16476, OG_17084
GO:0044782	0.0460866966453	0.416537597236	BP	e	cilium organization	3/45	40/2211	5	3	OG_14953, OG_15704, OG_18365
GO:0009893	0.05531769862	0.416537597236	BP	e	positive regulation of metabolic process	12/45	337/2211	4	12	OG_11723, OG_12191, OG_12488, OG_13192, OG_13629, OG_14628, OG_16855, OG_17084, OG_18365, OG_18463, OG_19034, OG_19059
GO:0006807	0.0685345331636	0.416537597236	BP	e	nitrogen compound metabolic process	27/45	1010/2211	2	27	OG_11106, OG_11152, OG_11583, OG_11723, OG_12074, OG_12191, OG_12488, OG_12918, OG_12974, OG_13091, OG_13160, OG_13629, OG_13955, OG_13970, OG_14628, OG_14690, OG_15099, OG_15581, OG_15648, OG_15896, OG_15983, OG_16226, OG_16476, OG_17084, OG_18463, OG_19034, OG_19059
GO:0034660	0.069698988886	0.416537597236	BP	e	ncRNA metabolic process	5/45	110/2211	7	5	OG_12918, OG_13160, OG_15983, OG_16226, OG_18463
GO:0043547	0.0404697308317	0.416537597236	BP	e	positive regulation of GTPase activity	3/45	38/2211	6	3	OG_12089, OG_14532, OG_16624
GO:0051345	0.0186404103316	0.416537597236	BP	e	positive regulation of hydrolase activity	4/45	51/2211	5	4	OG_12089, OG_13192, OG_14532, OG_16624
GO:0006364	0.0721541344535	0.416537597236	BP	e	rRNA processing	3/45	48/2211	9	3	OG_13160, OG_15983, OG_16226
GO:0065009	0.00465762249131	0.416537597236	BP	e	regulation of molecular function	11/45	228/2211	2	11	OG_11663, OG_12074, OG_12089, OG_12191, OG_13192, OG_14532, OG_14628, OG_15099, OG_16624, OG_16855, OG_19059
