GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0070646	0.00768099445924	0.460859667554	BP	e	protein modification by small protein removal	3/40	26/2496	8	3	OG_13148, OG_13618, OG_14966
GO:0045861	0.00768099445924	0.460859667554	BP	e	negative regulation of proteolysis	3/40	26/2496	8	3	OG_12164, OG_13148, OG_13618
GO:0007275	0.00341588987596	0.460859667554	BP	e	multicellular organism development	7/40	127/2496	3	7	OG_12089, OG_12316, OG_13148, OG_13618, OG_14966, OG_14992, OG_16644
GO:0044093	0.0112759849541	0.507419322934	BP	e	positive regulation of molecular function	7/40	158/2496	3	7	OG_11485, OG_12089, OG_12301, OG_13148, OG_14505, OG_14894, OG_14966
GO:0009895	0.020328212381	0.539097929177	BP	e	negative regulation of catabolic process	3/40	37/2496	5	3	OG_12316, OG_13148, OG_13618
GO:0002682	0.020964919468	0.539097929177	BP	e	regulation of immune system process	5/40	101/2496	3	5	OG_11471, OG_11485, OG_12301, OG_13148, OG_14966
GO:0008150	0.0180106832583	0.539097929177	BP	p	biological_process	29/40	2154/2496	0	29	OG_11399, OG_11471, OG_11485, OG_11705, OG_12089, OG_12164, OG_12301, OG_12316, OG_12626, OG_13148, OG_13183, OG_13241, OG_13321, OG_13348, OG_13618, OG_13977, OG_14505, OG_14894, OG_14966, OG_14992, OG_15332, OG_16354, OG_16644, OG_17186, OG_17388, OG_17424, OG_18280, OG_18369, OG_19769
GO:0018193	0.0252977079574	0.543251467796	BP	e	peptidyl-amino acid modification	5/40	106/2496	7	5	OG_11485, OG_12301, OG_13148, OG_13977, OG_14966
GO:0048513	0.0393159551646	0.543251467796	BP	e	animal organ development	7/40	203/2496	3	7	OG_11485, OG_12164, OG_13321, OG_14894, OG_14966, OG_14992, OG_15332
GO:0018205	0.0380099072444	0.543251467796	BP	e	peptidyl-lysine modification	3/40	47/2496	8	3	OG_13148, OG_13977, OG_14966
GO:0033674	0.0422528919397	0.543251467796	BP	e	positive regulation of kinase activity	3/40	49/2496	9	3	OG_11485, OG_12301, OG_14505
GO:0065009	0.035421822945	0.543251467796	BP	e	regulation of molecular function	9/40	275/2496	2	9	OG_11485, OG_12089, OG_12164, OG_12301, OG_13148, OG_13618, OG_14505, OG_14894, OG_14966
GO:0045860	0.0359757128225	0.543251467796	BP	e	positive regulation of protein kinase activity	3/40	46/2496	10	3	OG_11485, OG_12301, OG_14505
GO:0007018	0.0359757128225	0.543251467796	BP	e	microtubule-based movement	3/40	46/2496	3	3	OG_12316, OG_18369, OG_19769
GO:0016569	0.0641457194831	0.641457194831	BP	e	covalent chromatin modification	3/40	58/2496	5	3	OG_13618, OG_13977, OG_14966
GO:0016570	0.0641457194831	0.641457194831	BP	e	histone modification	3/40	58/2496	7	3	OG_13618, OG_13977, OG_14966
GO:0007423	0.0588949298246	0.641457194831	BP	e	sensory organ development	3/40	56/2496	4	3	OG_13321, OG_14894, OG_15332
GO:0043085	0.0569921085797	0.641457194831	BP	e	positive regulation of catalytic activity	5/40	132/2496	4	5	OG_11485, OG_12089, OG_12301, OG_13148, OG_14505
GO:0051347	0.0752785539979	0.642843574639	BP	e	positive regulation of transferase activity	3/40	62/2496	5	3	OG_11485, OG_12301, OG_14505
GO:0008152	0.0785697702336	0.642843574639	BP	p	metabolic process	16/40	1354/2496	1	16	OG_11399, OG_11471, OG_11485, OG_12164, OG_12301, OG_13148, OG_13241, OG_13618, OG_13977, OG_14505, OG_14966, OG_14992, OG_17424, OG_18280, OG_18369, OG_19769
GO:0043065	0.0781894862546	0.642843574639	BP	e	positive regulation of apoptotic process	3/40	63/2496	7	3	OG_12626, OG_13148, OG_13618
GO:0048856	0.0778086244561	0.642843574639	BP	e	anatomical structure development	13/40	522/2496	2	13	OG_11399, OG_11485, OG_12089, OG_12164, OG_12316, OG_13148, OG_13321, OG_13618, OG_14894, OG_14966, OG_14992, OG_15332, OG_16644
GO:0030162	0.109911797282	0.682211155543	BP	e	regulation of proteolysis	3/40	73/2496	6	3	OG_12164, OG_13148, OG_13618
GO:0031401	0.109526197237	0.682211155543	BP	e	positive regulation of protein modification process	4/40	115/2496	8	4	OG_11485, OG_12301, OG_14505, OG_14966
GO:0033044	0.0903232369713	0.682211155543	BP	e	regulation of chromosome organization	3/40	67/2496	6	3	OG_13618, OG_14505, OG_14966
GO:0009987	0.106197168026	0.682211155543	BP	p	cellular process	25/40	1840/2496	1	25	OG_11399, OG_11471, OG_11485, OG_11705, OG_12089, OG_12164, OG_12301, OG_12316, OG_12626, OG_13148, OG_13183, OG_13241, OG_13618, OG_13977, OG_14505, OG_14894, OG_14966, OG_14992, OG_15332, OG_16644, OG_17186, OG_17424, OG_18280, OG_18369, OG_19769
GO:0010942	0.106537183324	0.682211155543	BP	e	positive regulation of cell death	3/40	72/2496	5	3	OG_12626, OG_13148, OG_13618
GO:0006325	0.0967751656115	0.682211155543	BP	e	chromatin organization	4/40	110/2496	3	4	OG_13618, OG_13977, OG_14966, OG_14992
GO:0043068	0.0966738343068	0.682211155543	BP	e	positive regulation of programmed cell death	3/40	69/2496	6	3	OG_12626, OG_13148, OG_13618
GO:0045859	0.127399652367	0.764397914202	BP	e	regulation of protein kinase activity	3/40	78/2496	9	3	OG_11485, OG_12301, OG_14505
GO:0042327	0.161197880269	0.799448433465	BP	e	positive regulation of phosphorylation	3/40	87/2496	8	3	OG_11485, OG_12301, OG_14505
