GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1904263	4.77992441756e-05	0.00908185639336	BP	e	positive regulation of TORC1 signaling	3/32	5/1826	9	3	OG_12929, OG_14637, OG_14720
GO:0032008	0.00016333281192	0.0155166171324	BP	e	positive regulation of TOR signaling	3/32	7/1826	8	3	OG_12929, OG_14637, OG_14720
GO:1903432	0.000258219223313	0.0163538841432	BP	e	regulation of TORC1 signaling	3/32	8/1826	8	3	OG_12929, OG_14637, OG_14720
GO:0008286	0.000966994561953	0.0459322416928	BP	e	insulin receptor signaling pathway	3/32	12/1826	8	3	OG_13095, OG_14637, OG_14720
GO:0030707	0.00124214625079	0.04720155753	BP	e	ovarian follicle cell development	3/32	13/1826	6	3	OG_12929, OG_13023, OG_14637
GO:0032006	0.00156212408598	0.0494672627227	BP	e	regulation of TOR signaling	3/32	14/1826	7	3	OG_12929, OG_14637, OG_14720
GO:0002066	0.00192945699265	0.0523709755148	BP	e	columnar/cuboidal epithelial cell development	3/32	15/1826	5	3	OG_12929, OG_13023, OG_14637
GO:0007424	0.00234651550664	0.0557297432827	BP	e	open tracheal system development	3/32	16/1826	5	3	OG_14501, OG_14720, OG_16203
GO:0060541	0.00281551706207	0.0594386935326	BP	e	respiratory system development	3/32	17/1826	4	3	OG_14501, OG_14720, OG_16203
GO:0050773	0.00333853114232	0.0634320917041	BP	e	regulation of dendrite development	3/32	18/1826	9	3	OG_14514, OG_14637, OG_14720
GO:1902533	0.00408328869716	0.0665608735521	BP	e	positive regulation of intracellular signal transduction	5/32	63/1826	7	5	OG_10501, OG_12929, OG_13095, OG_14637, OG_14720
GO:0090596	0.00455416503251	0.0665608735521	BP	e	sensory organ morphogenesis	3/32	20/1826	4	3	OG_12929, OG_14514, OG_16203
GO:0048592	0.00455416503251	0.0665608735521	BP	e	eye morphogenesis	3/32	20/1826	5	3	OG_12929, OG_14514, OG_16203
GO:0002064	0.00600720146226	0.076091218522	BP	e	epithelial cell development	3/32	22/1826	4	3	OG_12929, OG_13023, OG_14637
GO:0031330	0.00600720146226	0.076091218522	BP	e	negative regulation of cellular catabolic process	3/32	22/1826	6	3	OG_14580, OG_14637, OG_14720
GO:0009887	0.00684475338891	0.0812814464933	BP	e	animal organ morphogenesis	5/32	71/1826	3	5	OG_10501, OG_12929, OG_14514, OG_14637, OG_16203
GO:0048468	0.00759553602796	0.0848912850184	BP	e	cell development	6/32	103/1826	3	6	OG_12929, OG_13023, OG_13896, OG_14580, OG_14637, OG_14720
GO:0002009	0.00816976513944	0.0862364098052	BP	e	morphogenesis of an epithelium	4/32	47/1826	4	4	OG_12929, OG_13896, OG_14501, OG_16203
GO:0006979	0.00865700618388	0.0865700618388	BP	e	response to oxidative stress	3/32	25/1826	3	3	OG_10501, OG_14637, OG_14720
