GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0080135	0.000106469678899	0.0245944958257	BP	e	regulation of cellular response to stress	7/37	74/2367	5	7	OG_11248, OG_13727, OG_14112, OG_14445, OG_14515, OG_17531, OG_17881
GO:0080134	0.000539462036819	0.0457309062386	BP	e	regulation of response to stress	8/37	126/2367	4	8	OG_11248, OG_13105, OG_13727, OG_14112, OG_14445, OG_14515, OG_17531, OG_17881
GO:0070302	0.000791877164304	0.0457309062386	BP	e	regulation of stress-activated protein kinase signaling cascade	4/37	28/2367	7	4	OG_11248, OG_13727, OG_14112, OG_14515
GO:0032872	0.000686395989535	0.0457309062386	BP	e	regulation of stress-activated MAPK cascade	4/37	27/2367	10	4	OG_11248, OG_13727, OG_14112, OG_14515
GO:0051239	0.00111305706482	0.0514232363947	BP	e	regulation of multicellular organismal process	12/37	294/2367	3	12	OG_11917, OG_11979, OG_12250, OG_12640, OG_12760, OG_13105, OG_13146, OG_13727, OG_14112, OG_14568, OG_17209, OG_17967
GO:0006302	0.00187244978852	0.067886324156	BP	e	double-strand break repair	4/37	35/2367	8	4	OG_12640, OG_15236, OG_17209, OG_17531
GO:0051054	0.00205716133806	0.067886324156	BP	e	positive regulation of DNA metabolic process	3/37	17/2367	7	3	OG_12640, OG_14515, OG_17531
GO:0051052	0.00476486732601	0.110075364449	BP	e	regulation of DNA metabolic process	4/37	45/2367	6	4	OG_12640, OG_14515, OG_17531, OG_17881
GO:2000026	0.00476516729218	0.110075364449	BP	e	regulation of multicellular organismal development	9/37	216/2367	4	9	OG_11917, OG_12250, OG_12640, OG_12760, OG_13105, OG_13146, OG_13727, OG_17209, OG_17967
GO:0048522	0.00425572359434	0.110075364449	BP	e	positive regulation of cellular process	16/37	526/2367	4	16	OG_11248, OG_11917, OG_12250, OG_12640, OG_13105, OG_13727, OG_14445, OG_14515, OG_14568, OG_15236, OG_15328, OG_15365, OG_17209, OG_17531, OG_17967, OG_18352
GO:0046328	0.00567847320348	0.119247937273	BP	e	regulation of JNK cascade	3/37	24/2367	11	3	OG_11248, OG_13727, OG_14515
GO:0048519	0.00825828535283	0.127177594434	BP	e	negative regulation of biological process	15/37	513/2367	3	15	OG_11917, OG_12250, OG_12760, OG_13105, OG_13146, OG_13727, OG_14112, OG_14445, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:2001020	0.00794598272357	0.127177594434	BP	e	regulation of response to DNA damage stimulus	3/37	27/2367	6	3	OG_14445, OG_17531, OG_17881
GO:0042981	0.00815323619333	0.127177594434	BP	e	regulation of apoptotic process	7/37	153/2367	6	7	OG_11917, OG_12250, OG_13727, OG_14445, OG_14515, OG_15365, OG_18352
GO:0051171	0.00772366911507	0.127177594434	BP	e	regulation of nitrogen compound metabolic process	17/37	614/2367	4	17	OG_11248, OG_11917, OG_12250, OG_12640, OG_13727, OG_14112, OG_14445, OG_14515, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:0043067	0.0090496207578	0.130653899691	BP	e	regulation of programmed cell death	7/37	156/2367	5	7	OG_11917, OG_12250, OG_13727, OG_14445, OG_14515, OG_15365, OG_18352
GO:0080090	0.0131421907725	0.146475592404	BP	e	regulation of primary metabolic process	17/37	629/2367	4	17	OG_11248, OG_11917, OG_12250, OG_12640, OG_13727, OG_14112, OG_14445, OG_14515, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:0006281	0.0129461782674	0.146475592404	BP	e	DNA repair	5/37	92/2367	7	5	OG_12640, OG_14445, OG_15236, OG_17209, OG_17531
GO:0060255	0.0150872037526	0.146475592404	BP	e	regulation of macromolecule metabolic process	17/37	649/2367	4	17	OG_11248, OG_11917, OG_12250, OG_12640, OG_13727, OG_14112, OG_14445, OG_14515, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:1902532	0.0110503441808	0.146475592404	BP	e	negative regulation of intracellular signal transduction	4/37	57/2367	7	4	OG_12250, OG_13727, OG_14112, OG_14445
GO:0051241	0.014126455738	0.146475592404	BP	e	negative regulation of multicellular organismal process	5/37	94/2367	4	5	OG_12250, OG_12760, OG_13105, OG_14112, OG_17209
GO:0031323	0.0152182433666	0.146475592404	BP	e	regulation of cellular metabolic process	17/37	650/2367	4	17	OG_11248, OG_11917, OG_12250, OG_12640, OG_13727, OG_14112, OG_14445, OG_14515, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:0010941	0.0133821130867	0.146475592404	BP	e	regulation of cell death	7/37	168/2367	4	7	OG_11917, OG_12250, OG_13727, OG_14445, OG_14515, OG_15365, OG_18352
GO:0006259	0.0124832059459	0.146475592404	BP	e	DNA metabolic process	6/37	127/2367	6	6	OG_12069, OG_12640, OG_14445, OG_15236, OG_17209, OG_17531
GO:0048585	0.0160418893347	0.148227057453	BP	e	negative regulation of response to stimulus	7/37	174/2367	4	7	OG_12250, OG_13105, OG_13727, OG_14112, OG_14445, OG_17881, OG_18352
GO:0006508	0.0170078815243	0.151108485851	BP	e	proteolysis	7/37	176/2367	5	7	OG_11979, OG_13105, OG_13727, OG_14445, OG_15328, OG_15365, OG_17531
GO:0040008	0.0181019468191	0.154872211675	BP	e	regulation of growth	5/37	100/2367	3	5	OG_11917, OG_12250, OG_13146, OG_13727, OG_18352
GO:0048518	0.019931882624	0.157698006594	BP	e	positive regulation of biological process	16/37	596/2367	3	16	OG_11248, OG_11917, OG_12250, OG_12640, OG_13105, OG_13727, OG_14445, OG_14515, OG_14568, OG_15236, OG_15328, OG_15365, OG_17209, OG_17531, OG_17967, OG_18352
GO:0043408	0.0211629359498	0.157698006594	BP	e	regulation of MAPK cascade	4/37	69/2367	9	4	OG_11248, OG_13727, OG_14112, OG_14515
GO:0045935	0.020719422089	0.157698006594	BP	e	positive regulation of nucleobase-containing compound metabolic process	7/37	183/2367	6	7	OG_11917, OG_12640, OG_13727, OG_14515, OG_15328, OG_17209, OG_17531
GO:0048523	0.0202894892739	0.157698006594	BP	e	negative regulation of cellular process	13/37	458/2367	4	13	OG_11917, OG_12250, OG_12760, OG_13146, OG_13727, OG_14112, OG_14445, OG_15365, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:0051173	0.0236189518487	0.170499308658	BP	e	positive regulation of nitrogen compound metabolic process	10/37	314/2367	5	10	OG_11248, OG_11917, OG_12640, OG_13727, OG_14445, OG_14515, OG_15236, OG_15328, OG_17209, OG_17531
GO:0090304	0.0245235602152	0.171664921506	BP	e	nucleic acid metabolic process	14/37	511/2367	5	14	OG_12069, OG_12250, OG_12640, OG_13562, OG_13727, OG_14246, OG_14445, OG_14535, OG_15236, OG_15328, OG_15464, OG_17209, OG_17531, OG_17716
GO:0009968	0.0265417651363	0.175310931156	BP	e	negative regulation of signal transduction	6/37	150/2367	6	6	OG_12250, OG_13727, OG_14112, OG_14445, OG_17881, OG_18352
GO:0090305	0.0265622622963	0.175310931156	BP	e	nucleic acid phosphodiester bond hydrolysis	3/37	42/2367	6	3	OG_12640, OG_15236, OG_15464
GO:0010604	0.0286144824166	0.178647174006	BP	e	positive regulation of macromolecule metabolic process	10/37	328/2367	5	10	OG_11248, OG_11917, OG_12640, OG_13727, OG_14445, OG_14515, OG_15236, OG_15328, OG_17209, OG_17531
GO:0031325	0.0286144824166	0.178647174006	BP	e	positive regulation of cellular metabolic process	10/37	328/2367	5	10	OG_11248, OG_11917, OG_12640, OG_13727, OG_14445, OG_14515, OG_15236, OG_15328, OG_17209, OG_17531
GO:0023057	0.0306182907469	0.181354491347	BP	e	negative regulation of signaling	6/37	155/2367	4	6	OG_12250, OG_13727, OG_14112, OG_14445, OG_17881, OG_18352
GO:0010648	0.0306182907469	0.181354491347	BP	e	negative regulation of cell communication	6/37	155/2367	5	6	OG_12250, OG_13727, OG_14112, OG_14445, OG_17881, OG_18352
GO:0050793	0.0318797347476	0.184105468167	BP	e	regulation of developmental process	9/37	274/2367	3	9	OG_11917, OG_12250, OG_12640, OG_12760, OG_13105, OG_13146, OG_13727, OG_17209, OG_17967
GO:0007423	0.0336586299182	0.189637646612	BP	e	sensory organ development	3/37	46/2367	4	3	OG_11917, OG_13727, OG_18352
GO:0043066	0.0356541905353	0.196098047944	BP	e	negative regulation of apoptotic process	4/37	81/2367	7	4	OG_11917, OG_13727, OG_14445, OG_18352
GO:0043069	0.0370700122733	0.199143554305	BP	e	negative regulation of programmed cell death	4/37	82/2367	6	4	OG_11917, OG_13727, OG_14445, OG_18352
GO:0048583	0.0379690211183	0.199337360871	BP	e	regulation of response to stimulus	11/37	380/2367	3	11	OG_11248, OG_12250, OG_12640, OG_13105, OG_13727, OG_14112, OG_14445, OG_14515, OG_17531, OG_17881, OG_18352
GO:0060284	0.0412604648122	0.211803719369	BP	e	regulation of cell development	5/37	124/2367	5	5	OG_11917, OG_12250, OG_12760, OG_13105, OG_17967
GO:0043170	0.0426895505267	0.214375786341	BP	e	macromolecule metabolic process	22/37	997/2367	3	22	OG_11248, OG_11979, OG_12069, OG_12250, OG_12640, OG_13105, OG_13562, OG_13727, OG_14112, OG_14140, OG_14246, OG_14445, OG_14515, OG_14535, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881
GO:0019222	0.0438044376493	0.215294151	BP	e	regulation of metabolic process	17/37	701/2367	3	17	OG_11248, OG_11917, OG_12250, OG_12640, OG_13727, OG_14112, OG_14445, OG_14515, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_18352
GO:0051960	0.0463418203588	0.223020010477	BP	e	regulation of nervous system development	5/37	128/2367	5	5	OG_11917, OG_12250, OG_12760, OG_13146, OG_17967
GO:0065007	0.0479993774588	0.226282779449	BP	e	biological regulation	25/37	1214/2367	1	25	OG_11248, OG_11917, OG_11979, OG_12250, OG_12640, OG_12760, OG_13105, OG_13146, OG_13562, OG_13727, OG_14000, OG_14112, OG_14445, OG_14515, OG_14568, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_17967, OG_18352
GO:0006974	0.0490192473428	0.226468922724	BP	e	cellular response to DNA damage stimulus	5/37	130/2367	4	5	OG_12640, OG_14445, OG_15236, OG_17209, OG_17531
GO:0010720	0.0602427123266	0.22864375762	BP	e	positive regulation of cell development	3/37	58/2367	6	3	OG_11917, OG_13105, OG_17967
GO:0016570	0.0654139716143	0.22864375762	BP	e	histone modification	3/37	60/2367	7	3	OG_13727, OG_14445, OG_15328
GO:0034470	0.0566068216777	0.22864375762	BP	e	ncRNA processing	4/37	94/2367	8	4	OG_13562, OG_14246, OG_14535, OG_15464
GO:0060548	0.0547991465314	0.22864375762	BP	e	negative regulation of cell death	4/37	93/2367	5	4	OG_11917, OG_13727, OG_14445, OG_18352
GO:0046483	0.0625887100445	0.22864375762	BP	e	heterocycle metabolic process	15/37	634/2367	3	15	OG_12069, OG_12250, OG_12640, OG_13562, OG_13727, OG_14246, OG_14445, OG_14535, OG_15236, OG_15328, OG_15464, OG_17209, OG_17531, OG_17716, OG_18290
GO:0016569	0.0654139716143	0.22864375762	BP	e	covalent chromatin modification	3/37	60/2367	5	3	OG_13727, OG_14445, OG_15328
GO:0009893	0.0620939663499	0.22864375762	BP	e	positive regulation of metabolic process	10/37	363/2367	4	10	OG_11248, OG_11917, OG_12640, OG_13727, OG_14445, OG_14515, OG_15236, OG_15328, OG_17209, OG_17531
GO:0006364	0.0528721429587	0.22864375762	BP	e	rRNA processing	3/37	55/2367	9	3	OG_13562, OG_14246, OG_15464
GO:0050794	0.0682961873411	0.22864375762	BP	e	regulation of cellular process	22/37	1052/2367	3	22	OG_11248, OG_11917, OG_12250, OG_12640, OG_12760, OG_13105, OG_13146, OG_13727, OG_14112, OG_14445, OG_14515, OG_14568, OG_15236, OG_15328, OG_15365, OG_15464, OG_17209, OG_17531, OG_17716, OG_17881, OG_17967, OG_18352
GO:1902531	0.0510326948105	0.22864375762	BP	e	regulation of intracellular signal transduction	6/37	175/2367	6	6	OG_11248, OG_12250, OG_13727, OG_14112, OG_14445, OG_14515
GO:0016072	0.0680752258847	0.22864375762	BP	e	rRNA metabolic process	3/37	61/2367	8	3	OG_13562, OG_14246, OG_15464
GO:0010557	0.0534520719124	0.22864375762	BP	e	positive regulation of macromolecule biosynthetic process	6/37	177/2367	6	6	OG_11917, OG_13727, OG_14515, OG_15236, OG_15328, OG_17209
GO:0007049	0.0661307394869	0.22864375762	BP	e	cell cycle	4/37	99/2367	2	4	OG_12069, OG_13146, OG_17531, OG_17881
GO:0006139	0.0550313187812	0.22864375762	BP	e	nucleobase-containing compound metabolic process	15/37	606/2367	4	15	OG_12069, OG_12250, OG_12640, OG_13562, OG_13727, OG_14246, OG_14445, OG_14535, OG_15236, OG_15328, OG_15464, OG_17209, OG_17531, OG_17716, OG_18290
GO:0097435	0.0577338199792	0.22864375762	BP	e	supramolecular fiber organization	3/37	57/2367	3	3	OG_13146, OG_14000, OG_15365
GO:0032502	0.0646481514093	0.22864375762	BP	e	developmental process	16/37	677/2367	1	16	OG_11248, OG_11917, OG_12250, OG_12760, OG_13146, OG_13562, OG_13727, OG_14000, OG_14140, OG_14515, OG_14568, OG_15365, OG_17209, OG_17716, OG_17967, OG_18352
GO:0032268	0.0681793484462	0.22864375762	BP	e	regulation of cellular protein metabolic process	8/37	276/2367	6	8	OG_11248, OG_13727, OG_14112, OG_14445, OG_14515, OG_15236, OG_15365, OG_18352
GO:0043632	0.0622244289067	0.22864375762	BP	e	modification-dependent macromolecule catabolic process	4/37	97/2367	6	4	OG_11979, OG_13727, OG_14445, OG_15464
