GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0055072	0.00429698155791	0.280769724393	BP	e	iron ion homeostasis	3/58	14/2347	9	3	OG_13134, OG_14330, OG_16341
GO:0006826	0.00269014655297	0.280769724393	BP	e	iron ion transport	3/58	12/2347	8	3	OG_13134, OG_14330, OG_16341
GO:0009617	0.00503118308652	0.280769724393	BP	e	response to bacterium	4/58	29/2347	5	4	OG_11994, OG_13036, OG_13693, OG_14330
GO:0031099	0.00527762639837	0.280769724393	BP	e	regeneration	3/58	15/2347	3	3	OG_11354, OG_13337, OG_15629
GO:0030097	0.00527762639837	0.280769724393	BP	e	hemopoiesis	3/58	15/2347	5	3	OG_13036, OG_17445, OG_18643
GO:0001578	0.00638245304191	0.282955418191	BP	e	microtubule bundle formation	3/58	16/2347	6	3	OG_16156, OG_16705, OG_17917
GO:0055076	0.00897958608559	0.341224271252	BP	e	transition metal ion homeostasis	3/58	18/2347	8	3	OG_13134, OG_14330, OG_16341
GO:0006928	0.0107504723139	0.357453204437	BP	e	movement of cell or subcellular component	10/58	179/2347	2	10	OG_11354, OG_12902, OG_13337, OG_13692, OG_13872, OG_15306, OG_16156, OG_16705, OG_17917, OG_18643
GO:0000041	0.0121134276329	0.358019083372	BP	e	transition metal ion transport	3/58	20/2347	7	3	OG_13134, OG_14330, OG_16341
GO:0042742	0.0138874671121	0.369406625182	BP	e	defense response to bacterium	3/58	21/2347	6	3	OG_11994, OG_13036, OG_13693
GO:0090287	0.0178579254814	0.395850681504	BP	e	regulation of cellular response to growth factor stimulus	3/58	23/2347	4	3	OG_11354, OG_13075, OG_13872
GO:0048534	0.0178579254814	0.395850681504	BP	e	hematopoietic or lymphoid organ development	3/58	23/2347	4	3	OG_13036, OG_17445, OG_18643
GO:0048468	0.0206465996831	0.411720983785	BP	e	cell development	8/58	141/2347	3	8	OG_11354, OG_13075, OG_13337, OG_13872, OG_16705, OG_17911, OG_17917, OG_18643
GO:0042330	0.0223981346953	0.411720983785	BP	e	taxis	3/58	25/2347	2	3	OG_13036, OG_13872, OG_17911
GO:0040011	0.0232173487097	0.411720983785	BP	e	locomotion	7/58	117/2347	1	7	OG_12564, OG_12902, OG_13036, OG_13337, OG_13692, OG_13872, OG_17911
GO:0055065	0.0253262200533	0.421048408386	BP	e	metal ion homeostasis	4/58	46/2347	7	4	OG_13134, OG_13801, OG_14330, OG_16341
GO:0098771	0.044954370222	0.608083199334	BP	e	inorganic ion homeostasis	4/58	55/2347	6	4	OG_13134, OG_13801, OG_14330, OG_16341
GO:0097485	0.0617227307595	0.608083199334	BP	e	neuron projection guidance	4/58	61/2347	3	4	OG_11354, OG_13872, OG_15306, OG_18643
GO:0051707	0.0617227307595	0.608083199334	BP	e	response to other organism	4/58	61/2347	4	4	OG_11994, OG_13036, OG_13693, OG_14330
GO:0006812	0.0432970155949	0.608083199334	BP	e	cation transport	5/58	79/2347	5	5	OG_10874, OG_13134, OG_13801, OG_14330, OG_16341
GO:0009790	0.0614892560129	0.608083199334	BP	e	embryo development	3/58	37/2347	4	3	OG_13801, OG_14330, OG_15306
GO:0009792	0.0614892560129	0.608083199334	BP	e	embryo development ending in birth or egg hatching	3/58	37/2347	5	3	OG_13801, OG_14330, OG_15306
GO:0007411	0.0587243476786	0.608083199334	BP	e	axon guidance	4/58	60/2347	4	4	OG_11354, OG_13872, OG_15306, OG_18643
GO:0000122	0.0617227307595	0.608083199334	BP	e	negative regulation of transcription by RNA polymerase II	4/58	61/2347	11	4	OG_11354, OG_13337, OG_15619, OG_18643
GO:0030001	0.0502168315428	0.608083199334	BP	e	metal ion transport	4/58	57/2347	6	4	OG_13134, OG_13801, OG_14330, OG_16341
GO:0055080	0.0475445477327	0.608083199334	BP	e	cation homeostasis	4/58	56/2347	6	4	OG_13134, OG_13801, OG_14330, OG_16341
GO:0048666	0.0498639624246	0.608083199334	BP	e	neuron development	3/58	34/2347	4	3	OG_11354, OG_13337, OG_18643
GO:0050801	0.0679607863871	0.640999465356	BP	e	ion homeostasis	4/58	63/2347	5	4	OG_13134, OG_13801, OG_14330, OG_16341
GO:0006875	0.0698834003584	0.640999465356	BP	e	cellular metal ion homeostasis	3/58	39/2347	8	3	OG_13801, OG_14330, OG_16341
GO:0048856	0.0741373884287	0.657351510734	BP	e	anatomical structure development	18/58	500/2347	2	18	OG_11354, OG_12013, OG_12564, OG_13036, OG_13075, OG_13337, OG_13801, OG_13872, OG_14330, OG_14520, OG_14929, OG_15306, OG_15629, OG_16705, OG_17445, OG_17911, OG_17917, OG_18643
GO:0007166	0.196118121359	0.692382154637	BP	e	cell surface receptor signaling pathway	7/58	174/2347	5	7	OG_11354, OG_13036, OG_13872, OG_16352, OG_16705, OG_17917, OG_18643
