GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048585	0.0249975666063	0.180142494796	BP	e	negative regulation of response to stimulus	4/16	79/1074	4	4	OG_10986, OG_12390, OG_12476, OG_14259
GO:0023057	0.0249975666063	0.180142494796	BP	e	negative regulation of signaling	4/16	79/1074	4	4	OG_10986, OG_12390, OG_12476, OG_14259
GO:0023051	0.0305902349653	0.180142494796	BP	e	regulation of signaling	6/16	172/1074	3	6	OG_10986, OG_12390, OG_12476, OG_13780, OG_14259, OG_15790
GO:0010646	0.0297884714478	0.180142494796	BP	e	regulation of cell communication	6/16	171/1074	4	6	OG_10986, OG_12390, OG_12476, OG_13780, OG_14259, OG_15790
GO:0009968	0.0182602390281	0.180142494796	BP	e	negative regulation of signal transduction	4/16	72/1074	6	4	OG_10986, OG_12390, OG_12476, OG_14259
GO:0098609	0.00638583177389	0.180142494796	BP	e	cell-cell adhesion	3/16	27/1074	3	3	OG_10986, OG_15696, OG_15790
GO:0007155	0.0232651484147	0.180142494796	BP	e	cell adhesion	3/16	43/1074	2	3	OG_10986, OG_15696, OG_15790
GO:0022610	0.0278401761073	0.180142494796	BP	e	biological adhesion	3/16	46/1074	1	3	OG_10986, OG_15696, OG_15790
GO:0010648	0.0249975666063	0.180142494796	BP	e	negative regulation of cell communication	4/16	79/1074	5	4	OG_10986, OG_12390, OG_12476, OG_14259
GO:0006807	0.0450513285452	0.23877204129	BP	p	nitrogen compound metabolic process	3/16	470/1074	2	3	OG_10986, OG_12390, OG_14060
GO:0009966	0.0598663725749	0.288447067861	BP	e	regulation of signal transduction	5/16	150/1074	5	5	OG_10986, OG_12390, OG_12476, OG_13780, OG_14259
GO:0071704	0.0805353160654	0.304883696533	BP	p	organic substance metabolic process	4/16	510/1074	2	4	OG_10986, OG_12390, OG_14060, OG_15629
GO:0048646	0.0698524522761	0.304883696533	BP	e	anatomical structure formation involved in morphogenesis	3/16	66/1074	2	3	OG_10986, OG_13488, OG_15696
GO:0043170	0.0774380601035	0.304883696533	BP	p	macromolecule metabolic process	3/16	439/1074	3	3	OG_10986, OG_12390, OG_14060
GO:0008152	0.134230293863	0.395233643041	BP	p	metabolic process	5/16	547/1074	1	5	OG_10986, OG_12390, OG_14060, OG_15629, OG_18609
