GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0003333	0.00256826248621	0.116534910312	BP	e	amino acid transmembrane transport	3/59	11/2208	9	3	OG_12481, OG_12508, OG_13171
GO:0050679	0.00135842042608	0.116534910312	BP	e	positive regulation of epithelial cell proliferation	3/59	9/2208	6	3	OG_11239, OG_12511, OG_15791
GO:0000281	0.00196023237223	0.116534910312	BP	e	mitotic cytokinesis	4/59	21/2208	5	4	OG_13110, OG_13363, OG_14216, OG_14234
GO:0030537	0.00190384814595	0.116534910312	BP	e	larval behavior	3/59	10/2208	2	3	OG_12481, OG_12753, OG_16915
GO:2000027	0.000979656269251	0.116534910312	BP	e	regulation of animal organ morphogenesis	5/59	30/2208	5	5	OG_12511, OG_13110, OG_13363, OG_15791, OG_16173
GO:0007165	0.00235522467586	0.116534910312	BP	e	signal transduction	18/59	331/2208	4	18	OG_10811, OG_11239, OG_11770, OG_11986, OG_12044, OG_12511, OG_12741, OG_12753, OG_13110, OG_13259, OG_13394, OG_14216, OG_14293, OG_15164, OG_15791, OG_16173, OG_16588, OG_16732
GO:0008345	0.00135842042608	0.116534910312	BP	e	larval locomotory behavior	3/59	9/2208	3	3	OG_12481, OG_12753, OG_16915
GO:0050678	0.000844483860585	0.116534910312	BP	e	regulation of epithelial cell proliferation	4/59	17/2208	5	4	OG_11239, OG_12511, OG_13110, OG_15791
GO:1905039	0.00535081935124	0.136986739679	BP	e	carboxylic acid transmembrane transport	3/59	14/2208	8	3	OG_12481, OG_12508, OG_13171
GO:0061640	0.00663166483337	0.136986739679	BP	e	cytoskeleton-dependent cytokinesis	4/59	29/2208	4	4	OG_13110, OG_13363, OG_14216, OG_14234
GO:1903825	0.00535081935124	0.136986739679	BP	e	organic acid transmembrane transport	3/59	14/2208	6	3	OG_12481, OG_12508, OG_13171
GO:0030705	0.00663166483337	0.136986739679	BP	e	cytoskeleton-dependent intracellular transport	4/59	29/2208	5	4	OG_11326, OG_15164, OG_15716, OG_16439
GO:0008284	0.00679273089316	0.136986739679	BP	e	positive regulation of cell population proliferation	5/59	46/2208	5	5	OG_11239, OG_12044, OG_12511, OG_15791, OG_16588
GO:0099111	0.00583189038951	0.136986739679	BP	e	microtubule-based transport	4/59	28/2208	4	4	OG_11326, OG_15164, OG_15716, OG_16439
GO:0010970	0.00583189038951	0.136986739679	BP	e	transport along microtubule	4/59	28/2208	6	4	OG_11326, OG_15164, OG_15716, OG_16439
GO:0000910	0.00663166483337	0.136986739679	BP	e	cytokinesis	4/59	29/2208	3	4	OG_13110, OG_13363, OG_14216, OG_14234
GO:0043085	0.00614354858401	0.136986739679	BP	e	positive regulation of catalytic activity	7/59	84/2208	4	7	OG_10811, OG_11239, OG_11326, OG_11986, OG_13363, OG_13394, OG_16439
GO:0071495	0.00457416373569	0.136986739679	BP	e	cellular response to endogenous stimulus	5/59	42/2208	3	5	OG_11239, OG_12511, OG_13110, OG_15791, OG_16915
GO:0051345	0.00744790866337	0.14229425499	BP	e	positive regulation of hydrolase activity	5/59	47/2208	5	5	OG_10811, OG_11326, OG_11986, OG_13363, OG_16439
GO:0048588	0.00792486253317	0.142811558833	BP	e	developmental cell growth	3/59	16/2208	3	3	OG_11770, OG_13394, OG_16915
GO:0071363	0.00944208653443	0.142811558833	BP	e	cellular response to growth factor stimulus	3/59	17/2208	5	3	OG_11239, OG_13110, OG_15791
GO:0051302	0.00944208653443	0.142811558833	BP	e	regulation of cell division	3/59	17/2208	4	3	OG_13110, OG_14216, OG_14234
GO:0070848	0.00944208653443	0.142811558833	BP	e	response to growth factor	3/59	17/2208	4	3	OG_11239, OG_13110, OG_15791
GO:0006865	0.00944208653443	0.142811558833	BP	e	amino acid transport	3/59	17/2208	8	3	OG_12481, OG_12508, OG_13171
GO:1902531	0.0100731702562	0.14626243212	BP	e	regulation of intracellular signal transduction	9/59	139/2208	6	9	OG_11239, OG_12511, OG_13110, OG_13394, OG_14293, OG_14518, OG_15791, OG_16173, OG_18112
GO:0035556	0.0123114006565	0.171886093781	BP	e	intracellular signal transduction	8/59	119/2208	5	8	OG_10811, OG_11986, OG_12511, OG_13259, OG_13394, OG_14216, OG_15164, OG_15791
GO:0099177	0.0519343693285	0.25461600035	BP	e	regulation of trans-synaptic signaling	3/59	32/2208	5	3	OG_12481, OG_15791, OG_16915
GO:0015849	0.0603643252004	0.25461600035	BP	e	organic acid transport	3/59	34/2208	5	3	OG_12481, OG_12508, OG_13171
GO:0071900	0.0560725673501	0.25461600035	BP	e	regulation of protein serine/threonine kinase activity	3/59	33/2208	10	3	OG_11239, OG_13110, OG_13394
GO:0007626	0.0348819887516	0.25461600035	BP	e	locomotory behavior	4/59	47/2208	2	4	OG_12481, OG_12753, OG_15788, OG_16915
GO:0007051	0.0648068572027	0.25461600035	BP	e	spindle organization	3/59	35/2208	6	3	OG_11326, OG_14234, OG_16732
GO:0016072	0.0261122677369	0.25461600035	BP	e	rRNA metabolic process	4/59	43/2208	8	4	OG_13014, OG_14725, OG_14977, OG_17960
